,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_fiblr__bin_num_percent,param_fiblr__eta,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
19,42.229961681365964,0.5332739945386782,0.11731457710266113,0.039030498733318604,1,1,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 1}",0.5808270676691729,0.6033834586466166,0.6052631578947368,0.6259398496240601,0.6071428571428571,0.6127819548872181,0.6221804511278195,0.6409774436090225,0.6278195488721805,0.64,0.616600790513834,0.01752091727565756,1,0.6676427525622255,0.6613679146622046,0.6605312696088684,0.6527923028655093,0.6653419786655511,0.664505333612215,0.657184689395524,0.6615770759255386,0.6642961723488809,0.6664578111946533,0.6621697300841171,0.0042993842329260325
18,41.43125185966492,0.353348932840734,0.15592451095581056,0.05069579740388806,1,0.1,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.1}",0.5507518796992481,0.5845864661654135,0.5845864661654135,0.5921052631578947,0.5657894736842105,0.5676691729323309,0.6033834586466166,0.5902255639097744,0.5977443609022557,0.6285714285714286,0.5864859777903256,0.020683097753267658,2,0.6555113992888517,0.6550930767621836,0.6594854632921983,0.6433800460154779,0.6475632712821585,0.6406609495921355,0.6433800460154779,0.6450533361221502,0.6536289479188454,0.6476608187134503,0.6491417355002929,0.0060235902406168395
17,40.76528427600861,0.5284108621836426,0.1645036220550537,0.04469671341630283,1,0.01,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.01}",0.44548872180451127,0.5056390977443609,0.48872180451127817,0.49624060150375937,0.4830827067669173,0.4755639097744361,0.5169172932330827,0.5018796992481203,0.5056390977443609,0.5104761904761905,0.49294184076792774,0.01991345783404827,3,0.5367078017151223,0.5344070278184481,0.5298054800250993,0.5281321899184271,0.5360803179251202,0.5354528341351181,0.5387994143484627,0.5327337377117758,0.5314787701317716,0.5229741019214703,0.5326571675650815,0.00447765945238235
16,40.517400932312015,0.39584482864215015,0.17515766620635986,0.06672440055891367,1,0.001,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.001}",0.38533834586466165,0.44548872180451127,0.4398496240601504,0.4548872180451128,0.424812030075188,0.39285714285714285,0.44548872180451127,0.4492481203007519,0.43045112781954886,0.4685714285714286,0.43365330321852064,0.025122194591462584,4,0.47144948755490484,0.45304329638151014,0.46538381091821795,0.47772432545492577,0.44258523321480864,0.4434218782681447,0.4618280694415394,0.4685212298682284,0.452206651328174,0.4768170426065163,0.461298102503697,0.012261254203705142
15,27.11853497028351,0.3311776058099356,0.11040105819702148,0.0318050376661535,0.1,1,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 1}",0.30639097744360905,0.36654135338345867,0.325187969924812,0.34210526315789475,0.34022556390977443,0.325187969924812,0.3233082706766917,0.31954887218045114,0.33270676691729323,0.29904761904761906,0.32806324110671936,0.018065648226496433,5,0.36059401798786866,0.3568291152478561,0.3589207278811964,0.3273373771177578,0.3513909224011713,0.3649864045178833,0.35369169629784564,0.3403053754444677,0.34427943944781425,0.34461152882205515,0.35029466051659164,0.01071017008652628
14,27.08918752670288,0.4202976591975141,0.10255725383758545,0.03183772632726203,0.1,0.1,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 0.1}",0.25375939849624063,0.35526315789473684,0.3233082706766917,0.31954887218045114,0.33646616541353386,0.30451127819548873,0.29699248120300753,0.33270676691729323,0.31954887218045114,0.3047619047619048,0.3146997929606625,0.02608072903143274,6,0.3350763438611169,0.3363313114411211,0.3323572474377745,0.3262915708010876,0.34490692323781635,0.35243672871784143,0.34009621418113367,0.32880150596109603,0.3300564735411002,0.3391812865497076,0.3365535605729795,0.007542974009151497
6,26.733277201652527,0.2639522678958759,0.11061258316040039,0.027358079765630323,0.001,0.1,"{'fiblr__bin_num_percent': 0.001, 'fiblr__eta': 0.1}",0.25375939849624063,0.34210526315789475,0.33646616541353386,0.287593984962406,0.3233082706766917,0.27631578947368424,0.3026315789473684,0.3176691729323308,0.30451127819548873,0.32571428571428573,0.3069828722002635,0.026482483446118463,7,0.3179251202677264,0.3137418950010458,0.32440911943108136,0.3156243463710521,0.3191800878477306,0.32273582932440914,0.3229449905877432,0.3057937669943526,0.3141602175277139,0.325187969924812,0.3181703343277667,0.005729258706540154
2,26.02938323020935,0.24201502738189679,0.10693285465240479,0.023096266216746132,0,0.1,"{'fiblr__bin_num_percent': 0, 'fiblr__eta': 0.1}",0.2593984962406015,0.33458646616541354,0.33458646616541354,0.29135338345864664,0.3176691729323308,0.27631578947368424,0.30451127819548873,0.32142857142857145,0.30639097744360905,0.3219047619047619,0.30679465462074157,0.02351367477686856,8,0.31667015268772225,0.3062120895210207,0.32545492574775153,0.32001673290106675,0.31876176532106254,0.32921982848776404,0.3233633131144112,0.3047479606776825,0.3168793139510563,0.3203842940685046,0.31817103764780424,0.007333902269266716
10,25.76633701324463,0.32270762829971583,0.10349910259246826,0.02484342793747854,0.01,0.1,"{'fiblr__bin_num_percent': 0.01, 'fiblr__eta': 0.1}",0.25375939849624063,0.33270676691729323,0.33646616541353386,0.287593984962406,0.32706766917293234,0.2706766917293233,0.2951127819548872,0.3176691729323308,0.3007518796992481,0.32571428571428573,0.3047242612460004,0.026570099263038716,9,0.31750679774105833,0.3062120895210207,0.3225266680610751,0.3145785400543819,0.3206442166910688,0.32043505542773476,0.32106253921773686,0.30600292825768666,0.31604266889772015,0.3210108604845447,0.3166022364354028,0.005753124747433595
7,27.8536789894104,0.28458609935487406,0.09398667812347412,0.0292941042211906,0.001,1,"{'fiblr__bin_num_percent': 0.001, 'fiblr__eta': 1}",0.2650375939849624,0.34210526315789475,0.3101503759398496,0.30451127819548873,0.31390977443609025,0.2706766917293233,0.28383458646616544,0.3007518796992481,0.31390977443609025,0.32761904761904764,0.30321852060982496,0.02298605053033161,10,0.3131144112110437,0.3122777661577076,0.31750679774105833,0.31269608868437565,0.31478770131771594,0.3124869274210416,0.3108136373143694,0.3055846057310186,0.3135327337377118,0.31871345029239767,0.31315141196084406,0.0034185338480856027
