Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.23031498777188564
CL0,Age,-0.07854,0.13294766433032534
CL0,Age,0.49788000000000004,0.12295722440882631
CL0,Age,1.09449,0.03795570519127587
CL0,Age,1.82213,0.05343358834085822
CL0,Age,2.59171,0.24032681540529346
CL0,Gender,-0.48246000000000006,0.1598718114458557
CL0,Gender,0.48246000000000006,0.08682931781799354
CL0,Education,-2.43591,0.007366726551977025
CL0,Education,-1.7379,0.023730243178363586
CL0,Education,-1.43719,0.26384043451511235
CL0,Education,-1.22751,0.25351830730286085
CL0,Education,-0.6111300000000001,0.16135906031806943
CL0,Education,-0.059210000000000006,0.07832312297757298
CL0,Education,0.45468000000000003,0.12460813517400461
CL0,Education,1.16365,0.14442283208175524
CL0,Education,1.98437,0.3517370639899828
CL0,Country,-0.57009,0.08836781687765498
CL0,Country,-0.46841000000000005,0.09240827571114792
CL0,Country,-0.28519,0.20006193113750456
CL0,Country,-0.09765,0.02063267859143683
CL0,Country,0.21128000000000002,0.1913831469914712
CL0,Country,0.24923,0.19101656469347197
CL0,Country,0.9608200000000001,0.12060147409655891
CL0,Ethnicity,-1.1070200000000001,0.3050896846794647
CL0,Ethnicity,-0.50212,0.22093037503612986
CL0,Ethnicity,-0.31685,0.12749702833041116
CL0,Ethnicity,-0.22166,0.06421094122771721
CL0,Ethnicity,0.1144,0.007113372875702631
CL0,Ethnicity,0.126,0.006539692515931874
CL0,Ethnicity,1.90725,3.632832442322561e-32
CL0,Nscore,-3.4643599999999997,0.0011106880976389406
CL0,Nscore,-3.15735,0.003366582076530533
CL0,Nscore,-2.75696,0.01134410888011765
CL0,Nscore,-2.52197,0.00014319597056774633
CL0,Nscore,-2.4231700000000003,0.026965156288236217
CL0,Nscore,-2.3436,0.010168907233325097
CL0,Nscore,-2.21844,0.000498053422105747
CL0,Nscore,-2.05048,0.007241841243079106
CL0,Nscore,-1.86962,0.2494415130778902
CL0,Nscore,-1.69163,0.01426571551633532
CL0,Nscore,-1.5507799999999998,0.005275976096381808
CL0,Nscore,-1.43907,0.2841624354468546
CL0,Nscore,-1.32828,0.17827428019563266
CL0,Nscore,-1.1943,0.020980638975246754
CL0,Nscore,-1.05308,0.2081748017750132
CL0,Nscore,-0.92104,0.16417056423162726
CL0,Nscore,-0.79151,0.253571110235076
CL0,Nscore,-0.67825,0.2010738698114599
CL0,Nscore,-0.58016,0.19894979287399295
CL0,Nscore,-0.46725,0.12389100053414333
CL0,Nscore,-0.34799,0.1943304800005892
CL0,Nscore,-0.24649000000000001,0.18637239180528373
CL0,Nscore,-0.14882,0.041499819229687526
CL0,Nscore,-0.051879999999999996,0.04192603025882057
CL0,Nscore,0.04257,0.07963049432998565
CL0,Nscore,0.13606,0.05514192518865007
CL0,Nscore,0.22393000000000002,0.05455200220141577
CL0,Nscore,0.31287,0.19016901315289134
CL0,Nscore,0.41667,0.1495533149200226
CL0,Nscore,0.52135,0.1508624667443396
CL0,Nscore,0.62967,0.018757753427614588
CL0,Nscore,0.73545,0.1881795787904721
CL0,Nscore,0.82562,0.34663417395089047
CL0,Nscore,0.9109299999999999,0.3514655385240069
CL0,Nscore,1.02119,0.03702029849958793
CL0,Nscore,1.13281,0.01960035530325713
CL0,Nscore,1.23461,0.009822186230432068
CL0,Nscore,1.37297,0.17847095265456328
CL0,Nscore,1.49158,0.01832711127833972
CL0,Nscore,1.6038299999999999,0.015929275481700707
CL0,Nscore,1.72012,0.005402733144034125
CL0,Nscore,1.8399,0.027026606451313842
CL0,Nscore,1.98437,0.004216536432800027
CL0,Nscore,2.127,0.0025783320226487137
CL0,Nscore,2.28554,0.277425010682361
CL0,Nscore,2.4626200000000003,0.01607018246012319
CL0,Nscore,2.61139,0.0065367596521757765
CL0,Nscore,2.82196,0.010281736619937466
CL0,Nscore,3.27393,0.0021233280819165446
CL0,Escore,-3.27393,0.0005613216587500464
CL0,Escore,-3.00537,0.0005652095006076471
CL0,Escore,-2.72827,0.00954838344107519
CL0,Escore,-2.5383,0.0103569758766366
CL0,Escore,-2.44904,0.013980644686121172
CL0,Escore,-2.32338,0.0002400205604092402
CL0,Escore,-2.21069,0.0003268661739172838
CL0,Escore,-2.11437,0.3336382588220597
CL0,Escore,-2.03972,0.33009496046001835
CL0,Escore,-1.92173,0.04087968743614524
CL0,Escore,-1.7625,0.2183141659330747
CL0,Escore,-1.6334,0.010853386069222743
CL0,Escore,-1.50796,0.023144824274821393
CL0,Escore,-1.37639,0.20882999934442736
CL0,Escore,-1.23177,0.01330683777972561
CL0,Escore,-1.09207,0.016314224816284455
CL0,Escore,-0.9477899999999999,0.13051753857498996
CL0,Escore,-0.80615,0.18549678925907823
CL0,Escore,-0.69509,0.11346358556436806
CL0,Escore,-0.57545,0.07140545711571515
CL0,Escore,-0.43998999999999994,0.12887722315159764
CL0,Escore,-0.30033000000000004,0.1756201218993828
CL0,Escore,-0.15487,0.11706251240468389
CL0,Escore,0.0033200000000000005,0.036712063890829816
CL0,Escore,0.16767,0.17091623838442097
CL0,Escore,0.32197,0.14130189626527634
CL0,Escore,0.47617,0.1675339074155439
CL0,Escore,0.63779,0.25341851798852977
CL0,Escore,0.80523,0.013263939442352584
CL0,Escore,0.9624799999999999,0.23243166209241842
CL0,Escore,1.11406,0.21222771245855152
CL0,Escore,1.2861,0.03201454728481134
CL0,Escore,1.45421,0.13603549252337918
CL0,Escore,1.58487,0.35035592051455056
CL0,Escore,1.74091,0.2968639424184379
CL0,Escore,1.9388599999999998,0.009346772565652969
CL0,Escore,2.127,0.3913523233180534
CL0,Escore,2.32338,0.015876485967800825
CL0,Escore,2.57309,0.00650503650550332
CL0,Escore,2.8595,0.006803143247771029
CL0,Escore,3.00537,0.0015209806062171903
CL0,Escore,3.27393,0.001334494080780487
CL0,Oscore,-3.27393,0.0016975073479446393
CL0,Oscore,-2.8595,0.004020702406965435
CL0,Oscore,-2.63199,0.007824045850688407
CL0,Oscore,-2.39883,0.005925083903903473
CL0,Oscore,-2.21069,0.3420383544009917
CL0,Oscore,-2.09015,0.3389208939540336
CL0,Oscore,-1.97495,0.003362102454169323
CL0,Oscore,-1.82919,0.3102000093044344
CL0,Oscore,-1.68062,0.07953109765364079
CL0,Oscore,-1.55521,0.08365798285951145
CL0,Oscore,-1.42424,0.008363959101901833
CL0,Oscore,-1.2755299999999998,0.2552914955934871
CL0,Oscore,-1.1190200000000001,0.05108840033463359
CL0,Oscore,-0.97631,0.1346852436788426
CL0,Oscore,-0.8473200000000001,0.13865816296734054
CL0,Oscore,-0.71727,0.1645543022552578
CL0,Oscore,-0.58331,0.12583101756538473
CL0,Oscore,-0.45174,0.1253136643113588
CL0,Oscore,-0.31776,0.09201145925675515
