,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_fiblr__bin_num_percent,param_fiblr__eta,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
19,48.95998284816742,0.4733049448334255,0.1555851697921753,0.051002202600992114,1,1,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 1}",0.6457725947521866,0.6239067055393586,0.6720116618075802,0.6661807580174927,0.607871720116618,0.6297376093294461,0.6494845360824743,0.6421207658321061,0.6627393225331369,0.6597938144329897,0.6459309133489461,0.01948924891454184,1,0.6985030914415881,0.6827204685974617,0.686625447445493,0.6919947933615359,0.6954116498535633,0.6963878945655712,0.6877945717536161,0.692020152771006,0.6762554851292053,0.6863318706322119,0.6894045425551252,0.0064692982269736275
18,49.34635491371155,0.5280468463834387,0.20263290405273438,0.10124174540501654,1,0.1,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.1}",0.6209912536443148,0.5991253644314869,0.6268221574344023,0.6224489795918368,0.6034985422740525,0.5932944606413995,0.6229749631811488,0.6229749631811488,0.6480117820324006,0.6170839469808542,0.6176814988290398,0.014942975480595335,2,0.6649853563293199,0.6479010738691832,0.6535958346892288,0.6653107712333225,0.6726326065733811,0.6656361861373251,0.6577279375914188,0.6564277588168373,0.6530147895335608,0.6642288314643263,0.6601461146237904,0.007184640696113306
17,49.385790061950686,0.4453702628818123,0.2123767614364624,0.06785506454500531,1,0.01,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.01}",0.532069970845481,0.5131195335276968,0.5,0.5,0.4897959183673469,0.5,0.5213549337260678,0.5036818851251841,0.572901325478645,0.5036818851251841,0.5136124121779859,0.022845579822553287,3,0.564757565896518,0.5437683045883501,0.544744549300358,0.5600390497884803,0.5515782622844126,0.5615034168564921,0.5483503981797497,0.5407118478790833,0.5551763367463026,0.5468876970583455,0.5517517428578091,0.007839817536893248
16,49.281093549728396,1.3038659568314281,0.18145253658294677,0.04798654275783907,1,0.001,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.001}",0.4314868804664723,0.4096209912536443,0.4387755102040816,0.4271137026239067,0.4037900874635568,0.4139941690962099,0.43593519882179677,0.44624447717231225,0.47569955817378495,0.4108983799705449,0.4293032786885246,0.020451366006288642,4,0.44516758867556133,0.42255125284738043,0.4376830458835015,0.46322811584770585,0.4534656687276277,0.4409371949235275,0.4542499593694133,0.457012839265399,0.4539249146757679,0.4605883308954981,0.44888089111113827,0.01174673295493842
15,37.091819524765015,0.4351457619730127,0.10374302864074707,0.03345081622924665,0.1,1,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 1}",0.37317784256559766,0.37317784256559766,0.38338192419825073,0.38629737609329445,0.39504373177842567,0.31486880466472306,0.35346097201767307,0.3593519882179676,0.4167893961708395,0.3593519882179676,0.3714871194379391,0.026075554402356847,5,0.3961926456231695,0.38724373576309795,0.3856166612430849,0.38838268792710706,0.3932639114871461,0.3794337780670355,0.3829026491142532,0.3803022915650902,0.38387778319518934,0.39476678043230945,0.38719829244174836,0.0056231609780319275
14,36.4614533662796,0.4119921766498051,0.12829082012176513,0.042082546589868305,0.1,0.1,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 0.1}",0.358600583090379,0.3717201166180758,0.36443148688046645,0.37900874635568516,0.3629737609329446,0.31486880466472306,0.3269513991163476,0.3696612665684831,0.3961708394698085,0.32547864506627394,0.35699648711943793,0.02479759999257068,6,0.37064757565896517,0.3691832085909535,0.3690205011389522,0.3784575333550277,0.3698340383989587,0.3828506345590628,0.37542662116040953,0.3773768893222818,0.36291240045506257,0.3681131155533886,0.37238225181930623,0.005653777665808566
3,33.77943048477173,0.3202332574150197,0.11807677745819092,0.0367434282451916,0,1,"{'fiblr__bin_num_percent': 0, 'fiblr__eta': 1}",0.336734693877551,0.3498542274052478,0.3396501457725947,0.3454810495626822,0.3250728862973761,0.31486880466472306,0.3225331369661267,0.3431516936671576,0.36818851251840945,0.3136966126656848,0.3359192037470726,0.01618726710216539,7,0.3420110641067361,0.34770582492678165,0.34022128213472175,0.34965831435079725,0.3434754311747478,0.34786853237878296,0.34340971883633997,0.3437347635299854,0.33869657077848203,0.3487729562814887,0.34455544584988634,0.0035702381444336494
7,35.04001622200012,0.3655066389210346,0.14299335479736328,0.06510180303297285,0.001,1,"{'fiblr__bin_num_percent': 0.001, 'fiblr__eta': 1}",0.336734693877551,0.3498542274052478,0.3396501457725947,0.3454810495626822,0.3250728862973761,0.31486880466472306,0.3225331369661267,0.3431516936671576,0.36818851251840945,0.3136966126656848,0.3359192037470726,0.01618726710216539,7,0.3420110641067361,0.34770582492678165,0.34022128213472175,0.34965831435079725,0.3434754311747478,0.34770582492678165,0.34340971883633997,0.3437347635299854,0.33869657077848203,0.3487729562814887,0.3445391751046862,0.0035554423450307854
11,32.893343925476074,0.8565455710758625,0.11470544338226318,0.04563129460597667,0.01,1,"{'fiblr__bin_num_percent': 0.01, 'fiblr__eta': 1}",0.336734693877551,0.3498542274052478,0.3396501457725947,0.3454810495626822,0.3250728862973761,0.31486880466472306,0.3225331369661267,0.3431516936671576,0.36818851251840945,0.3136966126656848,0.3359192037470726,0.01618726710216539,7,0.3420110641067361,0.34770582492678165,0.34022128213472175,0.34965831435079725,0.3434754311747478,0.34786853237878296,0.34340971883633997,0.3437347635299854,0.33869657077848203,0.3487729562814887,0.34455544584988634,0.0035702381444336494
10,33.65828421115875,0.7585194633394461,0.1332047700881958,0.051008941233087045,0.01,0.1,"{'fiblr__bin_num_percent': 0.01, 'fiblr__eta': 0.1}",0.3250728862973761,0.34402332361516036,0.3236151603498542,0.3338192419825073,0.3323615160349854,0.2988338192419825,0.30486008836524303,0.3402061855670103,0.3431516936671576,0.2930780559646539,0.3239168618266979,0.017738910867378176,10,0.3330621542466645,0.3377806703547023,0.3296452977546372,0.3358281809306866,0.32834363813862677,0.33420110641067363,0.3351210791483829,0.32829514058183,0.32878270762229805,0.3333333333333333,0.3324393308521835,0.003265325637539247
