Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.18451872578599476
CL0,Age,-0.07854,0.1041894961554976
CL0,Age,0.49788000000000004,0.11436423132329807
CL0,Age,1.09449,0.10830717074945222
CL0,Age,1.82213,0.18352075303196427
CL0,Age,2.59171,0.9909885174581552
CL0,Gender,-0.48246000000000006,0.12041901910724997
CL0,Gender,0.48246000000000006,0.19127469877161926
CL0,Education,-2.43591,0.019096612235660775
CL0,Education,-1.7379,0.08447713942016113
CL0,Education,-1.43719,0.15024682544537402
CL0,Education,-1.22751,0.15141395696366688
CL0,Education,-0.6111300000000001,0.13374248314861595
CL0,Education,-0.059210000000000006,0.1388646795345904
CL0,Education,0.45468000000000003,0.13760795551473406
CL0,Education,1.16365,0.18028085200615887
CL0,Education,1.98437,0.07413246574976994
CL0,Country,-0.57009,0.10197379887457038
CL0,Country,-0.46841000000000005,0.10511014459414257
CL0,Country,-0.28519,0.18073540437452754
CL0,Country,-0.09765,0.051371314060964464
CL0,Country,0.21128000000000002,0.10367500046759696
CL0,Country,0.24923,0.10339265481616422
CL0,Country,0.9608200000000001,0.2352519559114766
CL0,Ethnicity,-1.1070200000000001,0.4940726491918109
CL0,Ethnicity,-0.50212,0.15268630311751627
CL0,Ethnicity,-0.31685,0.142469121769078
CL0,Ethnicity,-0.22166,0.1368611046561608
CL0,Ethnicity,0.1144,0.0892409037077827
CL0,Ethnicity,0.126,0.08759629099938118
CL0,Ethnicity,1.90725,1.0
CL0,Nscore,-3.4643599999999997,0.9947911975221814
CL0,Nscore,-3.15735,0.986824927570675
CL0,Nscore,-2.75696,0.20057815640605384
CL0,Nscore,-2.52197,0.03222379736110562
CL0,Nscore,-2.4231700000000003,0.9225659324965518
CL0,Nscore,-2.3436,0.03179014104274034
CL0,Nscore,-2.21844,0.11679877390925328
CL0,Nscore,-2.05048,0.10562923485256229
CL0,Nscore,-1.86962,0.1286534945283529
CL0,Nscore,-1.69163,0.15100163925110172
CL0,Nscore,-1.5507799999999998,0.2384688661269762
CL0,Nscore,-1.43907,0.1520846349102351
CL0,Nscore,-1.32828,0.10586561623522396
CL0,Nscore,-1.1943,0.11480372935475579
CL0,Nscore,-1.05308,0.17225136887564318
CL0,Nscore,-0.92104,0.1543155474405426
CL0,Nscore,-0.79151,0.07308090053633155
CL0,Nscore,-0.67825,0.1520099831316673
CL0,Nscore,-0.58016,0.15074919144484586
CL0,Nscore,-0.46725,0.12857075374276838
CL0,Nscore,-0.34799,0.11912634342165127
CL0,Nscore,-0.24649000000000001,0.20662234988527597
CL0,Nscore,-0.14882,0.16206281914567852
CL0,Nscore,-0.051879999999999996,0.16106391068568382
CL0,Nscore,0.04257,0.16424155965154086
CL0,Nscore,0.13606,0.09988835093295963
CL0,Nscore,0.22393000000000002,0.09980753705468329
CL0,Nscore,0.31287,0.1275967295095584
CL0,Nscore,0.41667,0.13081379851885147
CL0,Nscore,0.52135,0.13022139720188922
CL0,Nscore,0.62967,0.08314060304731068
CL0,Nscore,0.73545,0.10150367901129805
CL0,Nscore,0.82562,0.15295181847037886
CL0,Nscore,0.9109299999999999,0.15233410190039245
CL0,Nscore,1.02119,0.15199783702995284
CL0,Nscore,1.13281,0.15104638643482843
CL0,Nscore,1.23461,0.10380203705693272
CL0,Nscore,1.37297,0.22945891416706807
CL0,Nscore,1.49158,0.07922824204912791
CL0,Nscore,1.6038299999999999,0.07580411985572742
CL0,Nscore,1.72012,0.17437895647873186
CL0,Nscore,1.8399,0.32349934070522135
CL0,Nscore,1.98437,0.138106663890369
CL0,Nscore,2.127,0.06574944268155777
CL0,Nscore,2.28554,0.2931392877348652
CL0,Nscore,2.4626200000000003,0.10028849565281567
CL0,Nscore,2.61139,0.49052106715242944
CL0,Nscore,2.82196,0.3573661750652157
CL0,Nscore,3.27393,0.0010899327116669732
CL0,Escore,-3.27393,0.0009859039441588507
CL0,Escore,-3.00537,0.009215018267541767
CL0,Escore,-2.72827,0.015202738674759316
CL0,Escore,-2.5383,0.39157211472607417
CL0,Escore,-2.44904,0.35671127382495355
CL0,Escore,-2.32338,0.15164774961579994
CL0,Escore,-2.21069,0.15526794799406934
CL0,Escore,-2.11437,2.4672682186086924e-05
CL0,Escore,-2.03972,3.24848203456123e-05
CL0,Escore,-1.92173,0.09754498653134636
CL0,Escore,-1.7625,0.1348517473313725
CL0,Escore,-1.6334,0.10361720021055777
CL0,Escore,-1.50796,0.10590785014514935
CL0,Escore,-1.37639,0.08452588314269076
CL0,Escore,-1.23177,0.07198628520443212
CL0,Escore,-1.09207,0.07545259526073493
CL0,Escore,-0.9477899999999999,0.09482254465723393
CL0,Escore,-0.80615,0.10606868120561536
CL0,Escore,-0.69509,0.11050547319005308
CL0,Escore,-0.57545,0.17292558808987202
CL0,Escore,-0.43998999999999994,0.15298153445347804
CL0,Escore,-0.30033000000000004,0.14797164475962354
CL0,Escore,-0.15487,0.12175062265956799
CL0,Escore,0.0033200000000000005,0.14992691648924616
CL0,Escore,0.16767,0.15149292638761377
CL0,Escore,0.32197,0.15446510421318377
CL0,Escore,0.47617,0.1646132352555114
CL0,Escore,0.63779,0.12499140339969533
CL0,Escore,0.80523,0.1523382033008926
CL0,Escore,0.9624799999999999,0.14801327392014813
CL0,Escore,1.11406,0.12859284537399318
CL0,Escore,1.2861,0.09690681970158663
CL0,Escore,1.45421,0.24264408797248455
CL0,Escore,1.58487,0.285880398403722
CL0,Escore,1.74091,0.21992676422907226
CL0,Escore,1.9388599999999998,0.19263693144122782
CL0,Escore,2.127,0.20542556061799436
CL0,Escore,2.32338,0.21134602633843919
CL0,Escore,2.57309,0.10331456659267566
CL0,Escore,2.8595,0.3858294979316741
CL0,Escore,3.00537,0.0002110882275548022
CL0,Escore,3.27393,0.3723413450671793
CL0,Oscore,-3.27393,0.9953617415732323
CL0,Oscore,-2.8595,0.21042275648482697
CL0,Oscore,-2.63199,0.9750142782785769
CL0,Oscore,-2.39883,0.15352803570242088
CL0,Oscore,-2.21069,0.14098609747868351
CL0,Oscore,-2.09015,0.1431423085691192
CL0,Oscore,-1.97495,0.3345419329392571
CL0,Oscore,-1.82919,0.24658847696542363
CL0,Oscore,-1.68062,0.13451835172784696
CL0,Oscore,-1.55521,0.13583002246167394
CL0,Oscore,-1.42424,0.3077468648176287
CL0,Oscore,-1.2755299999999998,0.1935744640331833
CL0,Oscore,-1.1190200000000001,0.2061474195952615
CL0,Oscore,-0.97631,0.14188392070924338
CL0,Oscore,-0.8473200000000001,0.14238971828341934
CL0,Oscore,-0.71727,0.26695355882441923
CL0,Oscore,-0.58331,0.19797757691235088
CL0,Oscore,-0.45174,0.19628825660902552
CL0,Oscore,-0.31776,0.13056975611751861
CL0,Oscore,-0.17779,0.14543198309691255
CL0,Oscore,-0.019280000000000002,0.16100090308410409
CL0,Oscore,0.14143,0.12956759579883673
CL0,Oscore,0.29338000000000003,0.10259699104863075
CL0,Oscore,0.44585,0.11261220602204465
CL0,Oscore,0.58331,0.11120795870198923
CL0,Oscore,0.7233,0.09314453424123471
CL0,Oscore,0.8830899999999999,0.11140632882228155
CL0,Oscore,1.0623799999999999,0.11374284244191803
CL0,Oscore,1.24033,0.1379827161465162
CL0,Oscore,1.43533,0.13200310898317782
CL0,Oscore,1.6565299999999998,0.06166740895047669
CL0,Oscore,1.8851099999999998,0.11574045162403798
CL0,Oscore,2.1532400000000003,0.10042019530789953
CL0,Oscore,2.44904,0.14693355382873038
CL0,Oscore,2.90161,0.19204851548130458
CL0,Ascore,-3.4643599999999997,0.0026113921207563695
CL0,Ascore,-3.15735,0.005006079066000707
CL0,Ascore,-3.00537,0.00729260886204471
CL0,Ascore,-2.90161,0.011091594254070638
CL0,Ascore,-2.78793,0.008522491037433699
CL0,Ascore,-2.70172,0.00959136720208224
CL0,Ascore,-2.5383,0.08798045565091743
CL0,Ascore,-2.35413,0.1879564719035506
CL0,Ascore,-2.21844,0.5165884424109793
CL0,Ascore,-2.07848,0.17476529587254888
CL0,Ascore,-1.92595,0.07330061048854052
CL0,Ascore,-1.772,0.10582816265987934
CL0,Ascore,-1.6209,0.10876920023194343
CL0,Ascore,-1.47955,0.04719097496238512
CL0,Ascore,-1.34289,0.14956147444435908
CL0,Ascore,-1.21213,0.20089712900411472
CL0,Ascore,-1.07533,0.11977407420341525
CL0,Ascore,-0.91699,0.14034008378092175
CL0,Ascore,-0.7609600000000001,0.13958639863520522
CL0,Ascore,-0.60633,0.16419718126856886
CL0,Ascore,-0.45321000000000006,0.15351774237197907
CL0,Ascore,-0.30172,0.16736317825621638
CL0,Ascore,-0.15487,0.1208541326510954
CL0,Ascore,-0.01729,0.10349156467327066
CL0,Ascore,0.13136,0.10085573494973904
CL0,Ascore,0.28783000000000003,0.1318187867055843
CL0,Ascore,0.43851999999999997,0.16938798183974932
CL0,Ascore,0.59042,0.17092958213742956
CL0,Ascore,0.7609600000000001,0.1113806590302008
CL0,Ascore,0.9415600000000001,0.1330655189247385
CL0,Ascore,1.11406,0.12276767071023013
CL0,Ascore,1.2861,0.23085832218962288
CL0,Ascore,1.45039,0.27942548482113266
CL0,Ascore,1.6110799999999998,0.04458434228814973
CL0,Ascore,1.81866,0.060157620359739004
CL0,Ascore,2.03972,0.062231070641796386
CL0,Ascore,2.23427,0.23987422633861216
CL0,Ascore,2.4626200000000003,0.4068465876563431
CL0,Ascore,2.75696,0.5198078539522016
CL0,Ascore,3.15735,0.0005486457391170001
CL0,Ascore,3.4643599999999997,0.0008459458366050294
CL0,Cscore,-3.4643599999999997,0.9809584761921684
CL0,Cscore,-3.15735,7.039604315096222e-06
CL0,Cscore,-2.90161,0.23706090015575249
CL0,Cscore,-2.72827,0.40156855037567435
CL0,Cscore,-2.57309,0.09326172396376926
CL0,Cscore,-2.4231700000000003,0.2481682097078614
CL0,Cscore,-2.30408,0.245413187545381
CL0,Cscore,-2.18109,0.1554838752416096
CL0,Cscore,-2.04506,0.005536193497466794
CL0,Cscore,-1.92173,0.07876833904694716
CL0,Cscore,-1.7816900000000002,0.08255747536541541
CL0,Cscore,-1.6410099999999999,0.12236660235439985
CL0,Cscore,-1.5184,0.1797110212357062
CL0,Cscore,-1.3850200000000001,0.06964697966440653
CL0,Cscore,-1.25773,0.14331243069575017
CL0,Cscore,-1.13788,0.14364088986799028
CL0,Cscore,-1.0145,0.1340000237268211
CL0,Cscore,-0.89891,0.14887023170931493
CL0,Cscore,-0.78155,0.14899150673122316
CL0,Cscore,-0.65253,0.05213402043575848
CL0,Cscore,-0.52745,0.14272019374733344
CL0,Cscore,-0.40581,0.10568896036088078
CL0,Cscore,-0.27607,0.1052978235485941
CL0,Cscore,-0.14277,0.15599492488764044
CL0,Cscore,-0.00665,0.14547066527904315
CL0,Cscore,0.12330999999999999,0.18481748025751485
CL0,Cscore,0.25953000000000004,0.16706875215717829
CL0,Cscore,0.41594,0.1714079775090416
CL0,Cscore,0.5848899999999999,0.19149975480118372
CL0,Cscore,0.7583,0.1640757646949996
CL0,Cscore,0.9394899999999999,0.16685226292339003
CL0,Cscore,1.1340700000000001,0.16393273302507608
CL0,Cscore,1.3061200000000002,0.07339923129984673
CL0,Cscore,1.46191,0.10232943795975834
CL0,Cscore,1.6308799999999999,0.6241550510851186
CL0,Cscore,1.81175,0.1367359413452026
CL0,Cscore,2.04506,0.20153922985635742
CL0,Cscore,2.33337,0.21705573108704795
