,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_fiblr__bin_num_percent,param_fiblr__eta,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
19,61.00066387653351,0.22938772346261946,0.1786860704421997,0.05744329052796925,1,1,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 1}",0.8113413304252999,0.777535441657579,0.7906215921483097,0.7895310796074155,0.797164667393675,0.7967032967032966,0.8098901098901099,0.798901098901099,0.7824175824175824,0.7868131868131868,0.7940886699507389,0.010408178351693942,1,0.8192990995376004,0.8180822584570455,0.8245315161839863,0.817717206132879,0.8185689948892675,0.8183586626139817,0.8138601823708207,0.8111854103343465,0.8149544072948328,0.8165349544072948,0.8173092692222056,0.003392861946861795
18,61.42223105430603,0.8362376868867362,0.23265087604522705,0.08233509048666379,1,0.1,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.1}",0.787350054525627,0.7480916030534351,0.7600872410032715,0.7589967284623773,0.7568157033805889,0.7604395604395604,0.778021978021978,0.7835164835164835,0.7538461538461538,0.7714285714285715,0.7658456486042693,0.01266967924689531,2,0.7998296422487223,0.793015332197615,0.7903382818203942,0.7937454368459479,0.7899732294962278,0.7857750759878419,0.7913677811550152,0.790516717325228,0.7922188449848024,0.7996352583586626,0.7926415600420457,0.00409668683883519
17,63.28662936687469,0.5770732716208773,0.212666654586792,0.06973539333203006,1,0.01,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.01}",0.7153762268266085,0.6968375136314068,0.7001090512540894,0.6946564885496184,0.6793893129770993,0.6945054945054945,0.6813186813186813,0.7131868131868132,0.6978021978021978,0.689010989010989,0.6962233169129721,0.011117125138657332,3,0.7197614991482112,0.7125821367729375,0.722438549525432,0.7200048673643222,0.7213433925529326,0.705531914893617,0.7111246200607902,0.7116109422492402,0.7137993920972644,0.7266869300911855,0.7164884244755932,0.006173798830302151
16,65.46769816875458,0.9252962540966156,0.23244993686676024,0.0652301484255455,1,0.001,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.001}",0.6183206106870229,0.6324972737186477,0.6477644492911668,0.6259541984732825,0.5856052344601963,0.6230769230769231,0.6241758241758242,0.6186813186813187,0.6505494505494506,0.6197802197802198,0.6246305418719211,0.017030580108088708,4,0.6340958870771477,0.6321489413482599,0.65587734241908,0.6281333657824288,0.6176685324896568,0.6395136778115501,0.646565349544073,0.6303951367781155,0.654224924012158,0.6508206686930091,0.6389443825955479,0.011966557136279338
15,52.46421301364899,0.7156740777944998,0.1371392011642456,0.03092140411376966,0.1,1,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 1}",0.549618320610687,0.5332606324972737,0.549618320610687,0.5387131952017448,0.5419847328244275,0.5417582417582417,0.5582417582417583,0.5637362637362637,0.5340659340659341,0.5296703296703297,0.5440613026819924,0.010531810224899008,5,0.5671696276466294,0.555609637381358,0.5633974202969092,0.5526892187880262,0.5435629106838646,0.5596352583586626,0.5536778115501519,0.5575683890577507,0.5535562310030395,0.541033434650456,0.5547899939416847,0.0076267535695535675
14,47.73627610206604,0.6989503966170859,0.18334755897521973,0.08027967133822801,0.1,0.1,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 0.1}",0.5267175572519084,0.49727371864776443,0.48964013086150493,0.4940021810250818,0.5027262813522355,0.4901098901098901,0.4879120879120879,0.5307692307692308,0.5263736263736264,0.45054945054945056,0.49961685823754787,0.022779098068935747,6,0.5253102944755415,0.5100997809686055,0.5058408371866634,0.5051107325383305,0.5253102944755415,0.521580547112462,0.48462006079027353,0.49811550151975686,0.5060182370820668,0.48437689969604864,0.506638318584529,0.014102851262375577
3,49.48502218723297,0.49908681647282405,0.17325050830841066,0.03537384634032432,0,1,"{'fiblr__bin_num_percent': 0, 'fiblr__eta': 1}",0.44929116684841874,0.4580152671755725,0.47001090512540894,0.43838604143947657,0.4612868047982552,0.46153846153846156,0.4747252747252747,0.4945054945054945,0.4824175824175824,0.4318681318681319,0.4621784345922277,0.018265417911620594,7,0.46142613774641034,0.47736675590167926,0.4744463373083475,0.46033098077391094,0.4637381357994646,0.47124620060790273,0.46577507598784196,0.4742857142857143,0.48425531914893616,0.47088145896656536,0.47037521165267726,0.007215293479032049
7,48.80899114608765,0.8218398554865417,0.1600656509399414,0.030118345877357892,0.001,1,"{'fiblr__bin_num_percent': 0.001, 'fiblr__eta': 1}",0.44929116684841874,0.4580152671755725,0.47001090512540894,0.43838604143947657,0.4612868047982552,0.46153846153846156,0.4747252747252747,0.4945054945054945,0.48131868131868133,0.4318681318681319,0.46206896551724136,0.01814669893155955,8,0.46142613774641034,0.47736675590167926,0.4744463373083475,0.46033098077391094,0.4637381357994646,0.47124620060790273,0.46577507598784196,0.47477203647416416,0.48437689969604864,0.47088145896656536,0.4704360019262336,0.0072663441078445615
11,44.26295325756073,1.2103347896003822,0.17289335727691652,0.05005923606190342,0.01,1,"{'fiblr__bin_num_percent': 0.01, 'fiblr__eta': 1}",0.44929116684841874,0.4580152671755725,0.47001090512540894,0.43838604143947657,0.4612868047982552,0.46153846153846156,0.4747252747252747,0.4945054945054945,0.48131868131868133,0.4318681318681319,0.46206896551724136,0.01814669893155955,8,0.46142613774641034,0.47736675590167926,0.4744463373083475,0.46033098077391094,0.4637381357994646,0.47124620060790273,0.46577507598784196,0.47477203647416416,0.48437689969604864,0.47088145896656536,0.4704360019262336,0.0072663441078445615
10,46.84363193511963,0.6889112124675834,0.1911384344100952,0.07035071264108227,0.01,0.1,"{'fiblr__bin_num_percent': 0.01, 'fiblr__eta': 0.1}",0.4362050163576881,0.430752453653217,0.4547437295528899,0.42311886586695746,0.42639040348964014,0.3868131868131868,0.4604395604395604,0.47692307692307695,0.46703296703296704,0.42527472527472526,0.438752052545156,0.025122065910382636,10,0.4613044536383548,0.4507179362375274,0.46033098077391094,0.4499878315891945,0.44475541494280846,0.40778115501519757,0.44559270516717325,0.4509422492401216,0.45872340425531916,0.44559270516717325,0.44757288360267805,0.01449792099390311
13,46.13073465824127,0.2960497182635638,0.17411320209503173,0.0515275819307123,0.1,0.01,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 0.01}",0.4372955288985823,0.46455834242093785,0.4394765539803708,0.4034896401308615,0.42529989094874593,0.44835164835164837,0.4164835164835165,0.46813186813186813,0.4307692307692308,0.3901098901098901,0.43240284619594965,0.0235882036320658,11,0.4279630080311511,0.4524215137503042,0.44000973472864446,0.4255293258700414,0.46033098077391094,0.4521580547112462,0.4429179331306991,0.42528875379939207,0.41933130699088145,0.41592705167173255,0.4361877663458003,0.014683515634026293
2,49.18187007904053,0.46322778650557833,0.181046199798584,0.04137036795173578,0,0.1,"{'fiblr__bin_num_percent': 0, 'fiblr__eta': 0.1}",0.4351145038167939,0.37840785169029445,0.460196292257361,0.4296619411123228,0.42639040348964014,0.389010989010989,0.4065934065934066,0.47912087912087914,0.46483516483516485,0.42527472527472526,0.4294471811713191,0.030786008544507342,12,0.4606960330980774,0.40143587247505474,0.46093940131418837,0.45741056218057924,0.44475541494280846,0.4085106382978723,0.39975683890577507,0.45179331306990883,0.4570212765957447,0.44559270516717325,0.4387912056047182,0.02395053738319636
6,45.456236243247986,0.6362672889556936,0.17878952026367187,0.024818723981370094,0.001,0.1,"{'fiblr__bin_num_percent': 0.001, 'fiblr__eta': 0.1}",0.44492911668484186,0.4296619411123228,0.4525627044711014,0.376226826608506,0.42639040348964014,0.38461538461538464,0.4021978021978022,0.47802197802197804,0.4604395604395604,0.42747252747252745,0.42824302134646963,0.03109379821989742,13,0.4608177172061329,0.45096130445363836,0.4585057191530786,0.408980287174495,0.44475541494280846,0.4066869300911854,0.3981762917933131,0.4505775075987842,0.4524012158054711,0.4448632218844985,0.4376725610103406,0.02230462723603207
5,46.41785705089569,0.5652974234617805,0.14882895946502686,0.03825698407593309,0.001,0.01,"{'fiblr__bin_num_percent': 0.001, 'fiblr__eta': 0.01}",0.35768811341330425,0.3555070883315158,0.376226826608506,0.3478735005452563,0.34023991275899673,0.33186813186813185,0.36813186813186816,0.378021978021978,0.38571428571428573,0.35934065934065934,0.3600437876299945,0.016329164352790748,14,0.3604283280603553,0.3706497931370163,0.378559260160623,0.368581163300073,0.3645655877342419,0.35756838905775074,0.3654711246200608,0.3517325227963526,0.3657142857142857,0.3637689969604863,0.3647039451541246,0.0069448770062388605
1,46.209681034088135,0.6193510844941991,0.18532469272613525,0.06352832854532732,0,0.01,"{'fiblr__bin_num_percent': 0, 'fiblr__eta': 0.01}",0.3500545256270447,0.37404580152671757,0.3456924754634678,0.3478735005452563,0.34242093784078514,0.31978021978021975,0.36923076923076925,0.4175824175824176,0.37142857142857144,0.34945054945054943,0.35873015873015873,0.024869338543159165,15,0.35580433195424677,0.38561693842784134,0.34996349476758337,0.368581163300073,0.3644439036261864,0.34735562310030393,0.37750759878419454,0.3790881458966565,0.3564741641337386,0.36206686930091186,0.36469022332917367,0.012228746295909533
9,48.67191364765167,0.3299642982014951,0.15364081859588624,0.03667035742861314,0.01,0.01,"{'fiblr__bin_num_percent': 0.01, 'fiblr__eta': 0.01}",0.36314067611777534,0.3653217011995638,0.3675027262813522,0.3478735005452563,0.3456924754634678,0.3373626373626374,0.34285714285714286,0.35384615384615387,0.35494505494505496,0.34945054945054943,0.35281882868089764,0.00953693948100559,16,0.3650523241664639,0.3758822097834023,0.3763689462156242,0.36213190557313213,0.369067899732295,0.3586626139817629,0.36534954407294834,0.336048632218845,0.35440729483282674,0.36206686930091186,0.3625038239878212,0.010997354182425747
12,46.60344262123108,0.31940654472908014,0.190964412689209,0.057882130050275045,0.1,0.001,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 0.001}",0.28680479825517996,0.28680479825517996,0.27262813522355506,0.2889858233369684,0.29880043620501634,0.2967032967032967,0.3241758241758242,0.25934065934065936,0.2835164835164835,0.3263736263736264,0.292391899288451,0.019620178334203632,17,0.29313701630567046,0.2715989291798491,0.27731808225845705,0.2909467023606717,0.32112436115843274,0.3225531914893617,0.34541033434650453,0.25167173252279634,0.2921580547112462,0.3548936170212766,0.30208120213542666,0.03135960652706405
4,49.88533902168274,0.5116440020450704,0.1472632884979248,0.03263668941240052,0.001,0.001,"{'fiblr__bin_num_percent': 0.001, 'fiblr__eta': 0.001}",0.22355507088331517,0.2584514721919302,0.30970556161395857,0.24645583424209377,0.21264994547437296,0.23516483516483516,0.2703296703296703,0.24615384615384617,0.3032967032967033,0.22637362637362637,0.25320197044334974,0.03113517418314067,18,0.21136529569238258,0.25602336334874665,0.30068143100511074,0.2563884156729131,0.22195181309321002,0.263951367781155,0.27477203647416415,0.22006079027355624,0.2968996960486322,0.22613981762917934,0.252823402701905,0.030526817509200038
8,49.969386267662045,0.4719807010837968,0.17083733081817626,0.0419928479083758,0.01,0.001,"{'fiblr__bin_num_percent': 0.01, 'fiblr__eta': 0.001}",0.3260632497273719,0.173391494002181,0.23227917121046893,0.19193020719738277,0.1941112322791712,0.15934065934065933,0.2714285714285714,0.3395604395604396,0.27472527472527475,0.1901098901098901,0.23524904214559386,0.06097251003855525,19,0.31175468483816016,0.17339985397907035,0.25066926259430516,0.17254806522268193,0.21988318325626674,0.16182370820668693,0.2723404255319149,0.3321580547112462,0.25337386018237085,0.24121580547112462,0.23891669039938276,0.05520121622225052
0,45.683901238441464,0.23968899541142424,0.13549060821533204,0.023605490755223363,0,0.001,"{'fiblr__bin_num_percent': 0, 'fiblr__eta': 0.001}",0.21264994547437296,0.2300981461286805,0.23555070883315157,0.20719738276990185,0.18102508178844057,0.1879120879120879,0.25934065934065936,0.2868131868131868,0.34065934065934067,0.1956043956043956,0.23360700602079912,0.04727297798780195,20,0.19201752251155998,0.21927476271598928,0.2209783402287661,0.21976149914821125,0.19335604770017037,0.21677811550151976,0.24328267477203647,0.29738601823708205,0.32571428571428573,0.22650455927051671,0.2355053825800138,0.04104773946350227
