Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.18269293390307145
CL0,Age,-0.07854,0.10603683935023171
CL0,Age,0.49788000000000004,0.13300510487272021
CL0,Age,1.09449,0.21216087135442013
CL0,Age,1.82213,0.2696190266486736
CL0,Age,2.59171,0.6011889872825917
CL0,Gender,-0.48246000000000006,0.12454019084268138
CL0,Gender,0.48246000000000006,0.26057069252762605
CL0,Education,-2.43591,0.08659165316012239
CL0,Education,-1.7379,0.11502574915431436
CL0,Education,-1.43719,0.16384533448980831
CL0,Education,-1.22751,0.15982002955853475
CL0,Education,-0.6111300000000001,0.1764078681090728
CL0,Education,-0.059210000000000006,0.12703465306166983
CL0,Education,0.45468000000000003,0.12621945267036266
CL0,Education,1.16365,0.1521439980582011
CL0,Education,1.98437,0.11426522796710017
CL0,Country,-0.57009,0.3456248237314799
CL0,Country,-0.46841000000000005,0.3291894295324634
CL0,Country,-0.28519,0.14366301409467228
CL0,Country,-0.09765,0.06664860798070621
CL0,Country,0.21128000000000002,0.21472246743731177
CL0,Country,0.24923,0.21439134455751543
CL0,Country,0.9608200000000001,0.11662591625994519
CL0,Ethnicity,-1.1070200000000001,0.999999998834874
CL0,Ethnicity,-0.50212,0.17704018255722723
CL0,Ethnicity,-0.31685,0.1472706320375018
CL0,Ethnicity,-0.22166,0.14557334820130602
CL0,Ethnicity,0.1144,0.09870939406670073
CL0,Ethnicity,0.126,0.0972207377635729
CL0,Ethnicity,1.90725,1.0
CL0,Nscore,-3.4643599999999997,0.9870052722472996
CL0,Nscore,-3.15735,0.9695428920912426
CL0,Nscore,-2.75696,0.017321799127241137
CL0,Nscore,-2.52197,0.008532524568825231
CL0,Nscore,-2.4231700000000003,0.8684277855793252
CL0,Nscore,-2.3436,0.7325985762539217
CL0,Nscore,-2.21844,0.03672349131276092
CL0,Nscore,-2.05048,0.15287639241552867
CL0,Nscore,-1.86962,0.34327164648682473
CL0,Nscore,-1.69163,0.11469345052943106
CL0,Nscore,-1.5507799999999998,0.41419629623834603
CL0,Nscore,-1.43907,0.11554458558220924
CL0,Nscore,-1.32828,0.1750241095479153
CL0,Nscore,-1.1943,0.3644635369885856
CL0,Nscore,-1.05308,0.12719125010467608
