,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_fiblr__bin_num_percent,param_fiblr__eta,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
19,54.01238353252411,1.6048947751208231,0.14716641902923583,0.049206509483157884,1,1,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 1}",0.5828571428571429,0.5814285714285714,0.5814285714285714,0.5871428571428572,0.5728571428571428,0.5857142857142857,0.6514285714285715,0.6042857142857143,0.6171428571428571,0.5871428571428572,0.5951428571428572,0.022307681481077875,1,0.6511111111111111,0.6365079365079365,0.6301587301587301,0.6238095238095238,0.6350793650793651,0.6477777777777778,0.6368253968253968,0.6355555555555555,0.6139682539682539,0.6436507936507937,0.6354444444444445,0.010452847972596815
18,53.576705598831175,1.207320158448397,0.21700575351715087,0.10171057047638302,1,0.1,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.1}",0.5557142857142857,0.5571428571428572,0.5657142857142857,0.5585714285714286,0.5328571428571428,0.5285714285714286,0.6328571428571429,0.5614285714285714,0.5857142857142857,0.5285714285714286,0.5607142857142857,0.029563145837964124,2,0.6195238095238095,0.6126984126984127,0.6165079365079366,0.6120634920634921,0.6101587301587301,0.62,0.6187301587301587,0.6222222222222222,0.6095238095238096,0.6196825396825397,0.6161111111111112,0.004367387557118555
17,51.64980001449585,0.7031318192684832,0.18865911960601806,0.06593625085190409,1,0.01,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.01}",0.43714285714285717,0.4442857142857143,0.4642857142857143,0.4685714285714286,0.44857142857142857,0.45285714285714285,0.5428571428571428,0.5085714285714286,0.4928571428571429,0.4514285714285714,0.47114285714285714,0.03190419331405211,3,0.4953968253968254,0.5073015873015873,0.5096825396825397,0.5049206349206349,0.5207936507936508,0.5217460317460317,0.5195238095238095,0.5157142857142857,0.5019047619047619,0.51,0.5106984126984128,0.008275977980844965
16,50.60452318191528,0.7352795000333685,0.2125227451324463,0.0798731173534276,1,0.001,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.001}",0.3871428571428571,0.3871428571428571,0.43142857142857144,0.4114285714285714,0.3585714285714286,0.3514285714285714,0.4157142857142857,0.37142857142857144,0.42857142857142855,0.4085714285714286,0.39514285714285713,0.026910281776787885,4,0.43396825396825395,0.4114285714285714,0.43603174603174605,0.43396825396825395,0.41365079365079366,0.4022222222222222,0.3950793650793651,0.41444444444444445,0.4311111111111111,0.4438095238095238,0.42157142857142854,0.015474594952349463
15,37.13681592941284,0.5805786356370545,0.13699262142181395,0.05109881126223168,0.1,1,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 1}",0.31,0.32571428571428573,0.3871428571428571,0.3357142857142857,0.37285714285714283,0.31142857142857144,0.3442857142857143,0.3485714285714286,0.3628571428571429,0.31857142857142856,0.3417142857142857,0.025069698760024364,5,0.3519047619047619,0.35619047619047617,0.3584126984126984,0.3612698412698413,0.3549206349206349,0.3601587301587302,0.3574603174603175,0.34365079365079365,0.3512698412698413,0.35714285714285715,0.35523809523809524,0.004912948425568946
14,39.50951054096222,0.5178108939210047,0.12048416137695313,0.04411750809185355,0.1,0.1,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 0.1}",0.34,0.33285714285714285,0.35428571428571426,0.3557142857142857,0.35428571428571426,0.3,0.3142857142857143,0.3585714285714286,0.37,0.31857142857142856,0.33985714285714286,0.021613015730794997,6,0.3465079365079365,0.35253968253968254,0.3458730158730159,0.3541269841269841,0.3511111111111111,0.3519047619047619,0.34746031746031747,0.3484126984126984,0.35,0.346031746031746,0.34939682539682543,0.002804452422267652
3,34.93120391368866,0.3020855482236225,0.14203400611877443,0.03334257902004352,0,1,"{'fiblr__bin_num_percent': 0, 'fiblr__eta': 1}",0.31857142857142856,0.3242857142857143,0.36428571428571427,0.3414285714285714,0.35285714285714287,0.30714285714285716,0.30142857142857143,0.3557142857142857,0.37,0.3171428571428571,0.3352857142857143,0.023404604465875545,7,0.3403174603174603,0.33936507936507937,0.3406349206349206,0.3358730158730159,0.3465079365079365,0.34206349206349207,0.3384126984126984,0.33444444444444443,0.3395238095238095,0.33984126984126983,0.3396984126984127,0.0031189163508869014
7,34.13420603275299,0.8316938446851267,0.15232234001159667,0.05579110632510077,0.001,1,"{'fiblr__bin_num_percent': 0.001, 'fiblr__eta': 1}",0.31857142857142856,0.3242857142857143,0.36428571428571427,0.3414285714285714,0.35285714285714287,0.30714285714285716,0.30142857142857143,0.3557142857142857,0.37,0.3171428571428571,0.3352857142857143,0.023404604465875545,7,0.3403174603174603,0.33936507936507937,0.3406349206349206,0.3358730158730159,0.3465079365079365,0.34206349206349207,0.3384126984126984,0.33444444444444443,0.3395238095238095,0.33984126984126983,0.3396984126984127,0.0031189163508869014
11,34.95316722393036,0.37360347217399353,0.15516364574432373,0.03981754645852807,0.01,1,"{'fiblr__bin_num_percent': 0.01, 'fiblr__eta': 1}",0.31857142857142856,0.3242857142857143,0.36428571428571427,0.3414285714285714,0.35285714285714287,0.30714285714285716,0.30142857142857143,0.3557142857142857,0.37,0.3171428571428571,0.3352857142857143,0.023404604465875545,7,0.3403174603174603,0.33936507936507937,0.3406349206349206,0.3358730158730159,0.3465079365079365,0.3422222222222222,0.3384126984126984,0.33444444444444443,0.3395238095238095,0.33984126984126983,0.3397142857142857,0.003131291851956871
2,34.90524504184723,0.6929898429679975,0.14404141902923584,0.032233293442021894,0,0.1,"{'fiblr__bin_num_percent': 0, 'fiblr__eta': 0.1}",0.31857142857142856,0.33,0.3385714285714286,0.3442857142857143,0.32571428571428573,0.30142857142857143,0.3142857142857143,0.34714285714285714,0.35428571428571426,0.3171428571428571,0.3291428571428571,0.01591046376265812,10,0.3379365079365079,0.32904761904761903,0.3341269841269841,0.33920634920634923,0.33111111111111113,0.33825396825396825,0.3388888888888889,0.336031746031746,0.3326984126984127,0.32825396825396824,0.3345555555555556,0.003914589516911816
6,34.35367093086243,0.9883386758891974,0.14999163150787354,0.04125698860898803,0.001,0.1,"{'fiblr__bin_num_percent': 0.001, 'fiblr__eta': 0.1}",0.31142857142857144,0.33,0.3342857142857143,0.33714285714285713,0.32857142857142857,0.30142857142857143,0.32142857142857145,0.3457142857142857,0.35285714285714287,0.31857142857142856,0.3281428571428571,0.014736460406288966,11,0.3333333333333333,0.33285714285714285,0.3341269841269841,0.336031746031746,0.3353968253968254,0.3406349206349206,0.3373015873015873,0.33476190476190476,0.33365079365079364,0.32841269841269843,0.33465079365079364,0.0030075490808834497
