Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.22987975132742802
CL0,Age,-0.07854,0.14661673440870815
CL0,Age,0.49788000000000004,0.10268698300377081
CL0,Age,1.09449,0.051503169469324574
CL0,Age,1.82213,0.05917590591222577
CL0,Age,2.59171,0.07844686612516835
CL0,Gender,-0.48246000000000006,0.12932700473831335
CL0,Gender,0.48246000000000006,0.1618238272867392
CL0,Education,-2.43591,0.03369214532929954
CL0,Education,-1.7379,0.11357904155282732
CL0,Education,-1.43719,0.1842000514177003
CL0,Education,-1.22751,0.18075697181272044
CL0,Education,-0.6111300000000001,0.12270605852396156
CL0,Education,-0.059210000000000006,0.13854099754177893
CL0,Education,0.45468000000000003,0.17299746395359977
CL0,Education,1.16365,0.13598798102242762
CL0,Education,1.98437,0.05391823455511249
CL0,Country,-0.57009,0.06529756608127167
CL0,Country,-0.46841000000000005,0.07012685472165235
CL0,Country,-0.28519,0.15351336394628015
CL0,Country,-0.09765,0.07244954748463454
CL0,Country,0.21128000000000002,0.1755074464291374
CL0,Country,0.24923,0.17578750031084614
CL0,Country,0.9608200000000001,0.240726729168071
CL0,Ethnicity,-1.1070200000000001,0.005624579988979732
CL0,Ethnicity,-0.50212,0.14683376176458893
CL0,Ethnicity,-0.31685,0.1446913908513543
CL0,Ethnicity,-0.22166,0.11230158048198852
CL0,Ethnicity,0.1144,0.07755160097023343
CL0,Ethnicity,0.126,0.07638307612535833
CL0,Ethnicity,1.90725,2.896350626143002e-05
CL0,Nscore,-3.4643599999999997,0.9951051692151233
CL0,Nscore,-3.15735,0.9897338285468327
CL0,Nscore,-2.75696,0.3522238934227404
CL0,Nscore,-2.52197,0.243988596933286
CL0,Nscore,-2.4231700000000003,0.9485386802903903
CL0,Nscore,-2.3436,0.3339465347158811
CL0,Nscore,-2.21844,0.6864231494664874
CL0,Nscore,-2.05048,0.32831307433846557
CL0,Nscore,-1.86962,0.23596431271734508
CL0,Nscore,-1.69163,0.13966155769848512
CL0,Nscore,-1.5507799999999998,0.19931325366698782
CL0,Nscore,-1.43907,0.12520919790401572
CL0,Nscore,-1.32828,0.16114820761882465
CL0,Nscore,-1.1943,0.21516368525392232
CL0,Nscore,-1.05308,0.3482230149673664
CL0,Nscore,-0.92104,0.15769261415067132
CL0,Nscore,-0.79151,0.2011473114509325
CL0,Nscore,-0.67825,0.145598595608924
CL0,Nscore,-0.58016,0.14553108708879245
CL0,Nscore,-0.46725,0.1592510721024791
CL0,Nscore,-0.34799,0.21839665875128406
CL0,Nscore,-0.24649000000000001,0.21133252639102748
CL0,Nscore,-0.14882,0.19417496832553147
CL0,Nscore,-0.051879999999999996,0.19372318739588082
CL0,Nscore,0.04257,0.14217816072922654
CL0,Nscore,0.13606,0.13171401454330597
CL0,Nscore,0.22393000000000002,0.13112339549765925
CL0,Nscore,0.31287,0.11682711061419268
CL0,Nscore,0.41667,0.10604787882076015
