,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_fiblr__bin_num_percent,param_fiblr__eta,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
19,66.26510026454926,0.5422255016745554,0.16800973415374756,0.01875007157353423,1,1,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 1}",0.7985611510791367,0.8211716341212744,0.8129496402877698,0.817060637204522,0.8098663926002055,0.8095238095238095,0.8064182194616977,0.7919254658385093,0.8178053830227743,0.8115942028985508,0.8096957194430119,0.00846278065002731,1,0.8259573492318275,0.8243522127952304,0.831002063746847,0.8346709470304976,0.8289383168997936,0.830793905372895,0.8264406002978577,0.8288463741551151,0.8256386756787719,0.8243785084202085,0.8281018953629046,0.0031845618900747065
18,66.83440520763398,0.45586443201666127,0.2768394947052002,0.12908051631497314,1,0.1,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.1}",0.7389516957862282,0.7821171634121274,0.7410071942446043,0.7738951695786228,0.7451181911613566,0.7556935817805382,0.7453416149068323,0.7432712215320911,0.7650103519668737,0.7608695652173914,0.7551315110881898,0.014190813829809749,2,0.7805549185966522,0.7795230451731254,0.7686310479247879,0.7805549185966522,0.7710387525796836,0.7814182609691832,0.7759193492954519,0.7771795165540154,0.778783365792187,0.7744300607171497,0.7768033236198889,0.004090668730883277
17,64.78646147251129,0.24461558748356127,0.1536479949951172,0.0008062567019033151,1,0.01,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.01}",0.6361767728674204,0.6382322713257965,0.6341212744090442,0.6372045220966084,0.6526207605344296,0.6428571428571429,0.6376811594202898,0.6304347826086957,0.6314699792960663,0.6418219461697723,0.6382671480144404,0.006087893754294127,3,0.6565008025682183,0.6521440036688833,0.6507681724375143,0.6454941527172667,0.6587938546204999,0.6623897353648757,0.6520792759766296,0.6511627906976745,0.6531103219154543,0.6576927483102303,0.6540135858277247,0.004604634553372476
16,66.95660331249238,0.592072946981349,0.203886079788208,0.033822612137572775,1,0.001,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.001}",0.5467625899280576,0.5590955806783144,0.5827338129496403,0.5765673175745119,0.605344295991778,0.5693581780538303,0.567287784679089,0.5755693581780539,0.5527950310559007,0.5600414078674948,0.5695719443011862,0.015973676326013136,4,0.5637468470534281,0.586677367576244,0.588167851410227,0.5755560651226783,0.5958495757853703,0.5721159353877878,0.567304387673273,0.5817390308168175,0.5787604536602131,0.5741780272654371,0.5784095541751476,0.009396390597761694
15,54.14805841445923,0.819578510535055,0.2278985023498535,0.13929712686996193,0.1,1,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 1}",0.46659815005138744,0.473792394655704,0.45940390544707094,0.45323741007194246,0.4367934224049332,0.453416149068323,0.4648033126293996,0.47101449275362317,0.45962732919254656,0.45962732919254656,0.4598246518824136,0.010041827196172038,5,0.47959183673469385,0.4627379041504242,0.4699610181151112,0.4794771841320798,0.45585874799357945,0.43544506816359263,0.4695841448046741,0.48516439454691257,0.4726772826211479,0.4714171153625845,0.46819146966247993,0.013546875156828526
14,48.07775089740753,0.4702610828169254,0.27230474948883054,0.13474982324106075,0.1,0.1,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 0.1}",0.39157245632065774,0.40493319630010277,0.4090441932168551,0.41007194244604317,0.4039054470709147,0.427536231884058,0.38819875776397517,0.37991718426501037,0.4161490683229814,0.39855072463768115,0.4029912325941207,0.013279760806973852,6,0.40976840174271956,0.40185737216234807,0.40346250859894517,0.4072460444852098,0.39417564778720476,0.41688624126474966,0.4019933554817276,0.40921067705349984,0.40955435903310805,0.41012716233245505,0.40642817699419675,0.005931900958383365
13,47.96570353507995,0.35923226856802953,0.10942156314849853,0.0008015219609270154,0.1,0.01,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 0.01}",0.3566289825282631,0.38335046248715315,0.3926002055498458,0.36793422404933196,0.3381294964028777,0.40683229813664595,0.34679089026915116,0.36231884057971014,0.38923395445134573,0.36438923395445133,0.370809695719443,0.020579713861481816,7,0.37147443246961703,0.3758312313689521,0.3819078193074983,0.37147443246961703,0.34269662921348315,0.3948905945698247,0.3654485049833887,0.39500515522969415,0.3775919349295452,0.38320540726314584,0.3759526141804766,0.014383396930453632
3,47.02353713512421,0.2851061406725031,0.14213082790374756,0.04096928421628939,0,1,"{'fiblr__bin_num_percent': 0, 'fiblr__eta': 1}",0.3319630010277492,0.32065775950668035,0.3473792394655704,0.3237410071942446,0.3494347379239466,0.34575569358178054,0.2991718426501035,0.3188405797101449,0.36335403726708076,0.32919254658385094,0.3329551315110882,0.0177571042296176,8,0.3430405870213254,0.33730795689062143,0.34315523962393946,0.3349002522357257,0.3378812199036918,0.34070340245159814,0.33325695956008705,0.34161988773055335,0.34414022224768015,0.3411616450910757,0.33971673727562984,0.00351027558017398
7,49.57121479511261,0.5511029168512862,0.1567509651184082,0.04253033710289455,0.001,1,"{'fiblr__bin_num_percent': 0.001, 'fiblr__eta': 1}",0.3319630010277492,0.32065775950668035,0.3473792394655704,0.3237410071942446,0.3494347379239466,0.34575569358178054,0.2991718426501035,0.3188405797101449,0.36231884057971014,0.32919254658385094,0.3328519855595668,0.017582372984403894,9,0.3430405870213254,0.33730795689062143,0.3432698922265535,0.3349002522357257,0.3378812199036918,0.34070340245159814,0.33325695956008705,0.34161988773055335,0.3440256615878107,0.3411616450910757,0.3397167464699043,0.0035074430518955493
11,45.50154058933258,0.670141852899568,0.10565817356109619,0.0007879504580626686,0.01,1,"{'fiblr__bin_num_percent': 0.01, 'fiblr__eta': 1}",0.3319630010277492,0.32065775950668035,0.3473792394655704,0.3237410071942446,0.3494347379239466,0.34575569358178054,0.2991718426501035,0.3188405797101449,0.36231884057971014,0.32919254658385094,0.3328519855595668,0.017582372984403894,9,0.3430405870213254,0.3371933042880073,0.34315523962393946,0.3349002522357257,0.3378812199036918,0.34070340245159814,0.33325695956008705,0.34161988773055335,0.34414022224768015,0.3411616450910757,0.33970527201536843,0.003518302475136971
6,52.4437313079834,0.9977691252929058,0.20671606063842773,0.0783722710526618,0.001,0.1,"{'fiblr__bin_num_percent': 0.001, 'fiblr__eta': 0.1}",0.3227132579650565,0.3329907502569373,0.3545734840698869,0.3175745118191161,0.3473792394655704,0.33747412008281574,0.3053830227743271,0.3146997929606625,0.33747412008281574,0.3302277432712215,0.3300670448684889,0.014404052122679437,11,0.3378812199036918,0.3306581059390048,0.33478559963311166,0.3330658105939005,0.3376519146984637,0.3358918547370833,0.3356627334173445,0.3373811433153855,0.3339443235193035,0.3358918547370833,0.3352814560494372,0.0021446521042697273
10,47.26489958763123,0.47451565698602577,0.15618202686309815,0.0382109535175458,0.01,0.1,"{'fiblr__bin_num_percent': 0.01, 'fiblr__eta': 0.1}",0.32065775950668035,0.3381294964028777,0.35149023638232274,0.32065775950668035,0.34121274409044194,0.3364389233954451,0.30952380952380953,0.31573498964803315,0.3333333333333333,0.3281573498964803,0.32955131511088187,0.012269706736814979,12,0.3362760834670947,0.33100206374684704,0.33478559963311166,0.3349002522357257,0.3329511579912864,0.3384121892542101,0.3348608087982587,0.3399014778325123,0.33108030702256847,0.33165311032191547,0.334582305030353,0.0028700770255769485
2,49.08548350334168,0.6285604126214118,0.1433781147003174,0.04121451085959107,0,0.1,"{'fiblr__bin_num_percent': 0, 'fiblr__eta': 0.1}",0.32065775950668035,0.3391572456320658,0.35149023638232274,0.3175745118191161,0.3484069886947585,0.3302277432712215,0.3115942028985507,0.3167701863354037,0.32919254658385094,0.3281573498964803,0.3293450232078391,0.012813974328859426,13,0.3340976840174272,0.3335244210043568,0.33478559963311166,0.332377894978216,0.3385691355193763,0.33268415626074005,0.3382976285943407,0.3411616450910757,0.32867453316531103,0.33165311032191547,0.33458258085858705,0.0035542342173828408
