Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.0331965305907665
CL0,Age,-0.07854,0.2086839358316785
CL0,Age,0.49788000000000004,0.06994467285312755
CL0,Age,1.09449,0.23203486466561676
CL0,Age,1.82213,0.26833195447496194
CL0,Age,2.59171,0.004580830432842665
CL0,Gender,-0.48246000000000006,0.13355893529593618
CL0,Gender,0.48246000000000006,0.10716010827073183
CL0,Education,-2.43591,0.38714204473250885
CL0,Education,-1.7379,0.2323027501034215
CL0,Education,-1.43719,0.22894241996628706
CL0,Education,-1.22751,0.2211327694702414
CL0,Education,-0.6111300000000001,0.11903429651215713
CL0,Education,-0.059210000000000006,0.10404090455551758
CL0,Education,0.45468000000000003,0.13258899842594796
CL0,Education,1.16365,0.08098148708617703
CL0,Education,1.98437,0.06685104926732119
CL0,Country,-0.57009,0.03563794118782334
CL0,Country,-0.46841000000000005,0.04043027312593209
CL0,Country,-0.28519,0.0536471594063318
CL0,Country,-0.09765,0.1475918379840976
CL0,Country,0.21128000000000002,0.06464984393137314
CL0,Country,0.24923,0.06522380789386813
CL0,Country,0.9608200000000001,0.18137767439976166
CL0,Ethnicity,-1.1070200000000001,0.2913721949908372
CL0,Ethnicity,-0.50212,0.13571978490492254
CL0,Ethnicity,-0.31685,0.12675134795899684
CL0,Ethnicity,-0.22166,0.15757820522527483
CL0,Ethnicity,0.1144,0.15755841011379373
CL0,Ethnicity,0.126,0.1575197901911999
CL0,Ethnicity,1.90725,3.335407549311636e-22
CL0,Nscore,-3.4643599999999997,0.002301385310267783
CL0,Nscore,-3.15735,0.004691382037715631
CL0,Nscore,-2.75696,0.0029384294001751927
CL0,Nscore,-2.52197,0.024769897798933065
CL0,Nscore,-2.4231700000000003,0.008771771412248964
CL0,Nscore,-2.3436,0.014090041368788457
CL0,Nscore,-2.21844,0.026442131582739503
CL0,Nscore,-2.05048,0.00469302648067274
CL0,Nscore,-1.86962,0.3413727299572206
CL0,Nscore,-1.69163,0.018569383345183484
CL0,Nscore,-1.5507799999999998,0.018668870702416587
CL0,Nscore,-1.43907,0.01914669020553862
CL0,Nscore,-1.32828,0.25037141900985205
CL0,Nscore,-1.1943,0.046742056061773146
CL0,Nscore,-1.05308,0.0916918253053686
CL0,Nscore,-0.92104,0.003046559052872307
CL0,Nscore,-0.79151,0.1828444106682525
CL0,Nscore,-0.67825,0.1988525767620948
CL0,Nscore,-0.58016,0.1969514534950818
CL0,Nscore,-0.46725,0.2565338051790985
CL0,Nscore,-0.34799,0.27876921433820306
CL0,Nscore,-0.24649000000000001,0.11014658481185396
CL0,Nscore,-0.14882,0.07631784008265978
CL0,Nscore,-0.051879999999999996,0.07650502641020095
CL0,Nscore,0.04257,0.06719781690474971
CL0,Nscore,0.13606,0.03447765434174329
CL0,Nscore,0.22393000000000002,0.03321339687834615
CL0,Nscore,0.31287,0.3129427461434769
CL0,Nscore,0.41667,0.031040505928622952
CL0,Nscore,0.52135,0.02860784580440167
CL0,Nscore,0.62967,0.26877189975894766
CL0,Nscore,0.73545,0.3180988329326837
CL0,Nscore,0.82562,0.1140378859508703
CL0,Nscore,0.9109299999999999,0.11241517212347404
CL0,Nscore,1.02119,0.025157724384256782
CL0,Nscore,1.13281,0.3458585434454132
CL0,Nscore,1.23461,0.005434802638543754
CL0,Nscore,1.37297,0.34363605486048293
CL0,Nscore,1.49158,0.009231143307489892
CL0,Nscore,1.6038299999999999,0.007684602247911048
CL0,Nscore,1.72012,0.0338531586022772
CL0,Nscore,1.8399,0.4153441836746882
CL0,Nscore,1.98437,0.3187964462915164
CL0,Nscore,2.127,0.016400074962286765
CL0,Nscore,2.28554,0.3899897972640226
