,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_fiblr__bin_num_percent,param_fiblr__eta,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
19,33.52672598361969,0.4042544688344294,0.18119461536407472,0.12261784118463118,1,1,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 1}",0.3252279635258359,0.3617021276595745,0.43465045592705165,0.4472049689440994,0.422360248447205,0.4503105590062112,0.4751552795031056,0.45962732919254656,0.5124223602484472,0.4937888198757764,0.43782783091638383,0.05453379612295435,1,0.5831043956043956,0.5858516483516484,0.5638736263736264,0.5854744775608085,0.580335731414868,0.5947242206235012,0.5734840698869476,0.5710859883521754,0.5710859883521754,0.5693730729701952,0.5778393219490341,0.009046806697417774
18,30.824131417274476,0.4065488878336278,0.06724128723144532,0.016768529608530276,1,0.1,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.1}",0.3130699088145897,0.3860182370820669,0.43465045592705165,0.4254658385093168,0.37888198757763975,0.40993788819875776,0.4782608695652174,0.46273291925465837,0.5031055900621118,0.46273291925465837,0.42517741437827833,0.053293178698060426,2,0.5793269230769231,0.5679945054945055,0.5628434065934066,0.5601233299075026,0.5625214114422747,0.5635491606714629,0.5621788283658787,0.5635491606714629,0.5464200068516615,0.5553271668379582,0.5623833899913038,0.007945352363867429
17,30.72877788543701,0.2779628624953013,0.08875484466552734,0.02066518550888012,1,0.01,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.01}",0.26443768996960487,0.3951367781155015,0.3738601823708207,0.36645962732919257,0.35093167701863354,0.3695652173913043,0.4440993788819876,0.40062111801242234,0.43478260869565216,0.45652173913043476,0.3853748842949707,0.05288879428040788,3,0.49381868131868134,0.49141483516483514,0.479739010989011,0.47619047619047616,0.4775608084960603,0.48715313463514903,0.4830421377183967,0.4669407331277835,0.47002398081534774,0.4837273038711888,0.48096111023269295,0.008227560207695817
16,30.827854084968568,0.2779976503465532,0.07581510543823242,0.02235642591609868,1,0.001,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.001}",0.26443768996960487,0.3404255319148936,0.3373860182370821,0.33229813664596275,0.3167701863354037,0.30434782608695654,0.391304347826087,0.33229813664596275,0.37267080745341613,0.37888198757763975,0.3369330453563715,0.0357818974626698,4,0.4024725274725275,0.3801510989010989,0.3753434065934066,0.40082219938335045,0.41007194244604317,0.4042480301473107,0.3881466255566975,0.38883179170948956,0.3977389516957862,0.3874614594039055,0.39352880333096163,0.0106630225568682
15,18.189323782920837,0.3379437722784691,0.09503698348999023,0.06502453112012693,0.1,1,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 1}",0.2917933130699088,0.3009118541033435,0.3738601823708207,0.32919254658385094,0.2857142857142857,0.2670807453416149,0.37577639751552794,0.38198757763975155,0.35714285714285715,0.36335403726708076,0.3326133909287257,0.04088021810571401,5,0.38873626373626374,0.375,0.36641483516483514,0.3761562178828366,0.381637547105173,0.3761562178828366,0.3764988009592326,0.36656389174374787,0.3706748886605002,0.36930455635491605,0.37471432194903415,0.006579236897921225
14,17.977472043037416,0.2530927921266956,0.09900805950164795,0.040235682142874415,0.1,0.1,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 0.1}",0.24620060790273557,0.3100303951367781,0.3556231003039514,0.3198757763975155,0.2826086956521739,0.27639751552795033,0.35093167701863354,0.37267080745341613,0.34782608695652173,0.3416149068322981,0.32027152113545204,0.03890401635152394,6,0.36813186813186816,0.37293956043956045,0.3478708791208791,0.35149023638232274,0.36211031175059955,0.36896197327852004,0.35046248715313466,0.354916067146283,0.3545734840698869,0.3641658102089757,0.359562267768203,0.008363952497931157
3,16.759409856796264,0.2509834292291132,0.09054639339447021,0.05504607347067456,0,1,"{'fiblr__bin_num_percent': 0, 'fiblr__eta': 1}",0.23404255319148937,0.3161094224924012,0.3221884498480243,0.30434782608695654,0.2795031055900621,0.2919254658385093,0.3385093167701863,0.33540372670807456,0.3695652173913043,0.32608695652173914,0.31163221228016047,0.03539771555209172,7,0.3403159340659341,0.3289835164835165,0.33516483516483514,0.3384720794792737,0.328537170263789,0.3343610825625214,0.3316204179513532,0.3233984241178486,0.32408359027064065,0.3227132579650565,0.3307650308324769,0.0059625216948640146
7,15.580473732948303,0.1055606656371247,0.052247262001037596,0.015572536365247453,0.001,1,"{'fiblr__bin_num_percent': 0.001, 'fiblr__eta': 1}",0.23404255319148937,0.3161094224924012,0.3221884498480243,0.30434782608695654,0.2795031055900621,0.2919254658385093,0.3385093167701863,0.33540372670807456,0.3695652173913043,0.32608695652173914,0.31163221228016047,0.03539771555209172,7,0.34065934065934067,0.3289835164835165,0.33516483516483514,0.3384720794792737,0.328537170263789,0.3343610825625214,0.3316204179513532,0.3233984241178486,0.3237410071942446,0.3227132579650565,0.3307651131841779,0.0060571406126457734
11,17.084718894958495,0.25432803922771896,0.07537822723388672,0.028867039312822078,0.01,1,"{'fiblr__bin_num_percent': 0.01, 'fiblr__eta': 1}",0.23404255319148937,0.3161094224924012,0.3221884498480243,0.30434782608695654,0.2795031055900621,0.2919254658385093,0.3385093167701863,0.33540372670807456,0.3695652173913043,0.32608695652173914,0.31163221228016047,0.03539771555209172,7,0.34065934065934067,0.3289835164835165,0.33516483516483514,0.3384720794792737,0.328537170263789,0.3343610825625214,0.3316204179513532,0.3230558410414526,0.32408359027064065,0.3227132579650565,0.33076511318417795,0.006061014574067276
2,16.805304336547852,0.24516330222122282,0.06848511695861817,0.021588681599086116,0,0.1,"{'fiblr__bin_num_percent': 0, 'fiblr__eta': 0.1}",0.23100303951367782,0.3130699088145897,0.3069908814589666,0.2950310559006211,0.2701863354037267,0.27639751552795033,0.33229813664596275,0.35403726708074534,0.36335403726708076,0.33540372670807456,0.3076211045973465,0.03886695016351521,10,0.33035714285714285,0.32177197802197804,0.3331043956043956,0.32682425488180883,0.329222336416581,0.32990750256937307,0.3220280918122645,0.329222336416581,0.31963001027749227,0.3237410071942446,0.32658090560518616,0.004267663717103023
6,15.60785894393921,0.12737796569262985,0.05475623607635498,0.014226405778388455,0.001,0.1,"{'fiblr__bin_num_percent': 0.001, 'fiblr__eta': 0.1}",0.21580547112462006,0.3191489361702128,0.3130699088145897,0.2950310559006211,0.2732919254658385,0.27639751552795033,0.33229813664596275,0.35403726708074534,0.35714285714285715,0.32608695652173914,0.3060783708731873,0.04064054452326062,11,0.3286401098901099,0.32108516483516486,0.33413461538461536,0.32716683795820484,0.329222336416581,0.3326481671805413,0.3220280918122645,0.329222336416581,0.31414868105515587,0.3210003425830764,0.32592966835322945,0.0058719776761735525
10,16.96616427898407,0.4064626805834325,0.07202775478363037,0.031709744901687556,0.01,0.1,"{'fiblr__bin_num_percent': 0.01, 'fiblr__eta': 0.1}",0.22796352583586627,0.3100303951367781,0.3100303951367781,0.2919254658385093,0.27639751552795033,0.2732919254658385,0.32919254658385094,0.3447204968944099,0.36024844720496896,0.33229813664596275,0.3054612773835236,0.03738591878100874,12,0.32967032967032966,0.3169642857142857,0.332760989010989,0.3302500856457691,0.33093525179856115,0.3275094210346009,0.31997259335388833,0.32476875642343267,0.3182596779719082,0.32511133949982873,0.32562027301235935,0.0053163021309372335
13,18.253131484985353,0.4507904005470512,0.08680458068847656,0.05259943460925124,0.1,0.01,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 0.01}",0.23708206686930092,0.2735562310030395,0.2917933130699088,0.2950310559006211,0.2453416149068323,0.2701863354037267,0.3136645962732919,0.3447204968944099,0.3167701863354037,0.30124223602484473,0.28879975316260414,0.031418954616117746,13,0.3286401098901099,0.32108516483516486,0.3135302197802198,0.3079821856800274,0.31928742720109626,0.329222336416581,0.32168550873586843,0.31551901336073995,0.31894484412470026,0.3107228502911956,0.3186619660315704,0.00663226914654806
5,15.524951076507568,0.1352010164214072,0.043573188781738284,0.00830855519466306,0.001,0.01,"{'fiblr__bin_num_percent': 0.001, 'fiblr__eta': 0.01}",0.24316109422492402,0.2553191489361702,0.2735562310030395,0.2795031055900621,0.2701863354037267,0.2670807453416149,0.3136645962732919,0.3416149068322981,0.2981366459627329,0.3105590062111801,0.28509719222462204,0.02862243233956225,14,0.30940934065934067,0.3131868131868132,0.30357142857142855,0.30181569030489896,0.29256594724220625,0.3066118533744433,0.28605686879068176,0.30900993490921547,0.2857142857142857,0.30352860568687906,0.3011470768440193,0.009254328637543613
1,16.936264991760254,0.2327583518894703,0.07166545391082764,0.03323079245216717,0,0.01,"{'fiblr__bin_num_percent': 0, 'fiblr__eta': 0.01}",0.24316109422492402,0.270516717325228,0.2735562310030395,0.2701863354037267,0.2670807453416149,0.2732919254658385,0.3105590062111801,0.3105590062111801,0.3167701863354037,0.3136645962732919,0.2847886454797902,0.024316294787606517,15,0.3076923076923077,0.3087225274725275,0.30357142857142855,0.302500856457691,0.3107228502911956,0.3007879410757109,0.30181569030489896,0.290167865707434,0.28365878725590954,0.31003768413840355,0.30196779389675077,0.008360021784364886
9,14.744595742225647,0.20902642527720453,0.051280856132507324,0.018383408243491373,0.01,0.01,"{'fiblr__bin_num_percent': 0.01, 'fiblr__eta': 0.01}",0.22492401215805471,0.2765957446808511,0.2887537993920973,0.2826086956521739,0.2639751552795031,0.2701863354037267,0.30745341614906835,0.3136645962732919,0.32298136645962733,0.2950310559006211,0.28448009873495833,0.026944954586486766,16,0.30322802197802196,0.31387362637362637,0.3011675824175824,0.31654676258992803,0.2911956149366221,0.3079821856800274,0.2946214457005824,0.3110654333675916,0.31483384720794794,0.302843439534087,0.30573579597860173,0.008184106538805809
12,18.01562705039978,0.3241620562389739,0.09057428836822509,0.06499024002374493,0.1,0.001,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 0.001}",0.22796352583586627,0.25835866261398177,0.24316109422492402,0.2484472049689441,0.19875776397515527,0.2204968944099379,0.27639751552795033,0.2422360248447205,0.2826086956521739,0.2577639751552795,0.24560320888614626,0.024005211827670344,17,0.24072802197802198,0.2603021978021978,0.24347527472527472,0.2528263103802672,0.2517985611510791,0.26139088729016785,0.2394655704008222,0.23843782117163412,0.24357656731757452,0.2586502226789997,0.2490651434896039,0.008530284408237249
0,16.87700197696686,0.1874122138025659,0.059526371955871585,0.018871908145666576,0,0.001,"{'fiblr__bin_num_percent': 0, 'fiblr__eta': 0.001}",0.2127659574468085,0.2188449848024316,0.25227963525835867,0.2360248447204969,0.2267080745341615,0.21739130434782608,0.20496894409937888,0.17701863354037267,0.21428571428571427,0.18944099378881987,0.2150570811477939,0.020480771656464832,18,0.23729395604395603,0.2544642857142857,0.2345467032967033,0.22062350119904076,0.22199383350462487,0.23192874272010963,0.2014388489208633,0.18944844124700239,0.22404933196300103,0.22987324426173347,0.22456608888713206,0.01740239623410347
8,14.827259850502013,0.2081983090716057,0.03628373146057129,0.0005872950103616412,0.01,0.001,"{'fiblr__bin_num_percent': 0.01, 'fiblr__eta': 0.001}",0.20972644376899696,0.24316109422492402,0.19148936170212766,0.21428571428571427,0.16770186335403728,0.1956521739130435,0.2608695652173913,0.2360248447204969,0.18322981366459629,0.2204968944099379,0.2122801604443073,0.027345615051426606,19,0.2396978021978022,0.20054945054945056,0.20398351648351648,0.2343268242548818,0.20349434737923947,0.22576224734498115,0.2473449811579308,0.23638232271325796,0.19664268585131894,0.1963001027749229,0.21844842807073023,0.0190605796762044
4,16.553508973121644,0.1650615565275201,0.04283437728881836,0.010314414893125894,0.001,0.001,"{'fiblr__bin_num_percent': 0.001, 'fiblr__eta': 0.001}",0.2127659574468085,0.1762917933130699,0.1945288753799392,0.21428571428571427,0.16770186335403728,0.19254658385093168,0.2236024844720497,0.19875776397515527,0.2080745341614907,0.2267080745341615,0.20148102437519283,0.01835020707027811,20,0.20776098901098902,0.2242445054945055,0.19814560439560439,0.20212401507365535,0.20349434737923947,0.22404933196300103,0.23603973963686195,0.19561493662213086,0.22987324426173347,0.19150393970537855,0.21128506535430996,0.015019049331855964
