Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.11882308015640887
CL0,Age,-0.07854,0.12356130067770985
CL0,Age,0.49788000000000004,0.14014463127291357
CL0,Age,1.09449,0.19334286493237124
CL0,Age,1.82213,0.24308664340468572
CL0,Age,2.59171,0.5129754930260251
CL0,Gender,-0.48246000000000006,0.11327294325416967
CL0,Gender,0.48246000000000006,0.1574853407025592
CL0,Education,-2.43591,0.06157808853044128
CL0,Education,-1.7379,0.13426197636773268
CL0,Education,-1.43719,0.19705567080128275
CL0,Education,-1.22751,0.19118913892660527
CL0,Education,-0.6111300000000001,0.0946463196997797
CL0,Education,-0.059210000000000006,0.17169559887071262
CL0,Education,0.45468000000000003,0.1473320248931159
CL0,Education,1.16365,0.1248488552351566
CL0,Education,1.98437,0.15487184562473705
CL0,Country,-0.57009,0.04132504694603847
CL0,Country,-0.46841000000000005,0.04643120989388015
CL0,Country,-0.28519,0.1861131208027231
CL0,Country,-0.09765,0.024300393828419264
CL0,Country,0.21128000000000002,0.07313420912953891
CL0,Country,0.24923,0.073405430718962
CL0,Country,0.9608200000000001,0.19799437648816642
CL0,Ethnicity,-1.1070200000000001,0.48991543310463886
CL0,Ethnicity,-0.50212,0.17142587454690197
CL0,Ethnicity,-0.31685,0.13776104807962652
CL0,Ethnicity,-0.22166,0.18981168773337012
CL0,Ethnicity,0.1144,0.2921437049801637
CL0,Ethnicity,0.126,0.29533599337336247
CL0,Ethnicity,1.90725,2.4060278669221227e-42
CL0,Nscore,-3.4643599999999997,0.0011722937483374396
CL0,Nscore,-3.15735,0.0035553707783331505
CL0,Nscore,-2.75696,0.3183574653531763
CL0,Nscore,-2.52197,0.0042197901297520045
CL0,Nscore,-2.4231700000000003,0.5817306692258493
CL0,Nscore,-2.3436,8.001902075910747e-05
CL0,Nscore,-2.21844,0.009049558291802819
CL0,Nscore,-2.05048,0.0673939777360985
CL0,Nscore,-1.86962,0.22574358171694356
CL0,Nscore,-1.69163,0.17213959219600675
CL0,Nscore,-1.5507799999999998,0.08220111175965575
CL0,Nscore,-1.43907,0.06998103414919023
CL0,Nscore,-1.32828,0.15262924279553594
CL0,Nscore,-1.1943,0.11639485378499995
CL0,Nscore,-1.05308,0.15729646449899973
CL0,Nscore,-0.92104,0.11385755503056821
CL0,Nscore,-0.79151,0.058439048938039764
CL0,Nscore,-0.67825,0.12644987806387037
CL0,Nscore,-0.58016,0.127302955997319
CL0,Nscore,-0.46725,0.07654390218238041
CL0,Nscore,-0.34799,0.12844709114752867
CL0,Nscore,-0.24649000000000001,0.20166319287997267
CL0,Nscore,-0.14882,0.13700586223744704
CL0,Nscore,-0.051879999999999996,0.13840383351615
CL0,Nscore,0.04257,0.14798266149075676
CL0,Nscore,0.13606,0.0987008775521534
CL0,Nscore,0.22393000000000002,0.09734304859812831
CL0,Nscore,0.31287,0.21732549771996218
CL0,Nscore,0.41667,0.1455759672927384
CL0,Nscore,0.52135,0.14602663941298324
CL0,Nscore,0.62967,0.1813174567734775
CL0,Nscore,0.73545,0.0968612295275236
CL0,Nscore,0.82562,0.19792989645887615
CL0,Nscore,0.9109299999999999,0.19984717562606288
CL0,Nscore,1.02119,0.10309465744997667
CL0,Nscore,1.13281,0.09432665666355813
CL0,Nscore,1.23461,0.04889908090846331
CL0,Nscore,1.37297,0.03726009294004858
CL0,Nscore,1.49158,0.24154469057918548
CL0,Nscore,1.6038299999999999,0.2459458108488557
CL0,Nscore,1.72012,0.26331416950682457
CL0,Nscore,1.8399,0.24962800693971082
CL0,Nscore,1.98437,0.3376035867078539
CL0,Nscore,2.127,0.0028441580069263365
CL0,Nscore,2.28554,0.2691656085411054
CL0,Nscore,2.4626200000000003,0.2611047978156643
CL0,Nscore,2.61139,6.945370860681277e-05
CL0,Nscore,2.82196,0.3887716073800065
CL0,Nscore,3.27393,0.0007249798437472578
CL0,Escore,-3.27393,0.0001009825921627124
CL0,Escore,-3.00537,0.0076936097794675085
CL0,Escore,-2.72827,0.0033787880372446516
CL0,Escore,-2.5383,0.1438738068431212
CL0,Escore,-2.44904,0.35724756281023884
CL0,Escore,-2.32338,0.2924632535068251
CL0,Escore,-2.21069,0.287791095461333
CL0,Escore,-2.11437,0.2919663864022055
CL0,Escore,-2.03972,0.2887257217119164
CL0,Escore,-1.92173,0.016522738327294013
CL0,Escore,-1.7625,0.002631258104614628
CL0,Escore,-1.6334,0.011388059804373388
CL0,Escore,-1.50796,0.12943814810660015
CL0,Escore,-1.37639,0.12816057935136335
CL0,Escore,-1.23177,0.029648149886294287
CL0,Escore,-1.09207,0.0339526432968972
CL0,Escore,-0.9477899999999999,0.11585116404737636
CL0,Escore,-0.80615,0.12085165742402984
CL0,Escore,-0.69509,0.16001835039190476
CL0,Escore,-0.57545,0.09945968392647866
CL0,Escore,-0.43998999999999994,0.0967069523641727
CL0,Escore,-0.30033000000000004,0.11989596435204163
CL0,Escore,-0.15487,0.10763878650638593
CL0,Escore,0.0033200000000000005,0.1491473934281386
CL0,Escore,0.16767,0.17501691419814674
CL0,Escore,0.32197,0.18048751021191095
CL0,Escore,0.47617,0.18109367409251909
CL0,Escore,0.63779,0.14085595233562495
CL0,Escore,0.80523,0.16014035158490997
CL0,Escore,0.9624799999999999,0.1548736705564179
CL0,Escore,1.11406,0.13783557600702753
CL0,Escore,1.2861,0.17632826624069098
CL0,Escore,1.45421,0.21890400121987358
CL0,Escore,1.58487,0.20135578962112627
CL0,Escore,1.74091,0.161905094247164
CL0,Escore,1.9388599999999998,0.23190314005054255
CL0,Escore,2.127,0.3615784401522412
CL0,Escore,2.32338,0.144706760608759
CL0,Escore,2.57309,0.3042690913837617
CL0,Escore,2.8595,0.6788197428314374
CL0,Escore,3.00537,0.0018091335201672449
CL0,Escore,3.27393,0.0024920780306675362
CL0,Oscore,-3.27393,0.3515319208573158
CL0,Oscore,-2.8595,0.3796244007429069
CL0,Oscore,-2.63199,0.32979644530510377
CL0,Oscore,-2.39883,0.2215250102889757
CL0,Oscore,-2.21069,0.31064487708142513
CL0,Oscore,-2.09015,0.3034108573038709
CL0,Oscore,-1.97495,0.28508609793389666
CL0,Oscore,-1.82919,0.2562573884380733
CL0,Oscore,-1.68062,0.20391742449050257
CL0,Oscore,-1.55521,0.20040562972464804
CL0,Oscore,-1.42424,0.23059501352918682
CL0,Oscore,-1.2755299999999998,0.24712330246630354
CL0,Oscore,-1.1190200000000001,0.21343780687094516
CL0,Oscore,-0.97631,0.2193844062677288
CL0,Oscore,-0.8473200000000001,0.2157234800388083
CL0,Oscore,-0.71727,0.1957322028492046
CL0,Oscore,-0.58331,0.14728225979435045
CL0,Oscore,-0.45174,0.14632109811234856
CL0,Oscore,-0.31776,0.14625151588870194
CL0,Oscore,-0.17779,0.1655082691877939
CL0,Oscore,-0.019280000000000002,0.13449102739283472
CL0,Oscore,0.14143,0.12912591693023845
CL0,Oscore,0.29338000000000003,0.13860396522712773
CL0,Oscore,0.44585,0.08494541187572267
CL0,Oscore,0.58331,0.0822066378731881
CL0,Oscore,0.7233,0.11019082437599681
CL0,Oscore,0.8830899999999999,0.09502853632551646
CL0,Oscore,1.0623799999999999,0.044047507657268566
CL0,Oscore,1.24033,0.041528633002623654
CL0,Oscore,1.43533,0.07113761111232973
CL0,Oscore,1.6565299999999998,0.1051901140541288
CL0,Oscore,1.8851099999999998,0.1149691705395162
CL0,Oscore,2.1532400000000003,0.12010880907437481
CL0,Oscore,2.44904,0.005953356256434062
CL0,Oscore,2.90161,0.0024552980722157996
CL0,Ascore,-3.4643599999999997,0.0013997907920683425
CL0,Ascore,-3.15735,0.004576133762862772
CL0,Ascore,-3.00537,0.0076284766611462145
CL0,Ascore,-2.90161,0.008495618026930444
CL0,Ascore,-2.78793,0.004842092708790143
CL0,Ascore,-2.70172,0.005479693502145776
CL0,Ascore,-2.5383,0.007875770468438629
CL0,Ascore,-2.35413,0.018850625431455378
CL0,Ascore,-2.21844,0.42964271145380706
CL0,Ascore,-2.07848,0.33681071954213004
CL0,Ascore,-1.92595,0.10536912017807026
CL0,Ascore,-1.772,0.14392865853296644
CL0,Ascore,-1.6209,0.1443006425511088
CL0,Ascore,-1.47955,0.08316094202622568
CL0,Ascore,-1.34289,0.1699947014544991
CL0,Ascore,-1.21213,0.09788704775288608
CL0,Ascore,-1.07533,0.12948365639558465
CL0,Ascore,-0.91699,0.07209718689646981
CL0,Ascore,-0.7609600000000001,0.07532246693175619
CL0,Ascore,-0.60633,0.20643516508808243
CL0,Ascore,-0.45321000000000006,0.12248331118922093
CL0,Ascore,-0.30172,0.18574470109707195
CL0,Ascore,-0.15487,0.12511960292054766
