,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_fiblr__bin_num_percent,param_fiblr__eta,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
19,42.43590934276581,0.7328147025419012,0.11537251472473145,0.03574563007997445,1,1,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 1}",0.6948853615520282,0.7354497354497355,0.7125220458553791,0.7407407407407407,0.7072310405643739,0.7125220458553791,0.7054673721340388,0.7196428571428571,0.7357142857142858,0.7214285714285714,0.718534253850239,0.014204933819736958,1,0.7683982683982684,0.7638724911452184,0.7695789059425423,0.7630853994490359,0.7668240850059032,0.7644628099173554,0.7630853994490359,0.7683238357241108,0.7620357634112792,0.7643937905285911,0.7654060748971341,0.0025156756143285726
18,42.84328169822693,0.5063670727664163,0.16378192901611327,0.038111755777320566,1,0.1,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.1}",0.6860670194003528,0.7037037037037037,0.7178130511463845,0.7107583774250441,0.6772486772486772,0.6807760141093474,0.6966490299823633,0.7053571428571429,0.7089285714285715,0.7142857142857143,0.7001239157372986,0.013618605970869693,2,0.7530499803227076,0.7467532467532467,0.7554112554112554,0.7563951200314837,0.7528532073986619,0.752262888626525,0.747737111373475,0.7551581843191196,0.7474945961878562,0.750638632344272,0.7517754222768603,0.0033192721593802953
17,42.44827721118927,0.4482616060628635,0.1827333927154541,0.028247282399491567,1,0.01,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.01}",0.5837742504409171,0.6349206349206349,0.6437389770723104,0.6261022927689595,0.6155202821869489,0.6225749559082893,0.6243386243386243,0.6232142857142857,0.6410714285714286,0.6214285714285714,0.6236502035758541,0.01583829820692961,3,0.6607634789452971,0.6641086186540732,0.6646989374262101,0.6672569854388036,0.6696182605273514,0.6887052341597796,0.6650924832743015,0.6655531538612695,0.6698762035763411,0.6628021222244056,0.6678475478087833,0.00745004043824704
16,42.812292671203615,0.8046258246364425,0.14373447895050048,0.03392373864858684,1,0.001,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.001}",0.5961199294532628,0.6014109347442681,0.5855379188712522,0.5837742504409171,0.5873015873015873,0.599647266313933,0.5961199294532628,0.5642857142857143,0.5910714285714286,0.5803571428571429,0.5885997521685254,0.010462741702164503,4,0.6221959858323495,0.6200314836678473,0.5977961432506887,0.6029122392758757,0.619637937819756,0.6190476190476191,0.6113734750098386,0.5916683041854981,0.6050304578502653,0.6075849872273531,0.6097278633167091,0.009954988797853151
15,29.394934940338135,0.32626447109619733,0.11941313743591309,0.033238419335708216,0.1,1,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 1}",0.47795414462081126,0.5149911816578483,0.5097001763668431,0.5220458553791887,0.49029982363315694,0.47442680776014107,0.48677248677248675,0.4625,0.5142857142857142,0.49464285714285716,0.4947778367852717,0.01890568935487268,5,0.5114128295946477,0.5200708382526564,0.5100354191263282,0.5204643841007477,0.5194805194805194,0.4982290436835891,0.5060999606454152,0.5103163686382394,0.5091373550795835,0.5244645313421105,0.5129711249943838,0.00760499509458228
14,30.780838656425477,0.5938155164222249,0.12094776630401612,0.03661174280533748,0.1,0.1,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 0.1}",0.41798941798941797,0.43033509700176364,0.4567901234567901,0.4585537918871252,0.4514991181657848,0.4426807760141093,0.4409171075837742,0.4392857142857143,0.4767857142857143,0.4392857142857143,0.44538856434767216,0.015496382140054889,6,0.46005509641873277,0.4482487209759937,0.4541519086973632,0.47186147186147187,0.4620228256591893,0.46221959858323497,0.46162927981109797,0.4588327765769306,0.4580467675378267,0.4672823737472981,0.4604350819869139,0.006172364269496032
3,29.61830928325653,0.4187750536452548,0.11275064945220947,0.032337311485550774,0,1,"{'fiblr__bin_num_percent': 0, 'fiblr__eta': 1}",0.3932980599647266,0.42328042328042326,0.42857142857142855,0.38095238095238093,0.4144620811287478,0.3562610229276896,0.4056437389770723,0.3982142857142857,0.38392857142857145,0.39285714285714285,0.39776951672862454,0.020481078834423665,7,0.4065328610783156,0.4006296733569461,0.4006296733569461,0.4106650924832743,0.41460055096418735,0.4106650924832743,0.41125541125541126,0.41167223423069366,0.41206523875024564,0.4089212025938298,0.40876370305531246,0.004518783006752654
7,27.67211694717407,0.2517024400293871,0.10904879570007324,0.03006466628693802,0.001,1,"{'fiblr__bin_num_percent': 0.001, 'fiblr__eta': 1}",0.3932980599647266,0.42328042328042326,0.42857142857142855,0.38095238095238093,0.4144620811287478,0.3562610229276896,0.4056437389770723,0.3982142857142857,0.38392857142857145,0.39285714285714285,0.39776951672862454,0.020481078834423665,7,0.4065328610783156,0.40082644628099173,0.4006296733569461,0.4106650924832743,0.41460055096418735,0.41086186540731995,0.41125541125541126,0.41167223423069366,0.4118687364904696,0.4089212025938298,0.408783407414144,0.004478345901762533
11,29.249385237693787,1.0102306929533307,0.08859238624572754,0.023147641684179068,0.01,1,"{'fiblr__bin_num_percent': 0.01, 'fiblr__eta': 1}",0.3932980599647266,0.42328042328042326,0.42857142857142855,0.38095238095238093,0.4144620811287478,0.3562610229276896,0.4056437389770723,0.3982142857142857,0.38392857142857145,0.39285714285714285,0.39776951672862454,0.020481078834423665,7,0.4065328610783156,0.4006296733569461,0.4006296733569461,0.4106650924832743,0.41460055096418735,0.4106650924832743,0.4110586383313656,0.41167223423069366,0.41206523875024564,0.4089212025938298,0.4087440257629078,0.00450830616561958
13,30.84916772842407,0.37171703851591603,0.11804251670837403,0.030322125659829037,0.1,0.01,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 0.01}",0.35802469135802467,0.3915343915343915,0.36331569664902996,0.36684303350970016,0.3544973544973545,0.3474426807760141,0.36331569664902996,0.3517857142857143,0.38392857142857145,0.3464285714285714,0.36271906532129583,0.014152447485766061,10,0.38016528925619836,0.3823297914207005,0.3608815426997245,0.3976780794962613,0.38311688311688313,0.3530106257378985,0.37367178276269186,0.3664767144822165,0.37119276871684026,0.38042837492631165,0.3748951852615726,0.012090126193133146
6,27.47807095050812,0.25664918752646554,0.1174311876296997,0.030643907171581088,0.001,0.1,"{'fiblr__bin_num_percent': 0.001, 'fiblr__eta': 0.1}",0.3368606701940035,0.35802469135802467,0.37213403880070545,0.3439153439153439,0.3350970017636684,0.31569664902998235,0.35802469135802467,0.3535714285714286,0.3339285714285714,0.33214285714285713,0.3439546822446451,0.015667860591651466,11,0.34710743801652894,0.35182998819362454,0.34730421094057456,0.35202676111767023,0.3624557260920897,0.3659976387249115,0.35694608421881147,0.36510119866378465,0.3562585969738652,0.359992139909609,0.35650197828514696,0.006532306905367788
2,29.538638496398924,0.27881439582154566,0.10287668704986572,0.034391370118731036,0,0.1,"{'fiblr__bin_num_percent': 0, 'fiblr__eta': 0.1}",0.3368606701940035,0.36507936507936506,0.36860670194003525,0.3474426807760141,0.3333333333333333,0.31393298059964725,0.3562610229276896,0.3464285714285714,0.33214285714285713,0.3339285714285714,0.34342361479907946,0.015911370561726212,12,0.34573002754820936,0.3565525383707202,0.34533648170011805,0.35714285714285715,0.35714285714285715,0.36343959071231796,0.35989767807949624,0.3625466692866968,0.3582236195716251,0.36352918058557676,0.35695415001404746,0.006229187789476073
