Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.05727845123957509
CL0,Age,-0.07854,0.17832971702627246
CL0,Age,0.49788000000000004,0.1510254631334845
CL0,Age,1.09449,0.12513687521105454
CL0,Age,1.82213,0.037363609420984524
CL0,Age,2.59171,0.2429886191293915
CL0,Gender,-0.48246000000000006,0.13445353482065275
CL0,Gender,0.48246000000000006,0.11883827564915704
CL0,Education,-2.43591,0.005980623969791798
CL0,Education,-1.7379,0.06956917386148605
CL0,Education,-1.43719,0.3001615902650075
CL0,Education,-1.22751,0.28763793445024105
CL0,Education,-0.6111300000000001,0.07089242987093565
CL0,Education,-0.059210000000000006,0.13209894712196638
CL0,Education,0.45468000000000003,0.14674792923916471
CL0,Education,1.16365,0.2618849437350712
CL0,Education,1.98437,0.16390560367173754
CL0,Country,-0.57009,0.1502563380811649
CL0,Country,-0.46841000000000005,0.14978332461601895
CL0,Country,-0.28519,0.04168808177151658
CL0,Country,-0.09765,0.04582418841622821
CL0,Country,0.21128000000000002,0.2895949165880219
CL0,Country,0.24923,0.2903632416211937
CL0,Country,0.9608200000000001,0.07628996915885801
CL0,Ethnicity,-1.1070200000000001,0.5595080203348579
CL0,Ethnicity,-0.50212,0.13902269367315853
CL0,Ethnicity,-0.31685,0.13571966524285833
CL0,Ethnicity,-0.22166,0.17619556699292813
CL0,Ethnicity,0.1144,0.2675629489085745
CL0,Ethnicity,0.126,0.27027005588050207
CL0,Ethnicity,1.90725,4.7004183052087987e-35
CL0,Nscore,-3.4643599999999997,0.0066210626274142495
CL0,Nscore,-3.15735,0.012743254964406366
CL0,Nscore,-2.75696,0.018134185889083894
CL0,Nscore,-2.52197,0.0016797306960381606
CL0,Nscore,-2.4231700000000003,0.034535481738155696
CL0,Nscore,-2.3436,0.0023544520308157765
CL0,Nscore,-2.21844,0.0033232991088639153
CL0,Nscore,-2.05048,0.01674179929870913
CL0,Nscore,-1.86962,0.0008386365022061103
CL0,Nscore,-1.69163,0.33826464995473965
CL0,Nscore,-1.5507799999999998,0.009815722960018456
CL0,Nscore,-1.43907,0.10011688926794912
CL0,Nscore,-1.32828,0.0048172605763921
CL0,Nscore,-1.1943,0.3479851803293263
CL0,Nscore,-1.05308,0.030918356391118975
CL0,Nscore,-0.92104,0.019742839822951073
CL0,Nscore,-0.79151,0.12291736950690353
CL0,Nscore,-0.67825,0.11711863766426943
CL0,Nscore,-0.58016,0.1174420333646315
CL0,Nscore,-0.46725,0.059701680930059196
CL0,Nscore,-0.34799,0.01520438009069038
CL0,Nscore,-0.24649000000000001,0.1794849734086086
CL0,Nscore,-0.14882,0.19842872572728087
CL0,Nscore,-0.051879999999999996,0.20042595172498187
CL0,Nscore,0.04257,0.029305720778913847
CL0,Nscore,0.13606,0.08766139443905102
CL0,Nscore,0.22393000000000002,0.0874272339197681
CL0,Nscore,0.31287,0.26661881148439254
CL0,Nscore,0.41667,0.2656468934775769
CL0,Nscore,0.52135,0.2692918386293552
CL0,Nscore,0.62967,0.21515017839066347
CL0,Nscore,0.73545,0.13041002256246853
CL0,Nscore,0.82562,0.15657510216911769
CL0,Nscore,0.9109299999999999,0.15665800826731596
CL0,Nscore,1.02119,0.16624407269442398
CL0,Nscore,1.13281,0.20473390908875588
CL0,Nscore,1.23461,0.022822713651612918
CL0,Nscore,1.37297,0.00970132604183142
CL0,Nscore,1.49158,0.012189964028948046
CL0,Nscore,1.6038299999999999,0.010432030326654022
CL0,Nscore,1.72012,0.027305306346753464
CL0,Nscore,1.8399,0.3962183994629465
CL0,Nscore,1.98437,0.03538317486269774
CL0,Nscore,2.127,0.006061755141368684
CL0,Nscore,2.28554,0.50299865262979
CL0,Nscore,2.4626200000000003,0.36614125749441356
CL0,Nscore,2.61139,1.0897443310054592e-05
CL0,Nscore,2.82196,0.012540577043652083
CL0,Nscore,3.27393,0.003928603435763052
CL0,Escore,-3.27393,0.0017562822048723021
CL0,Escore,-3.00537,0.0038299684380467378
CL0,Escore,-2.72827,0.008242308196277796
CL0,Escore,-2.5383,0.0009562006297992574
CL0,Escore,-2.44904,0.017963081431102926
CL0,Escore,-2.32338,0.006657078255132756
CL0,Escore,-2.21069,0.00787655345421433
CL0,Escore,-2.11437,0.005074075965072126
CL0,Escore,-2.03972,0.00577957157466862
CL0,Escore,-1.92173,0.005975214552525601
CL0,Escore,-1.7625,0.0431147555925419
CL0,Escore,-1.6334,0.004122884738989898
CL0,Escore,-1.50796,0.2060948689158329
CL0,Escore,-1.37639,0.004112485993761295
CL0,Escore,-1.23177,0.3039642261931698
CL0,Escore,-1.09207,0.29618973549086763
CL0,Escore,-0.9477899999999999,0.003216987248682972
CL0,Escore,-0.80615,0.2463885704914192
CL0,Escore,-0.69509,0.1749820971196902
CL0,Escore,-0.57545,0.1692015329738227
CL0,Escore,-0.43998999999999994,0.10248708272761417
CL0,Escore,-0.30033000000000004,0.05162960279843571
CL0,Escore,-0.15487,0.09942757938270728
CL0,Escore,0.0033200000000000005,0.04699322745420866
CL0,Escore,0.16767,0.09588698013406458
CL0,Escore,0.32197,0.23221228566590055
CL0,Escore,0.47617,0.28946068279231346
CL0,Escore,0.63779,0.27468673731525806
CL0,Escore,0.80523,0.3067029794747994
CL0,Escore,0.9624799999999999,0.024051976776511406
CL0,Escore,1.11406,0.145912723029054
CL0,Escore,1.2861,0.01513049490064739
CL0,Escore,1.45421,0.1833984423679741
CL0,Escore,1.58487,0.029071195908250302
CL0,Escore,1.74091,0.020142241980453952
CL0,Escore,1.9388599999999998,0.48869332658918246
CL0,Escore,2.127,0.008907582605250028
CL0,Escore,2.32338,0.38202818872378225
CL0,Escore,2.57309,0.008484531087100754
CL0,Escore,2.8595,0.0022449421455431866
CL0,Escore,3.00537,0.0020812623257285144
CL0,Escore,3.27393,0.0013187093916586343
CL0,Oscore,-3.27393,0.005794994202814254
CL0,Oscore,-2.8595,0.002779898419445404
CL0,Oscore,-2.63199,0.014598426936254225
CL0,Oscore,-2.39883,0.005274170361487513
CL0,Oscore,-2.21069,0.5617251433430082
CL0,Oscore,-2.09015,0.5524214581514355
CL0,Oscore,-1.97495,0.006885727758171242
CL0,Oscore,-1.82919,0.34393286794115974
CL0,Oscore,-1.68062,0.4524906236343893
CL0,Oscore,-1.55521,0.4392778537516757
CL0,Oscore,-1.42424,0.005860960897111183
CL0,Oscore,-1.2755299999999998,0.02025671349112823
CL0,Oscore,-1.1190200000000001,0.011552067964721151
CL0,Oscore,-0.97631,0.1818481620590945
CL0,Oscore,-0.8473200000000001,0.18245492090953147
CL0,Oscore,-0.71727,0.0517983805499739
CL0,Oscore,-0.58331,0.13698037972560675
CL0,Oscore,-0.45174,0.13727113855421882
CL0,Oscore,-0.31776,0.09815375613069818
CL0,Oscore,-0.17779,0.15667525809039617
CL0,Oscore,-0.019280000000000002,0.16419333486595572
CL0,Oscore,0.14143,0.2754220211141515
CL0,Oscore,0.29338000000000003,0.018803764586132674
CL0,Oscore,0.44585,0.18247564102818034
CL0,Oscore,0.58331,0.18478110266208192
CL0,Oscore,0.7233,0.2916055192171549
CL0,Oscore,0.8830899999999999,0.014372800892244499
CL0,Oscore,1.0623799999999999,0.01561255724040312
CL0,Oscore,1.24033,0.005950321019766397
CL0,Oscore,1.43533,0.012711377920846395
CL0,Oscore,1.6565299999999998,0.0060176094857005424
CL0,Oscore,1.8851099999999998,0.01809436398398161
CL0,Oscore,2.1532400000000003,0.010242937546812343
CL0,Oscore,2.44904,0.005885009185766272
CL0,Oscore,2.90161,0.006406030145722802
CL0,Ascore,-3.4643599999999997,0.0027516060729047345
CL0,Ascore,-3.15735,0.0003700680262807954
CL0,Ascore,-3.00537,0.003831243204080604
CL0,Ascore,-2.90161,0.009300770669982621
CL0,Ascore,-2.78793,0.017073882029967635
CL0,Ascore,-2.70172,0.01890847783500534
CL0,Ascore,-2.5383,0.016638085025256353
CL0,Ascore,-2.35413,0.023864679813759206
CL0,Ascore,-2.21844,0.4260712228804469
CL0,Ascore,-2.07848,0.31652317713734984
CL0,Ascore,-1.92595,0.035118875005881116
CL0,Ascore,-1.772,0.20112312087301742
CL0,Ascore,-1.6209,0.19834284008069328
CL0,Ascore,-1.47955,0.28385844717876446
CL0,Ascore,-1.34289,0.19916416366620954
CL0,Ascore,-1.21213,0.21380368872835573
CL0,Ascore,-1.07533,0.013068372713153906
CL0,Ascore,-0.91699,0.14030794960676551
CL0,Ascore,-0.7609600000000001,0.13949988850187472
CL0,Ascore,-0.60633,0.19062549214820076
CL0,Ascore,-0.45321000000000006,0.03413902809262875
CL0,Ascore,-0.30172,0.03776620305262415
CL0,Ascore,-0.15487,0.13374635489313427
CL0,Ascore,-0.01729,0.1391791939184255
CL0,Ascore,0.13136,0.09164968316688586
CL0,Ascore,0.28783000000000003,0.10474756382694814
CL0,Ascore,0.43851999999999997,0.1730017362293676
CL0,Ascore,0.59042,0.17759045149879876
CL0,Ascore,0.7609600000000001,0.13624688438021249
CL0,Ascore,0.9415600000000001,0.2130298223961841
CL0,Ascore,1.11406,0.26353210146210493
CL0,Ascore,1.2861,0.175372903700803
CL0,Ascore,1.45039,0.02726971263213184
CL0,Ascore,1.6110799999999998,0.013502357396629664
CL0,Ascore,1.81866,0.34889879670118273
CL0,Ascore,2.03972,0.004453257154395982
CL0,Ascore,2.23427,0.026662033155691163
CL0,Ascore,2.4626200000000003,0.6069730353636316
CL0,Ascore,2.75696,0.009475341422165627
CL0,Ascore,3.15735,0.00491903300343593
CL0,Ascore,3.4643599999999997,0.001732633756024596
CL0,Cscore,-3.4643599999999997,0.005844255034093904
CL0,Cscore,-3.15735,0.0001256687548575239
CL0,Cscore,-2.90161,8.563419556890885e-05
CL0,Cscore,-2.72827,0.03186060250412927
CL0,Cscore,-2.57309,0.019117790992573092
CL0,Cscore,-2.4231700000000003,0.04456397576817258
CL0,Cscore,-2.30408,0.04862329237574558
CL0,Cscore,-2.18109,0.009470977471076917
CL0,Cscore,-2.04506,0.00432349845526121
CL0,Cscore,-1.92173,0.06753965845061703
CL0,Cscore,-1.7816900000000002,0.07198581179827876
CL0,Cscore,-1.6410099999999999,0.0108841280432537
CL0,Cscore,-1.5184,0.37397913624855683
CL0,Cscore,-1.3850200000000001,0.0012191973159517873
CL0,Cscore,-1.25773,0.04466428377925924
CL0,Cscore,-1.13788,0.04805938548610335
CL0,Cscore,-1.0145,0.23235268882882712
CL0,Cscore,-0.89891,0.01294553400718007
CL0,Cscore,-0.78155,0.014969532031783238
CL0,Cscore,-0.65253,0.18999308181036584
CL0,Cscore,-0.52745,0.1007661953694281
CL0,Cscore,-0.40581,0.14740521359069783
CL0,Cscore,-0.27607,0.1491717939715513
CL0,Cscore,-0.14277,0.0821458812581021
CL0,Cscore,-0.00665,0.04248868671736614
CL0,Cscore,0.12330999999999999,0.16064497417177195
CL0,Cscore,0.25953000000000004,0.16136520897185783
CL0,Cscore,0.41594,0.16222791455064803
CL0,Cscore,0.5848899999999999,0.11574853807768326
CL0,Cscore,0.7583,0.28405074317689505
CL0,Cscore,0.9394899999999999,0.04797240641750196
CL0,Cscore,1.1340700000000001,0.008522231986246832
CL0,Cscore,1.3061200000000002,0.14030181653176896
CL0,Cscore,1.46191,0.2633843596933426
CL0,Cscore,1.6308799999999999,0.029302203219289526
CL0,Cscore,1.81175,0.3185349540976467
CL0,Cscore,2.04506,0.016082632552646657
CL0,Cscore,2.33337,0.00967259706687449
CL0,Cscore,2.63199,0.014343584553769377
CL0,Cscore,3.00537,0.008968780862745517
CL0,Cscore,3.4643599999999997,0.9708923032256994
CL0,Impulsive,-2.55524,1.3609967379353578e-05
CL0,Impulsive,-1.37983,0.0809895449235468
CL0,Impulsive,-0.71126,0.11968042949639525
CL0,Impulsive,-0.21711999999999998,0.13409750791776295
CL0,Impulsive,0.19268,0.14523996255726135
CL0,Impulsive,0.52975,0.14273101677202119
CL0,Impulsive,0.88113,0.10145183876464257
CL0,Impulsive,1.29221,0.11532279548400809
CL0,Impulsive,1.8620299999999999,0.26047615494226667
CL0,Impulsive,2.90161,0.0035108535436088007
CL0,SS,-2.07848,0.3370547114431852
CL0,SS,-1.5485799999999998,0.2634319463870364
CL0,SS,-1.18084,0.1833664145150432
CL0,SS,-0.8463700000000001,0.2923814904829676
CL0,SS,-0.52593,0.09196607863023425
CL0,SS,-0.21575,0.11878732858549565
CL0,SS,0.07987000000000001,0.1251684394655864
CL0,SS,0.40148,0.07061056074875452
CL0,SS,0.7654,0.12770790272241345
CL0,SS,1.2247,0.1563145716133153
CL0,SS,1.92173,0.22015962305616274
CL1,Age,-0.9519700000000001,0.10431021413668153
CL1,Age,-0.07854,0.12045600258426664
CL1,Age,0.49788000000000004,0.1696441753158163
CL1,Age,1.09449,0.07560575714056325
CL1,Age,1.82213,0.05097740260031239
CL1,Age,2.59171,0.31336358677918463
CL1,Gender,-0.48246000000000006,0.15288402556928923
CL1,Gender,0.48246000000000006,0.076472590217178
CL1,Education,-2.43591,0.02196244322374506
CL1,Education,-1.7379,0.04690145971368276
CL1,Education,-1.43719,0.05483509434599233
CL1,Education,-1.22751,0.06175864599533994
CL1,Education,-0.6111300000000001,0.18615988429760388
CL1,Education,-0.059210000000000006,0.10154882337383486
CL1,Education,0.45468000000000003,0.10871289097878865
CL1,Education,1.16365,0.13052705049066265
CL1,Education,1.98437,0.022538378678267773
CL1,Country,-0.57009,0.18684661632301672
CL1,Country,-0.46841000000000005,0.1834064738314104
CL1,Country,-0.28519,0.10691311723428082
CL1,Country,-0.09765,0.13492540279735277
CL1,Country,0.21128000000000002,0.12164294225591395
CL1,Country,0.24923,0.12154624543563264
CL1,Country,0.9608200000000001,0.0816334992546061
CL1,Ethnicity,-1.1070200000000001,7.2429609742336964e-06
CL1,Ethnicity,-0.50212,0.14028322827034304
CL1,Ethnicity,-0.31685,0.1401775875443673
CL1,Ethnicity,-0.22166,0.07679158192411674
CL1,Ethnicity,0.1144,0.010248758587491342
CL1,Ethnicity,0.126,0.00949052666021206
CL1,Ethnicity,1.90725,1.3632488630014658e-34
