,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_fiblr__bin_num_percent,param_fiblr__eta,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
19,52.37662870883942,0.5552185798229686,0.15736651420593262,0.057927724594872394,1,1,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 1}",0.7087912087912088,0.7060439560439561,0.695054945054945,0.7129120879120879,0.6978021978021978,0.7019230769230769,0.695054945054945,0.7211538461538461,0.7170596393897365,0.7018030513176144,0.7057528213597578,0.00864890607363563,1,0.7301927194860813,0.7356989905169776,0.7438054450902417,0.7408993576017131,0.7441113490364025,0.737840318140104,0.7448761089018048,0.749311716121138,0.7324675324675325,0.7393430099312452,0.7398546547293241,0.005647849612564018
18,53.889695334434506,0.45167353083728984,0.14547595977783204,0.03431253993601573,1,0.1,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.1}",0.679945054945055,0.6854395604395604,0.6634615384615384,0.6854395604395604,0.6620879120879121,0.6510989010989011,0.657967032967033,0.6758241758241759,0.7004160887656034,0.6601941747572816,0.6721717588769612,0.014783715930956186,2,0.7011318446007954,0.7153563780972775,0.7141327623126338,0.7133680024472315,0.7171918017742429,0.707096971550933,0.7155093300703579,0.7096971550933007,0.7101604278074867,0.7055767761650115,0.710922144991927,0.004872774193772404
17,53.911841464042666,0.6473254744179743,0.1881560802459717,0.08127195493748932,1,0.01,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.01}",0.5714285714285714,0.5810439560439561,0.5631868131868132,0.5796703296703297,0.5370879120879121,0.5412087912087912,0.5398351648351648,0.5782967032967034,0.5880721220527045,0.5617198335644937,0.5641343242499312,0.017913600186770982,3,0.5913123279290303,0.5933007035790762,0.6072193331293974,0.6063016212909147,0.5955949831752829,0.5936066075252371,0.5929947996329152,0.587488528602019,0.5929717341482047,0.5935828877005348,0.5954373526712613,0.0060039416573307875
16,53.037233757972714,1.0545399123472017,0.2527211427688599,0.09772092932282204,1,0.001,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.001}",0.49862637362637363,0.49725274725274726,0.4876373626373626,0.4835164835164835,0.5054945054945055,0.46565934065934067,0.4423076923076923,0.4835164835164835,0.49375866851595007,0.49514563106796117,0.48527387833746216,0.017740091295220122,4,0.5117773019271948,0.4984704802691955,0.5105536861425513,0.5019883756500458,0.5116243499541144,0.5019883756500458,0.4973998164576323,0.4989293361884368,0.49106187929717343,0.5228418640183347,0.5046635465554725,0.0088742251156087
15,37.463788294792174,0.26656723879647026,0.118931245803833,0.03149188609658479,0.1,1,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 1}",0.37774725274725274,0.43131868131868134,0.4217032967032967,0.4230769230769231,0.4271978021978022,0.42994505494505497,0.38186813186813184,0.43956043956043955,0.44798890429958393,0.4105409153952843,0.4190751445086705,0.021859209851472227,5,0.4365249311716121,0.4317834200061181,0.4281125726521872,0.43239522789843987,0.4386662587947385,0.4313245640868767,0.4207708779443255,0.41511165494034874,0.4166539343009931,0.43880825057295647,0.4290151692368596,0.008275002525199365
14,36.957454037666324,0.5460969357275796,0.13698773384094237,0.04718879308794916,0.1,0.1,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 0.1}",0.3282967032967033,0.42032967032967034,0.39972527472527475,0.37362637362637363,0.3708791208791209,0.3956043956043956,0.3489010989010989,0.3956043956043956,0.4091539528432732,0.34535367545076284,0.37875034406826313,0.02880577395408244,6,0.38390945243193636,0.3910981951667177,0.3825328846742123,0.3816151728357296,0.3836035484857755,0.40960538390945245,0.39568675435913125,0.38498011624349954,0.3805958747135218,0.38105423987776926,0.38746816226977454,0.00866919945608248
13,37.230751633644104,0.5206110945223659,0.11568548679351806,0.03341186419238287,0.1,0.01,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 0.01}",0.3269230769230769,0.3956043956043956,0.385989010989011,0.3392857142857143,0.3241758241758242,0.3392857142857143,0.3241758241758242,0.375,0.37170596393897365,0.34812760055478503,0.35301403798513625,0.025471120612364374,7,0.35668400122361577,0.3687672070969715,0.37335576628938516,0.3589782808198226,0.36264912817375344,0.35806056898133987,0.36219027225451206,0.3609666564698685,0.35324675324675325,0.3630252100840336,0.3617923844640056,0.005535548559604723
11,35.58262016773224,0.37930641453166125,0.13919005393981934,0.0356945480419594,0.01,1,"{'fiblr__bin_num_percent': 0.01, 'fiblr__eta': 1}",0.31868131868131866,0.3873626373626374,0.37362637362637363,0.34203296703296704,0.3241758241758242,0.3228021978021978,0.33104395604395603,0.3804945054945055,0.3883495145631068,0.3287101248266297,0.34971098265895956,0.027592776290568156,8,0.35668400122361577,0.3614255123891098,0.3643315998776384,0.3533190578158458,0.3556133374120526,0.3618843683083512,0.3693790149892934,0.3598959926583053,0.35508021390374334,0.3677616501145913,0.3605374748692547,0.005184156508887814
7,35.33826320171356,0.5954498163492086,0.13641664981842042,0.03324475913539087,0.001,1,"{'fiblr__bin_num_percent': 0.001, 'fiblr__eta': 1}",0.31868131868131866,0.3873626373626374,0.37362637362637363,0.34203296703296704,0.3241758241758242,0.3228021978021978,0.32554945054945056,0.3804945054945055,0.3883495145631068,0.3287101248266297,0.3491604734379301,0.028011350547950148,9,0.35668400122361577,0.3614255123891098,0.3643315998776384,0.3533190578158458,0.3556133374120526,0.3618843683083512,0.36219027225451206,0.3598959926583053,0.35508021390374334,0.3677616501145913,0.3598186005957765,0.004337578729870059
3,37.554512929916385,0.6375693475930426,0.13133616447448732,0.03472140857200423,0,1,"{'fiblr__bin_num_percent': 0, 'fiblr__eta': 1}",0.31868131868131866,0.3873626373626374,0.37362637362637363,0.34203296703296704,0.32005494505494503,0.3228021978021978,0.32554945054945056,0.3804945054945055,0.3883495145631068,0.3287101248266297,0.348747591522158,0.02840419237039373,10,0.35668400122361577,0.3614255123891098,0.3643315998776384,0.3533190578158458,0.3539308657081676,0.3618843683083512,0.36219027225451206,0.3598959926583053,0.35508021390374334,0.3677616501145913,0.35965035342538804,0.004525969563940498
