Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.19042366521936435
CL0,Age,-0.07854,0.10829842173754305
CL0,Age,0.49788000000000004,0.10752417378135043
CL0,Age,1.09449,0.1810989844747644
CL0,Age,1.82213,0.10662051660682287
CL0,Age,2.59171,0.5245342270221542
CL0,Gender,-0.48246000000000006,0.12420968630446329
CL0,Gender,0.48246000000000006,0.19047029460340145
CL0,Education,-2.43591,0.01161449329086455
CL0,Education,-1.7379,0.1117990095608212
CL0,Education,-1.43719,0.18940017736547124
CL0,Education,-1.22751,0.18690762569334177
CL0,Education,-0.6111300000000001,0.1475151002727126
CL0,Education,-0.059210000000000006,0.13052008712570326
CL0,Education,0.45468000000000003,0.14488344548345458
CL0,Education,1.16365,0.13294885827590494
CL0,Education,1.98437,0.04939174441144014
CL0,Country,-0.57009,0.0903035909554551
CL0,Country,-0.46841000000000005,0.09415743220120325
CL0,Country,-0.28519,0.19463019851105723
CL0,Country,-0.09765,0.1445173390740808
CL0,Country,0.21128000000000002,0.08607905770491533
CL0,Country,0.24923,0.08581518096649893
CL0,Country,0.9608200000000001,0.2107627386341262
CL0,Ethnicity,-1.1070200000000001,8.922028184809201e-05
CL0,Ethnicity,-0.50212,0.16217750163664138
CL0,Ethnicity,-0.31685,0.14456393864125405
CL0,Ethnicity,-0.22166,0.15067905596143027
CL0,Ethnicity,0.1144,0.07314269202328355
CL0,Ethnicity,0.126,0.07107915525548174
CL0,Ethnicity,1.90725,4.0108416102508337e-13
CL0,Nscore,-3.4643599999999997,0.993072547318662
CL0,Nscore,-3.15735,0.9834195964223023
CL0,Nscore,-2.75696,0.10783489667393828
CL0,Nscore,-2.52197,0.06854939281014055
CL0,Nscore,-2.4231700000000003,0.8974908107597358
CL0,Nscore,-2.3436,0.012793008989460812
CL0,Nscore,-2.21844,0.15412002932478275
CL0,Nscore,-2.05048,0.3288640614362725
CL0,Nscore,-1.86962,0.25328687984280607
CL0,Nscore,-1.69163,0.15006101428540375
CL0,Nscore,-1.5507799999999998,0.16811046342739935
CL0,Nscore,-1.43907,0.21184441704377016
CL0,Nscore,-1.32828,0.20988690005751573
CL0,Nscore,-1.1943,0.15728467525785594
CL0,Nscore,-1.05308,0.1616763597296205
CL0,Nscore,-0.92104,0.10055472398021606
CL0,Nscore,-0.79151,0.15487807607727525
CL0,Nscore,-0.67825,0.1277522739155793
CL0,Nscore,-0.58016,0.12853629642223985
CL0,Nscore,-0.46725,0.13984943151027282
CL0,Nscore,-0.34799,0.16127959684097296
CL0,Nscore,-0.24649000000000001,0.20412477352422262
CL0,Nscore,-0.14882,0.12738981724205284
CL0,Nscore,-0.051879999999999996,0.1275835220813322
CL0,Nscore,0.04257,0.16552798896450946
CL0,Nscore,0.13606,0.12436303944592085
CL0,Nscore,0.22393000000000002,0.12392471624686116
CL0,Nscore,0.31287,0.23027183583781602
CL0,Nscore,0.41667,0.10803060194729092
CL0,Nscore,0.52135,0.10758728050482329
CL0,Nscore,0.62967,0.20613634643794915
CL0,Nscore,0.73545,0.08597478458907369
CL0,Nscore,0.82562,0.13705846042868983
CL0,Nscore,0.9109299999999999,0.13592894911307457
CL0,Nscore,1.02119,0.07836149248518719
CL0,Nscore,1.13281,0.01840840790646972
CL0,Nscore,1.23461,0.0917687611857773
CL0,Nscore,1.37297,0.1482077675067039
CL0,Nscore,1.49158,0.1393903690351542
CL0,Nscore,1.6038299999999999,0.1388324250815743
CL0,Nscore,1.72012,0.18880838954453485
CL0,Nscore,1.8399,0.08387893004098779
CL0,Nscore,1.98437,0.07725560862445256
CL0,Nscore,2.127,0.09933683881653789
CL0,Nscore,2.28554,0.2188366498887402
CL0,Nscore,2.4626200000000003,0.027266658349365654
CL0,Nscore,2.61139,0.4620502544023025
CL0,Nscore,2.82196,0.06726617089877834
CL0,Nscore,3.27393,6.032481300900199e-06
CL0,Escore,-3.27393,0.00021156697014041852
CL0,Escore,-3.00537,0.0065146917563364045
CL0,Escore,-2.72827,0.02357420579154788
CL0,Escore,-2.5383,0.1243307374659524
CL0,Escore,-2.44904,0.0020098666787575973
CL0,Escore,-2.32338,0.2675021347614391
CL0,Escore,-2.21069,0.268546254438921
CL0,Escore,-2.11437,0.2589909108857123
CL0,Escore,-2.03972,0.2570991808670378
CL0,Escore,-1.92173,0.2365729485037701
CL0,Escore,-1.7625,0.36893993741711706
CL0,Escore,-1.6334,0.2623566695171401
CL0,Escore,-1.50796,0.07738240779347491
CL0,Escore,-1.37639,0.10196870350256092
CL0,Escore,-1.23177,0.061089970894261846
CL0,Escore,-1.09207,0.06556731253080057
CL0,Escore,-0.9477899999999999,0.1365093921782808
CL0,Escore,-0.80615,0.11595337199007533
CL0,Escore,-0.69509,0.17382215079652827
CL0,Escore,-0.57545,0.17546072344554958
CL0,Escore,-0.43998999999999994,0.12825172733052062
CL0,Escore,-0.30033000000000004,0.14456518937533297
CL0,Escore,-0.15487,0.13505625434766066
CL0,Escore,0.0033200000000000005,0.1494920160932808
CL0,Escore,0.16767,0.17225893846190898
CL0,Escore,0.32197,0.22340064973923096
CL0,Escore,0.47617,0.139287742904442
CL0,Escore,0.63779,0.10904823776738562
CL0,Escore,0.80523,0.11236056448245527
CL0,Escore,0.9624799999999999,0.12521925793377087
CL0,Escore,1.11406,0.09134049243600177
CL0,Escore,1.2861,0.12264273089568047
CL0,Escore,1.45421,0.13188153277596917
CL0,Escore,1.58487,0.18944752349407107
CL0,Escore,1.74091,0.19317021201947907
CL0,Escore,1.9388599999999998,0.42102975108714313
CL0,Escore,2.127,0.17708899039762402
CL0,Escore,2.32338,0.19285972853524436
CL0,Escore,2.57309,0.02214269424991761
CL0,Escore,2.8595,0.946817235672968
CL0,Escore,3.00537,0.9505487790841999
CL0,Escore,3.27393,0.0032861649285444708
CL0,Oscore,-3.27393,0.993646799426861
CL0,Oscore,-2.8595,0.19693215322487972
CL0,Oscore,-2.63199,0.9612538041897479
CL0,Oscore,-2.39883,0.332325133505918
CL0,Oscore,-2.21069,0.18716358517821605
CL0,Oscore,-2.09015,0.1874113404764084
CL0,Oscore,-1.97495,0.3452507329011889
CL0,Oscore,-1.82919,0.1561177057101779
CL0,Oscore,-1.68062,0.2848198745782613
CL0,Oscore,-1.55521,0.2792667759349368
CL0,Oscore,-1.42424,0.2826356325021941
CL0,Oscore,-1.2755299999999998,0.12504187306412537
CL0,Oscore,-1.1190200000000001,0.221600257943823
CL0,Oscore,-0.97631,0.12537024414933873
CL0,Oscore,-0.8473200000000001,0.12912394168693486
CL0,Oscore,-0.71727,0.2981997512530101
CL0,Oscore,-0.58331,0.14769119889270188
CL0,Oscore,-0.45174,0.14894421725132395
CL0,Oscore,-0.31776,0.19281627856698208
CL0,Oscore,-0.17779,0.14663510190903967
CL0,Oscore,-0.019280000000000002,0.1596115139015449
CL0,Oscore,0.14143,0.08812232859045858
CL0,Oscore,0.29338000000000003,0.12532362557987847
CL0,Oscore,0.44585,0.11927230025075297
CL0,Oscore,0.58331,0.11964849899817792
CL0,Oscore,0.7233,0.11457371922418376
CL0,Oscore,0.8830899999999999,0.11359963396587464
CL0,Oscore,1.0623799999999999,0.12002729115540106
CL0,Oscore,1.24033,0.11991022716840759
CL0,Oscore,1.43533,0.08615578064190772
CL0,Oscore,1.6565299999999998,0.09924009965466739
CL0,Oscore,1.8851099999999998,0.18167977889187667
CL0,Oscore,2.1532400000000003,0.07581952829540572
CL0,Oscore,2.44904,0.10741566339178917
CL0,Oscore,2.90161,0.025788024776684727
CL0,Ascore,-3.4643599999999997,0.0031495508373606883
CL0,Ascore,-3.15735,0.0077174997322897645
CL0,Ascore,-3.00537,0.010997839150901304
CL0,Ascore,-2.90161,0.01740912102043856
CL0,Ascore,-2.78793,0.009595841293772354
CL0,Ascore,-2.70172,0.01075218720243334
CL0,Ascore,-2.5383,0.02337514243934627
CL0,Ascore,-2.35413,0.14452110203522275
CL0,Ascore,-2.21844,0.20037219471450354
CL0,Ascore,-2.07848,0.2250862702367491
CL0,Ascore,-1.92595,0.06439760035163193
CL0,Ascore,-1.772,0.13836481130170003
CL0,Ascore,-1.6209,0.13840094050023938
CL0,Ascore,-1.47955,0.05249699328369138
CL0,Ascore,-1.34289,0.09669312753539207
CL0,Ascore,-1.21213,0.13579027794878393
CL0,Ascore,-1.07533,0.12278668854847827
CL0,Ascore,-0.91699,0.12063449831911113
CL0,Ascore,-0.7609600000000001,0.12064575318211432
CL0,Ascore,-0.60633,0.14447868287250346
CL0,Ascore,-0.45321000000000006,0.14462831902111958
CL0,Ascore,-0.30172,0.17506535384054026
CL0,Ascore,-0.15487,0.13816597028342378
CL0,Ascore,-0.01729,0.1832992929205527
CL0,Ascore,0.13136,0.08291443180839538
CL0,Ascore,0.28783000000000003,0.14096313942437183
CL0,Ascore,0.43851999999999997,0.1334906703319914
CL0,Ascore,0.59042,0.13288018323668999
CL0,Ascore,0.7609600000000001,0.1882077457365989
CL0,Ascore,0.9415600000000001,0.18810264494436707
CL0,Ascore,1.11406,0.24487923584429042
CL0,Ascore,1.2861,0.24235178412204708
CL0,Ascore,1.45039,0.27049520688709233
CL0,Ascore,1.6110799999999998,0.07943605772107899
CL0,Ascore,1.81866,0.11277650634796751
CL0,Ascore,2.03972,0.1418269192275115
CL0,Ascore,2.23427,0.4267205673609999
CL0,Ascore,2.4626200000000003,0.4344944049383741
CL0,Ascore,2.75696,0.7178997256497325
CL0,Ascore,3.15735,0.0007017895415683634
CL0,Ascore,3.4643599999999997,0.9956698213279048
CL0,Cscore,-3.4643599999999997,0.9897191276691009
CL0,Cscore,-3.15735,0.0028423664548776584
CL0,Cscore,-2.90161,0.45146536369553225
CL0,Cscore,-2.72827,0.25316512737535213
CL0,Cscore,-2.57309,0.3969059461421769
CL0,Cscore,-2.4231700000000003,0.3905216806029232
CL0,Cscore,-2.30408,0.38818250513970337
CL0,Cscore,-2.18109,0.11338389176390236
CL0,Cscore,-2.04506,0.02554231187556565
CL0,Cscore,-1.92173,0.1117594891867024
CL0,Cscore,-1.7816900000000002,0.11612612555392514
CL0,Cscore,-1.6410099999999999,0.1353218748586534
CL0,Cscore,-1.5184,0.2789121146669765
CL0,Cscore,-1.3850200000000001,0.1760329949915295
CL0,Cscore,-1.25773,0.041081282235899394
CL0,Cscore,-1.13788,0.045463572842335064
CL0,Cscore,-1.0145,0.12226814803392907
CL0,Cscore,-0.89891,0.1357128804594095
CL0,Cscore,-0.78155,0.1354564946648493
CL0,Cscore,-0.65253,0.036602556228911266
CL0,Cscore,-0.52745,0.1677099626454878
CL0,Cscore,-0.40581,0.1562500021269896
CL0,Cscore,-0.27607,0.15697412830379123
CL0,Cscore,-0.14277,0.15470189322744507
CL0,Cscore,-0.00665,0.20057662068852644
CL0,Cscore,0.12330999999999999,0.14273079066755023
CL0,Cscore,0.25953000000000004,0.14151061407697837
CL0,Cscore,0.41594,0.14324867915445647
CL0,Cscore,0.5848899999999999,0.1712423545767006
CL0,Cscore,0.7583,0.2527319184614104
CL0,Cscore,0.9394899999999999,0.1550501074413668
CL0,Cscore,1.1340700000000001,0.13966795696843842
CL0,Cscore,1.3061200000000002,0.1659491313072325
CL0,Cscore,1.46191,0.13607546151800642
CL0,Cscore,1.6308799999999999,0.6350818957591543
CL0,Cscore,1.81175,0.2020930548778695
CL0,Cscore,2.04506,0.0983751169326338
CL0,Cscore,2.33337,0.10422716268201315
CL0,Cscore,2.63199,0.2480829618825199
CL0,Cscore,3.00537,0.987632482516804
CL0,Cscore,3.4643599999999997,0.9974871240196669
CL0,Impulsive,-2.55524,0.056020635417244155
CL0,Impulsive,-1.37983,0.20468826133681967
CL0,Impulsive,-0.71126,0.13383077174910687
CL0,Impulsive,-0.21711999999999998,0.14715621573367002
CL0,Impulsive,0.19268,0.14246813770570083
CL0,Impulsive,0.52975,0.1516320355166821
CL0,Impulsive,0.88113,0.1407528953975006
CL0,Impulsive,1.29221,0.11601108381846058
CL0,Impulsive,1.8620299999999999,0.0917048652782673
CL0,Impulsive,2.90161,0.120878000431538
CL0,SS,-2.07848,0.1624285545196723
CL0,SS,-1.5485799999999998,0.3157285285773782
CL0,SS,-1.18084,0.28508197752208614
CL0,SS,-0.8463700000000001,0.23342163395433987
CL0,SS,-0.52593,0.16610075956092518
CL0,SS,-0.21575,0.16634166490556743
CL0,SS,0.07987000000000001,0.15605757636530357
CL0,SS,0.40148,0.12651907329467282
CL0,SS,0.7654,0.17970096133766253
CL0,SS,1.2247,0.0752573478989805
CL0,SS,1.92173,0.10933951876877747
CL1,Age,-0.9519700000000001,0.02253300622137215
CL1,Age,-0.07854,0.15628595517131005
CL1,Age,0.49788000000000004,0.2997651052365028
CL1,Age,1.09449,0.4670644034668474
CL1,Age,1.82213,0.3373250227951637
CL1,Age,2.59171,0.47124465055003856
CL1,Gender,-0.48246000000000006,0.1426883375259
CL1,Gender,0.48246000000000006,0.13920985727025031
CL1,Education,-2.43591,0.047910658181360095
CL1,Education,-1.7379,0.17417134728764755
CL1,Education,-1.43719,0.04236016095129538
CL1,Education,-1.22751,0.04917246295184503
CL1,Education,-0.6111300000000001,0.15420404174028876
CL1,Education,-0.059210000000000006,0.12997834870412428
CL1,Education,0.45468000000000003,0.13850015014057374
CL1,Education,1.16365,0.20599950590379354
CL1,Education,1.98437,0.13827973581775851
CL1,Country,-0.57009,0.1889906882311627
CL1,Country,-0.46841000000000005,0.18525815232210574
CL1,Country,-0.28519,0.15440708966663533
CL1,Country,-0.09765,0.11331319094195016
CL1,Country,0.21128000000000002,0.14373480206624914
CL1,Country,0.24923,0.14383352145800266
CL1,Country,0.9608200000000001,0.09802521227404787
CL1,Ethnicity,-1.1070200000000001,0.05270010394021139
CL1,Ethnicity,-0.50212,0.15488225248329174
CL1,Ethnicity,-0.31685,0.14541985125855575
CL1,Ethnicity,-0.22166,0.11734075694234546
CL1,Ethnicity,0.1144,0.09681805568479321
CL1,Ethnicity,0.126,0.0962397145018958
CL1,Ethnicity,1.90725,4.685342792928969e-47
CL1,Nscore,-3.4643599999999997,0.001798795800713246
CL1,Nscore,-3.15735,0.0041262973927662415
CL1,Nscore,-2.75696,0.4376232909319368
CL1,Nscore,-2.52197,0.3448110836440141
CL1,Nscore,-2.4231700000000003,0.0019780565545784515
CL1,Nscore,-2.3436,0.5667691377675828
CL1,Nscore,-2.21844,0.0020910627867804154
CL1,Nscore,-2.05048,0.0003604919545994099
CL1,Nscore,-1.86962,0.43647372833889725
CL1,Nscore,-1.69163,0.034330511528579785
CL1,Nscore,-1.5507799999999998,0.12129489352819456
CL1,Nscore,-1.43907,0.06459232884992164
CL1,Nscore,-1.32828,0.039927368856237454
CL1,Nscore,-1.1943,0.1916761784537653
CL1,Nscore,-1.05308,0.1782398331456527
CL1,Nscore,-0.92104,0.09432785775277239
CL1,Nscore,-0.79151,0.2645801099172263
CL1,Nscore,-0.67825,0.2035883118453503
CL1,Nscore,-0.58016,0.19980415132134383
CL1,Nscore,-0.46725,0.2644109609416658
CL1,Nscore,-0.34799,0.13808659191543465
CL1,Nscore,-0.24649000000000001,0.08903260842056182
CL1,Nscore,-0.14882,0.06806433065111962
CL1,Nscore,-0.051879999999999996,0.07060283929008546
CL1,Nscore,0.04257,0.11954226974882261
CL1,Nscore,0.13606,0.0984023017019651
CL1,Nscore,0.22393000000000002,0.098018598865862
CL1,Nscore,0.31287,0.1599647880044186
CL1,Nscore,0.41667,0.19804316350135318
CL1,Nscore,0.52135,0.20113602897483904
CL1,Nscore,0.62967,0.10300675069464266
CL1,Nscore,0.73545,0.19208474349111157
CL1,Nscore,0.82562,0.11020362821630168
CL1,Nscore,0.9109299999999999,0.1082073911947808
CL1,Nscore,1.02119,0.1686324803698909
CL1,Nscore,1.13281,0.2220844386356373
CL1,Nscore,1.23461,0.07352018501278396
CL1,Nscore,1.37297,0.06652034818493381
CL1,Nscore,1.49158,0.11973305128913807
CL1,Nscore,1.6038299999999999,0.11831633979216588
CL1,Nscore,1.72012,0.23852400318118894
CL1,Nscore,1.8399,0.2537350602685573
CL1,Nscore,1.98437,0.10316795128250117
CL1,Nscore,2.127,0.34447235146729366
CL1,Nscore,2.28554,0.3815727119082711
CL1,Nscore,2.4626200000000003,0.00016093721367685696
CL1,Nscore,2.61139,0.008807053701553802
CL1,Nscore,2.82196,0.34987497906112885
CL1,Nscore,3.27393,0.0047141923694394095
CL1,Escore,-3.27393,0.0016751035936269647
CL1,Escore,-3.00537,0.00431602204567773
CL1,Escore,-2.72827,0.22188286423875853
CL1,Escore,-2.5383,0.01886795590445421
CL1,Escore,-2.44904,0.006233738680697459
CL1,Escore,-2.32338,0.4863703228347199
CL1,Escore,-2.21069,0.47486854546269125
CL1,Escore,-2.11437,0.24620260966181015
CL1,Escore,-2.03972,0.24454702054269126
CL1,Escore,-1.92173,0.2701578091591365
CL1,Escore,-1.7625,0.495791887466484
CL1,Escore,-1.6334,0.29187913505143154
CL1,Escore,-1.50796,0.23784373176340132
CL1,Escore,-1.37639,0.17935379558327458
CL1,Escore,-1.23177,0.26055045793034187
CL1,Escore,-1.09207,0.2532579591478447
CL1,Escore,-0.9477899999999999,0.17232878171141636
CL1,Escore,-0.80615,0.1254476721569202
CL1,Escore,-0.69509,0.08773014140178084
CL1,Escore,-0.57545,0.09234000907534487
CL1,Escore,-0.43998999999999994,0.10354310808107661
