,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_fiblr__bin_num_percent,param_fiblr__eta,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
19,74.46498656272888,0.5062023480700286,0.21950371265411378,0.06613565629461816,1,1,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 1}",0.92988606485539,0.9561787905346187,0.9316389132340053,0.9044697633654689,0.901840490797546,0.9106047326906223,0.9141104294478528,0.9197530864197531,0.9162257495590829,0.9126984126984127,0.9197471244182983,0.015188249605064064,1,0.9254488680718189,0.9320843091334895,0.9314012490241999,0.9307181889149102,0.9352068696330992,0.9310109289617486,0.9369633099141296,0.9286201852754754,0.928717698683569,0.9327157484154072,0.9312887356027847,0.0031380356036230387
18,74.13701329231262,0.8546616469612103,0.21136386394500734,0.04732460384600828,1,0.1,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.1}",0.9009640666082384,0.908851884312007,0.8904469763365469,0.8711656441717791,0.8536371603856266,0.8624014022787029,0.8518843120070114,0.8783068783068783,0.8703703703703703,0.8624338624338624,0.8750548775133901,0.018488361972480147,2,0.8905152224824356,0.8770491803278688,0.8911007025761124,0.8887587822014051,0.8905152224824356,0.8897345823575332,0.8821233411397346,0.886396879570941,0.8901023890784983,0.8927352510970259,0.887903155331399,0.004578493103352797
17,75.84519026279449,0.5262666257307999,0.39119532108306887,0.10055000036032843,1,0.01,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.01}",0.7843996494303243,0.7984224364592463,0.7659947414548641,0.782646801051709,0.768624014022787,0.7659947414548641,0.7502191060473269,0.7751322751322751,0.7707231040564374,0.7707231040564374,0.7732900166827641,0.012338414337186753,3,0.779664324746292,0.7771272443403591,0.7790788446526151,0.7802498048399688,0.7909836065573771,0.7910811865729899,0.7812256049960968,0.7792296440760604,0.7854705021940517,0.7900536323744515,0.7834164395350263,0.00518734541482976
16,72.42041037082672,0.33721881952113203,0.1807703733444214,0.0010981442326722486,1,0.001,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.001}",0.7493426818580193,0.7554776511831727,0.7037686240140227,0.7440841367221736,0.7414548641542507,0.7169149868536372,0.7160385626643295,0.718694885361552,0.7389770723104057,0.7301587301587301,0.7314953024848538,0.016114131152072008,4,0.7263856362217018,0.7354605776736924,0.7321428571428571,0.7291178766588603,0.7448282591725215,0.7372170179547228,0.7413153786104606,0.7248171623598245,0.7306679668454412,0.7495855680156022,0.7351538300655684,0.007704120588863743
15,57.83413481712341,0.9100762145074416,0.21227240562438965,0.06297107452760363,0.1,1,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 1}",0.6625766871165644,0.6538124452234881,0.6380368098159509,0.6599474145486416,0.6187554776511832,0.6573181419807187,0.6292725679228747,0.6463844797178131,0.6525573192239859,0.6146384479717814,0.6433400649749759,0.016427641283669615,5,0.6470530835284933,0.6413934426229508,0.6449063231850117,0.6461748633879781,0.6511514441842311,0.6831576893052302,0.6462724434035909,0.644563627498781,0.6455387615797172,0.6285714285714286,0.6478783107267413,0.013044585221780964
14,59.41379091739655,0.6652031420809947,0.1657895565032959,0.041055318937536445,0.1,0.1,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 0.1}",0.5924627519719544,0.5915863277826467,0.544259421560035,0.5530236634531113,0.5381244522348817,0.551270815074496,0.5433829973707275,0.5546737213403881,0.5634920634920635,0.5493827160493827,0.5581701641935201,0.018176451341114012,6,0.5736729117876659,0.5686963309914129,0.5518149882903981,0.5568891491022638,0.5599141295862607,0.5900663544106167,0.5608899297423887,0.5568990736226231,0.5556313993174061,0.5759141882008776,0.5650388455051913,0.011278713037584882
3,59.122267198562625,1.5848416473400113,0.18637459278106688,0.04320673261693847,0,1,"{'fiblr__bin_num_percent': 0, 'fiblr__eta': 1}",0.5617879053461875,0.5758106923751095,0.5644171779141104,0.5565293602103418,0.5477651183172656,0.5284837861524978,0.5346187554776511,0.5590828924162258,0.5767195767195767,0.5396825396825397,0.5544823952937045,0.015689123437265626,7,0.5526932084309133,0.5557181889149102,0.5613778298204528,0.5604020296643247,0.5579625292740047,0.5554254488680718,0.5608899297423887,0.557679180887372,0.5588493417844954,0.5590443686006826,0.5580042055987616,0.002597006472182284
7,60.28893957138062,0.7842002192835879,0.16492650508880616,0.03610813863985912,0.001,1,"{'fiblr__bin_num_percent': 0.001, 'fiblr__eta': 1}",0.5617879053461875,0.5758106923751095,0.5644171779141104,0.5565293602103418,0.5477651183172656,0.5284837861524978,0.5346187554776511,0.5590828924162258,0.5767195767195767,0.5396825396825397,0.5544823952937045,0.015689123437265626,7,0.5525956284153005,0.5557181889149102,0.5613778298204528,0.5604020296643247,0.5579625292740047,0.555327868852459,0.5608899297423887,0.557679180887372,0.5588493417844954,0.5590443686006826,0.5579846895956391,0.0026267741767780975
11,55.340145802497865,0.7629991912251003,0.1402428150177002,0.03695425102468125,0.01,1,"{'fiblr__bin_num_percent': 0.01, 'fiblr__eta': 1}",0.5617879053461875,0.5758106923751095,0.5644171779141104,0.5565293602103418,0.5477651183172656,0.5284837861524978,0.5346187554776511,0.5590828924162258,0.5767195767195767,0.5396825396825397,0.5544823952937045,0.015689123437265626,7,0.5525956284153005,0.5557181889149102,0.5613778298204528,0.5604020296643247,0.5579625292740047,0.5554254488680718,0.5608899297423887,0.557679180887372,0.5588493417844954,0.5590443686006826,0.5579944475972003,0.002617049678783058
6,56.5423969745636,0.6084573298966798,0.20052886009216309,0.07558216671646636,0.001,0.1,"{'fiblr__bin_num_percent': 0.001, 'fiblr__eta': 0.1}",0.558282208588957,0.5661700262927257,0.5460122699386503,0.551270815074496,0.5276073619631901,0.523225241016652,0.5284837861524978,0.5493827160493827,0.5679012345679012,0.5291005291005291,0.5447361489156204,0.015842570216910216,10,0.5428376268540203,0.5422521467603435,0.5416666666666666,0.561768149882904,0.5494730679156908,0.5475214676034348,0.5533762685402029,0.5492930277913213,0.54305216967333,0.5490980009751341,0.5480338592663049,0.005899247823920035
2,54.39814968109131,0.4118969816340505,0.12628142833709716,0.0010230470000685598,0,0.1,"{'fiblr__bin_num_percent': 0, 'fiblr__eta': 0.1}",0.558282208588957,0.5661700262927257,0.5460122699386503,0.5381244522348817,0.5267309377738826,0.5267309377738826,0.530236634531113,0.5476190476190477,0.5670194003527337,0.5264550264550265,0.5433312845728334,0.01537992429706749,11,0.5415690866510539,0.5433255269320844,0.5426424668227947,0.546935987509758,0.5485948477751756,0.5494730679156908,0.555327868852459,0.5500731350560703,0.5412969283276451,0.5510482691370063,0.5470287184979739,0.004453663549736931
10,60.55889070034027,1.1430916240679732,0.1844918966293335,0.05419414915826021,0.01,0.1,"{'fiblr__bin_num_percent': 0.01, 'fiblr__eta': 0.1}",0.558282208588957,0.5661700262927257,0.5486415425065732,0.5381244522348817,0.523225241016652,0.5276073619631901,0.5249780893952674,0.544973544973545,0.5679012345679012,0.5291005291005291,0.5428922644657125,0.016110764414906734,12,0.542447306791569,0.5450819672131147,0.546935987509758,0.5471311475409836,0.5470335675253708,0.5509367681498829,0.5510343481654957,0.5477328132618235,0.5431496830814238,0.5506582155046319,0.5472141804744054,0.0029066847341180026
9,56.87490339279175,1.6253196556008336,0.26194324493408205,0.1035395827412342,0.01,0.01,"{'fiblr__bin_num_percent': 0.01, 'fiblr__eta': 0.01}",0.5284837861524978,0.5626643295354952,0.5381244522348817,0.5381244522348817,0.4829097283085013,0.5153374233128835,0.5100788781770377,0.5299823633156967,0.527336860670194,0.5220458553791887,0.5255070682237246,0.019764191472676104,13,0.5128805620608899,0.5422521467603435,0.5406908665105387,0.5317135050741608,0.5042935206869633,0.5358118657298985,0.5394223263075723,0.5366162847391517,0.5084349098000975,0.5328132618235008,0.5284929249493117,0.013556666647950903
1,58.40599977970123,0.9348892568777156,0.1957489013671875,0.054821595826792587,0,0.01,"{'fiblr__bin_num_percent': 0, 'fiblr__eta': 0.01}",0.5521472392638037,0.5521472392638037,0.5013146362839614,0.5127081507449606,0.48466257668711654,0.49167397020157755,0.5021910604732691,0.5229276895943563,0.5458553791887125,0.5202821869488536,0.5185705505312144,0.02345247184704496,14,0.5214676034348166,0.5396174863387978,0.51775956284153,0.5165886026541764,0.5081967213114754,0.5117096018735363,0.5355191256830601,0.5243295953193564,0.5229644076060458,0.5265724037055095,0.5224725110768305,0.00928517452592947
5,54.99245665073395,0.48364523016185257,0.12644565105438232,0.0008072818181035098,0.001,0.01,"{'fiblr__bin_num_percent': 0.001, 'fiblr__eta': 0.01}",0.537248028045574,0.5460122699386503,0.5170902716914987,0.5390008764241893,0.48466257668711654,0.4925503943908852,0.4706397896581946,0.5414462081128748,0.5379188712522046,0.5061728395061729,0.5172534902098516,0.02585640959123014,15,0.5239071038251366,0.5269320843091335,0.5233216237314599,0.5455698672911787,0.5081967213114754,0.5118071818891491,0.5000975800156128,0.5341784495368113,0.5221843003412969,0.5167235494880547,0.5212918461739309,0.012371590803683026
13,62.716760873794556,0.6013134001985329,0.2836052179336548,0.13314240002791827,0.1,0.01,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 0.01}",0.5188431200701139,0.5135845749342682,0.4934268185801928,0.5004382120946538,0.4618755477651183,0.4662576687116564,0.4566170026292726,0.47530864197530864,0.47795414462081126,0.4585537918871252,0.4823074896830275,0.021765908520563794,16,0.4955113192818111,0.49434035909445745,0.4822404371584699,0.47862997658079626,0.491120218579235,0.49121779859484777,0.48526541764246683,0.4953681131155534,0.4826913700633837,0.4841540711847879,0.4880539081295809,0.005851415696445897
12,56.649890947341916,0.7973327299140299,0.2714200019836426,0.12108206059257111,0.1,0.001,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 0.001}",0.3567046450482033,0.38650306748466257,0.35758106923751093,0.37072743207712533,0.3838737949167397,0.4469763365468887,0.4688869412795793,0.43562610229276894,0.37389770723104054,0.36684303350970016,0.3947668803231188,0.038353734709629585,17,0.33391881342701013,0.33791959406713507,0.3524590163934426,0.3561670569867291,0.3766588602654176,0.4746291959406714,0.49346213895394225,0.44300341296928325,0.37376889322281814,0.40497318381277425,0.3946960166039224,0.05434376118029855
4,60.29235663414001,0.7120952430903809,0.1836538791656494,0.05498883589422461,0.001,0.001,"{'fiblr__bin_num_percent': 0.001, 'fiblr__eta': 0.001}",0.3470639789658195,0.25241016652059595,0.31200701139351444,0.4136722173531989,0.33304119193689746,0.2401402278702892,0.34005258545135847,0.18783068783068782,0.35802469135802467,0.19753086419753085,0.2982702607779436,0.07083320815065361,18,0.3316744730679157,0.22736143637782982,0.2822014051522248,0.4063231850117096,0.35763075722092114,0.26346604215456676,0.3510928961748634,0.20721599219892736,0.3580692345197465,0.19561189663578743,0.2980647318514492,0.06928772814092267
