Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.3510534900599302
CL0,Age,-0.07854,0.11991019043427369
CL0,Age,0.49788000000000004,0.07002245742440845
CL0,Age,1.09449,0.12485765287465862
CL0,Age,1.82213,0.1798250293195492
CL0,Age,2.59171,0.9917751939210555
CL0,Gender,-0.48246000000000006,0.13743574615133775
CL0,Gender,0.48246000000000006,0.25396200598852176
CL0,Education,-2.43591,0.006201050313343465
CL0,Education,-1.7379,0.08045227730021086
CL0,Education,-1.43719,0.07280135957384992
CL0,Education,-1.22751,0.07950675648649318
CL0,Education,-0.6111300000000001,0.1263453062512081
CL0,Education,-0.059210000000000006,0.2141699907084747
CL0,Education,0.45468000000000003,0.1808283729847137
CL0,Education,1.16365,0.31115358044970026
CL0,Education,1.98437,0.16990804598274767
CL0,Country,-0.57009,0.11256991682185939
CL0,Country,-0.46841000000000005,0.11557196999232497
CL0,Country,-0.28519,0.23244293446939493
CL0,Country,-0.09765,0.2539907124024728
CL0,Country,0.21128000000000002,0.07838200422293659
CL0,Country,0.24923,0.07713232233631624
CL0,Country,0.9608200000000001,0.37221985838489857
CL0,Ethnicity,-1.1070200000000001,0.30234243410340256
CL0,Ethnicity,-0.50212,0.14321032502671385
CL0,Ethnicity,-0.31685,0.14411682403370993
CL0,Ethnicity,-0.22166,0.13060352117540133
CL0,Ethnicity,0.1144,0.07333292813324696
CL0,Ethnicity,0.126,0.07158065870760372
CL0,Ethnicity,1.90725,1.0
CL0,Nscore,-3.4643599999999997,0.9964807008571628
CL0,Nscore,-3.15735,0.9908229816490252
CL0,Nscore,-2.75696,0.03193912881553499
CL0,Nscore,-2.52197,0.0334567759343638
CL0,Nscore,-2.4231700000000003,0.9326624385805519
CL0,Nscore,-2.3436,0.9403249400729436
CL0,Nscore,-2.21844,0.9052442041913368
CL0,Nscore,-2.05048,0.4436707465229158
CL0,Nscore,-1.86962,0.08227406754417907
CL0,Nscore,-1.69163,0.21009452821788613
CL0,Nscore,-1.5507799999999998,0.08396049619191495
CL0,Nscore,-1.43907,0.24015474558411365
CL0,Nscore,-1.32828,0.42207585176830076
CL0,Nscore,-1.1943,0.2999168577190143
CL0,Nscore,-1.05308,0.5575184489808673
CL0,Nscore,-0.92104,0.35213917578996623
CL0,Nscore,-0.79151,0.13498999572600087
CL0,Nscore,-0.67825,0.20275652584389323
CL0,Nscore,-0.58016,0.20175294100705388
CL0,Nscore,-0.46725,0.25433502999343816
CL0,Nscore,-0.34799,0.22649868412462312
CL0,Nscore,-0.24649000000000001,0.16597442877570867
CL0,Nscore,-0.14882,0.15887485921347264
CL0,Nscore,-0.051879999999999996,0.1593773153747608
CL0,Nscore,0.04257,0.16181947533306987
CL0,Nscore,0.13606,0.10296788048401406
CL0,Nscore,0.22393000000000002,0.10333905512160342
CL0,Nscore,0.31287,0.258922695407071
CL0,Nscore,0.41667,0.1057833444668089
CL0,Nscore,0.52135,0.10593391658232466
CL0,Nscore,0.62967,0.1599889860952167
CL0,Nscore,0.73545,0.09055738266366167
CL0,Nscore,0.82562,0.2351400781335807
CL0,Nscore,0.9109299999999999,0.23742956355569922
CL0,Nscore,1.02119,0.11758813999076599
CL0,Nscore,1.13281,0.05109350176420765
CL0,Nscore,1.23461,0.10846225795075096
CL0,Nscore,1.37297,0.21782532302765126
CL0,Nscore,1.49158,0.2555480523879486
CL0,Nscore,1.6038299999999999,0.26150057715041464
CL0,Nscore,1.72012,0.044724576670320565
CL0,Nscore,1.8399,0.19134479850859487
CL0,Nscore,1.98437,0.3620267007776005
CL0,Nscore,2.127,0.14818508060478394
CL0,Nscore,2.28554,0.7013782547605442
CL0,Nscore,2.4626200000000003,0.03237939472836582
CL0,Nscore,2.61139,0.7927398013561986
CL0,Nscore,2.82196,0.16052359169171942
CL0,Nscore,3.27393,0.9407064571064331
CL0,Escore,-3.27393,0.978469328988987
CL0,Escore,-3.00537,0.006560726096547862
CL0,Escore,-2.72827,0.9395761388611692
CL0,Escore,-2.5383,0.2916863263428947
CL0,Escore,-2.44904,0.8568661901693903
CL0,Escore,-2.32338,0.6409657823063509
CL0,Escore,-2.21069,0.6264598818713045
CL0,Escore,-2.11437,0.028103825830316603
CL0,Escore,-2.03972,0.03026046371985079
CL0,Escore,-1.92173,0.05777621799437138
CL0,Escore,-1.7625,0.29820718330746127
CL0,Escore,-1.6334,0.16481177293272112
CL0,Escore,-1.50796,0.014650250010781714
CL0,Escore,-1.37639,0.2378571605989023
CL0,Escore,-1.23177,0.18206319993539213
CL0,Escore,-1.09207,0.18090742023371847
CL0,Escore,-0.9477899999999999,0.19790221556463572
CL0,Escore,-0.80615,0.10663040148712981
CL0,Escore,-0.69509,0.1275666118243617
CL0,Escore,-0.57545,0.10671666313565048
CL0,Escore,-0.43998999999999994,0.18074879296453175
CL0,Escore,-0.30033000000000004,0.22894467640494484
CL0,Escore,-0.15487,0.11509899421684121
CL0,Escore,0.0033200000000000005,0.18896773187322835
CL0,Escore,0.16767,0.10482007723444006
CL0,Escore,0.32197,0.1807499502339111
CL0,Escore,0.47617,0.11407554566928849
CL0,Escore,0.63779,0.05764018813061525
CL0,Escore,0.80523,0.169664127788898
CL0,Escore,0.9624799999999999,0.20051449867817323
CL0,Escore,1.11406,0.16563312665557772
CL0,Escore,1.2861,0.4959424099524477
CL0,Escore,1.45421,0.34885987156350845
CL0,Escore,1.58487,0.30999189623874396
CL0,Escore,1.74091,0.1800466076838117
CL0,Escore,1.9388599999999998,0.460238340678087
CL0,Escore,2.127,0.18411733649511816
CL0,Escore,2.32338,0.7077297974555414
CL0,Escore,2.57309,0.9690727009722547
CL0,Escore,2.8595,0.9836441862615564
CL0,Escore,3.00537,0.9902968921815777
CL0,Escore,3.27393,0.9959672728467134
CL0,Oscore,-3.27393,0.997607012005949
CL0,Oscore,-2.8595,0.990435245686874
CL0,Oscore,-2.63199,0.9732709773688039
CL0,Oscore,-2.39883,0.044199836220368056
CL0,Oscore,-2.21069,0.9049418475043893
CL0,Oscore,-2.09015,0.887303116478496
CL0,Oscore,-1.97495,0.8779293724770123
CL0,Oscore,-1.82919,0.19669347639437673
CL0,Oscore,-1.68062,0.5175237138371453
CL0,Oscore,-1.55521,0.5049042434100461
CL0,Oscore,-1.42424,0.32030704390249515
CL0,Oscore,-1.2755299999999998,0.4893770582675408
CL0,Oscore,-1.1190200000000001,0.4158007723950914
CL0,Oscore,-0.97631,0.2301911684954502
CL0,Oscore,-0.8473200000000001,0.22404353130086013
CL0,Oscore,-0.71727,0.3495433857135946
CL0,Oscore,-0.58331,0.14629628662470007
CL0,Oscore,-0.45174,0.14479171847383854
CL0,Oscore,-0.31776,0.12369109691256482
CL0,Oscore,-0.17779,0.12441541836139401
CL0,Oscore,-0.019280000000000002,0.1905816173108304
CL0,Oscore,0.14143,0.08667910408452886
CL0,Oscore,0.29338000000000003,0.12687991667915227
CL0,Oscore,0.44585,0.15426592802259192
CL0,Oscore,0.58331,0.15431277149485947
CL0,Oscore,0.7233,0.10036584798884532
CL0,Oscore,0.8830899999999999,0.21394250201190548
CL0,Oscore,1.0623799999999999,0.13339987698498706
CL0,Oscore,1.24033,0.06292357860164367
CL0,Oscore,1.43533,0.14405051279495953
