,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_fiblr__bin_num_percent,param_fiblr__eta,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
19,51.68999474048614,0.5412571068024236,0.1558455228805542,0.04649441549977142,1,1,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 1}",0.6685159500693482,0.6638655462184874,0.6498599439775911,0.65406162464986,0.6498599439775911,0.6512605042016807,0.6456582633053222,0.6498599439775911,0.6750700280112045,0.6414565826330533,0.6549601231285854,0.010147253509064024,1,0.6920323685029567,0.7001399036219493,0.6933001709933158,0.6835069174568631,0.6993626612777865,0.7010725944349449,0.700606249028447,0.7035597699362661,0.6875485776465102,0.6942328618063112,0.695536207470535,0.006197190723634468
18,51.10811071395874,0.4798636005596875,0.20260496139526368,0.06514786456796405,1,0.1,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.1}",0.6421636615811374,0.6722689075630253,0.6554621848739496,0.6358543417366946,0.6162464985994398,0.5896358543417367,0.6176470588235294,0.6246498599439776,0.6834733893557423,0.6148459383753502,0.6352315656918986,0.027250892573309198,2,0.6677559912854031,0.6831960205191979,0.6772889787035598,0.6713819368879217,0.6797761542048811,0.6676511736359397,0.6676511736359397,0.6828851235815327,0.6702937976060935,0.6817969842997047,0.6749677334360173,0.0063191333644020695
17,51.14049844741821,0.3909355780598572,0.21244325637817382,0.07193281982543424,1,0.01,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.01}",0.5436893203883495,0.5644257703081232,0.5756302521008403,0.5560224089635855,0.5210084033613446,0.5154061624649859,0.5322128851540616,0.5252100840336135,0.6092436974789915,0.5364145658263305,0.5479222051210298,0.027483494335487777,3,0.572051042639278,0.5760920254935489,0.5793564433390331,0.570806777553241,0.5711176744909062,0.5812218249650241,0.5760920254935489,0.589460593813151,0.576402922431214,0.5793564433390331,0.5771957773557979,0.005322291241199119
16,51.80915238857269,0.3201942233714141,0.15889573097229004,0.052132064628236004,1,0.001,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.001}",0.44382801664355065,0.530812324929972,0.49019607843137253,0.47619047619047616,0.41596638655462187,0.42436974789915966,0.4649859943977591,0.4523809523809524,0.48739495798319327,0.45098039215686275,0.4636910591856723,0.032294025585764566,4,0.470432617491441,0.5112700139903622,0.4713197575003886,0.4902844706979636,0.48049121716151094,0.48499922275765583,0.4932379916057827,0.49432613088761074,0.47427327840820765,0.4766050054406964,0.4847239705941619,0.012154603438033451
15,37.1427214384079,0.310490867735843,0.13846254348754883,0.04659594608049849,0.1,1,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 1}",0.391123439667129,0.39775910364145656,0.38935574229691877,0.45098039215686275,0.3795518207282913,0.34173669467787116,0.3599439775910364,0.39915966386554624,0.4481792717086835,0.4173669467787115,0.3975094445221771,0.032810104453520346,5,0.40709617180205415,0.4092958184361884,0.4120938908751749,0.4127156847505052,0.4211099020674646,0.418000932690813,0.4310586040727499,0.4091403699673558,0.3985698740867403,0.41458106637649617,0.41336623151255425,0.008310564549261407
14,36.62801990509033,0.5196724863225973,0.1492684841156006,0.06770783985190917,0.1,0.1,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 0.1}",0.37309292649098474,0.3851540616246499,0.37815126050420167,0.40756302521008403,0.34173669467787116,0.32072829131652664,0.3277310924369748,0.3851540616246499,0.43137254901960786,0.38095238095238093,0.3731635651322233,0.03276490695140206,6,0.3955804544039838,0.37354267060469454,0.384890408829473,0.38411316648531013,0.3965490439919167,0.3928182807399347,0.39328462614643245,0.390486553707446,0.378206124669672,0.3892429659567853,0.3878714295535649,0.007203933330513751
7,34.806962156295775,0.4141974116862529,0.14591121673583984,0.05658630399641598,0.001,1,"{'fiblr__bin_num_percent': 0.001, 'fiblr__eta': 1}",0.34535367545076284,0.3851540616246499,0.3277310924369748,0.3599439775910364,0.32492997198879553,0.3165266106442577,0.28851540616246496,0.3641456582633053,0.39775910364145656,0.3389355742296919,0.34489995802434587,0.031169365419920072,7,0.36134453781512604,0.35348981812529146,0.35457795740711956,0.3478936732473185,0.3643712109435722,0.3626612777864138,0.3494481579356443,0.35473340587595215,0.34323021918234103,0.3628167262552464,0.3554566984574025,0.006842249768078106
11,34.777169179916385,0.3520757442368169,0.13987514972686768,0.026092520696125946,0.01,1,"{'fiblr__bin_num_percent': 0.01, 'fiblr__eta': 1}",0.34535367545076284,0.3851540616246499,0.3277310924369748,0.3599439775910364,0.32492997198879553,0.3165266106442577,0.28851540616246496,0.3641456582633053,0.39775910364145656,0.3389355742296919,0.34489995802434587,0.031169365419920072,7,0.36134453781512604,0.35348981812529146,0.354422508938287,0.3478936732473185,0.3643712109435722,0.3626612777864138,0.3494481579356443,0.35473340587595215,0.34323021918234103,0.3628167262552464,0.3554411536105193,0.006844404755659901
3,38.65253880023956,0.5483589790670934,0.14642627239227296,0.03901391120345616,0,1,"{'fiblr__bin_num_percent': 0, 'fiblr__eta': 1}",0.34535367545076284,0.3851540616246499,0.3277310924369748,0.3599439775910364,0.32492997198879553,0.3165266106442577,0.28851540616246496,0.3641456582633053,0.39775910364145656,0.33753501400560226,0.34476003917727716,0.031198954911608744,9,0.36134453781512604,0.35364526659412404,0.35457795740711956,0.3478936732473185,0.3643712109435722,0.3626612777864138,0.3494481579356443,0.35473340587595215,0.34323021918234103,0.3618840354422509,0.3553789742229862,0.006742823792801597
10,35.062622570991515,0.3244760126631541,0.13805763721466063,0.039291639769858236,0.01,0.1,"{'fiblr__bin_num_percent': 0.01, 'fiblr__eta': 0.1}",0.3287101248266297,0.3739495798319328,0.32492997198879553,0.3445378151260504,0.31092436974789917,0.29551820728291317,0.2913165266106443,0.3543417366946779,0.38935574229691877,0.33753501400560226,0.33510563872953686,0.03020283127247321,10,0.34780578898225956,0.3376340743043681,0.3418311829628478,0.33981035286802425,0.3452510492771646,0.3538007150629566,0.3331260687082232,0.3464946370278253,0.34120938908751747,0.35193533343696565,0.34388985917181525,0.006082650753161052
13,36.60082213878631,0.19970832882895193,0.13797950744628906,0.030333711471887438,0.1,0.01,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 0.01}",0.3536754507628294,0.34593837535014005,0.3585434173669468,0.35294117647058826,0.3137254901960784,0.28291316526610644,0.2773109243697479,0.3235294117647059,0.3963585434173669,0.33473389355742295,0.3339862879529873,0.03422927679284493,11,0.35014005602240894,0.33390331105238613,0.3454064977459972,0.33701228042903775,0.35038084874863984,0.34152028602518264,0.33188248095756256,0.34587284315249495,0.3461837400901601,0.340276698274522,0.3422579042498392,0.0061313833531735215
2,39.58330900669098,0.3250045754131239,0.11041169166564942,0.03626884094192141,0,0.1,"{'fiblr__bin_num_percent': 0, 'fiblr__eta': 0.1}",0.3342579750346741,0.36694677871148457,0.31932773109243695,0.3543417366946779,0.3067226890756303,0.29551820728291317,0.29831932773109243,0.35014005602240894,0.37815126050420167,0.33053221288515405,0.33342661256471245,0.027246873296750303,12,0.3473389355742297,0.3314161355510648,0.3419866314316804,0.34867091559148145,0.3433856676511736,0.3522462303746308,0.33981035286802425,0.34727187937198817,0.3315715840198974,0.34758277630965334,0.34312811087438244,0.00672093149362547
6,35.19639737606049,0.4821767473038256,0.15149376392364503,0.03590951107376852,0.001,0.1,"{'fiblr__bin_num_percent': 0.001, 'fiblr__eta': 0.1}",0.3342579750346741,0.3753501400560224,0.31932773109243695,0.35014005602240894,0.31092436974789917,0.2857142857142857,0.29831932773109243,0.3431372549019608,0.3795518207282913,0.33613445378151263,0.33328669371764374,0.02910738365305344,13,0.3495175848117025,0.3359241411472097,0.34276387377584333,0.3444738069330017,0.3452510492771646,0.34851546712264886,0.3376340743043681,0.34229752836934557,0.3300170993315716,0.35100264262397013,0.3427397267696826,0.006256751196372355
5,36.78635787963867,0.4362989062497394,0.14912126064300538,0.04121327567461609,0.001,0.01,"{'fiblr__bin_num_percent': 0.001, 'fiblr__eta': 0.01}",0.3106796116504854,0.38095238095238093,0.3137254901960784,0.32072829131652664,0.28711484593837533,0.3025210084033613,0.3025210084033613,0.3319327731092437,0.38795518207282914,0.32492997198879553,0.32629075136420876,0.031486563643360686,14,0.3232181761593526,0.3315715840198974,0.3132286646976527,0.3144722524483134,0.32581999067309186,0.33996580133685683,0.3331260687082232,0.3265972330172548,0.31727032488729984,0.33825586817969844,0.32635259641276415,0.008978646358720296
9,35.154767751693726,0.5542967682345792,0.1479895830154419,0.04291840146937753,0.01,0.01,"{'fiblr__bin_num_percent': 0.01, 'fiblr__eta': 0.01}",0.31484049930651875,0.3403361344537815,0.3165266106442577,0.3235294117647059,0.28431372549019607,0.29831932773109243,0.29411764705882354,0.3333333333333333,0.38795518207282914,0.30952380952380953,0.32027424094025464,0.027884544444985143,15,0.32555244319950205,0.31478314938597857,0.3188248095756257,0.32162288201461214,0.31727032488729984,0.33701228042903775,0.3391885589926939,0.33219337789522774,0.33219337789522774,0.31540494326130886,0.32540461475365146,0.008680451896545451
1,39.328872847557065,0.8132583657799007,0.12480041980743409,0.03148721650107363,0,0.01,"{'fiblr__bin_num_percent': 0, 'fiblr__eta': 0.01}",0.30097087378640774,0.38095238095238093,0.2969187675070028,0.3333333333333333,0.2969187675070028,0.27450980392156865,0.27310924369747897,0.32633053221288516,0.38095238095238093,0.3165266106442577,0.31803553938715545,0.03647995721711071,16,0.31995020230314347,0.3315715840198974,0.3074770713508472,0.32892896004974354,0.33996580133685683,0.32892896004974354,0.325042748328929,0.3342142079900513,0.3253536452665941,0.3256645422042593,0.3267097722900066,0.008287489308197695
12,36.4543515920639,0.29411450036793574,0.14152190685272217,0.028650457093477917,0.1,0.001,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 0.001}",0.26629680998613037,0.26750700280112044,0.30532212885154064,0.2184873949579832,0.22408963585434175,0.22268907563025211,0.2184873949579832,0.2605042016806723,0.27170868347338933,0.2619047619047619,0.2517140058765916,0.027793692018091665,17,0.2958294428882664,0.2460749261619773,0.2595989429504119,0.2314627700917146,0.2627079123270636,0.26193066998290065,0.2608425307010726,0.24312140525415823,0.23255090937354267,0.2676822633297062,0.2561801773060814,0.018042747526251363
8,35.43977448940277,0.2559757406975664,0.15560767650604249,0.031660989474257495,0.01,0.001,"{'fiblr__bin_num_percent': 0.01, 'fiblr__eta': 0.001}",0.2302357836338419,0.24509803921568626,0.23669467787114845,0.23249299719887956,0.18067226890756302,0.20868347338935575,0.18907563025210083,0.19467787114845939,0.19887955182072828,0.19887955182072828,0.21155729676787463,0.02148694353676626,18,0.21957671957671956,0.22742110990206746,0.22508938286957875,0.20876729364215763,0.19213430747707136,0.22244675889942483,0.1899580289134152,0.2089227421109902,0.17285869734183118,0.2081454997668273,0.20753205405000835,0.0168028911101017
4,38.86371514797211,0.5376002220431578,0.14747414588928223,0.030426817635257567,0.001,0.001,"{'fiblr__bin_num_percent': 0.001, 'fiblr__eta': 0.001}",0.20110957004160887,0.22829131652661064,0.17647058823529413,0.20728291316526612,0.211484593837535,0.19187675070028012,0.18627450980392157,0.21428571428571427,0.19467787114845939,0.22268907563025211,0.20344200363789003,0.015559002044358755,19,0.18969810146280736,0.21995958339810354,0.18000932690812996,0.18964713197575003,0.21296440230063735,0.18886988963158713,0.1969532100108814,0.21047722679931602,0.20068397326286336,0.21467433545779574,0.20039371812078718,0.012792916263791495
0,35.530373549461366,0.34511156738074494,0.11544897556304931,0.02461276325579996,0,0.001,"{'fiblr__bin_num_percent': 0, 'fiblr__eta': 0.001}",0.19833564493758668,0.1722689075630252,0.23669467787114845,0.21988795518207283,0.18347338935574228,0.15966386554621848,0.17366946778711484,0.21708683473389356,0.2619047619047619,0.15406162464985995,0.19770533090807332,0.03358273462112395,20,0.19156551509492686,0.16508627390020209,0.21436343852013057,0.20954453598632053,0.19633141613555105,0.20052852479403077,0.18125291465879062,0.23597077568785949,0.22726566143323487,0.15513757189491684,0.19770466281059634,0.024392562633416767
