Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.1385675390819639
CL0,Age,-0.07854,0.12387082264588527
CL0,Age,0.49788000000000004,0.12556989595137386
CL0,Age,1.09449,0.2648653505064057
CL0,Age,1.82213,0.2960968840318234
CL0,Age,2.59171,0.6774629949106935
CL0,Gender,-0.48246000000000006,0.11852103315865847
CL0,Gender,0.48246000000000006,0.19042256824108433
CL0,Education,-2.43591,0.06303066487391831
CL0,Education,-1.7379,0.1433773630975839
CL0,Education,-1.43719,0.1463714552429734
CL0,Education,-1.22751,0.14948146218460628
CL0,Education,-0.6111300000000001,0.12766254893231596
CL0,Education,-0.059210000000000006,0.14721527558971073
CL0,Education,0.45468000000000003,0.15071384279725372
CL0,Education,1.16365,0.16497372956340017
CL0,Education,1.98437,0.05926472189149709
CL0,Country,-0.57009,0.11209523114873494
CL0,Country,-0.46841000000000005,0.11451399934216988
CL0,Country,-0.28519,0.20079046638428946
CL0,Country,-0.09765,0.04159886952685823
CL0,Country,0.21128000000000002,0.12874591133401303
CL0,Country,0.24923,0.12882900536242833
CL0,Country,0.9608200000000001,0.1954748028900376
CL0,Ethnicity,-1.1070200000000001,0.49095432548267937
CL0,Ethnicity,-0.50212,0.1542782785993362
CL0,Ethnicity,-0.31685,0.14091398164069166
CL0,Ethnicity,-0.22166,0.21315626913974112
CL0,Ethnicity,0.1144,0.19851543469767885
CL0,Ethnicity,0.126,0.19656252129094307
CL0,Ethnicity,1.90725,1.5029397934592854e-55
CL0,Nscore,-3.4643599999999997,0.9920830007441154
CL0,Nscore,-3.15735,0.9772531271667463
CL0,Nscore,-2.75696,0.03620647075312876
CL0,Nscore,-2.52197,0.4700949533529549
CL0,Nscore,-2.4231700000000003,0.8869383464362178
CL0,Nscore,-2.3436,0.01736448794262339
CL0,Nscore,-2.21844,0.002433948944706936
CL0,Nscore,-2.05048,0.08493247038442346
CL0,Nscore,-1.86962,0.4651268897474567
CL0,Nscore,-1.69163,0.09246830426345458
CL0,Nscore,-1.5507799999999998,0.3566328350977081
CL0,Nscore,-1.43907,0.10238728786726915
CL0,Nscore,-1.32828,0.18177191215422556
CL0,Nscore,-1.1943,0.1793167764714201
CL0,Nscore,-1.05308,0.14462889100520712
CL0,Nscore,-0.92104,0.1337153818355137
CL0,Nscore,-0.79151,0.09913389088599668
CL0,Nscore,-0.67825,0.08589080789997322
CL0,Nscore,-0.58016,0.08815314197357191
CL0,Nscore,-0.46725,0.1230194005680568
CL0,Nscore,-0.34799,0.14440918054160354
CL0,Nscore,-0.24649000000000001,0.1892328838936906
CL0,Nscore,-0.14882,0.14409014984629484
CL0,Nscore,-0.051879999999999996,0.14519111384814945
CL0,Nscore,0.04257,0.14762030141428303
CL0,Nscore,0.13606,0.1044444109035859
CL0,Nscore,0.22393000000000002,0.10369173774704037
CL0,Nscore,0.31287,0.21697308184994463
CL0,Nscore,0.41667,0.10061503025324081
CL0,Nscore,0.52135,0.09940036104901945
CL0,Nscore,0.62967,0.15516399542065598
CL0,Nscore,0.73545,0.10891552137477975
CL0,Nscore,0.82562,0.2440812576839315
CL0,Nscore,0.9109299999999999,0.2466109710663804
CL0,Nscore,1.02119,0.14974107209706583
CL0,Nscore,1.13281,0.12598128543505213
CL0,Nscore,1.23461,0.1019426453085885
CL0,Nscore,1.37297,0.10087077252231459
CL0,Nscore,1.49158,0.1764775326722133
CL0,Nscore,1.6038299999999999,0.17629168416302993
CL0,Nscore,1.72012,0.3063378409101914
CL0,Nscore,1.8399,0.2902815240396181
CL0,Nscore,1.98437,0.09115180985374702
CL0,Nscore,2.127,0.32847067095825705
CL0,Nscore,2.28554,0.2786547801836861
