,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_fiblr__bin_num_percent,param_fiblr__eta,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
19,72.97560858726501,0.8978856707069759,0.22887656688690186,0.05860521125712604,1,1,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 1}",0.9467613132209406,0.9609582963620231,0.9432120674356699,0.9565217391304348,0.9148181011535049,0.9294642857142857,0.9357142857142857,0.9348214285714286,0.9383928571428571,0.9160714285714285,0.9376947040498442,0.01443146225622587,1,0.9439058171745153,0.9470716264345074,0.9488523941432528,0.9472694895132568,0.9488523941432528,0.945427582797825,0.9505684626791894,0.9472071181413741,0.9444389520514088,0.9496786950074148,0.9473272532085997,0.002107776008322713
18,73.01043622493744,0.8438048446368349,0.29636006355285643,0.10256811974411192,1,0.1,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.1}",0.8979591836734694,0.9130434782608695,0.8864241348713399,0.9059449866903283,0.8606921029281278,0.8723214285714286,0.8678571428571429,0.8901785714285714,0.8892857142857142,0.8839285714285714,0.8867823765020026,0.015683704248867145,2,0.8959240205777602,0.897210130589632,0.8936485951721409,0.8963197467352592,0.8928571428571429,0.8959960454770143,0.8990608007909046,0.9053880375679684,0.8969846762234306,0.9133959466139397,0.8986785142605193,0.0058849554670836945
17,72.42563173770904,0.6017706663735809,0.29483695030212403,0.08423050306429425,1,0.01,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.01}",0.8021295474711624,0.7914818101153505,0.7870452528837621,0.8110026619343389,0.7799467613132209,0.7607142857142857,0.7589285714285714,0.7544642857142857,0.7794642857142857,0.7839285714285714,0.780952380952381,0.017628052160544486,3,0.7946181242580135,0.7836367233874159,0.7823506133755441,0.7826474079936684,0.8032251681836169,0.7930795847750866,0.7921898171033119,0.7867523479980227,0.7813148788927335,0.7968363816114681,0.7896651047578882,0.007036827681207657
16,73.05202763080597,0.8762318169392396,0.2854311466217041,0.0814841098333772,1,0.001,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.001}",0.6938775510204082,0.7151730257320319,0.6841171251109139,0.6983141082519965,0.6486246672582077,0.6589285714285714,0.6303571428571428,0.6544642857142857,0.6758928571428572,0.6776785714285715,0.673787271918113,0.024414591801293788,4,0.6824297586070439,0.7104273842500989,0.6718440838939453,0.6829244163039176,0.6787692916501781,0.6937221947602571,0.6583292140385566,0.6788927335640138,0.685912011863569,0.6862086010874938,0.6829459690019075,0.01286147025344929
15,57.74908173084259,0.636163544898565,0.21622931957244873,0.05424142112100736,0.1,1,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 1}",0.5581188997338066,0.5634427684117125,0.5510204081632653,0.5820763087843833,0.5226264418811003,0.5125,0.525,0.5357142857142857,0.5553571428571429,0.5294642857142857,0.5435692033822875,0.020726808923477256,5,0.5353185595567868,0.5488721804511278,0.5484764542936288,0.5481796596755045,0.5535219628017412,0.5503707365299061,0.5526445872466633,0.5517548195748888,0.5464162135442412,0.5572911517548196,0.5492846325429308,0.0055313046844470345
14,57.62257623672485,0.7240471134598554,0.1846849203109741,0.05483221411288239,0.1,0.1,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 0.1}",0.4951197870452529,0.4835847382431233,0.4986690328305235,0.487133984028394,0.42945874001774625,0.45357142857142857,0.45535714285714285,0.46785714285714286,0.48214285714285715,0.45625,0.4709390298175345,0.020975678131101568,6,0.45745943806885636,0.46666007123070835,0.4889196675900277,0.47190344281757024,0.4868421052631579,0.49461196243203165,0.4846267918932279,0.4833415719228868,0.49016312407315865,0.4740484429065744,0.47985766181982,0.011236325100939791
3,56.805248093605044,0.7040848111306115,0.21718432903289794,0.06145390005468255,0,1,"{'fiblr__bin_num_percent': 0, 'fiblr__eta': 1}",0.4649511978704525,0.4676131322094055,0.45607808340727596,0.46938775510204084,0.417036379769299,0.4205357142857143,0.4205357142857143,0.4419642857142857,0.45357142857142857,0.4446428571428571,0.4456608811748999,0.0192036957409179,7,0.45350217649386626,0.45340324495449147,0.44153146022952117,0.44499406410763753,0.445191927186387,0.44666337123084526,0.45338606030647555,0.45338606030647555,0.44518042511122097,0.4599110232328225,0.4497149813159743,0.0054630455614709935
7,55.079597973823546,0.4716191618485344,0.19169631004333496,0.048627243290680994,0.001,1,"{'fiblr__bin_num_percent': 0.001, 'fiblr__eta': 1}",0.4649511978704525,0.4676131322094055,0.45607808340727596,0.46938775510204084,0.417036379769299,0.4205357142857143,0.4205357142857143,0.4419642857142857,0.45357142857142857,0.4446428571428571,0.4456608811748999,0.0192036957409179,7,0.45350217649386626,0.45340324495449147,0.44153146022952117,0.44499406410763753,0.445191927186387,0.44666337123084526,0.45338606030647555,0.45338606030647555,0.44518042511122097,0.4599110232328225,0.4497149813159743,0.0054630455614709935
11,56.990346622467044,0.5776648543566542,0.22227997779846193,0.04531664494404759,0.01,1,"{'fiblr__bin_num_percent': 0.01, 'fiblr__eta': 1}",0.4649511978704525,0.4676131322094055,0.45607808340727596,0.46938775510204084,0.417036379769299,0.4205357142857143,0.4205357142857143,0.4419642857142857,0.45357142857142857,0.4294642857142857,0.4441477525589675,0.019812629943248852,9,0.45350217649386626,0.45340324495449147,0.44153146022952117,0.44499406410763753,0.445191927186387,0.44666337123084526,0.45338606030647555,0.45338606030647555,0.44518042511122097,0.45130993573900147,0.4488548725665922,0.0043547147587511565
6,56.17084457874298,0.6404224575524472,0.18015425205230712,0.041355050127155735,0.001,0.1,"{'fiblr__bin_num_percent': 0.001, 'fiblr__eta': 0.1}",0.4241348713398403,0.4401064773735581,0.45164152617568765,0.4551907719609583,0.3762200532386868,0.40714285714285714,0.3821428571428571,0.4133928571428571,0.4303571428571429,0.4160714285714286,0.4196706720071206,0.025199471811581973,10,0.41066481994459836,0.42065690542144835,0.4235259200633162,0.4346062524732885,0.41462208151958846,0.4179930795847751,0.4125556104794859,0.42837370242214534,0.42343054869006425,0.43321799307958475,0.4219646913678295,0.007872250523117474
