Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.24279064636781655
CL0,Age,-0.07854,0.12230447024025504
CL0,Age,0.49788000000000004,0.051073382981266416
CL0,Age,1.09449,0.05142527331887591
CL0,Age,1.82213,0.14338023338783354
CL0,Age,2.59171,0.9934296257272711
CL0,Gender,-0.48246000000000006,0.13897919531766195
CL0,Gender,0.48246000000000006,0.22354981824834833
CL0,Education,-2.43591,0.0010413162489324764
CL0,Education,-1.7379,0.14504598661715265
CL0,Education,-1.43719,0.07808907231644313
CL0,Education,-1.22751,0.08521292686329797
CL0,Education,-0.6111300000000001,0.13701664883339712
CL0,Education,-0.059210000000000006,0.18614091905819838
CL0,Education,0.45468000000000003,0.1908408827655343
CL0,Education,1.16365,0.2959250525047024
CL0,Education,1.98437,0.18450090959643584
CL0,Country,-0.57009,0.09098144344283776
CL0,Country,-0.46841000000000005,0.0949031057214906
CL0,Country,-0.28519,0.21999717559721765
CL0,Country,-0.09765,0.2163566818722153
CL0,Country,0.21128000000000002,0.1616479303569273
CL0,Country,0.24923,0.16202786497505214
CL0,Country,0.9608200000000001,0.5273585986378799
CL0,Ethnicity,-1.1070200000000001,0.48339025448678563
CL0,Ethnicity,-0.50212,0.14878974534244432
CL0,Ethnicity,-0.31685,0.14830658938349014
CL0,Ethnicity,-0.22166,0.1819142274254083
CL0,Ethnicity,0.1144,0.2423265147638088
CL0,Ethnicity,0.126,0.24397196925346215
CL0,Ethnicity,1.90725,1.0
CL0,Nscore,-3.4643599999999997,0.9983660902096133
CL0,Nscore,-3.15735,0.9957494555379937
CL0,Nscore,-2.75696,0.9850541296109886
CL0,Nscore,-2.52197,0.014680092541887534
CL0,Nscore,-2.4231700000000003,0.9478152134596528
CL0,Nscore,-2.3436,0.2974210531110788
CL0,Nscore,-2.21844,0.09161714287643992
CL0,Nscore,-2.05048,0.5157210863293148
CL0,Nscore,-1.86962,0.02212495268693747
CL0,Nscore,-1.69163,0.2595117162086808
CL0,Nscore,-1.5507799999999998,0.2833549368188116
CL0,Nscore,-1.43907,0.4709786723920372
CL0,Nscore,-1.32828,0.4261872678065591
CL0,Nscore,-1.1943,0.31766264298146574
CL0,Nscore,-1.05308,0.8563491833508947
