,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_fiblr__bin_num_percent,param_fiblr__eta,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
19,68.05607092380524,0.3441740716331205,0.22877161502838134,0.08778186236274244,1,1,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 1}",0.8906999041227229,0.9050814956855225,0.8590604026845637,0.8437200383509108,0.8360498561840843,0.8638542665388304,0.850431447746884,0.8657718120805369,0.8887823585810163,0.8590604026845637,0.8662511984659635,0.020958562243295502,1,0.8815382976456801,0.8824970704165335,0.8891019495046341,0.8799403430275914,0.8888888888888888,0.8951741770533717,0.8859060402684564,0.8843080856503676,0.8817513582614254,0.8844146159582401,0.8853520826675189,0.004361970582428997
18,67.56834132671356,0.5998142119660808,0.25646028518676756,0.12812248893226091,1,0.1,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.1}",0.8523489932885906,0.8523489932885906,0.8159156279961649,0.8302972195589645,0.7871524448705657,0.825503355704698,0.8159156279961649,0.8264621284755513,0.8475551294343241,0.8072866730584851,0.8260786193672099,0.019836172175915632,2,0.8380739320336635,0.8318951741770534,0.8382869926494088,0.8477681900500692,0.8395653563438799,0.8461702354319804,0.8432939171194205,0.8445722808138916,0.837434750186428,0.8412698412698413,0.8408330670075637,0.004516043285429193
17,68.27759976387024,0.503241126192125,0.2169715166091919,0.05821931202115776,1,0.01,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.01}",0.7420901246404602,0.7200383509108341,0.713326941514861,0.6931927133269415,0.6538830297219559,0.713326941514861,0.6912751677852349,0.716203259827421,0.7142857142857143,0.6625119846596357,0.702013422818792,0.02570798607005672,3,0.715137956748695,0.705550229040162,0.7196122296793438,0.7111963353574092,0.7180142750612549,0.7287738361563865,0.7114093959731543,0.7061894108873975,0.7186534569084905,0.7121551081282624,0.7146692233940556,0.006593391316283985
16,68.18503847122193,0.4248601129148514,0.28231186866760255,0.08609203209588245,1,0.001,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.001}",0.6807286673058485,0.6327900287631831,0.6366251198465963,0.6088207094918504,0.5992329817833174,0.6308724832214765,0.585810162991371,0.6212847555129435,0.6395014381591563,0.585810162991371,0.6221476510067114,0.0273425117712153,4,0.6364120592308512,0.6162778310429318,0.6304463619899862,0.6393949078512837,0.6423777564717162,0.6268243315223181,0.6209651645893257,0.6257590284435922,0.6432299989346969,0.5976350271652285,0.627932246724193,0.013268579711225501
15,52.97004916667938,0.7715953007877526,0.19891903400421143,0.05445114106760501,0.1,1,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 1}",0.5321188878235859,0.5647171620325983,0.551294343240652,0.5378715244487057,0.4966442953020134,0.5330776605944392,0.5004793863854267,0.535953978906999,0.5704697986577181,0.5263662511984659,0.5348993288590604,0.02272695976390228,5,0.5324384787472036,0.5362735698306168,0.5403217215297752,0.540641312453393,0.5495898583146905,0.5524661766272505,0.5439437519974433,0.543730691381698,0.5446894641525514,0.5496963886225631,0.5433791413657185,0.005918149328401336
14,53.45925755500794,0.542106137163002,0.19511873722076417,0.06380343068971296,0.1,0.1,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 0.1}",0.4966442953020134,0.513902205177373,0.5110258868648131,0.48034515819750717,0.44870565675934804,0.5043144774688398,0.4419942473633749,0.4956855225311601,0.5100671140939598,0.46308724832214765,0.4865771812080537,0.025313235369539944,6,0.48705656759348037,0.482475764354959,0.4917439011398743,0.4865239160541174,0.5005859166932992,0.5091083413231065,0.49952061361457334,0.49334185575796313,0.4898263555981677,0.49334185575796313,0.49335250878875037,0.007471329811486072
13,53.574520683288576,0.5275370617451381,0.19633932113647462,0.038093141723471086,0.1,0.01,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 0.01}",0.3969319271332694,0.45254074784276127,0.4448705656759348,0.439117929050815,0.3998082454458293,0.4247363374880153,0.39022051773729627,0.41802492809204217,0.45445829338446786,0.4084372003835091,0.42291466922339405,0.022654037549539964,7,0.38095238095238093,0.42750612549270267,0.4220730797912006,0.4346436561201662,0.4358154895067647,0.432619580270587,0.4322999893469692,0.42047512517311175,0.4336848833493129,0.4312346862682433,0.4251304996271439,0.015527284816044044
7,51.79511711597443,0.24546973356584428,0.16307878494262695,0.04208258530694657,0.001,1,"{'fiblr__bin_num_percent': 0.001, 'fiblr__eta': 1}",0.3959731543624161,0.411313518696069,0.39789069990412274,0.38926174496644295,0.3700862895493768,0.3825503355704698,0.3883029721955896,0.3998082454458293,0.4189837008628955,0.37775647171620325,0.3931927133269415,0.014113512959219301,8,0.3940556088207095,0.39213806327900286,0.39128582081602215,0.40364333652924256,0.40524129114733143,0.4014062000639182,0.40811760945989134,0.40492170022371365,0.38872909342708,0.4115265793118142,0.4001065303078725,0.007521341515325138
11,52.39399251937866,0.5623106346393404,0.18825459480285645,0.03726312330246736,0.01,1,"{'fiblr__bin_num_percent': 0.01, 'fiblr__eta': 1}",0.3959731543624161,0.411313518696069,0.39789069990412274,0.38926174496644295,0.3700862895493768,0.3825503355704698,0.3883029721955896,0.3998082454458293,0.4189837008628955,0.37775647171620325,0.3931927133269415,0.014113512959219301,8,0.3940556088207095,0.39213806327900286,0.39128582081602215,0.40364333652924256,0.40524129114733143,0.4014062000639182,0.40811760945989134,0.40492170022371365,0.38872909342708,0.4115265793118142,0.4001065303078725,0.007521341515325138
3,51.95212664604187,0.4465903441912661,0.18941817283630372,0.05176707235733769,0,1,"{'fiblr__bin_num_percent': 0, 'fiblr__eta': 1}",0.3959731543624161,0.4103547459252157,0.39789069990412274,0.38926174496644295,0.3700862895493768,0.3825503355704698,0.3883029721955896,0.3998082454458293,0.4189837008628955,0.37775647171620325,0.3930968360498562,0.013992827918817284,10,0.3940556088207095,0.39213806327900286,0.39128582081602215,0.40353680622137,0.40524129114733143,0.4014062000639182,0.40811760945989134,0.40492170022371365,0.38872909342708,0.4115265793118142,0.40009587727708534,0.007516398350447402
