Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.14241486283550817
CL0,Age,-0.07854,0.11477167020125738
CL0,Age,0.49788000000000004,0.1703284527783222
CL0,Age,1.09449,0.2880887147150582
CL0,Age,1.82213,0.3943196248157647
CL0,Age,2.59171,0.996130849349897
CL0,Gender,-0.48246000000000006,0.12623702988965457
CL0,Gender,0.48246000000000006,0.26145964206854594
CL0,Education,-2.43591,0.17355845909963719
CL0,Education,-1.7379,0.16821077040280297
CL0,Education,-1.43719,0.11776618775462133
CL0,Education,-1.22751,0.12070817210067131
CL0,Education,-0.6111300000000001,0.14565493561257484
CL0,Education,-0.059210000000000006,0.14372458159639098
CL0,Education,0.45468000000000003,0.15761654386956225
CL0,Education,1.16365,0.15785216525888948
CL0,Education,1.98437,0.15621476296873593
CL0,Country,-0.57009,0.1801308029058224
CL0,Country,-0.46841000000000005,0.17808573853316317
CL0,Country,-0.28519,0.17225847323926907
CL0,Country,-0.09765,0.0634207380040298
CL0,Country,0.21128000000000002,0.16670594017981075
CL0,Country,0.24923,0.1666630202690217
CL0,Country,0.9608200000000001,0.13585777993219358
CL0,Ethnicity,-1.1070200000000001,0.9999942791138912
CL0,Ethnicity,-0.50212,0.1395375457767261
CL0,Ethnicity,-0.31685,0.14322029320480886
CL0,Ethnicity,-0.22166,0.23307593171117874
CL0,Ethnicity,0.1144,0.17820327213698753
CL0,Ethnicity,0.126,0.17485407589480173
CL0,Ethnicity,1.90725,1.0
CL0,Nscore,-3.4643599999999997,0.993840756112383
CL0,Nscore,-3.15735,0.9828983098770652
CL0,Nscore,-2.75696,0.119677422184327
CL0,Nscore,-2.52197,0.9031083220680436
CL0,Nscore,-2.4231700000000003,0.8820089651910533
CL0,Nscore,-2.3436,0.20892817710946487
CL0,Nscore,-2.21844,0.3343226758056566
CL0,Nscore,-2.05048,0.43351161013912054
CL0,Nscore,-1.86962,0.4720259712312987
CL0,Nscore,-1.69163,0.2176194460124039
CL0,Nscore,-1.5507799999999998,0.30539884789278215
CL0,Nscore,-1.43907,0.19159119031292735
CL0,Nscore,-1.32828,0.15292313002612223
CL0,Nscore,-1.1943,0.3060007962652751
CL0,Nscore,-1.05308,0.3433531101370603
CL0,Nscore,-0.92104,0.18938423333461615
CL0,Nscore,-0.79151,0.13503835884828425
CL0,Nscore,-0.67825,0.1667849018149078
CL0,Nscore,-0.58016,0.16785977719705614
CL0,Nscore,-0.46725,0.15368678559865695
CL0,Nscore,-0.34799,0.11545975786836547
CL0,Nscore,-0.24649000000000001,0.13441857786738182
CL0,Nscore,-0.14882,0.09996075079523341
CL0,Nscore,-0.051879999999999996,0.10166132912224801
CL0,Nscore,0.04257,0.22617176214827106
CL0,Nscore,0.13606,0.11942609801049572
CL0,Nscore,0.22393000000000002,0.1189377035815578
CL0,Nscore,0.31287,0.16047360758130072
CL0,Nscore,0.41667,0.1552692154812913
CL0,Nscore,0.52135,0.15730547297190442
CL0,Nscore,0.62967,0.05824486102603228
CL0,Nscore,0.73545,0.11901291389764962
CL0,Nscore,0.82562,0.2857846184617765
CL0,Nscore,0.9109299999999999,0.29014744414528
CL0,Nscore,1.02119,0.13511207260403932
CL0,Nscore,1.13281,0.16901544216540348
CL0,Nscore,1.23461,0.0574966727844669
CL0,Nscore,1.37297,0.29353078554565265
CL0,Nscore,1.49158,0.22426812062894816
CL0,Nscore,1.6038299999999999,0.22541309342490531
CL0,Nscore,1.72012,0.5546203897998389
CL0,Nscore,1.8399,0.2694110197525567
CL0,Nscore,1.98437,0.1643886984625779
CL0,Nscore,2.127,0.33012043634367333
CL0,Nscore,2.28554,0.9350858234918233
CL0,Nscore,2.4626200000000003,0.0006755580809372757
CL0,Nscore,2.61139,0.9333727326822314
CL0,Nscore,2.82196,0.9701395746224363
CL0,Nscore,3.27393,0.986385655105291
CL0,Escore,-3.27393,0.06461943701269818
CL0,Escore,-3.00537,0.009228314940888898
CL0,Escore,-2.72827,0.03483435573585217
CL0,Escore,-2.5383,0.217216605887205
CL0,Escore,-2.44904,0.23984464677810433
CL0,Escore,-2.32338,0.4199134203460086
CL0,Escore,-2.21069,0.4136754081624856
CL0,Escore,-2.11437,0.8532150480643395
CL0,Escore,-2.03972,0.8436803262311661
CL0,Escore,-1.92173,0.3546361868830038
CL0,Escore,-1.7625,0.317009408417401
CL0,Escore,-1.6334,0.03887170736059813
CL0,Escore,-1.50796,0.15781765837725992
CL0,Escore,-1.37639,0.1310442781932257
CL0,Escore,-1.23177,0.15739161516184888
CL0,Escore,-1.09207,0.15617185919939724
CL0,Escore,-0.9477899999999999,0.07282676431693638
CL0,Escore,-0.80615,0.10895573013565535
CL0,Escore,-0.69509,0.052088737236074954
CL0,Escore,-0.57545,0.23093853379649557
CL0,Escore,-0.43998999999999994,0.15613594120171237
CL0,Escore,-0.30033000000000004,0.1384697501060224
CL0,Escore,-0.15487,0.15296137440634183
CL0,Escore,0.0033200000000000005,0.1975047208098808
CL0,Escore,0.16767,0.10170577554683703
CL0,Escore,0.32197,0.18762531107116415
CL0,Escore,0.47617,0.17637806696085964
CL0,Escore,0.63779,0.16295857499954622
CL0,Escore,0.80523,0.11594597388428653
CL0,Escore,0.9624799999999999,0.14433099934613972
CL0,Escore,1.11406,0.15062346802372506
CL0,Escore,1.2861,0.16012459592762954
CL0,Escore,1.45421,0.3866040347978344
CL0,Escore,1.58487,0.1815417530834507
CL0,Escore,1.74091,0.24926661875986314
CL0,Escore,1.9388599999999998,0.40717558365381734
CL0,Escore,2.127,0.061183162216813095
CL0,Escore,2.32338,0.10009501037678077
CL0,Escore,2.57309,0.12507236819723885
CL0,Escore,2.8595,0.9457936440952714
CL0,Escore,3.00537,0.9499073255462971
CL0,Escore,3.27393,0.1876611977205658
CL0,Oscore,-3.27393,0.9936357421310508
CL0,Oscore,-2.8595,0.07842306244631564
CL0,Oscore,-2.63199,0.9661025721036368
CL0,Oscore,-2.39883,0.13892378545662237
CL0,Oscore,-2.21069,0.9569479493860967
CL0,Oscore,-2.09015,0.9492726571448173
CL0,Oscore,-1.97495,0.910141043046774
CL0,Oscore,-1.82919,0.3462265374067699
CL0,Oscore,-1.68062,0.3925901532139865
CL0,Oscore,-1.55521,0.3815228737943865
CL0,Oscore,-1.42424,0.5162214861482707
CL0,Oscore,-1.2755299999999998,0.16054712740222205
CL0,Oscore,-1.1190200000000001,0.3721776291913475
CL0,Oscore,-0.97631,0.2374220195612447
CL0,Oscore,-0.8473200000000001,0.23397626240409133
CL0,Oscore,-0.71727,0.3243893248505757
CL0,Oscore,-0.58331,0.1658495874821568
CL0,Oscore,-0.45174,0.16411854678260693
CL0,Oscore,-0.31776,0.22980400416212599
CL0,Oscore,-0.17779,0.14424696903425416
CL0,Oscore,-0.019280000000000002,0.15993626077645007
CL0,Oscore,0.14143,0.08625811791883892
CL0,Oscore,0.29338000000000003,0.13375399580114616
CL0,Oscore,0.44585,0.11588190518434938
CL0,Oscore,0.58331,0.11466499013420353
CL0,Oscore,0.7233,0.17146272886052188
CL0,Oscore,0.8830899999999999,0.17222017269528844
CL0,Oscore,1.0623799999999999,0.13416450690508042
CL0,Oscore,1.24033,0.14795387203071425
CL0,Oscore,1.43533,0.047411909334045606
CL0,Oscore,1.6565299999999998,0.14752891108960228
CL0,Oscore,1.8851099999999998,0.12211113085119557
CL0,Oscore,2.1532400000000003,0.08619867365522722
CL0,Oscore,2.44904,0.14104091779040787
CL0,Oscore,2.90161,0.9349736770333746
CL0,Ascore,-3.4643599999999997,3.5510818928603116e-05
CL0,Ascore,-3.15735,0.008862722806036581
CL0,Ascore,-3.00537,0.01225274022579827
CL0,Ascore,-2.90161,0.0056655461815405365
CL0,Ascore,-2.78793,0.037239629111764344
CL0,Ascore,-2.70172,0.040225287301853055
CL0,Ascore,-2.5383,0.011223370852832367
CL0,Ascore,-2.35413,0.5064626074266451
CL0,Ascore,-2.21844,0.18705736862005454
CL0,Ascore,-2.07848,0.20374831495456083
CL0,Ascore,-1.92595,0.20370689921515672
CL0,Ascore,-1.772,0.13036230211988956
CL0,Ascore,-1.6209,0.13224642527753763
CL0,Ascore,-1.47955,0.1544453496278107
CL0,Ascore,-1.34289,0.07635357067822898
CL0,Ascore,-1.21213,0.07397707486245136
CL0,Ascore,-1.07533,0.08717699800529814
CL0,Ascore,-0.91699,0.2122679483190107
CL0,Ascore,-0.7609600000000001,0.2076727435583904
CL0,Ascore,-0.60633,0.13302160667414054
CL0,Ascore,-0.45321000000000006,0.1295282538406485
CL0,Ascore,-0.30172,0.11475721204630035
CL0,Ascore,-0.15487,0.09757170436446772
CL0,Ascore,-0.01729,0.127370188333284
CL0,Ascore,0.13136,0.1709926141327191
CL0,Ascore,0.28783000000000003,0.25792204632482896
CL0,Ascore,0.43851999999999997,0.15809339166600925
CL0,Ascore,0.59042,0.16006624132428496
CL0,Ascore,0.7609600000000001,0.2193378852417698
CL0,Ascore,0.9415600000000001,0.23488111134162407
CL0,Ascore,1.11406,0.5033564785599777
CL0,Ascore,1.2861,0.15431348022409277
CL0,Ascore,1.45039,0.1957937373437026
CL0,Ascore,1.6110799999999998,0.13517863530347932
CL0,Ascore,1.81866,0.24833805025387165
CL0,Ascore,2.03972,0.32251321661925714
CL0,Ascore,2.23427,0.2908491981161884
CL0,Ascore,2.4626200000000003,0.4190195154416706
CL0,Ascore,2.75696,0.5643008563434855
CL0,Ascore,3.15735,0.9792620369423837
CL0,Ascore,3.4643599999999997,6.887342353249227e-07
CL0,Cscore,-3.4643599999999997,0.00017225436461512327
CL0,Cscore,-3.15735,0.9255326288321928
CL0,Cscore,-2.90161,0.9018351599316793
