,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_fiblr__bin_num_percent,param_fiblr__eta,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
19,53.392086434364316,0.8277036292675383,0.16691629886627196,0.07941341884766068,1,1,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 1}",0.7383177570093458,0.7489986648865153,0.7369826435246996,0.7409879839786382,0.7436582109479306,0.7009345794392523,0.7116154873164219,0.732977303070761,0.7276368491321762,0.7479784366576819,0.7329947881865562,0.014886513134701265,1,0.7653697653697654,0.7646272646272646,0.7693792693792694,0.7643302643302643,0.7655182655182655,0.7687852687852688,0.7652212652212652,0.7667062667062667,0.7653697653697654,0.765761756415962,0.7661069151723358,0.0016100855512662712
18,53.315566420555115,1.2206501082807737,0.20236556529998778,0.045006644744496706,1,0.1,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.1}",0.6955941255006676,0.6955941255006676,0.7102803738317757,0.7156208277703605,0.7289719626168224,0.6929238985313751,0.678237650200267,0.6902536715620827,0.6995994659546061,0.7048517520215634,0.701189362555125,0.013629526230528028,2,0.7384912384912385,0.7193347193347194,0.7315117315117315,0.7326997326997327,0.7402732402732403,0.73997623997624,0.7324027324027323,0.7326997326997327,0.7341847341847342,0.730752113929684,0.7332326215503786,0.005719519172995722
17,54.58147690296173,1.258307834815527,0.19295742511749267,0.0699518673734945,1,0.01,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.01}",0.5981308411214953,0.6261682242990654,0.6061415220293725,0.616822429906542,0.6248331108144193,0.6208277703604806,0.5874499332443258,0.6048064085447263,0.6034712950600801,0.6024258760107817,0.6091139917145529,0.011955797039297954,3,0.6251856251856251,0.6314226314226314,0.6424116424116424,0.6337986337986338,0.6329076329076329,0.6321651321651321,0.6416691416691417,0.6379566379566379,0.6286011286011286,0.6326954457795579,0.6338813651897764,0.005146571326340826
16,57.68271536827088,1.1670212855519926,0.2093409538269043,0.0599129922676465,1,0.001,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.001}",0.49132176234979974,0.5327102803738317,0.5233644859813084,0.5100133511348465,0.46194926568758343,0.4993324432576769,0.46862483311081443,0.5153538050734312,0.5554072096128171,0.5148247978436657,0.5072831751971134,0.026878180214372504,4,0.5078705078705079,0.5328185328185329,0.5279180279180279,0.528957528957529,0.49153549153549153,0.5185625185625186,0.5115830115830116,0.5348975348975349,0.5414315414315415,0.5208426049547545,0.5216417300529451,0.014115653951175082
15,43.13263680934906,0.647408045020254,0.12613816261291505,0.03458840668528853,0.1,1,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 1}",0.4606141522029373,0.46194926568758343,0.48064085447263016,0.49666221628838453,0.4779706275033378,0.4045393858477971,0.4485981308411215,0.46194926568758343,0.49666221628838453,0.4326145552560647,0.462247761592944,0.02711167530139925,5,0.47906147906147906,0.4708939708939709,0.4714879714879715,0.4775764775764776,0.476982476982477,0.48633798633798636,0.4781704781704782,0.47505197505197505,0.4691119691119691,0.47619047619047616,0.4760865260865261,0.004681273357871618
14,40.95599999427795,1.2052456820758726,0.14840421676635743,0.04942939440003277,0.1,0.1,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 0.1}",0.4379172229639519,0.4886515353805073,0.472630173564753,0.4712950600801068,0.4819759679572764,0.40854472630173566,0.4325767690253672,0.4459279038718291,0.4712950600801068,0.44070080862533695,0.45516504075905384,0.024382098755605566,6,0.46272646272646273,0.46926046926046927,0.46703296703296704,0.45663795663795664,0.46272646272646273,0.4789129789129789,0.46762696762696765,0.4628749628749629,0.46970596970596973,0.4671413736834298,0.46646465711886276,0.005592972530146287
3,41.54339804649353,1.2087347220374354,0.12979936599731445,0.0516393983376862,0,1,"{'fiblr__bin_num_percent': 0, 'fiblr__eta': 1}",0.4379172229639519,0.465954606141522,0.46194926568758343,0.472630173564753,0.48064085447263016,0.4032042723631509,0.43124165554072097,0.43658210947930576,0.4819759679572764,0.42857142857142855,0.45008686355739674,0.024898078235542253,7,0.4555984555984556,0.4544104544104544,0.45426195426195426,0.44891594891594894,0.4575289575289575,0.46124146124146126,0.4591624591624592,0.46228096228096227,0.4547074547074547,0.4542352766651832,0.4562343384773291,0.003733503911863322
7,36.91532213687897,0.5806007521902339,0.16227588653564454,0.06878156179044105,0.001,1,"{'fiblr__bin_num_percent': 0.001, 'fiblr__eta': 1}",0.4379172229639519,0.465954606141522,0.46194926568758343,0.472630173564753,0.48064085447263016,0.4032042723631509,0.43124165554072097,0.43658210947930576,0.4819759679572764,0.42857142857142855,0.45008686355739674,0.024898078235542253,7,0.4555984555984556,0.4544104544104544,0.45426195426195426,0.44891594891594894,0.4575289575289575,0.46124146124146126,0.4591624591624592,0.46228096228096227,0.4547074547074547,0.4542352766651832,0.4562343384773291,0.003733503911863322
11,36.78587648868561,0.6373661592350879,0.15616178512573242,0.04828573975317297,0.01,1,"{'fiblr__bin_num_percent': 0.01, 'fiblr__eta': 1}",0.4379172229639519,0.465954606141522,0.46194926568758343,0.472630173564753,0.48064085447263016,0.4032042723631509,0.43124165554072097,0.43658210947930576,0.4819759679572764,0.42857142857142855,0.45008686355739674,0.024898078235542253,7,0.4555984555984556,0.4544104544104544,0.45426195426195426,0.44891594891594894,0.4575289575289575,0.46124146124146126,0.459013959013959,0.46228096228096227,0.4547074547074547,0.4542352766651832,0.4562194884624791,0.0037221057071306425
6,37.652235412597655,0.7506282035754509,0.16049585342407227,0.06721695133529801,0.001,0.1,"{'fiblr__bin_num_percent': 0.001, 'fiblr__eta': 0.1}",0.43124165554072097,0.4472630173564753,0.45794392523364486,0.45660881174899864,0.46328437917222964,0.39118825100133514,0.40587449933244324,0.4165554072096128,0.4499332443257677,0.4339622641509434,0.43538687692102096,0.023007313607744658,10,0.4474309474309474,0.4365904365904366,0.4411939411939412,0.44000594000594,0.43985743985743986,0.44728244728244726,0.4407484407484408,0.44728244728244726,0.4420849420849421,0.4441477525589675,0.442662473503595,0.0035437463259881904
