Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.17101980118152674
CL0,Age,-0.07854,0.10716867235071006
CL0,Age,0.49788000000000004,0.08428306850715817
CL0,Age,1.09449,0.1018558426323607
CL0,Age,1.82213,0.08302416197562723
CL0,Age,2.59171,0.7592788179138468
CL0,Gender,-0.48246000000000006,0.12369250808512258
CL0,Gender,0.48246000000000006,0.21549597118394073
CL0,Education,-2.43591,0.014796501535151085
CL0,Education,-1.7379,0.09539297238664841
CL0,Education,-1.43719,0.14160062113759664
CL0,Education,-1.22751,0.1434741158490087
CL0,Education,-0.6111300000000001,0.134682492616231
CL0,Education,-0.059210000000000006,0.11858368570074192
CL0,Education,0.45468000000000003,0.15931298478418382
CL0,Education,1.16365,0.18718802821320743
CL0,Education,1.98437,0.15854929705916812
CL0,Country,-0.57009,0.08966165848662691
CL0,Country,-0.46841000000000005,0.09363287738194948
CL0,Country,-0.28519,0.15810832722989526
CL0,Country,-0.09765,0.07118744790790459
CL0,Country,0.21128000000000002,0.13659118848751234
CL0,Country,0.24923,0.13634337451697393
CL0,Country,0.9608200000000001,0.3883978391711276
CL0,Ethnicity,-1.1070200000000001,0.7912263063865326
CL0,Ethnicity,-0.50212,0.14162411355967863
CL0,Ethnicity,-0.31685,0.1373680313088049
CL0,Ethnicity,-0.22166,0.20716516776042923
CL0,Ethnicity,0.1144,0.16488562045432678
CL0,Ethnicity,0.126,0.1632271784818723
CL0,Ethnicity,1.90725,9.813182368875158e-27
CL0,Nscore,-3.4643599999999997,0.0014139762360837148
CL0,Nscore,-3.15735,0.00315290112271489
CL0,Nscore,-2.75696,0.31209015144514285
CL0,Nscore,-2.52197,0.20738275064409967
CL0,Nscore,-2.4231700000000003,0.0001702065202095187
CL0,Nscore,-2.3436,0.21998387171760864
CL0,Nscore,-2.21844,0.06727434804561609
CL0,Nscore,-2.05048,0.2546987436818683
CL0,Nscore,-1.86962,0.25206169634905135
