,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_fiblr__bin_num_percent,param_fiblr__eta,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
19,53.99197781085968,0.6705378063907502,0.21165964603424073,0.08807085857804532,1,1,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 1}",0.6844155844155844,0.7077922077922078,0.7272727272727273,0.7103896103896103,0.6998689384010485,0.6474442988204456,0.7038007863695938,0.6998689384010485,0.7549148099606815,0.6933158584534731,0.7029250457038391,0.02625199102045398,1,0.7232868757259001,0.7283681765389083,0.7243031358885017,0.7283681765389083,0.7421319796954314,0.7379260333575054,0.7337200870195794,0.7322697606961567,0.7276287164612038,0.7366207396664249,0.731462368158852,0.005830229532686782
18,54.32610716819763,0.5761150072558104,0.20773546695709227,0.07285601896702774,1,0.1,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.1}",0.6519480519480519,0.6831168831168831,0.7038961038961039,0.6688311688311688,0.6474442988204456,0.6107470511140236,0.653997378768021,0.6592398427260813,0.690694626474443,0.6566186107470511,0.6627056672760512,0.024709901871661288,2,0.7006387921022067,0.6984610917537747,0.7035423925667829,0.7006387921022067,0.7036983321247281,0.7036983321247281,0.703118201595359,0.7015228426395939,0.6964467005076143,0.7055837563451777,0.7017349233862171,0.0026236449252043546
17,54.083074021339414,0.5670455651152431,0.19679017066955568,0.07157812895100964,1,0.01,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.01}",0.5454545454545454,0.5818181818181818,0.5818181818181818,0.5623376623376624,0.5478374836173001,0.528178243774574,0.5386631716906947,0.5766710353866317,0.563564875491481,0.5530799475753604,0.5579785844868111,0.017555159297643255,3,0.5868176538908246,0.5817363530778165,0.5849303135888502,0.5728803716608595,0.5854967367657723,0.5976794778825235,0.580130529369108,0.5982596084118926,0.5786802030456852,0.5836113125453227,0.5850222560238655,0.007505023008016647
16,54.583944296836854,0.6909587914695022,0.22611699104309083,0.0723420873811353,1,0.001,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.001}",0.474025974025974,0.4597402597402597,0.4623376623376623,0.44935064935064933,0.4836173001310616,0.4429882044560944,0.3853211009174312,0.44036697247706424,0.45871559633027525,0.4521625163826999,0.4509010185427004,0.025173407609568255,4,0.5030487804878049,0.4793844367015099,0.4679152148664344,0.48156213704994194,0.4877447425670776,0.503698332124728,0.4555474981870921,0.4707759245830312,0.4729514140681653,0.48469905728788976,0.48073275379236763,0.014321670017844157
15,41.61010892391205,0.4077275346258327,0.16953940391540528,0.04136874191787224,0.1,1,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 1}",0.36753246753246754,0.41818181818181815,0.4025974025974026,0.37922077922077924,0.3709043250327654,0.34338138925294887,0.36304062909567497,0.3892529488859764,0.41284403669724773,0.3853211009174312,0.38325933664142076,0.022188461098892994,5,0.3860336817653891,0.39634146341463417,0.40432636469221833,0.3977932636469222,0.3965192168237853,0.4069615663524293,0.40217548948513415,0.3937635968092821,0.3968092820884699,0.40217548948513415,0.39828994145633984,0.005673669197958345
14,42.4499048948288,0.7381561762817548,0.16413636207580568,0.04390764896959275,0.1,0.1,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 0.1}",0.35324675324675325,0.3974025974025974,0.4064935064935065,0.36233766233766235,0.36828309305373524,0.3289646133682831,0.37745740498034075,0.3931847968545216,0.3905635648754915,0.36828309305373524,0.37464089840689474,0.022171780498229102,6,0.37282229965156793,0.37746806039488967,0.3795005807200929,0.37180603948896634,0.3868020304568528,0.38709209572153735,0.38027556200145035,0.3843364757070341,0.37969543147208124,0.38274111675126904,0.3802539692365742,0.004977232004478969
6,41.48884253501892,0.6212139214097554,0.16701226234436034,0.02910283757076649,0.001,0.1,"{'fiblr__bin_num_percent': 0.001, 'fiblr__eta': 0.1}",0.33896103896103896,0.35324675324675325,0.36103896103896105,0.35064935064935066,0.3224115334207077,0.30799475753604194,0.33551769331585846,0.34469200524246396,0.3800786369593709,0.32503276539973786,0.34199529903369025,0.01972611625117437,7,0.35060975609756095,0.3411730545876887,0.3397212543554007,0.3501742160278746,0.3485134155184917,0.34082668600435095,0.3425670775924583,0.33923132704858594,0.3403915881073242,0.34677302393038434,0.34399813992701206,0.004290148215290158
10,37.1765700340271,0.8749313008124623,0.16761984825134277,0.05107803011954948,0.01,0.1,"{'fiblr__bin_num_percent': 0.01, 'fiblr__eta': 0.1}",0.33766233766233766,0.34415584415584416,0.36363636363636365,0.34805194805194806,0.31585845347313235,0.3145478374836173,0.33682830930537355,0.34993446920052423,0.3722149410222805,0.32634338138925295,0.34095063985374774,0.01787474921644768,8,0.35119047619047616,0.3356562137049942,0.3434959349593496,0.3482868757259001,0.34532269760696155,0.34227701232777374,0.3438723712835388,0.34227701232777374,0.33328498912255256,0.35286439448875995,0.34385279777380806,0.005838052385216146
2,39.14672074317932,0.8483319328720802,0.13662660121917725,0.03698175680920516,0,0.1,"{'fiblr__bin_num_percent': 0, 'fiblr__eta': 0.1}",0.34155844155844156,0.33896103896103896,0.36363636363636365,0.34675324675324676,0.31716906946264745,0.31716906946264745,0.33420707732634336,0.3473132372214941,0.36959370904325034,0.31847968545216254,0.3395142334813267,0.017516267354196736,9,0.35322299651567945,0.33289779326364694,0.3378339140534262,0.34959349593495936,0.34662799129804206,0.34445250181290793,0.34474256707759243,0.3387962291515591,0.33270485859318344,0.3501087744742567,0.34309811221752534,0.006849346933369046
3,37.199961590766904,0.7373962458148796,0.13868842124938965,0.05232527263694068,0,1,"{'fiblr__bin_num_percent': 0, 'fiblr__eta': 1}",0.32857142857142857,0.34285714285714286,0.35974025974025975,0.34415584415584416,0.31847968545216254,0.3132372214941022,0.32765399737876805,0.3328964613368283,0.3840104849279161,0.32503276539973786,0.33768607991642724,0.02006343770937305,10,0.3366724738675958,0.33914053426248547,0.336527293844367,0.351335656213705,0.342422044960116,0.3461928934010152,0.34416243654822337,0.3402465554749819,0.3488034807831762,0.347643219724438,0.3433146589080104,0.004899216716283618
