Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.08606825597233672
CL0,Age,-0.07854,0.16148678569387723
CL0,Age,0.49788000000000004,0.16777562689306472
CL0,Age,1.09449,0.2964078571223351
CL0,Age,1.82213,0.24783301983762704
CL0,Age,2.59171,0.22089712352050342
CL0,Gender,-0.48246000000000006,0.10986069580056453
CL0,Gender,0.48246000000000006,0.2770984900546087
CL0,Education,-2.43591,0.252672818126358
CL0,Education,-1.7379,0.22009938868024834
CL0,Education,-1.43719,0.11744529746765818
CL0,Education,-1.22751,0.12061900655621507
CL0,Education,-0.6111300000000001,0.14968607742571882
CL0,Education,-0.059210000000000006,0.11722774083894759
CL0,Education,0.45468000000000003,0.14697985425510615
CL0,Education,1.16365,0.12977825139711813
CL0,Education,1.98437,0.10122546678454314
CL0,Country,-0.57009,0.09138265868931499
CL0,Country,-0.46841000000000005,0.09525110332682217
CL0,Country,-0.28519,0.17770395257150667
CL0,Country,-0.09765,0.040318728208723204
CL0,Country,0.21128000000000002,0.1268661255995222
CL0,Country,0.24923,0.12681215939517737
CL0,Country,0.9608200000000001,0.23953018532546352
CL0,Ethnicity,-1.1070200000000001,0.03581078736511639
CL0,Ethnicity,-0.50212,0.15387016509056467
CL0,Ethnicity,-0.31685,0.14296020954878155
CL0,Ethnicity,-0.22166,0.14120843019448642
CL0,Ethnicity,0.1144,0.0954369839759506
CL0,Ethnicity,0.126,0.0938372963141393
CL0,Ethnicity,1.90725,2.988760890375786e-35
CL0,Nscore,-3.4643599999999997,0.0014720989999524954
CL0,Nscore,-3.15735,0.003988841753806713
CL0,Nscore,-2.75696,0.3396671800076723
CL0,Nscore,-2.52197,0.306569263449452
CL0,Nscore,-2.4231700000000003,0.0001416122039498845
CL0,Nscore,-2.3436,0.9336252052369615
CL0,Nscore,-2.21844,0.016500656384469944
CL0,Nscore,-2.05048,0.3259124112695099
CL0,Nscore,-1.86962,0.09774578071407125
CL0,Nscore,-1.69163,0.2366459550980032
CL0,Nscore,-1.5507799999999998,0.24968121675463772
CL0,Nscore,-1.43907,0.1936152702241665
CL0,Nscore,-1.32828,0.1802623423248423
CL0,Nscore,-1.1943,0.1747106497949414
CL0,Nscore,-1.05308,0.04232079357374881
CL0,Nscore,-0.92104,0.21507492230972017
CL0,Nscore,-0.79151,0.14194504216975973
CL0,Nscore,-0.67825,0.13191970615934376
