,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_fiblr__bin_num_percent,param_fiblr__eta,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
19,66.93771686553956,0.6121448425229239,0.22735381126403809,0.07532202662784775,1,1,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 1}",0.8571428571428571,0.8511488511488512,0.8781218781218781,0.8321678321678322,0.8391608391608392,0.8061938061938062,0.8361638361638362,0.8531468531468531,0.8581418581418582,0.8158953722334004,0.8427471758472458,0.020242181249889846,1,0.8644745612086203,0.8460342146189735,0.8610308820262164,0.8690291046434125,0.8681404132415019,0.8632526105309931,0.865363252610531,0.8623639191290824,0.8611419684514552,0.8673548673548673,0.8628185793815654,0.006203265038704749
18,66.63000576496124,0.7316021454066884,0.29363484382629396,0.0869865074268032,1,0.1,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.1}",0.8001998001998002,0.8061938061938062,0.7932067932067932,0.7862137862137862,0.7572427572427572,0.7372627372627373,0.7802197802197802,0.7612387612387612,0.7902097902097902,0.7525150905432596,0.7764670598820353,0.02176358504018019,2,0.8037102866029772,0.794379026882915,0.7989335703177072,0.8070428793601422,0.7961564096867363,0.8061541879582315,0.8088202621639635,0.7906020884247945,0.7954898911353032,0.8033078033078033,0.8004596405840575,0.00586545752670075
17,69.27764854431152,0.7611379554055787,0.2338029146194458,0.07458192497920994,1,0.01,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.01}",0.6523476523476524,0.6743256743256744,0.6553446553446554,0.6543456543456544,0.6453546453546454,0.6143856143856143,0.6233766233766234,0.6163836163836164,0.6323676323676324,0.6156941649899397,0.638408477456763,0.019781637903303922,3,0.6628526994001332,0.6531881804043546,0.6538546989557876,0.668518107087314,0.6692957120639857,0.6493001555209953,0.6588535880915353,0.656965118862475,0.6443012663852478,0.6633366633366633,0.6580466190108492,0.007718224784376941
16,66.7446742773056,0.6159744636330889,0.26037261486053465,0.07615379010882811,1,0.001,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.001}",0.5454545454545454,0.5434565434565435,0.5074925074925075,0.5044955044955045,0.5244755244755245,0.5004995004995005,0.5264735264735265,0.48951048951048953,0.5464535464535465,0.48893360160965793,0.517744676597021,0.021394673278252837,4,0.5402132859364586,0.5359920017773828,0.5255498778049322,0.5193290379915574,0.5335481004221284,0.5283270384359031,0.5415463230393246,0.5332148411464119,0.5451010886469674,0.54001554001554,0.5342837135216607,0.007601189471076902
15,51.36500072479248,0.3269668791891377,0.22082598209381105,0.05492198315171901,0.1,1,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 1}",0.38961038961038963,0.4005994005994006,0.3986013986013986,0.3826173826173826,0.3956043956043956,0.38461538461538464,0.3936063936063936,0.36363636363636365,0.4095904095904096,0.36519114688128773,0.38838348495451364,0.014070066293517251,5,0.40268829149077984,0.3960231059764497,0.3904687847145079,0.38758053765829814,0.39291268606976226,0.40624305709842257,0.3948011552988225,0.3972450566540769,0.4007998222617196,0.40204240204240205,0.3970804899265242,0.005581477561518028
14,51.57830431461334,0.40679231861915177,0.19465987682342528,0.06081687209738164,0.1,0.1,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 0.1}",0.3986013986013986,0.4045954045954046,0.3866133866133866,0.3696303696303696,0.3676323676323676,0.36163836163836166,0.3696303696303696,0.3546453546453546,0.3856143856143856,0.3470824949698189,0.3745876237128861,0.017775516314485606,6,0.3914685625416574,0.3774716729615641,0.37891579648966894,0.3783603643634748,0.37380582092868253,0.3799155743168185,0.37980448789157967,0.3836925127749389,0.3800266607420573,0.3909423909423909,0.38144038439528327,0.005411300052374236
2,42.95226752758026,0.046015235374315906,0.10848565101623535,0.0010613283523709506,0,0.1,"{'fiblr__bin_num_percent': 0, 'fiblr__eta': 0.1}",0.3546453546453546,0.3776223776223776,0.36563436563436563,0.37162837162837165,0.34865134865134867,0.34165834165834164,0.3596403596403596,0.34165834165834164,0.36663336663336665,0.32494969818913483,0.35529341197640707,0.0153367330670172,7,0.358586980670962,0.35369917796045325,0.35069984447900465,0.3649189069095756,0.35780937569429017,0.3613641413019329,0.36280826483003775,0.3624750055543213,0.35136636303043767,0.3631923631923632,0.35869204236233787,0.004905920691806578
3,46.3304860830307,0.501983764785823,0.23550636768341066,0.07228204364948479,0,1,"{'fiblr__bin_num_percent': 0, 'fiblr__eta': 1}",0.35264735264735264,0.3806193806193806,0.3646353646353646,0.35564435564435565,0.3436563436563437,0.35064935064935066,0.36363636363636365,0.3356643356643357,0.3696303696303696,0.3289738430583501,0.35459362191342597,0.01495924738582765,8,0.36236391912908245,0.3510331037547212,0.35780937569429017,0.3560319928904688,0.35992001777382804,0.3643634747833815,0.358586980670962,0.35869806709620083,0.3620306598533659,0.36297036297036295,0.35938079546166635,0.0037200498982846945
7,53.3269380569458,0.9961198142833458,0.1961373805999756,0.04951054867798974,0.001,1,"{'fiblr__bin_num_percent': 0.001, 'fiblr__eta': 1}",0.35264735264735264,0.3806193806193806,0.3646353646353646,0.35564435564435565,0.3436563436563437,0.35064935064935066,0.36363636363636365,0.3356643356643357,0.3696303696303696,0.3289738430583501,0.35459362191342597,0.01495924738582765,8,0.36236391912908245,0.3510331037547212,0.35780937569429017,0.3550322150633193,0.35992001777382804,0.3643634747833815,0.358586980670962,0.35869806709620083,0.3620306598533659,0.36297036297036295,0.35928081767895137,0.0038207777965610958
11,48.27270047664642,1.194946054735776,0.21371638774871826,0.027124250962265763,0.01,1,"{'fiblr__bin_num_percent': 0.01, 'fiblr__eta': 1}",0.35264735264735264,0.3806193806193806,0.3646353646353646,0.35564435564435565,0.3436563436563437,0.35064935064935066,0.36363636363636365,0.3356643356643357,0.3696303696303696,0.3289738430583501,0.35459362191342597,0.01495924738582765,8,0.36236391912908245,0.3510331037547212,0.35780937569429017,0.3550322150633193,0.35992001777382804,0.3643634747833815,0.358586980670962,0.35869806709620083,0.3620306598533659,0.36297036297036295,0.35928081767895137,0.0038207777965610958
10,48.57013790607452,1.0412921206799597,0.18883950710296632,0.0599471915927969,0.01,0.1,"{'fiblr__bin_num_percent': 0.01, 'fiblr__eta': 0.1}",0.35364635364635366,0.37462537462537465,0.36663336663336665,0.37162837162837165,0.35064935064935066,0.33966033966033965,0.3436563436563437,0.34165834165834164,0.3676323676323676,0.3209255533199195,0.35309407177846647,0.016241327030166227,11,0.3570317707176183,0.3493668073761386,0.35369917796045325,0.3648078204843368,0.35780937569429017,0.35747611641857363,0.35258831370806487,0.35958675849811156,0.35192179515663186,0.3625263625263625,0.35668142985405815,0.004609492108828669
