Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.16986042322343375
CL0,Age,-0.07854,0.12903149403503897
CL0,Age,0.49788000000000004,0.12382457179826
CL0,Age,1.09449,0.14632813476747097
CL0,Age,1.82213,0.16086506578378343
CL0,Age,2.59171,0.06419278052409998
CL0,Gender,-0.48246000000000006,0.13847930329962138
CL0,Gender,0.48246000000000006,0.168136542963785
CL0,Education,-2.43591,0.009109821389251633
CL0,Education,-1.7379,0.07988948683898402
CL0,Education,-1.43719,0.193888596663551
CL0,Education,-1.22751,0.19076697824010114
CL0,Education,-0.6111300000000001,0.12526319905810487
CL0,Education,-0.059210000000000006,0.13383344211754933
CL0,Education,0.45468000000000003,0.19269882449236284
CL0,Education,1.16365,0.20313889152771314
CL0,Education,1.98437,0.07452885486336844
CL0,Country,-0.57009,0.0698581892239237
CL0,Country,-0.46841000000000005,0.0744639418327507
CL0,Country,-0.28519,0.2548680694314053
CL0,Country,-0.09765,0.2179188814030892
CL0,Country,0.21128000000000002,0.22512631937795835
CL0,Country,0.24923,0.22652020338646073
CL0,Country,0.9608200000000001,0.3462760101697221
CL0,Ethnicity,-1.1070200000000001,0.505617165102264
CL0,Ethnicity,-0.50212,0.1597699968730467
CL0,Ethnicity,-0.31685,0.14467614063438788
CL0,Ethnicity,-0.22166,0.1842888977380245
CL0,Ethnicity,0.1144,0.19060277862542047
CL0,Ethnicity,0.126,0.1904498067611509
CL0,Ethnicity,1.90725,2.9407795428586055e-27
CL0,Nscore,-3.4643599999999997,0.00031740271422792577
CL0,Nscore,-3.15735,0.991151119901083
CL0,Nscore,-2.75696,0.08592126809079627
CL0,Nscore,-2.52197,0.49403073346984044
CL0,Nscore,-2.4231700000000003,0.928492433567377
CL0,Nscore,-2.3436,0.9447375089428719
CL0,Nscore,-2.21844,0.9418639083433012
CL0,Nscore,-2.05048,0.28064200665975786
CL0,Nscore,-1.86962,0.11568286097169912
CL0,Nscore,-1.69163,0.1795067241057727
CL0,Nscore,-1.5507799999999998,0.3810236648809117
CL0,Nscore,-1.43907,0.158601952833567
CL0,Nscore,-1.32828,0.6139584866226727
CL0,Nscore,-1.1943,0.15167369048984175
CL0,Nscore,-1.05308,0.3637257571835342
CL0,Nscore,-0.92104,0.25215002650005086
CL0,Nscore,-0.79151,0.1230110352860224
CL0,Nscore,-0.67825,0.11288322338809546
CL0,Nscore,-0.58016,0.11376701878848025
CL0,Nscore,-0.46725,0.10421681222993238
CL0,Nscore,-0.34799,0.18958527942306103
CL0,Nscore,-0.24649000000000001,0.10205830832166998
CL0,Nscore,-0.14882,0.16248050285193613
CL0,Nscore,-0.051879999999999996,0.16148498648068565
CL0,Nscore,0.04257,0.061528211514825806
CL0,Nscore,0.13606,0.1456154952967935
CL0,Nscore,0.22393000000000002,0.14552448488507383
CL0,Nscore,0.31287,0.1577942264923863
CL0,Nscore,0.41667,0.11678770189880479
CL0,Nscore,0.52135,0.11752549539096248
CL0,Nscore,0.62967,0.15973543387993963
CL0,Nscore,0.73545,0.12958869686340763
CL0,Nscore,0.82562,0.1345465442465043
CL0,Nscore,0.9109299999999999,0.13410305771183503
CL0,Nscore,1.02119,0.15505588034520756
CL0,Nscore,1.13281,0.17927465358732764
CL0,Nscore,1.23461,0.11813605974485802
CL0,Nscore,1.37297,0.12979680593156973
CL0,Nscore,1.49158,0.18863223595625656
CL0,Nscore,1.6038299999999999,0.19011133513907721
CL0,Nscore,1.72012,0.135069154166368
