,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_fiblr__bin_num_percent,param_fiblr__eta,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
19,52.99032397270203,0.7604722931205398,0.11448612213134765,0.0019143342875297656,1,1,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 1}",0.7056277056277056,0.7229437229437229,0.7419825072886297,0.7332361516034985,0.7113702623906706,0.673469387755102,0.7011661807580175,0.7201166180758017,0.7594752186588921,0.7040816326530612,0.7173407041024149,0.022804295532777984,1,0.7480990131046756,0.7514965215984468,0.7487071751777634,0.7457983193277311,0.753393665158371,0.7566257272139625,0.7619586296056884,0.746606334841629,0.7527472527472527,0.7506464124111183,0.7516079051186639,0.004660831600626381
18,52.76722629070282,0.43162180939981004,0.11348271369934082,0.0009782877005659316,1,0.1,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.1}",0.6810966810966811,0.7085137085137085,0.7084548104956269,0.7142857142857143,0.685131195335277,0.6457725947521866,0.673469387755102,0.7055393586005831,0.7215743440233237,0.6661807580174927,0.6910096013965668,0.02322559637281482,2,0.7230221646982689,0.7299789678045624,0.7218810601163542,0.725759534583064,0.7310924369747899,0.7228506787330317,0.7333548804137039,0.7335164835164835,0.7128312863606981,0.7288299935358759,0.7263117486736832,0.006071392890973623
17,52.8085458278656,0.4893401557420219,0.113952898979187,0.0024582921245768063,1,0.01,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.01}",0.5916305916305916,0.6305916305916306,0.6443148688046647,0.6049562682215743,0.6064139941690962,0.5830903790087464,0.5626822157434402,0.6107871720116618,0.6297376093294461,0.5699708454810496,0.6034332266511493,0.025485868261941443,3,0.6314512214851966,0.6338780132664618,0.6326761473820297,0.6283128636069812,0.6307369101486748,0.6268584356819651,0.6388170652876535,0.634453781512605,0.6239495798319328,0.6254040077569489,0.630653802596045,0.004342794587079473
16,52.7163179397583,0.2753839670485538,0.11317322254180909,0.0007654149043399612,1,0.001,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.001}",0.5151515151515151,0.5382395382395382,0.5393586005830904,0.5160349854227405,0.5306122448979592,0.49271137026239065,0.48542274052478135,0.5276967930029155,0.5276967930029155,0.5189504373177842,0.5192027931335467,0.017060042778601642,4,0.5254813137032842,0.536482769778353,0.5410471881060116,0.5237556561085973,0.5536522301228184,0.5290885585003232,0.5332902391725921,0.5412087912087912,0.5135746606334841,0.5492889463477699,0.5346870353682025,0.011586071958091457
15,32.14894850254059,0.4297219691107397,0.07888855934143066,0.0008293061885964244,0.1,1,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 1}",0.48773448773448774,0.5093795093795094,0.47667638483965014,0.5029154518950437,0.47959183673469385,0.4650145772594752,0.47959183673469385,0.5116618075801749,0.5306122448979592,0.4752186588921283,0.49185336048879835,0.019658614321286957,5,0.5052580488594078,0.4966833845656043,0.5016160310277957,0.5008080155138979,0.5027472527472527,0.5071105365223012,0.5124434389140271,0.5009696186166774,0.49854557207498384,0.5103425985778927,0.5036524497419841,0.0048112237052291345
14,32.28119568824768,0.35937108123773387,0.07906391620635986,0.000575014758293083,0.1,0.1,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 0.1}",0.48484848484848486,0.481962481962482,0.4606413994169096,0.4620991253644315,0.4518950437317784,0.43440233236151604,0.4489795918367347,0.48104956268221577,0.4956268221574344,0.44314868804664725,0.46450392784405004,0.0193484671475332,6,0.47613654748422585,0.4583400744216146,0.4736586942469295,0.4673561732385262,0.46929541047188106,0.4951519069166128,0.4744667097608274,0.47042663219133807,0.4718810601163542,0.4720426632191338,0.4728755872067444,0.008787810674271005
7,34.97104775905609,0.2931237969709116,0.11817893981933594,0.03205826075278348,0.001,1,"{'fiblr__bin_num_percent': 0.001, 'fiblr__eta': 1}",0.46464646464646464,0.46320346320346323,0.44752186588921283,0.48250728862973763,0.47230320699708456,0.43731778425655976,0.4314868804664723,0.45626822157434405,0.4912536443148688,0.44752186588921283,0.45941227814954905,0.01819206820544698,7,0.4695033166154344,0.464326160815402,0.4667097608274079,0.45830639948287005,0.4696186166774402,0.4701034259857789,0.46994182288299935,0.464770523594053,0.4608920491273432,0.46703296703296704,0.4661205043041696,0.003857009926890891
11,29.9603152513504,0.21527991042056047,0.07615320682525635,0.0005405178352322122,0.01,1,"{'fiblr__bin_num_percent': 0.01, 'fiblr__eta': 1}",0.46464646464646464,0.46320346320346323,0.44752186588921283,0.48250728862973763,0.47230320699708456,0.43731778425655976,0.4314868804664723,0.45626822157434405,0.4912536443148688,0.44752186588921283,0.45941227814954905,0.01819206820544698,7,0.4695033166154344,0.464326160815402,0.4667097608274079,0.45830639948287005,0.4696186166774402,0.4701034259857789,0.46994182288299935,0.464770523594053,0.4608920491273432,0.46703296703296704,0.4661205043041696,0.003857009926890891
3,35.23042743206024,0.24758839133379942,0.11556613445281982,0.030513598209614478,0,1,"{'fiblr__bin_num_percent': 0, 'fiblr__eta': 1}",0.46464646464646464,0.46320346320346323,0.44752186588921283,0.48250728862973763,0.4708454810495627,0.43731778425655976,0.4314868804664723,0.45626822157434405,0.4912536443148688,0.44752186588921283,0.4592668024439919,0.01809396618164982,9,0.4695033166154344,0.464326160815402,0.4667097608274079,0.45830639948287005,0.46881060116354234,0.4701034259857789,0.46994182288299935,0.464770523594053,0.4608920491273432,0.46703296703296704,0.46603970275277984,0.003790775617087577
6,34.30419688224792,0.380186561074597,0.12458310127258301,0.043626425616917985,0.001,0.1,"{'fiblr__bin_num_percent': 0.001, 'fiblr__eta': 0.1}",0.4227994227994228,0.4401154401154401,0.41253644314868804,0.4227405247813411,0.4139941690962099,0.38629737609329445,0.3746355685131195,0.4096209912536443,0.45335276967930027,0.4037900874635568,0.4140238580157114,0.021965732749546586,10,0.4193496198026209,0.4127163889338295,0.4206528765352295,0.4229153199741435,0.4209760827407886,0.4198448610213316,0.416289592760181,0.4216224951519069,0.4132191338073691,0.4240465416936005,0.4191632912421001,0.0036759974354460094
