Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.19290616392078583
CL0,Age,-0.07854,0.11686936971511533
CL0,Age,0.49788000000000004,0.10611508522985094
CL0,Age,1.09449,0.10185443584668936
CL0,Age,1.82213,0.3005434008715399
CL0,Age,2.59171,0.5999001530894821
CL0,Gender,-0.48246000000000006,0.12467176428592372
CL0,Gender,0.48246000000000006,0.18141600875743796
CL0,Education,-2.43591,0.08601528949881314
CL0,Education,-1.7379,0.14738207952823532
CL0,Education,-1.43719,0.14406066320180744
CL0,Education,-1.22751,0.14569870102029644
CL0,Education,-0.6111300000000001,0.12824479967184158
CL0,Education,-0.059210000000000006,0.16126873364381547
CL0,Education,0.45468000000000003,0.1307627876509952
CL0,Education,1.16365,0.1903349846110338
CL0,Education,1.98437,0.10593297452325759
CL0,Country,-0.57009,0.0821155031485507
CL0,Country,-0.46841000000000005,0.08649859480048154
CL0,Country,-0.28519,0.15936541279068256
CL0,Country,-0.09765,0.14764884143253887
CL0,Country,0.21128000000000002,0.07499664004281112
CL0,Country,0.24923,0.07393246483692352
CL0,Country,0.9608200000000001,0.29536817226593726
CL0,Ethnicity,-1.1070200000000001,0.6845750126452524
CL0,Ethnicity,-0.50212,0.14683457605193928
CL0,Ethnicity,-0.31685,0.14066918757654612
CL0,Ethnicity,-0.22166,0.16664179340207594
CL0,Ethnicity,0.1144,0.1286470312481174
CL0,Ethnicity,0.126,0.1272485857779701
CL0,Ethnicity,1.90725,7.310207830092751e-37
CL0,Nscore,-3.4643599999999997,0.0006091096677849646
CL0,Nscore,-3.15735,0.99094121243019
CL0,Nscore,-2.75696,0.6258564197197123
CL0,Nscore,-2.52197,0.0012068136106274132
CL0,Nscore,-2.4231700000000003,0.9033715400273964
CL0,Nscore,-2.3436,0.26002073160940886
CL0,Nscore,-2.21844,0.036153862955296455
CL0,Nscore,-2.05048,0.2140571437918558
CL0,Nscore,-1.86962,0.09569413796709021
CL0,Nscore,-1.69163,0.15834373861821122
CL0,Nscore,-1.5507799999999998,0.20143037418201562
CL0,Nscore,-1.43907,0.10261526352442411
CL0,Nscore,-1.32828,0.17883725575637258
CL0,Nscore,-1.1943,0.16976510512256526
CL0,Nscore,-1.05308,0.11680171648061843
CL0,Nscore,-0.92104,0.14408179157769538
CL0,Nscore,-0.79151,0.07970778931631428
CL0,Nscore,-0.67825,0.11202788905777977
CL0,Nscore,-0.58016,0.11364607359424886
CL0,Nscore,-0.46725,0.13243047778851988
CL0,Nscore,-0.34799,0.11441650107563928
CL0,Nscore,-0.24649000000000001,0.15845165202676792
CL0,Nscore,-0.14882,0.14698870021651284
CL0,Nscore,-0.051879999999999996,0.14660008315937625
CL0,Nscore,0.04257,0.11415378778190387
CL0,Nscore,0.13606,0.12529012131246042
CL0,Nscore,0.22393000000000002,0.12543137436427176
CL0,Nscore,0.31287,0.22623212862344394
CL0,Nscore,0.41667,0.13374068002180575
CL0,Nscore,0.52135,0.13270473771038646
CL0,Nscore,0.62967,0.1795196642649319
CL0,Nscore,0.73545,0.07809338478472462
CL0,Nscore,0.82562,0.15009269000117442
CL0,Nscore,0.9109299999999999,0.14982199726301332
CL0,Nscore,1.02119,0.1387818275259071
CL0,Nscore,1.13281,0.1796725930601398
CL0,Nscore,1.23461,0.14665562545002686
CL0,Nscore,1.37297,0.16419104794155856
CL0,Nscore,1.49158,0.24157737012300368
CL0,Nscore,1.6038299999999999,0.2442055017087053
CL0,Nscore,1.72012,0.40799612729305623
CL0,Nscore,1.8399,0.31838251596857664
CL0,Nscore,1.98437,0.2983003633463824
CL0,Nscore,2.127,0.23359871150910594
CL0,Nscore,2.28554,0.17759302615246095
CL0,Nscore,2.4626200000000003,0.20925689797911068
CL0,Nscore,2.61139,0.005748439911137441
CL0,Nscore,2.82196,0.7961746652800793
CL0,Nscore,3.27393,0.03065494792832097
CL0,Escore,-3.27393,0.44112801225275416
CL0,Escore,-3.00537,0.009048294896284647
CL0,Escore,-2.72827,0.00422869404767242
CL0,Escore,-2.5383,0.055079857995164266
CL0,Escore,-2.44904,0.04174855483766527
CL0,Escore,-2.32338,0.23158890993599612
CL0,Escore,-2.21069,0.2292889360276673
CL0,Escore,-2.11437,0.009628581526629843
CL0,Escore,-2.03972,0.010590784900811907
CL0,Escore,-1.92173,0.010627255993624489
CL0,Escore,-1.7625,0.12490688564275099
CL0,Escore,-1.6334,0.25632500975046774
