,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_fiblr__bin_num_percent,param_fiblr__eta,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
19,35.32111587524414,0.9271299805763754,0.10641388893127442,0.035701917802936814,1,1,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 1}",0.4426229508196721,0.48243559718969553,0.4847775175644028,0.4309133489461358,0.44730679156908665,0.47306791569086654,0.4707259953161593,0.5339578454332553,0.4918032786885246,0.5035128805620609,0.47611241217798594,0.029138797832611685,1,0.5654436638043195,0.5599791829300026,0.5709081446786365,0.5646630236794171,0.5623211033047099,0.5534738485558157,0.5709081446786365,0.5552953421805881,0.5594587561800677,0.5482695810564663,0.561072079104866,0.00697041645293624
18,35.07922689914703,0.5916942538201002,0.1290506362915039,0.052836207656034986,1,0.1,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.1}",0.3793911007025761,0.477751756440281,0.48243559718969553,0.41451990632318503,0.4613583138173302,0.45433255269320844,0.45433255269320844,0.5035128805620609,0.4613583138173302,0.5199063231850117,0.46088992974238874,0.03863529859915932,2,0.5493104345563362,0.5381212594327348,0.5620608899297423,0.5480093676814989,0.5526932084309133,0.5407233931824096,0.5581576893052302,0.5467083008066614,0.5422846734322144,0.5399427530575072,0.5478011969815249,0.007576455490136626
17,34.88119783401489,0.6522510077916902,0.14841325283050538,0.054771560675287594,1,0.01,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.01}",0.34660421545667447,0.44730679156908665,0.41451990632318503,0.37236533957845436,0.43559718969555034,0.42857142857142855,0.41451990632318503,0.477751756440281,0.4309133489461358,0.47540983606557374,0.4243559718969555,0.038875878220140506,3,0.48061410356492323,0.48920114493884986,0.48269581056466304,0.49128285193858967,0.4847775175644028,0.4785323965651834,0.49128285193858967,0.487639864689045,0.4847775175644028,0.48347645068956546,0.48542805100182146,0.004129529692221372
16,34.777272891998294,0.3629305679080193,0.15984842777252198,0.08031590717972084,1,0.001,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.001}",0.2786885245901639,0.36065573770491804,0.3325526932084309,0.30210772833723654,0.3161592505854801,0.3185011709601874,0.33489461358313816,0.3864168618266979,0.3442622950819672,0.41217798594847777,0.33864168618266977,0.03754676126244699,4,0.3957845433255269,0.404631798074421,0.3840749414519906,0.41217798594847777,0.39266198282591724,0.38771792870153526,0.39266198282591724,0.385376008326828,0.39396304970075463,0.39526411657559196,0.39443143377569606,0.008138316303805208
15,21.79946873188019,0.2275741249038531,0.0973961353302002,0.019297908198911123,0.1,1,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 1}",0.27634660421545665,0.35362997658079626,0.3255269320843091,0.2927400468384075,0.3442622950819672,0.30679156908665106,0.3442622950819672,0.33021077283372363,0.31381733021077285,0.3231850117096019,0.32107728337236535,0.023028354430997388,5,0.35180848295602396,0.3398386677075202,0.34894613583138173,0.35857403070517824,0.34400208170699975,0.34790528233151186,0.3424408014571949,0.34192037470725994,0.3450429352068696,0.33879781420765026,0.34592766068175906,0.005728477920714862
14,21.69619381427765,0.2337417178917754,0.09082374572753907,0.03569303973786432,0.1,0.1,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 0.1}",0.27400468384074944,0.30679156908665106,0.3091334894613583,0.26229508196721313,0.3161592505854801,0.2857142857142857,0.297423887587822,0.3161592505854801,0.297423887587822,0.2927400468384075,0.29578454332552695,0.016856946991033357,6,0.3296903460837887,0.32656778558417904,0.32656778558417904,0.31746031746031744,0.3161592505854801,0.31720010408535,0.31381733021077285,0.3161592505854801,0.32448607858443923,0.3211033047098621,0.32092115534738486,0.005244510036024761
6,20.635776329040528,0.25842319874130326,0.10164203643798828,0.02194330126873777,0.001,0.1,"{'fiblr__bin_num_percent': 0.001, 'fiblr__eta': 0.1}",0.25526932084309134,0.2927400468384075,0.2693208430913349,0.2529274004683841,0.26229508196721313,0.3044496487119438,0.29508196721311475,0.297423887587822,0.27400468384074944,0.2646370023419204,0.27681498829039813,0.017982532852882867,7,0.30002602133749673,0.2948217538381473,0.29586260733801717,0.3005464480874317,0.2984647410876919,0.2961228207129846,0.29508196721311475,0.2864949258391881,0.2890970595888629,0.2888368462138954,0.294535519125683,0.004616056190202797
10,20.41493752002716,0.23904470058037167,0.08450946807861329,0.029355827093675124,0.01,0.1,"{'fiblr__bin_num_percent': 0.01, 'fiblr__eta': 0.1}",0.2529274004683841,0.2927400468384075,0.2693208430913349,0.2459016393442623,0.2646370023419204,0.2997658079625293,0.297423887587822,0.2997658079625293,0.27634660421545665,0.2646370023419204,0.27634660421545665,0.018997002145829736,8,0.2995055945875618,0.29716367421285456,0.2948217538381473,0.30080666146239915,0.3005464480874317,0.2966432474629196,0.29326047358834245,0.28675513921415563,0.2888368462138954,0.2896174863387978,0.29479573250065055,0.004793085161323954
2,21.117986392974853,0.24748081764392146,0.09108524322509766,0.030641100914501337,0,0.1,"{'fiblr__bin_num_percent': 0, 'fiblr__eta': 0.1}",0.25526932084309134,0.297423887587822,0.26697892271662765,0.2459016393442623,0.25995316159250587,0.297423887587822,0.29508196721311475,0.2997658079625293,0.27400468384074944,0.26697892271662765,0.2758782201405152,0.018991227103244298,9,0.30002602133749673,0.30028623471246424,0.2953421805880822,0.2987249544626594,0.2961228207129846,0.29716367421285456,0.2888368462138954,0.2885766328389279,0.2916991933385376,0.29065833983866773,0.294743689825657,0.00425995601470381
3,21.02953791618347,0.1408319197861738,0.08308463096618653,0.017048340844547635,0,1,"{'fiblr__bin_num_percent': 0, 'fiblr__eta': 1}",0.26697892271662765,0.27400468384074944,0.2857142857142857,0.22716627634660422,0.29508196721311475,0.2786885245901639,0.31381733021077285,0.28805620608899296,0.2693208430913349,0.2529274004683841,0.275175644028103,0.022542124123340775,10,0.2995055945875618,0.29065833983866773,0.29430132708821233,0.2992453812125943,0.29378090033827736,0.29143897996357016,0.3005464480874317,0.28441321883944837,0.29326047358834245,0.29117876658860264,0.2938329430132709,0.004676317432055214
