Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.16994336931608042
CL0,Age,-0.07854,0.1208269080203348
CL0,Age,0.49788000000000004,0.11420681249749734
CL0,Age,1.09449,0.20290168612205364
CL0,Age,1.82213,0.19263896273559963
CL0,Age,2.59171,0.2211728770882351
CL0,Gender,-0.48246000000000006,0.12930555278636924
CL0,Gender,0.48246000000000006,0.15512693427705226
CL0,Education,-2.43591,0.02458973094006658
CL0,Education,-1.7379,0.13217276437432393
CL0,Education,-1.43719,0.08610968739535854
CL0,Education,-1.22751,0.08988952125151477
CL0,Education,-0.6111300000000001,0.13322674292424277
CL0,Education,-0.059210000000000006,0.1378929209006438
CL0,Education,0.45468000000000003,0.15912216914872745
CL0,Education,1.16365,0.14893695963640574
CL0,Education,1.98437,0.14375478023941635
CL0,Country,-0.57009,0.10322155362848472
CL0,Country,-0.46841000000000005,0.10616444732486287
CL0,Country,-0.28519,0.12704942573707653
CL0,Country,-0.09765,0.1979631069594186
CL0,Country,0.21128000000000002,0.08434582800240581
CL0,Country,0.24923,0.0850135538551322
CL0,Country,0.9608200000000001,0.16545849696961049
CL0,Ethnicity,-1.1070200000000001,0.6104533978797098
CL0,Ethnicity,-0.50212,0.17018584405311415
CL0,Ethnicity,-0.31685,0.14446588680509334
CL0,Ethnicity,-0.22166,0.14434307777980906
CL0,Ethnicity,0.1144,0.1539253464959916
CL0,Ethnicity,0.126,0.1539198541436811
CL0,Ethnicity,1.90725,2.3695666475673923e-21
CL0,Nscore,-3.4643599999999997,0.0008813496230000266
CL0,Nscore,-3.15735,0.0025982746587282597
CL0,Nscore,-2.75696,0.2869444559258487
CL0,Nscore,-2.52197,0.8217171377429789
CL0,Nscore,-2.4231700000000003,0.9366137096524528
CL0,Nscore,-2.3436,0.256486213434104
CL0,Nscore,-2.21844,0.04497791729146828
CL0,Nscore,-2.05048,0.2250313782035931
CL0,Nscore,-1.86962,0.10192766611434775
CL0,Nscore,-1.69163,0.2757272902868287
CL0,Nscore,-1.5507799999999998,0.04873362629650586
CL0,Nscore,-1.43907,0.1639867075045678
CL0,Nscore,-1.32828,0.17394176900714955
CL0,Nscore,-1.1943,0.08413917114598018
CL0,Nscore,-1.05308,0.09976537965545497
CL0,Nscore,-0.92104,0.2127357398224305
CL0,Nscore,-0.79151,0.12446296519962394
CL0,Nscore,-0.67825,0.10847656823818518
CL0,Nscore,-0.58016,0.11036162515055341
CL0,Nscore,-0.46725,0.14807542861371026
CL0,Nscore,-0.34799,0.1572479383610352
CL0,Nscore,-0.24649000000000001,0.14677215797153037
CL0,Nscore,-0.14882,0.13294259227829852
CL0,Nscore,-0.051879999999999996,0.13397262022341172
CL0,Nscore,0.04257,0.18767525123791665
CL0,Nscore,0.13606,0.1064210049349822
CL0,Nscore,0.22393000000000002,0.10501758414011814
CL0,Nscore,0.31287,0.21758138326304766
CL0,Nscore,0.41667,0.12678281135322467
CL0,Nscore,0.52135,0.12639438002078365
CL0,Nscore,0.62967,0.12278294253810623
CL0,Nscore,0.73545,0.1302377313450713
CL0,Nscore,0.82562,0.16442863475657474
CL0,Nscore,0.9109299999999999,0.164841448180857
CL0,Nscore,1.02119,0.13147716905734452
CL0,Nscore,1.13281,0.05229442995952586
CL0,Nscore,1.23461,0.09167570698127692
CL0,Nscore,1.37297,0.042068961325183674
CL0,Nscore,1.49158,0.21222675075582248
CL0,Nscore,1.6038299999999999,0.21569820274419715
CL0,Nscore,1.72012,0.26240636780396925
CL0,Nscore,1.8399,0.13062727707416752
CL0,Nscore,1.98437,0.20816758298893442
CL0,Nscore,2.127,0.17066772420728124
CL0,Nscore,2.28554,0.27657162621353987
CL0,Nscore,2.4626200000000003,0.06260411486340638
CL0,Nscore,2.61139,0.0030579113866604835
CL0,Nscore,2.82196,0.23911289301053326
CL0,Nscore,3.27393,0.0009892819991651083
CL0,Escore,-3.27393,0.0008278437220016077
CL0,Escore,-3.00537,0.0028176634467989973
CL0,Escore,-2.72827,0.002119123792568833
CL0,Escore,-2.5383,0.4925239411868978
CL0,Escore,-2.44904,0.008266171364177184
CL0,Escore,-2.32338,0.19557378046359464
CL0,Escore,-2.21069,0.19524683688539607
CL0,Escore,-2.11437,0.23446092813822883
CL0,Escore,-2.03972,0.23186172209715297
CL0,Escore,-1.92173,0.24060540680472453
CL0,Escore,-1.7625,0.18540717024248582
CL0,Escore,-1.6334,0.21980786908572286
CL0,Escore,-1.50796,0.21269987565060447
CL0,Escore,-1.37639,0.19680336608096954
CL0,Escore,-1.23177,0.08219107165663246
CL0,Escore,-1.09207,0.08641374934777121
CL0,Escore,-0.9477899999999999,0.13915679552693133
CL0,Escore,-0.80615,0.16416766374470254
CL0,Escore,-0.69509,0.08721171432796462
CL0,Escore,-0.57545,0.14922900004045983
CL0,Escore,-0.43998999999999994,0.08821001759025295
CL0,Escore,-0.30033000000000004,0.14324129878885825
CL0,Escore,-0.15487,0.11847672277474991
CL0,Escore,0.0033200000000000005,0.16017150301207547
CL0,Escore,0.16767,0.1442025170424054
CL0,Escore,0.32197,0.16014609627972032
CL0,Escore,0.47617,0.17212416127193617
CL0,Escore,0.63779,0.09245709315497436
CL0,Escore,0.80523,0.1434702061943513
CL0,Escore,0.9624799999999999,0.1297218228819843
CL0,Escore,1.11406,0.193029468814852
CL0,Escore,1.2861,0.1259377146707762
CL0,Escore,1.45421,0.27166433404029255
CL0,Escore,1.58487,0.1655110707223448
CL0,Escore,1.74091,0.10478021588793862
CL0,Escore,1.9388599999999998,0.15259738930944192
CL0,Escore,2.127,0.20909470575876615
CL0,Escore,2.32338,0.15663026177152928
CL0,Escore,2.57309,0.26669192875231645
CL0,Escore,2.8595,0.3295467841098143
CL0,Escore,3.00537,0.001801276240521822
CL0,Escore,3.27393,0.0013262139896791335
CL0,Oscore,-3.27393,9.79507412546227e-05
CL0,Oscore,-2.8595,0.0002038689422361385
CL0,Oscore,-2.63199,0.5432706040229778
CL0,Oscore,-2.39883,0.3658058527352238
CL0,Oscore,-2.21069,0.39951763456724176
CL0,Oscore,-2.09015,0.3906748822320221
CL0,Oscore,-1.97495,0.1774380305662509
CL0,Oscore,-1.82919,0.05900430620148259
CL0,Oscore,-1.68062,0.15222355563461978
CL0,Oscore,-1.55521,0.15271008695583463
CL0,Oscore,-1.42424,0.1795314365133486
CL0,Oscore,-1.2755299999999998,0.20767369244965259
CL0,Oscore,-1.1190200000000001,0.1813103769024425
CL0,Oscore,-0.97631,0.08193861107854222
CL0,Oscore,-0.8473200000000001,0.08804736236240393
CL0,Oscore,-0.71727,0.18971232238479838
CL0,Oscore,-0.58331,0.19225750722418208
CL0,Oscore,-0.45174,0.18941120831775188
CL0,Oscore,-0.31776,0.15275616688228819
CL0,Oscore,-0.17779,0.1489705727420436
CL0,Oscore,-0.019280000000000002,0.14616569467499796
CL0,Oscore,0.14143,0.11234599360159477
CL0,Oscore,0.29338000000000003,0.1509559155177054
CL0,Oscore,0.44585,0.10885040848952555
CL0,Oscore,0.58331,0.10819220145661844
CL0,Oscore,0.7233,0.1249620225981157
CL0,Oscore,0.8830899999999999,0.1093878916605201
CL0,Oscore,1.0623799999999999,0.06985596302024225
CL0,Oscore,1.24033,0.17839253747323502
CL0,Oscore,1.43533,0.08746203716278188
CL0,Oscore,1.6565299999999998,0.10376563599646886
CL0,Oscore,1.8851099999999998,0.2388595704207495
CL0,Oscore,2.1532400000000003,0.17518580033358175
CL0,Oscore,2.44904,0.28596615720587804
CL0,Oscore,2.90161,0.0025979328115140117
CL0,Ascore,-3.4643599999999997,0.00028106626118764715
CL0,Ascore,-3.15735,0.0023605147324372022
CL0,Ascore,-3.00537,0.0036870905014314078
CL0,Ascore,-2.90161,0.006549499543653005
CL0,Ascore,-2.78793,0.0016550690049492234
CL0,Ascore,-2.70172,0.001941888687696502
CL0,Ascore,-2.5383,0.12208310119755776
CL0,Ascore,-2.35413,0.006811248973195623
CL0,Ascore,-2.21844,0.448349756972023
CL0,Ascore,-2.07848,0.0004290154618961983
CL0,Ascore,-1.92595,0.19485484838264128
CL0,Ascore,-1.772,0.14840699872049254
CL0,Ascore,-1.6209,0.14924067017855727
CL0,Ascore,-1.47955,0.0870800686439248
CL0,Ascore,-1.34289,0.1990907799125895
CL0,Ascore,-1.21213,0.141427673798783
CL0,Ascore,-1.07533,0.13162493308191173
CL0,Ascore,-0.91699,0.14379900822929623
CL0,Ascore,-0.7609600000000001,0.14084374923133744
CL0,Ascore,-0.60633,0.18681417680990803
CL0,Ascore,-0.45321000000000006,0.17853581728789533
CL0,Ascore,-0.30172,0.17059482577277166
CL0,Ascore,-0.15487,0.11592058234778083
CL0,Ascore,-0.01729,0.09864110548130392
CL0,Ascore,0.13136,0.12479829712740625
CL0,Ascore,0.28783000000000003,0.09736259881060916
CL0,Ascore,0.43851999999999997,0.15802932609162046
CL0,Ascore,0.59042,0.1611145942699534
CL0,Ascore,0.7609600000000001,0.18043618607896872
CL0,Ascore,0.9415600000000001,0.19205974384511734
CL0,Ascore,1.11406,0.16837381750443162
CL0,Ascore,1.2861,0.10030552009717508
CL0,Ascore,1.45039,0.1588967215481796
CL0,Ascore,1.6110799999999998,0.15208886228703516
CL0,Ascore,1.81866,0.1344429255293785
CL0,Ascore,2.03972,0.03689007659813442
CL0,Ascore,2.23427,0.11461354772736229
CL0,Ascore,2.4626200000000003,0.14859801818057974
CL0,Ascore,2.75696,0.2746753045906766
CL0,Ascore,3.15735,0.0016712367983010327
CL0,Ascore,3.4643599999999997,0.0010253599382840316
CL0,Cscore,-3.4643599999999997,0.0009511855697598786
CL0,Cscore,-3.15735,5.196116923436462e-06
CL0,Cscore,-2.90161,0.7019381190990195
CL0,Cscore,-2.72827,0.0017067599157892543
CL0,Cscore,-2.57309,0.000922623130222276
CL0,Cscore,-2.4231700000000003,0.17989968771858866
CL0,Cscore,-2.30408,0.18018974346381014
CL0,Cscore,-2.18109,0.0005934766146943043
CL0,Cscore,-2.04506,0.2394319667543054
CL0,Cscore,-1.92173,0.07465821824132153
CL0,Cscore,-1.7816900000000002,0.07923669809557138
CL0,Cscore,-1.6410099999999999,0.16814290850624392
CL0,Cscore,-1.5184,0.1435544969122455
CL0,Cscore,-1.3850200000000001,0.06541831944294897
CL0,Cscore,-1.25773,0.13405012414705994
CL0,Cscore,-1.13788,0.13422347080658645
CL0,Cscore,-1.0145,0.11220166360158208
CL0,Cscore,-0.89891,0.16706931661379487
CL0,Cscore,-0.78155,0.1655841961799447
CL0,Cscore,-0.65253,0.16864744022061584
CL0,Cscore,-0.52745,0.11635781886590739
CL0,Cscore,-0.40581,0.14359108309372742
CL0,Cscore,-0.27607,0.14374362025151496
CL0,Cscore,-0.14277,0.0952880083274732
CL0,Cscore,-0.00665,0.14639102870267925
CL0,Cscore,0.12330999999999999,0.18411591507465533
CL0,Cscore,0.25953000000000004,0.12451398280544969
CL0,Cscore,0.41594,0.12686559341850598
CL0,Cscore,0.5848899999999999,0.14067402625614106
CL0,Cscore,0.7583,0.2083372547388241
CL0,Cscore,0.9394899999999999,0.19200792427245325
CL0,Cscore,1.1340700000000001,0.0883679310884581
CL0,Cscore,1.3061200000000002,0.07677847819877041
CL0,Cscore,1.46191,0.17316458027186182
