Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.19526471859658404
CL0,Age,-0.07854,0.2871982832829612
CL0,Age,0.49788000000000004,0.35613288526498266
CL0,Age,1.09449,0.9265330770986262
CL0,Age,1.82213,0.9976157939643336
CL0,Age,2.59171,0.9999880930430775
CL0,Gender,-0.48246000000000006,0.2823483668361237
CL0,Gender,0.48246000000000006,0.19599207271405258
CL0,Education,-2.43591,0.8912910494333921
CL0,Education,-1.7379,0.08722038640048796
CL0,Education,-1.43719,0.14457869882402796
CL0,Education,-1.22751,0.15229109119899886
CL0,Education,-0.6111300000000001,0.2106925009252055
CL0,Education,-0.059210000000000006,0.3622645828451691
CL0,Education,0.45468000000000003,0.28310328539946017
CL0,Education,1.16365,0.8409442130327277
CL0,Education,1.98437,0.9898528332468108
CL0,Country,-0.57009,0.20283717044655095
CL0,Country,-0.46841000000000005,0.20268888808153013
CL0,Country,-0.28519,0.40534606437394805
CL0,Country,-0.09765,0.14891954276659988
CL0,Country,0.21128000000000002,0.5152389539000293
CL0,Country,0.24923,0.5274265825116738
CL0,Country,0.9608200000000001,0.9299462372806662
CL0,Ethnicity,-1.1070200000000001,0.9997828962381733
CL0,Ethnicity,-0.50212,0.22909956254530872
CL0,Ethnicity,-0.31685,0.22508047412284365
CL0,Ethnicity,-0.22166,0.17980484986563872
CL0,Ethnicity,0.1144,0.1598629703943641
CL0,Ethnicity,0.126,0.15892273992617562
CL0,Ethnicity,1.90725,1.0
CL0,Nscore,-3.4643599999999997,0.9990142765418684
CL0,Nscore,-3.15735,0.9969694227740763
CL0,Nscore,-2.75696,0.9866142520375961
CL0,Nscore,-2.52197,0.9679982092600188
CL0,Nscore,-2.4231700000000003,0.955634093410552
CL0,Nscore,-2.3436,0.93901506335229
CL0,Nscore,-2.21844,0.9200903827736928
CL0,Nscore,-2.05048,0.879911886395774
CL0,Nscore,-1.86962,0.8231966477949991
CL0,Nscore,-1.69163,0.7799509050407145
CL0,Nscore,-1.5507799999999998,0.7192701859408082
CL0,Nscore,-1.43907,0.6658552738286541
CL0,Nscore,-1.32828,0.6871967488020951
CL0,Nscore,-1.1943,0.6323057867996493
CL0,Nscore,-1.05308,0.49705097311467245
CL0,Nscore,-0.92104,0.5289653132759949
CL0,Nscore,-0.79151,0.4327574579031863
CL0,Nscore,-0.67825,0.1683264469039542
CL0,Nscore,-0.58016,0.17039621486244563
CL0,Nscore,-0.46725,0.19049035905437742
CL0,Nscore,-0.34799,0.1618309170128235
CL0,Nscore,-0.24649000000000001,0.19830471344719525
CL0,Nscore,-0.14882,0.3843989473097894
CL0,Nscore,-0.051879999999999996,0.3815089217727143
CL0,Nscore,0.04257,0.3568936265066715
CL0,Nscore,0.13606,0.1745215928556306
CL0,Nscore,0.22393000000000002,0.17386581358218586
CL0,Nscore,0.31287,0.4121541594304323
CL0,Nscore,0.41667,0.4148490245285345
CL0,Nscore,0.52135,0.4243248789013009
CL0,Nscore,0.62967,0.4449698476421417
CL0,Nscore,0.73545,0.42683792037811835
CL0,Nscore,0.82562,0.4932369221937682
CL0,Nscore,0.9109299999999999,0.5061902288180095
CL0,Nscore,1.02119,0.5585432361760725
CL0,Nscore,1.13281,0.5334615407978391
CL0,Nscore,1.23461,0.1441364445575937
CL0,Nscore,1.37297,0.6388023900299353
CL0,Nscore,1.49158,0.6922549277973679
CL0,Nscore,1.6038299999999999,0.7160774732987774
CL0,Nscore,1.72012,0.7431280248963821
CL0,Nscore,1.8399,0.79252522358449
CL0,Nscore,1.98437,0.05785020446136667
CL0,Nscore,2.127,0.8875377564275365
CL0,Nscore,2.28554,0.9238789551246872
CL0,Nscore,2.4626200000000003,0.9542909937168361
CL0,Nscore,2.61139,0.9720511311572089
