,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_fiblr__bin_num_percent,param_fiblr__eta,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
19,68.70009691715241,0.4494933378791036,0.2581489562988281,0.11308558565950651,1,1,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 1}",0.8708414872798435,0.8767123287671232,0.8610567514677103,0.863013698630137,0.8209393346379648,0.8413793103448276,0.8492610837438423,0.8443349753694581,0.858128078817734,0.8305418719211822,0.8516445753559155,0.01677674786764614,1,0.8651096802357306,0.8652188147986467,0.8603077594674233,0.8692567936265415,0.8806067881698134,0.8701199563794983,0.8755725190839695,0.8653217011995638,0.8639040348964013,0.8640130861504908,0.8679431134008079,0.005808792802014349
18,68.79513115882874,0.39275719080966087,0.16451630592346192,0.005713285824831215,1,0.1,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.1}",0.837573385518591,0.8659491193737769,0.8297455968688845,0.8385518590998043,0.8003913894324853,0.8157635467980295,0.812807881773399,0.8325123152709359,0.8453201970443349,0.8413793103448276,0.8320078546882671,0.01770005834075762,2,0.8426279602750191,0.8431736330895995,0.8430644985266834,0.8512495907453891,0.842518825712103,0.8487459105779717,0.8487459105779717,0.8509269356597601,0.8420937840785169,0.8465648854961833,0.8459711934739198,0.0035011000160683394
17,68.17133193016052,0.6205817461745247,0.16589696407318116,0.010291054547894595,1,0.01,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.01}",0.7407045009784736,0.7788649706457925,0.7573385518590998,0.7318982387475538,0.7299412915851272,0.7261083743842365,0.7389162561576355,0.7182266009852217,0.7665024630541872,0.7399014778325124,0.7428571428571429,0.018081766306909552,3,0.7508457928625996,0.7594674233329696,0.7571755975117319,0.7580486740150606,0.7628505947833679,0.7517993456924754,0.7584514721919302,0.7527808069792803,0.7514721919302072,0.759432933478735,0.7562324832778358,0.0039605887070747955
16,66.71339631080627,0.41365869619133244,0.21512892246246337,0.06437937936430511,1,0.001,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.001}",0.6673189823874756,0.6996086105675147,0.7152641878669276,0.6516634050880626,0.649706457925636,0.7004926108374384,0.6157635467980296,0.6413793103448275,0.7044334975369458,0.6315270935960591,0.6677466863033873,0.03312661181502971,4,0.6927862053912474,0.6898395721925134,0.699443413729128,0.6778347702717451,0.667576121357634,0.7141766630316249,0.6515812431842967,0.6701199563794984,0.6938931297709924,0.6672846237731734,0.6824535699081853,0.01779094330924426
15,53.95565791130066,0.9585467469567102,0.14319076538085937,0.034886110542086325,0.1,1,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 1}",0.589041095890411,0.6183953033268101,0.6193737769080235,0.6115459882583171,0.5557729941291585,0.5625615763546798,0.5714285714285714,0.5645320197044335,0.625615763546798,0.5852216748768473,0.5903780068728522,0.025185192832234988,5,0.5903088508130525,0.5994761540980028,0.6087525919458693,0.6052602859325549,0.6012223071046601,0.6003271537622683,0.5982551799345692,0.5912758996728462,0.5925845147219193,0.6029443838604144,0.5990407321846156,0.005776534597729547
14,55.63761167526245,0.7820408303027693,0.4128350496292114,0.24147021135242122,0.1,0.1,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 0.1}",0.49021526418786693,0.5264187866927593,0.5176125244618396,0.50293542074364,0.45792563600782776,0.46108374384236456,0.47389162561576353,0.4719211822660099,0.5073891625615764,0.470935960591133,0.4880706921944035,0.023108655178493122,6,0.4940521663210739,0.4829204409036342,0.4872858234202772,0.48968678380443087,0.4967805303939758,0.5093784078516903,0.4995637949836423,0.49432933478735,0.4946564885496183,0.49280261723009816,0.49414563882457907,0.0068072534959147816
10,54.87417323589325,0.5378888613152215,0.22693197727203368,0.06372811417995528,0.01,0.1,"{'fiblr__bin_num_percent': 0.01, 'fiblr__eta': 0.1}",0.42367906066536204,0.46868884540117417,0.4481409001956947,0.4344422700587084,0.40998043052837574,0.3921182266009852,0.4246305418719212,0.42561576354679803,0.46995073891625616,0.42167487684729066,0.43190967108492884,0.023228021774296066,7,0.4284622940085125,0.4511622830950562,0.42966277420058935,0.4287896976972607,0.4387209429226236,0.4455834242093784,0.442639040348964,0.43904034896401306,0.4291166848418757,0.43336968375136314,0.43665471740396367,0.007625214103780542
6,54.00533664226532,0.7425492681307604,0.19404854774475097,0.04718947777392045,0.001,0.1,"{'fiblr__bin_num_percent': 0.001, 'fiblr__eta': 0.1}",0.42367906066536204,0.45107632093933464,0.449119373776908,0.4344422700587084,0.41291585127201563,0.3921182266009852,0.4246305418719212,0.42561576354679803,0.4689655172413793,0.4236453201970443,0.4306332842415317,0.020475888863463392,8,0.4293353705118411,0.42507912255811414,0.42966277420058935,0.42813489031976426,0.44188584524718977,0.44569247546346785,0.442639040348964,0.4389312977099237,0.42791712104689206,0.4342420937840785,0.4343520031190824,0.006987303332277644
2,48.01784708499908,0.20205317747404647,0.11097049713134766,0.0008735179953182347,0,0.1,"{'fiblr__bin_num_percent': 0, 'fiblr__eta': 0.1}",0.42367906066536204,0.449119373776908,0.4452054794520548,0.4334637964774951,0.410958904109589,0.39408866995073893,0.4236453201970443,0.4266009852216749,0.470935960591133,0.42167487684729066,0.429945999018164,0.020225555721249892,9,0.4293353705118411,0.42584306449852666,0.42857142857142855,0.4284622940085125,0.43981228855178434,0.44580152671755724,0.43991275899672844,0.43882224645583423,0.4296619411123228,0.4336968375136314,0.43399197569381676,0.00631358432160429
13,55.17301454544067,1.102083601842827,0.232360315322876,0.13985677314703604,0.1,0.01,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 0.01}",0.4158512720156556,0.4657534246575342,0.44422700587084146,0.410958904109589,0.4041095890410959,0.4315270935960591,0.4039408866995074,0.4039408866995074,0.48177339901477834,0.4354679802955665,0.4297496318114875,0.026037200960160514,10,0.445050747571756,0.4390483466113718,0.4362108479755539,0.40543490123322057,0.42638873731310706,0.4559432933478735,0.4347873500545256,0.4268266085059978,0.4461286804798255,0.4485278080697928,0.43643473211630246,0.013633991868551514
