Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.14737874809763135
CL0,Age,-0.07854,0.1459422162145659
CL0,Age,0.49788000000000004,0.20760906859175848
CL0,Age,1.09449,0.3745050723376628
CL0,Age,1.82213,0.5622827845702388
CL0,Age,2.59171,0.9995678659029372
CL0,Gender,-0.48246000000000006,0.1447050969613058
CL0,Gender,0.48246000000000006,0.21798025242827562
CL0,Education,-2.43591,0.09483234074623811
CL0,Education,-1.7379,0.2645209078896234
CL0,Education,-1.43719,0.08749919966786154
CL0,Education,-1.22751,0.09363663238791992
CL0,Education,-0.6111300000000001,0.15547201311897135
CL0,Education,-0.059210000000000006,0.20017127518361622
CL0,Education,0.45468000000000003,0.14986739564124543
CL0,Education,1.16365,0.17960377755859808
CL0,Education,1.98437,0.22178781444689522
CL0,Country,-0.57009,0.12368497358098125
CL0,Country,-0.46841000000000005,0.12530735096720527
CL0,Country,-0.28519,0.15520424511403738
CL0,Country,-0.09765,0.10075451862030604
CL0,Country,0.21128000000000002,0.14564923234740715
CL0,Country,0.24923,0.14596851070254513
CL0,Country,0.9608200000000001,0.32338688180117037
CL0,Ethnicity,-1.1070200000000001,0.9146199151275088
CL0,Ethnicity,-0.50212,0.14874298290808477
CL0,Ethnicity,-0.31685,0.1520339824097275
CL0,Ethnicity,-0.22166,0.14641116621325728
CL0,Ethnicity,0.1144,0.12765626849271386
CL0,Ethnicity,0.126,0.12695691906879908
CL0,Ethnicity,1.90725,0.21914881694261637
CL0,Nscore,-3.4643599999999997,0.9934158682020967
CL0,Nscore,-3.15735,0.9825715331198993
CL0,Nscore,-2.75696,0.4845738291686993
CL0,Nscore,-2.52197,0.27723626441842514
CL0,Nscore,-2.4231700000000003,0.88895746139215
CL0,Nscore,-2.3436,0.038484182784054126
CL0,Nscore,-2.21844,0.07359818617671592
CL0,Nscore,-2.05048,0.14813714042232928
CL0,Nscore,-1.86962,0.15612725255351675
CL0,Nscore,-1.69163,0.04952513090042609
CL0,Nscore,-1.5507799999999998,0.21797804514963967
CL0,Nscore,-1.43907,0.3776145232842834
CL0,Nscore,-1.32828,0.4984824297396835
CL0,Nscore,-1.1943,0.35957057420152294
CL0,Nscore,-1.05308,0.3741593784315437
CL0,Nscore,-0.92104,0.1631449167577673
CL0,Nscore,-0.79151,0.05234373313925628
CL0,Nscore,-0.67825,0.16049264156592705
CL0,Nscore,-0.58016,0.16041098601056158
CL0,Nscore,-0.46725,0.21679998391108682
CL0,Nscore,-0.34799,0.1800104187038644
CL0,Nscore,-0.24649000000000001,0.20951652996230277
CL0,Nscore,-0.14882,0.15520806776703078
CL0,Nscore,-0.051879999999999996,0.1549895754238208
CL0,Nscore,0.04257,0.22681713966269854
CL0,Nscore,0.13606,0.20008199966092727
CL0,Nscore,0.22393000000000002,0.19996061007916816
CL0,Nscore,0.31287,0.22093794386278343
CL0,Nscore,0.41667,0.13560223995494522
CL0,Nscore,0.52135,0.1360695953788004
CL0,Nscore,0.62967,0.06642352806332479
CL0,Nscore,0.73545,0.2207934502121623
CL0,Nscore,0.82562,0.17165682055774256
CL0,Nscore,0.9109299999999999,0.1726427698958739
CL0,Nscore,1.02119,0.07775697961019783
CL0,Nscore,1.13281,0.11991142309480668
CL0,Nscore,1.23461,0.15459133894676844
CL0,Nscore,1.37297,0.20065310092642355
CL0,Nscore,1.49158,0.18756709755314319
CL0,Nscore,1.6038299999999999,0.18950544825674678
CL0,Nscore,1.72012,0.06886089923685385
CL0,Nscore,1.8399,0.14457262099459456
CL0,Nscore,1.98437,0.04969091690364092
CL0,Nscore,2.127,0.46988704629969397
CL0,Nscore,2.28554,0.44146729086712
CL0,Nscore,2.4626200000000003,0.06810211462490498
CL0,Nscore,2.61139,0.0003664490409514348
CL0,Nscore,2.82196,0.031015024961569243
CL0,Nscore,3.27393,0.0009354398834108135
CL0,Escore,-3.27393,3.6119317968697197e-06
CL0,Escore,-3.00537,0.008444194209270742
CL0,Escore,-2.72827,0.9421517220425597
CL0,Escore,-2.5383,0.8893137718565669
CL0,Escore,-2.44904,0.8760413168748239
CL0,Escore,-2.32338,0.4130697281977781
CL0,Escore,-2.21069,0.40668914626760544
CL0,Escore,-2.11437,0.07346952278470695
CL0,Escore,-2.03972,0.0760882177694492
CL0,Escore,-1.92173,0.3747402436574106
CL0,Escore,-1.7625,0.13070938435812943
