Class,Feature,Value,Probability
Iris-setosa,Sepal length,4.3,0.6129767027431436
Iris-setosa,Sepal length,4.4,0.6024675521273808
Iris-setosa,Sepal length,4.5,0.5915191097207737
Iris-setosa,Sepal length,4.6,0.5801381970211116
Iris-setosa,Sepal length,4.7,0.568335535513554
Iris-setosa,Sepal length,4.8,0.5561258562438482
Iris-setosa,Sepal length,4.9,0.5435279233361872
Iris-setosa,Sepal length,5.0,0.5305644638155752
Iris-setosa,Sepal length,5.1,0.5172620000781127
Iris-setosa,Sepal length,5.2,0.5036505859827367
Iris-setosa,Sepal length,5.3,0.48976345249240294
Iris-setosa,Sepal length,5.4,0.4756365736756065
Iris-setosa,Sepal length,5.5,0.19662334203603385
Iris-setosa,Sepal length,5.6,0.19244629008265568
Iris-setosa,Sepal length,5.7,0.18830188851161336
Iris-setosa,Sepal length,5.8,0.18419212320466788
Iris-setosa,Sepal length,5.9,0.18011890549138754
Iris-setosa,Sepal length,6.0,0.17608406986785008
Iris-setosa,Sepal length,6.1,0.17208937204190594
Iris-setosa,Sepal length,6.2,0.16813648729913228
Iris-setosa,Sepal length,6.3,0.1642270091815241
Iris-setosa,Sepal length,6.4,0.1603624484690979
Iris-setosa,Sepal length,6.5,0.15654423245293395
Iris-setosa,Sepal length,6.6,0.15277370448676364
Iris-setosa,Sepal length,6.7,0.11246635414993743
Iris-setosa,Sepal length,6.8,0.10088285846816078
Iris-setosa,Sepal length,6.9,0.09021642761141432
Iris-setosa,Sepal length,7.0,0.08045203746935478
Iris-setosa,Sepal length,7.1,0.07156138151681823
Iris-setosa,Sepal length,7.2,0.06350584232296741
Iris-setosa,Sepal length,7.3,0.05623929875161862
Iris-setosa,Sepal length,7.4,0.049710654043047836
Iris-setosa,Sepal length,7.6,0.0386505231135207
Iris-setosa,Sepal length,7.7,0.03400976330866757
Iris-setosa,Sepal length,7.9,0.02624350495960695
Iris-setosa,Sepal width,2.0,0.03931891883042344
Iris-setosa,Sepal width,2.2,0.05807502376866776
Iris-setosa,Sepal width,2.3,0.07014129356765275
Iris-setosa,Sepal width,2.4,0.08426473255483767
Iris-setosa,Sepal width,2.5,0.10059794001683443
Iris-setosa,Sepal width,2.6,0.11922597088492289
Iris-setosa,Sepal width,2.7,0.14013896340239124
Iris-setosa,Sepal width,2.8,0.16320805692154683
Iris-setosa,Sepal width,2.9,0.18817026304714912
Iris-setosa,Sepal width,3.0,0.2146278554310632
Iris-setosa,Sepal width,3.1,0.24206591158681948
Iris-setosa,Sepal width,3.2,0.26988794816602674
Iris-setosa,Sepal width,3.3,0.45378902023039974
Iris-setosa,Sepal width,3.4,0.4798624554154082
Iris-setosa,Sepal width,3.5,0.5043718821480371
Iris-setosa,Sepal width,3.6,0.5272598597264606
Iris-setosa,Sepal width,3.7,0.5485440588719948
Iris-setosa,Sepal width,3.8,0.5682977968402407
Iris-setosa,Sepal width,3.9,0.5866312341159061
Iris-setosa,Sepal width,4.0,0.603675218938193
Iris-setosa,Sepal width,4.1,0.6195685972340466
Iris-setosa,Sepal width,4.2,0.6344489999399378
Iris-setosa,Sepal width,4.4,0.661680748586375
Iris-setosa,Petal length,1.0,0.9203895543384911
Iris-setosa,Petal length,1.1,0.9154302906837017
Iris-setosa,Petal length,1.2,0.9101734586685848
Iris-setosa,Petal length,1.3,0.9046026364448014
Iris-setosa,Petal length,1.4,0.8987006894917328
Iris-setosa,Petal length,1.5,0.892449773446989
Iris-setosa,Petal length,1.6,0.8858313457318853
Iris-setosa,Petal length,1.7,0.8788261882721683
Iris-setosa,Petal length,1.9,0.8635756708708345
Iris-setosa,Petal length,3.0,0.029797236050354243
Iris-setosa,Petal length,3.3,0.032439662776870035
Iris-setosa,Petal length,3.5,0.03432135130551614
Iris-setosa,Petal length,3.6,0.03529986787963141
Iris-setosa,Petal length,3.7,0.036304249667019506
Iris-setosa,Petal length,3.8,0.03733506780467006
Iris-setosa,Petal length,3.9,0.03839289981270481
Iris-setosa,Petal length,4.0,0.12426107331963317
Iris-setosa,Petal length,4.1,0.11987747344694877
Iris-setosa,Petal length,4.2,0.11558684594521125
Iris-setosa,Petal length,4.3,0.11139500793222508
Iris-setosa,Petal length,4.4,0.1073078220928561
Iris-setosa,Petal length,4.5,0.10333108044625665
Iris-setosa,Petal length,4.6,0.09947036767254272
Iris-setosa,Petal length,4.7,0.09573090870897968
Iris-setosa,Petal length,4.8,0.09211740718129982
Iris-setosa,Petal length,4.9,0.08863388276921137
Iris-setosa,Petal length,5.0,0.08528351660487728
Iris-setosa,Petal length,5.1,0.0820685141029744
Iris-setosa,Petal length,5.2,0.0789899941314848
Iris-setosa,Petal length,5.3,0.07604791216037816
Iris-setosa,Petal length,5.4,0.07324102307587742
Iris-setosa,Petal length,5.5,0.11322737493313166
Iris-setosa,Petal length,5.6,0.10818536969603235
Iris-setosa,Petal length,5.7,0.10330350556121091
Iris-setosa,Petal length,5.8,0.09858248352429089
Iris-setosa,Petal length,5.9,0.09402243264978806
Iris-setosa,Petal length,6.0,0.08962293763362768
Iris-setosa,Petal length,6.1,0.08538307126644121
Iris-setosa,Petal length,6.3,0.07737617514767237
Iris-setosa,Petal length,6.4,0.07360506770993115
Iris-setosa,Petal length,6.6,0.06651460516326575
Iris-setosa,Petal length,6.7,0.06318915447411304
Iris-setosa,Petal length,6.9,0.05696073568214763
