,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_fiblr__bin_num_percent,param_fiblr__eta,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
15,2.869144821166992,0.029332343875766255,0.008372831344604491,0.00019335428675094161,0.1,1,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 1}",0.9333333333333333,0.9333333333333333,0.9,0.8,0.9666666666666667,0.9,0.9,0.8928571428571429,0.8928571428571429,0.9642857142857143,0.9081632653061225,0.04513696434703028,1,0.9962121212121212,0.9924242424242424,0.9886363636363636,0.9924242424242424,0.9810606060606061,0.9924242424242424,0.9962121212121212,0.9887218045112782,0.9924812030075187,0.9924812030075187,0.9913078149920255,0.004164453648935586
19,2.9539559364318846,0.04722365942128264,0.009007525444030762,0.0011762874621312964,1,1,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 1}",0.9,0.9666666666666667,0.9333333333333333,0.8,0.9666666666666667,0.8666666666666667,0.8666666666666667,0.9285714285714286,0.8928571428571429,0.9642857142857143,0.9081632653061225,0.05174094386341881,1,1.0,0.9924242424242424,0.9924242424242424,0.9962121212121212,0.9924242424242424,0.9924242424242424,0.9962121212121212,0.9924812030075187,0.9962406015037594,0.9962406015037594,0.9947083618136249,0.0025109475935612413
18,2.961290454864502,0.039453735790791866,0.008440160751342773,0.00022526307184808945,1,0.1,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.1}",0.9,0.8666666666666667,0.9,0.8333333333333334,0.9333333333333333,0.8666666666666667,0.9,0.8571428571428571,0.9285714285714286,0.9642857142857143,0.8945578231292517,0.037553854768314354,3,0.9583333333333334,0.946969696969697,0.9734848484848485,0.9583333333333334,0.946969696969697,0.9583333333333334,0.9659090909090909,0.9548872180451128,0.9586466165413534,0.9511278195488722,0.9572994987468672,0.007735826545157386
14,2.880681943893433,0.07672006809888453,0.008464312553405762,0.0002530428034596937,0.1,0.1,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 0.1}",0.9,0.8333333333333334,0.8666666666666667,0.9,0.9333333333333333,0.8666666666666667,0.9,0.8571428571428571,0.8928571428571429,0.9642857142857143,0.891156462585034,0.03590006748832316,4,0.9545454545454546,0.946969696969697,0.9583333333333334,0.9507575757575758,0.9356060606060606,0.9393939393939394,0.9431818181818182,0.9398496240601504,0.9586466165413534,0.9511278195488722,0.9478411938938255,0.007736184610921098
17,2.9607378244400024,0.07385938501237825,0.008509373664855957,0.0002230484607839781,1,0.01,"{'fiblr__bin_num_percent': 1, 'fiblr__eta': 0.01}",0.8333333333333334,0.7666666666666667,0.7666666666666667,0.8666666666666667,0.9333333333333333,0.7333333333333333,0.8,0.8214285714285714,0.8928571428571429,0.8928571428571429,0.8299319727891157,0.06205968504094413,5,0.8787878787878788,0.8939393939393939,0.8977272727272727,0.8863636363636364,0.8977272727272727,0.8825757575757576,0.8825757575757576,0.8909774436090225,0.8721804511278195,0.8834586466165414,0.8866313511050352,0.00794932031220728
13,2.880433440208435,0.06245666234692523,0.008351540565490723,0.00020713043928831336,0.1,0.01,"{'fiblr__bin_num_percent': 0.1, 'fiblr__eta': 0.01}",0.8333333333333334,0.7666666666666667,0.7666666666666667,0.8666666666666667,0.9333333333333333,0.7333333333333333,0.8,0.7857142857142857,0.8928571428571429,0.8928571428571429,0.826530612244898,0.06339683496738395,6,0.8712121212121212,0.8939393939393939,0.8939393939393939,0.8863636363636364,0.8939393939393939,0.8825757575757576,0.875,0.8796992481203008,0.8721804511278195,0.8834586466165414,0.8832308042834358,0.008373137931134025
2,1.269335722923279,0.0008801191634232611,0.006699609756469727,0.0002040285235904843,0,0.1,"{'fiblr__bin_num_percent': 0, 'fiblr__eta': 0.1}",0.9,0.8,0.7333333333333333,0.8,0.9333333333333333,0.7333333333333333,0.7,0.8571428571428571,0.8928571428571429,0.75,0.8095238095238095,0.07772685639294513,7,0.8409090909090909,0.8598484848484849,0.8598484848484849,0.8333333333333334,0.8371212121212122,0.8484848484848485,0.8257575757575758,0.8383458646616542,0.849624060150376,0.8458646616541353,0.8439137616769194,0.010454185588679043
6,1.2696104288101195,0.0006576964678344599,0.006726741790771484,0.00020695095234872282,0.001,0.1,"{'fiblr__bin_num_percent': 0.001, 'fiblr__eta': 0.1}",0.9,0.8,0.7333333333333333,0.8,0.9333333333333333,0.7,0.7,0.8571428571428571,0.8928571428571429,0.75,0.8061224489795918,0.08161847949517251,8,0.8409090909090909,0.8598484848484849,0.8598484848484849,0.8333333333333334,0.8371212121212122,0.8484848484848485,0.8257575757575758,0.8383458646616542,0.8345864661654135,0.8458646616541353,0.8424100022784232,0.01060508355857129
10,1.2696700811386108,0.0007483306047661509,0.006723737716674805,0.00022338363331215664,0.01,0.1,"{'fiblr__bin_num_percent': 0.01, 'fiblr__eta': 0.1}",0.9,0.8,0.7333333333333333,0.8,0.9333333333333333,0.7,0.7,0.8571428571428571,0.8928571428571429,0.75,0.8061224489795918,0.08161847949517251,8,0.8409090909090909,0.8598484848484849,0.8598484848484849,0.8333333333333334,0.8371212121212122,0.8484848484848485,0.8257575757575758,0.8383458646616542,0.8345864661654135,0.8458646616541353,0.8424100022784232,0.01060508355857129
1,1.2695279598236084,0.0005339530305974413,0.006718850135803223,0.00021877968648917158,0,0.01,"{'fiblr__bin_num_percent': 0, 'fiblr__eta': 0.01}",0.8333333333333334,0.7666666666666667,0.6666666666666666,0.9,0.9333333333333333,0.7333333333333333,0.7333333333333333,0.8214285714285714,0.8571428571428571,0.7857142857142857,0.8027210884353742,0.07841593117958168,10,0.8068181818181818,0.8181818181818182,0.8333333333333334,0.8068181818181818,0.8143939393939394,0.8106060606060606,0.8143939393939394,0.8120300751879699,0.8007518796992481,0.8157894736842105,0.8133116883116884,0.008271090547871828
