Class,Feature,Value,Probability
0,MDVP:Fo(Hz),88.333,0.6117003393365681
0,MDVP:Fo(Hz),91.904,0.6129619623837984
0,MDVP:Fo(Hz),95.056,0.6140741495103246
0,MDVP:Fo(Hz),95.385,0.6141901612468547
0,MDVP:Fo(Hz),95.605,0.6142677294119226
0,MDVP:Fo(Hz),95.73,0.61431179934931
0,MDVP:Fo(Hz),96.106,0.6144443491177283
0,MDVP:Fo(Hz),98.804,0.6153949079711202
0,MDVP:Fo(Hz),100.77,0.6160869513895075
0,MDVP:Fo(Hz),100.96,0.6161538048128491
0,MDVP:Fo(Hz),102.273,0.6166156634579966
0,MDVP:Fo(Hz),104.4,0.6173633563121466
0,MDVP:Fo(Hz),106.516,0.6181065699799815
0,MDVP:Fo(Hz),107.332,0.6183930140920492
0,MDVP:Fo(Hz),108.807,0.6189105577998978
0,MDVP:Fo(Hz),109.86,0.6192798480882825
0,MDVP:Fo(Hz),110.417,0.6194751277909084
0,MDVP:Fo(Hz),110.453,0.6194877476253108
0,MDVP:Fo(Hz),110.568,0.619528059784856
0,MDVP:Fo(Hz),110.707,0.6195767824757998
0,MDVP:Fo(Hz),110.739,0.6195879988319982
0,MDVP:Fo(Hz),110.793,0.6196069261118826
0,MDVP:Fo(Hz),112.014,0.6200347851655746
0,MDVP:Fo(Hz),112.15,0.6200824290766913
0,MDVP:Fo(Hz),112.239,0.6201136064234819
0,MDVP:Fo(Hz),112.547,0.6202214925761359
0,MDVP:Fo(Hz),112.876,0.6203367200514044
0,MDVP:Fo(Hz),113.166,0.6204382758703891
0,MDVP:Fo(Hz),113.4,0.6205202123860468
0,MDVP:Fo(Hz),113.715,0.6206304995118062
0,MDVP:Fo(Hz),114.238,0.6208135806413313
0,MDVP:Fo(Hz),114.554,0.6209241809779243
0,MDVP:Fo(Hz),114.563,0.6209273307835941
0,MDVP:Fo(Hz),114.847,0.6210267188477512
0,MDVP:Fo(Hz),115.322,0.621192923726083
0,MDVP:Fo(Hz),115.38,0.6212132160579703
0,MDVP:Fo(Hz),116.014,0.6214350015788817
0,MDVP:Fo(Hz),116.15,0.6214825696996631
0,MDVP:Fo(Hz),116.286,0.6215301352322555
0,MDVP:Fo(Hz),116.342,0.6215497202873439
0,MDVP:Fo(Hz),116.388,0.6215658076827547
0,MDVP:Fo(Hz),116.556,0.6216245591317009
0,MDVP:Fo(Hz),116.676,0.6216665220323577
0,MDVP:Fo(Hz),116.682,0.6216686201244418
0,MDVP:Fo(Hz),116.848,0.6217266653386277
0,MDVP:Fo(Hz),116.879,0.6217375046796705
0,MDVP:Fo(Hz),117.004,0.6245613602016012
0,MDVP:Fo(Hz),117.226,0.6242218439872065
0,MDVP:Fo(Hz),117.274,0.6241484212904072
0,MDVP:Fo(Hz),117.87,0.6232363494722771
0,MDVP:Fo(Hz),117.963,0.6230939618793219
0,MDVP:Fo(Hz),118.747,0.6218928980435819
0,MDVP:Fo(Hz),119.031,0.6214575023982095
0,MDVP:Fo(Hz),119.056,0.6214191672995747
0,MDVP:Fo(Hz),119.1,0.6213516943803773
0,MDVP:Fo(Hz),119.992,0.6199829731583476
0,MDVP:Fo(Hz),120.078,0.6198509249178114
0,MDVP:Fo(Hz),120.08,0.6198478538486938
0,MDVP:Fo(Hz),120.256,0.6195775678020025
0,MDVP:Fo(Hz),120.267,0.6195606728272092
0,MDVP:Fo(Hz),120.289,0.6195268821382939
0,MDVP:Fo(Hz),120.552,0.6191228535895187
0,MDVP:Fo(Hz),121.345,0.6179037758949558
0,MDVP:Fo(Hz),122.188,0.6166064510258802
0,MDVP:Fo(Hz),122.336,0.6163785424725369
0,MDVP:Fo(Hz),122.4,0.6162799740143178
0,MDVP:Fo(Hz),122.964,0.615410990820692
0,MDVP:Fo(Hz),124.445,0.6131261900115073
0,MDVP:Fo(Hz),125.036,0.6122132530488547
0,MDVP:Fo(Hz),125.641,0.6112780043490365
0,MDVP:Fo(Hz),125.791,0.6110460179841914
0,MDVP:Fo(Hz),126.144,0.6104999107177245
0,MDVP:Fo(Hz),126.344,0.6101903984798632
0,MDVP:Fo(Hz),126.512,0.6099303508368468
0,MDVP:Fo(Hz),127.93,0.6077333585038941
0,MDVP:Fo(Hz),128.001,0.6076232577002099
0,MDVP:Fo(Hz),128.451,0.6069252245570115
0,MDVP:Fo(Hz),128.94,0.6061662840313952
0,MDVP:Fo(Hz),129.336,0.6055513704408299
0,MDVP:Fo(Hz),136.358,0.5946033461680102
0,MDVP:Fo(Hz),136.926,0.5937142970550459
0,MDVP:Fo(Hz),136.969,0.5936469721264065
0,MDVP:Fo(Hz),138.145,0.5918046273572447
0,MDVP:Fo(Hz),138.19,0.591734088201124
0,MDVP:Fo(Hz),139.173,0.5901924522236771
0,MDVP:Fo(Hz),139.224,0.5901124303772611
0,MDVP:Fo(Hz),140.341,0.5883588524372563
0,MDVP:Fo(Hz),142.167,0.585488418151546
0,MDVP:Fo(Hz),142.729,0.5846040423414869
0,MDVP:Fo(Hz),143.533,0.5833381128718584
0,MDVP:Fo(Hz),144.188,0.5823061587111772
0,MDVP:Fo(Hz),145.174,0.5807516659414277
0,MDVP:Fo(Hz),146.845,0.03704754083170712
0,MDVP:Fo(Hz),148.09,0.03773665774334761
0,MDVP:Fo(Hz),148.143,0.037766264690979684
0,MDVP:Fo(Hz),148.272,0.037838419955876224
0,MDVP:Fo(Hz),148.462,0.03794493580699385
0,MDVP:Fo(Hz),148.79,0.038129492291049116
0,MDVP:Fo(Hz),149.689,0.03863975338163294
0,MDVP:Fo(Hz),149.818,0.038713506480016785
0,MDVP:Fo(Hz),150.258,0.03896608253886946
0,MDVP:Fo(Hz),150.44,0.03907101765036457
0,MDVP:Fo(Hz),151.737,0.03982669137808803
0,MDVP:Fo(Hz),151.872,0.039906144985282346
0,MDVP:Fo(Hz),151.884,0.03991321485711412
0,MDVP:Fo(Hz),151.955,0.03995506943871126
0,MDVP:Fo(Hz),151.989,0.03997512733134392
0,MDVP:Fo(Hz),152.125,0.0400554551948345
0,MDVP:Fo(Hz),152.845,0.04048329699615084
0,MDVP:Fo(Hz),153.046,0.04060351357445477
0,MDVP:Fo(Hz),153.848,0.04108658650290415
0,MDVP:Fo(Hz),153.88,0.041105974623688854
0,MDVP:Fo(Hz),154.003,0.04118057904299521
0,MDVP:Fo(Hz),155.078,0.0418381320104249
0,MDVP:Fo(Hz),155.358,0.04201103869492007
0,MDVP:Fo(Hz),156.239,0.042559532336846964
0,MDVP:Fo(Hz),156.405,0.042663641980797765
0,MDVP:Fo(Hz),157.447,0.04332271108101306
0,MDVP:Fo(Hz),157.821,0.043561622967487654
0,MDVP:Fo(Hz),158.219,0.043817243035930535
0,MDVP:Fo(Hz),159.116,0.044398593518158724
0,MDVP:Fo(Hz),162.568,0.0467049484630011
0,MDVP:Fo(Hz),163.656,0.047455112966012264
0,MDVP:Fo(Hz),166.605,0.0495461890419744
0,MDVP:Fo(Hz),166.888,0.049751375439309534
0,MDVP:Fo(Hz),167.93,0.05051380365515492
0,MDVP:Fo(Hz),168.778,0.05114240503717169
0,MDVP:Fo(Hz),169.774,0.05189013081660457
0,MDVP:Fo(Hz),170.368,0.052340952726595474
0,MDVP:Fo(Hz),170.756,0.05263741687262718
0,MDVP:Fo(Hz),171.041,0.052856186219647466
0,MDVP:Fo(Hz),173.898,0.05509698290336823
0,MDVP:Fo(Hz),173.917,0.05511217911639855
0,MDVP:Fo(Hz),174.188,0.05532935340129364
0,MDVP:Fo(Hz),174.688,0.6890062290753842
0,MDVP:Fo(Hz),176.17,0.694146804923728
0,MDVP:Fo(Hz),176.281,0.69452992240828
0,MDVP:Fo(Hz),176.824,0.6964002327896931
0,MDVP:Fo(Hz),176.858,0.6965171287220012
0,MDVP:Fo(Hz),177.876,0.7000053922974365
0,MDVP:Fo(Hz),178.222,0.7011857912952582
0,MDVP:Fo(Hz),178.285,0.7014004340971309
0,MDVP:Fo(Hz),179.711,0.7062351927296876
0,MDVP:Fo(Hz),180.198,0.7078758813202644
0,MDVP:Fo(Hz),180.978,0.7104924920926271
0,MDVP:Fo(Hz),182.018,0.7139597268429495
0,MDVP:Fo(Hz),183.52,0.7189232521293933
0,MDVP:Fo(Hz),184.055,0.7206785613227817
0,MDVP:Fo(Hz),186.163,0.7275293871485252
0,MDVP:Fo(Hz),186.695,0.729241722075645
0,MDVP:Fo(Hz),187.733,0.7325632554230199
0,MDVP:Fo(Hz),188.62,0.7353811101634351
0,MDVP:Fo(Hz),192.818,0.7484582567061553
0,MDVP:Fo(Hz),193.03,0.7491071975725706
0,MDVP:Fo(Hz),197.076,0.7612784063012269
0,MDVP:Fo(Hz),197.569,0.762733527365879
0,MDVP:Fo(Hz),198.116,0.7643408954051254
0,MDVP:Fo(Hz),198.383,0.7651227489776292
0,MDVP:Fo(Hz),198.458,0.7653420483137652
0,MDVP:Fo(Hz),198.764,0.7662353231653165
0,MDVP:Fo(Hz),199.228,0.7675853344069968
0,MDVP:Fo(Hz),200.714,0.7718723266761548
0,MDVP:Fo(Hz),201.464,0.7740148343465093
0,MDVP:Fo(Hz),201.774,0.7748962471229688
0,MDVP:Fo(Hz),202.266,0.7762901385981147
0,MDVP:Fo(Hz),202.544,0.777075032279032
0,MDVP:Fo(Hz),202.632,0.7773230796698937
0,MDVP:Fo(Hz),202.805,0.7778101459470856
0,MDVP:Fo(Hz),203.184,0.7109124894744823
0,MDVP:Fo(Hz),204.664,0.7156091819798751
0,MDVP:Fo(Hz),206.327,0.7208319496647596
0,MDVP:Fo(Hz),208.083,0.7262831830463964
0,MDVP:Fo(Hz),208.519,0.7276264565491044
0,MDVP:Fo(Hz),209.144,0.7295448817891058
0,MDVP:Fo(Hz),209.516,0.7306827230613394
0,MDVP:Fo(Hz),210.141,0.732587665664962
0,MDVP:Fo(Hz),214.289,0.7450136264864881
0,MDVP:Fo(Hz),217.116,0.75326356072445
0,MDVP:Fo(Hz),222.236,0.7677459514843403
0,MDVP:Fo(Hz),223.361,0.770848079746311
0,MDVP:Fo(Hz),223.365,0.770859057820391
0,MDVP:Fo(Hz),228.832,0.7855195554815398
0,MDVP:Fo(Hz),228.969,0.7858780945932609
0,MDVP:Fo(Hz),229.401,0.7870058338423183
0,MDVP:Fo(Hz),236.2,0.9045682443731906
0,MDVP:Fo(Hz),237.226,0.9065358514924333
0,MDVP:Fo(Hz),237.323,0.9067199751186915
0,MDVP:Fo(Hz),240.301,0.9122162030319786
0,MDVP:Fo(Hz),241.404,0.9141764428168874
0,MDVP:Fo(Hz),242.852,0.91668949461675
0,MDVP:Fo(Hz),243.439,0.9176890410525378
0,MDVP:Fo(Hz),244.99,0.9202776921153882
0,MDVP:Fo(Hz),245.51,0.9211287889630296
0,MDVP:Fo(Hz),252.455,0.9317234010557869
0,MDVP:Fo(Hz),260.105,0.9418566624309659
0,MDVP:Fhi(Hz),102.145,0.22404669990993467
0,MDVP:Fhi(Hz),102.305,0.2241911945380779
0,MDVP:Fhi(Hz),107.715,0.22911625637731006
0,MDVP:Fhi(Hz),108.664,0.2299880624488077
0,MDVP:Fhi(Hz),110.019,0.23123691168704907
0,MDVP:Fhi(Hz),112.24,0.23329426065706127
0,MDVP:Fhi(Hz),112.777,0.23379361984164326
0,MDVP:Fhi(Hz),113.597,0.2345575892566483
0,MDVP:Fhi(Hz),113.84,0.2347843208733013
0,MDVP:Fhi(Hz),115.697,0.2365220649257345
0,MDVP:Fhi(Hz),115.871,0.23668534962542295
0,MDVP:Fhi(Hz),116.443,0.23722267843908787
0,MDVP:Fhi(Hz),119.167,0.23979320951697042
0,MDVP:Fhi(Hz),120.103,0.24068091385266235
0,MDVP:Fhi(Hz),122.611,0.24307067848124383
0,MDVP:Fhi(Hz),123.109,0.24354713528647698
0,MDVP:Fhi(Hz),123.723,0.24413545523537475
0,MDVP:Fhi(Hz),123.925,0.244329219411606
0,MDVP:Fhi(Hz),124.393,0.24477854278315503
0,MDVP:Fhi(Hz),125.213,0.2455671802443409
0,MDVP:Fhi(Hz),125.306,0.24565673267988786
0,MDVP:Fhi(Hz),125.394,0.24574149098526132
0,MDVP:Fhi(Hz),126.358,0.24667128551037076
0,MDVP:Fhi(Hz),126.609,0.24691377182574467
0,MDVP:Fhi(Hz),126.632,0.24693599979512634
0,MDVP:Fhi(Hz),126.778,0.2470771308187927
0,MDVP:Fhi(Hz),127.349,0.2476296149674123
0,MDVP:Fhi(Hz),127.533,0.2478078269905612
0,MDVP:Fhi(Hz),127.611,0.24788339965766448
0,MDVP:Fhi(Hz),128.101,0.24835850865371767
0,MDVP:Fhi(Hz),128.143,0.24839926098663406
0,MDVP:Fhi(Hz),128.442,0.2486895097306907
0,MDVP:Fhi(Hz),128.611,0.24885366492772032
0,MDVP:Fhi(Hz),129.038,0.24926875059582207
0,MDVP:Fhi(Hz),129.916,0.2501237222841711
0,MDVP:Fhi(Hz),130.049,0.25025340636134413
0,MDVP:Fhi(Hz),130.27,0.25046899671718664
0,MDVP:Fhi(Hz),131.067,0.2512475271816353
0,MDVP:Fhi(Hz),131.111,0.251290554921855
0,MDVP:Fhi(Hz),131.162,0.25134043418689983
0,MDVP:Fhi(Hz),131.669,0.25183665485159007
0,MDVP:Fhi(Hz),131.731,0.25189738180963156
0,MDVP:Fhi(Hz),131.897,0.2520600217580755
0,MDVP:Fhi(Hz),132.068,0.2522276342056982
0,MDVP:Fhi(Hz),133.344,0.25348071633760716
0,MDVP:Fhi(Hz),133.374,0.25351022756571234
0,MDVP:Fhi(Hz),134.209,0.2543325452540795
0,MDVP:Fhi(Hz),134.231,0.25435423516379213
0,MDVP:Fhi(Hz),134.656,0.25477348702771613
0,MDVP:Fhi(Hz),135.069,0.2551813423481085
0,MDVP:Fhi(Hz),135.738,0.25584293079713627
