Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.17915769949244023
CL0,Age,-0.07854,0.12996016356508602
CL0,Age,0.49788000000000004,0.11340145594787626
CL0,Age,1.09449,0.0996474515546518
CL0,Age,1.82213,0.18863787569133336
CL0,Age,2.59171,0.45629030993468517
CL0,Gender,-0.48246000000000006,0.15320714623160583
CL0,Gender,0.48246000000000006,0.13178342374509297
CL0,Education,-2.43591,0.08474492909426269
CL0,Education,-1.7379,0.10725192298746614
CL0,Education,-1.43719,0.11200900786318399
CL0,Education,-1.22751,0.11476736612167035
CL0,Education,-0.6111300000000001,0.12440977371194381
CL0,Education,-0.059210000000000006,0.138749868749245
CL0,Education,0.45468000000000003,0.1580174824935236
CL0,Education,1.16365,0.18798844639098933
CL0,Education,1.98437,0.2010268762611017
CL0,Country,-0.57009,0.09211415313825098
CL0,Country,-0.46841000000000005,0.10235063515638272
CL0,Country,-0.28519,0.11996811312821286
CL0,Country,-0.09765,0.1358466552472002
CL0,Country,0.21128000000000002,0.1552082212813589
CL0,Country,0.24923,0.1569535056330078
CL0,Country,0.9608200000000001,0.16668618098036517
CL0,Ethnicity,-1.1070200000000001,0.9893158979259715
CL0,Ethnicity,-0.50212,0.17496580425906855
CL0,Ethnicity,-0.31685,0.07318015241962904
CL0,Ethnicity,-0.22166,0.07816357132869306
CL0,Ethnicity,0.1144,0.25386401883127097
CL0,Ethnicity,0.126,0.2657321554139113
CL0,Ethnicity,1.90725,0.9999999998429945
CL0,Nscore,-3.4643599999999997,0.09074574068555281
CL0,Nscore,-3.15735,0.10597084424640091
CL0,Nscore,-2.75696,0.12478598976290285
CL0,Nscore,-2.52197,0.1347248398641254
CL0,Nscore,-2.4231700000000003,0.13856907683116942
CL0,Nscore,-2.3436,0.14150071021268718
CL0,Nscore,-2.21844,0.14579009567638876
CL0,Nscore,-2.05048,0.1508733764652077
CL0,Nscore,-1.86962,0.15540813595714403
CL0,Nscore,-1.69163,0.15885375743778782
CL0,Nscore,-1.5507799999999998,0.16083726820855235
CL0,Nscore,-1.43907,0.16193794154599542
CL0,Nscore,-1.32828,0.16261947556266543
CL0,Nscore,-1.1943,0.16291033881373615
CL0,Nscore,-1.05308,0.16261164419211352
CL0,Nscore,-0.92104,0.1618073416422483
CL0,Nscore,-0.79151,0.16056876734394035
CL0,Nscore,-0.67825,0.1591591658073002
CL0,Nscore,-0.58016,0.1577209114918322
CL0,Nscore,-0.46725,0.1558485800296285
CL0,Nscore,-0.34799,0.1536589506899305
CL0,Nscore,-0.24649000000000001,0.1516562048884433
CL0,Nscore,-0.14882,0.14963410496136934
CL0,Nscore,-0.051879999999999996,0.147557130156839
CL0,Nscore,0.04257,0.1454855667641401
CL0,Nscore,0.13606,0.1434050823715998
CL0,Nscore,0.22393000000000002,0.14143543151943858
CL0,Nscore,0.31287,0.13943861091938
CL0,Nscore,0.41667,0.1371160745883516
CL0,Nscore,0.52135,0.1347934042196124
CL0,Nscore,0.62967,0.13241948310766766
CL0,Nscore,0.73545,0.1301354119330058
CL0,Nscore,0.82562,0.12821648978653888
CL0,Nscore,0.9109299999999999,0.12642414281845119
CL0,Nscore,1.02119,0.1241375545773668
CL0,Nscore,1.13281,0.12185014320443402
CL0,Nscore,1.23461,0.1197790494671386
CL0,Nscore,1.37297,0.11696832874716724
CL0,Nscore,1.49158,0.11454183109236338
CL0,Nscore,1.6038299999999999,0.11221069871117924
CL0,Nscore,1.72012,0.10973915494884275
CL0,Nscore,1.8399,0.10711060449730395
CL0,Nscore,1.98437,0.1037958321183522
CL0,Nscore,2.127,0.10033427090853916
CL0,Nscore,2.28554,0.09623028074533208
CL0,Nscore,2.4626200000000003,0.0912953896398757
CL0,Nscore,2.61139,0.08685350615396235
CL0,Nscore,2.82196,0.08012427769073845
CL0,Nscore,3.27393,0.06435641605800696
CL0,Escore,-3.27393,0.28515712430777146
CL0,Escore,-3.00537,0.26424579543256815
CL0,Escore,-2.72827,0.24102763047980083
CL0,Escore,-2.5383,0.2247339904569143
CL0,Escore,-2.44904,0.21711036110320178
CL0,Escore,-2.32338,0.2065224626192432
CL0,Escore,-2.21069,0.19725628836065198
CL0,Escore,-2.11437,0.18956902162932357
CL0,Escore,-2.03972,0.18378915483662764
CL0,Escore,-1.92173,0.17501986282179421
CL0,Escore,-1.7625,0.16399692491138904
CL0,Escore,-1.6334,0.15582350565460218
CL0,Escore,-1.50796,0.1485891751999605
CL0,Escore,-1.37639,0.14178608168289752
CL0,Escore,-1.23177,0.13526262744972076
CL0,Escore,-1.09207,0.12992490867724216
CL0,Escore,-0.9477899999999999,0.125411562541522
CL0,Escore,-0.80615,0.12196755509217246
CL0,Escore,-0.69509,0.1199489173786478
CL0,Escore,-0.57545,0.11844352490723856
