Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.1803852471301503
CL0,Age,-0.07854,0.141423522262843
CL0,Age,0.49788000000000004,0.11454650496807221
CL0,Age,1.09449,0.08776281040946053
CL0,Age,1.82213,0.059651178105866134
CL0,Age,2.59171,0.03789499161439403
CL0,Gender,-0.48246000000000006,0.15768012716260205
CL0,Gender,0.48246000000000006,0.10250178044581063
CL0,Education,-2.43591,0.09964120361301913
CL0,Education,-1.7379,0.10899077585335407
CL0,Education,-1.43719,0.11293043286015014
CL0,Education,-1.22751,0.11562492535826534
CL0,Education,-0.6111300000000001,0.12320155296309139
CL0,Education,-0.059210000000000006,0.12941161363539244
CL0,Education,0.45468000000000003,0.13458006939024333
CL0,Education,1.16365,0.14058651706866823
CL0,Education,1.98437,0.14579616673735873
CL0,Country,-0.57009,0.130364331529743
CL0,Country,-0.46841000000000005,0.13037698031698344
CL0,Country,-0.28519,0.13030487696215343
CL0,Country,-0.09765,0.13010390531532776
CL0,Country,0.21128000000000002,0.12949227836972194
CL0,Country,0.24923,0.12939320508414406
CL0,Country,0.9608200000000001,0.1265969649603562
CL0,Ethnicity,-1.1070200000000001,0.4304254235390777
CL0,Ethnicity,-0.50212,0.18404415840988567
CL0,Ethnicity,-0.31685,0.12425056689421797
CL0,Ethnicity,-0.22166,0.09953797981394395
CL0,Ethnicity,0.1144,0.041991160065619385
CL0,Ethnicity,0.126,0.04068951178708223
CL0,Ethnicity,1.90725,0.0002529884120040305
CL0,Nscore,-3.4643599999999997,0.09932375516884645
CL0,Nscore,-3.15735,0.10203234496677975
CL0,Nscore,-2.75696,0.10557608127290306
CL0,Nscore,-2.52197,0.10765712832787272
CL0,Nscore,-2.4231700000000003,0.10853150981517923
CL0,Nscore,-2.3436,0.10923524348177308
CL0,Nscore,-2.21844,0.11034106471723677
CL0,Nscore,-2.05048,0.11182220037494611
CL0,Nscore,-1.86962,0.11341233202628104
CL0,Nscore,-1.69163,0.11497112210268484
CL0,Nscore,-1.5507799999999998,0.11619948560435239
CL0,Nscore,-1.43907,0.11716999805175203
CL0,Nscore,-1.32828,0.11812891653282173
CL0,Nscore,-1.1943,0.11928329920883851
CL0,Nscore,-1.05308,0.12049324621221015
CL0,Nscore,-0.92104,0.12161763234710184
CL0,Nscore,-0.79151,0.12271361973116257
CL0,Nscore,-0.67825,0.12366583633975853
CL0,Nscore,-0.58016,0.12448563415593925
CL0,Nscore,-0.46725,0.12542338507549847
CL0,Nscore,-0.34799,0.12640665829863582
CL0,Nscore,-0.24649000000000001,0.1272373796817326
CL0,Nscore,-0.14882,0.12803120457887543
