Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.09122916115492914
CL0,Age,-0.07854,0.11605958160076552
CL0,Age,0.49788000000000004,0.1622639136420635
CL0,Age,1.09449,0.22582651981188553
CL0,Age,1.82213,0.6994950406470989
CL0,Age,2.59171,0.9907922227570347
CL0,Gender,-0.48246000000000006,0.08363058026972026
CL0,Gender,0.48246000000000006,0.2511412299797874
CL0,Education,-2.43591,0.12475824043338402
CL0,Education,-1.7379,0.12471568038182795
CL0,Education,-1.43719,0.12089788987353191
CL0,Education,-1.22751,0.11697545079119351
CL0,Education,-0.6111300000000001,0.10131947733283111
CL0,Education,-0.059210000000000006,0.11769791587354902
CL0,Education,0.45468000000000003,0.17859102515766978
CL0,Education,1.16365,0.2535775663864692
CL0,Education,1.98437,0.2558830325828327
CL0,Country,-0.57009,0.039260531336340186
CL0,Country,-0.46841000000000005,0.04545806067363599
CL0,Country,-0.28519,0.06042377907016877
CL0,Country,-0.09765,0.08256567842012791
CL0,Country,0.21128000000000002,0.13892392699930833
CL0,Country,0.24923,0.14762048213244847
CL0,Country,0.9608200000000001,0.31510712785307843
CL0,Ethnicity,-1.1070200000000001,0.9976186660831453
CL0,Ethnicity,-0.50212,0.285193672260551
CL0,Ethnicity,-0.31685,0.04540632833309658
CL0,Ethnicity,-0.22166,0.07061378916628522
CL0,Ethnicity,0.1144,0.7096946751667058
CL0,Ethnicity,0.126,0.7310070253718426
CL0,Ethnicity,1.90725,1.0
CL0,Nscore,-3.4643599999999997,0.13517938218225403
CL0,Nscore,-3.15735,0.1584251316282351
CL0,Nscore,-2.75696,0.1844024877033992
CL0,Nscore,-2.52197,0.19588691374540076
CL0,Nscore,-2.4231700000000003,0.19967828492100684
CL0,Nscore,-2.3436,0.20225008101532307
CL0,Nscore,-2.21844,0.2053955608595409
CL0,Nscore,-2.05048,0.2078541059741393
CL0,Nscore,-1.86962,0.20826331951929397
CL0,Nscore,-1.69163,0.20652174271564233
CL0,Nscore,-1.5507799999999998,0.20377899662868235
CL0,Nscore,-1.43907,0.20084970882168587
CL0,Nscore,-1.32828,0.19737477354309238
CL0,Nscore,-1.1943,0.19254067754579968
CL0,Nscore,-1.05308,0.18686455170533756
CL0,Nscore,-0.92104,0.18118203556812812
CL0,Nscore,-0.79151,0.17540056577852428
CL0,Nscore,-0.67825,0.1702786446182946
CL0,Nscore,-0.58016,0.16585490852465642
CL0,Nscore,-0.46725,0.16083642078725696
CL0,Nscore,-0.34799,0.15568117935310266
CL0,Nscore,-0.24649000000000001,0.15145169162329575
CL0,Nscore,-0.14882,0.1475452820009932
CL0,Nscore,-0.051879999999999996,0.14384433620697343
CL0,Nscore,0.04257,0.1404189351908201
CL0,Nscore,0.13606,0.1372104704036072
CL0,Nscore,0.22393000000000002,0.1343624083765462
CL0,Nscore,0.31287,0.13164414405289096
CL0,Nscore,0.41667,0.1286759332325846
CL0,Nscore,0.52135,0.12589513621146609
CL0,Nscore,0.62967,0.1232260564708655
CL0,Nscore,0.73545,0.12080332278022479
CL0,Nscore,0.82562,0.11886277735105022
CL0,Nscore,0.9109299999999999,0.11711554562173997
CL0,Nscore,1.02119,0.11495725846868829
CL0,Nscore,1.13281,0.11284915778523785
CL0,Nscore,1.23461,0.1109557835731402
CL0,Nscore,1.37297,0.10835934924252454
CL0,Nscore,1.49158,0.10604630232927305
CL0,Nscore,1.6038299999999999,0.1037249938856657
CL0,Nscore,1.72012,0.10113062677834903
CL0,Nscore,1.8399,0.09820473942214394
CL0,Nscore,1.98437,0.09427056298919953
CL0,Nscore,2.127,0.08990402316827531
CL0,Nscore,2.28554,0.08446865476475333
CL0,Nscore,2.4626200000000003,0.07771771749051389
CL0,Nscore,2.61139,0.07158552929698492
CL0,Nscore,2.82196,0.06244057410645209
CL0,Nscore,3.27393,0.04283493426032413
CL0,Escore,-3.27393,0.009841268713444158
CL0,Escore,-3.00537,0.016157613901705715
CL0,Escore,-2.72827,0.02542923877309104
CL0,Escore,-2.5383,0.033556776116331816
CL0,Escore,-2.44904,0.03787464562948169
CL0,Escore,-2.32338,0.044470243212831946
CL0,Escore,-2.21069,0.050863984618510105
CL0,Escore,-2.11437,0.05665132832743107
CL0,Escore,-2.03972,0.061316829972302936
CL0,Escore,-1.92173,0.06896110371658082
CL0,Escore,-1.7625,0.07966757275952777
CL0,Escore,-1.6334,0.08853705074823418
CL0,Escore,-1.50796,0.09719050118234725
CL0,Escore,-1.37639,0.10618030797418547
CL0,Escore,-1.23177,0.11581388863125505
CL0,Escore,-1.09207,0.1247341240508845
CL0,Escore,-0.9477899999999999,0.1334156822773368
CL0,Escore,-0.80615,0.14129783586167943
CL0,Escore,-0.69509,0.14696857710234518
CL0,Escore,-0.57545,0.15252268657188345
CL0,Escore,-0.43998999999999994,0.158058263941383
CL0,Escore,-0.30033000000000004,0.16286548323337113
CL0,Escore,-0.15487,0.16683593928422524
CL0,Escore,0.0033200000000000005,0.16988185542385748
CL0,Escore,0.16767,0.1715674246783056
CL0,Escore,0.32197,0.17171566030976076
CL0,Escore,0.47617,0.17042686890381523
CL0,Escore,0.63779,0.16749786292172686
CL0,Escore,0.80523,0.1627449965090365
CL0,Escore,0.9624799999999999,0.15670779997409298
CL0,Escore,1.11406,0.14950000279664868
CL0,Escore,1.2861,0.1397893641630751
CL0,Escore,1.45421,0.1289228676805913
CL0,Escore,1.58487,0.1197064456713964
CL0,Escore,1.74091,0.10804995037804334
CL0,Escore,1.9388599999999998,0.09269676660478327
CL0,Escore,2.127,0.07808287682867965
CL0,Escore,2.32338,0.0634322481405661
CL0,Escore,2.57309,0.046565678645280544
CL0,Escore,2.8595,0.030606756212571397
CL0,Escore,3.00537,0.024041685787139295
CL0,Escore,3.27393,0.01465959331443224
CL0,Oscore,-3.27393,0.20198943066316571
CL0,Oscore,-2.8595,0.29135336622032715
CL0,Oscore,-2.63199,0.3337388506308426
CL0,Oscore,-2.39883,0.3649651721670824
CL0,Oscore,-2.21069,0.3780372079200994
CL0,Oscore,-2.09015,0.3801143615291924
CL0,Oscore,-1.97495,0.37754567354754864
CL0,Oscore,-1.82919,0.36840282163195914
CL0,Oscore,-1.68062,0.3533176384754287
CL0,Oscore,-1.55521,0.3370868260587514
CL0,Oscore,-1.42424,0.3177807082074292
CL0,Oscore,-1.2755299999999998,0.29421164083844603
CL0,Oscore,-1.1190200000000001,0.2688819055106588
CL0,Oscore,-0.97631,0.24630798130913978
CL0,Oscore,-0.8473200000000001,0.22688971795281376
CL0,Oscore,-0.71727,0.20858361874554107
CL0,Oscore,-0.58331,0.19125006839754058
CL0,Oscore,-0.45174,0.17580734315613553
CL0,Oscore,-0.31776,0.16168933139241848
CL0,Oscore,-0.17779,0.14860757847158873
CL0,Oscore,-0.019280000000000002,0.135713584666408
CL0,Oscore,0.14143,0.1245341634288878
CL0,Oscore,0.29338000000000003,0.11552785110362944
CL0,Oscore,0.44585,0.10783769297421927
CL0,Oscore,0.58331,0.10192039409068154
CL0,Oscore,0.7233,0.09675806690426958
CL0,Oscore,0.8830899999999999,0.091781128686772
CL0,Oscore,1.0623799999999999,0.08715757539382885
CL0,Oscore,1.24033,0.0833461538453435
CL0,Oscore,1.43533,0.07976685098584581
CL0,Oscore,1.6565299999999998,0.07601951418905303
CL0,Oscore,1.8851099999999998,0.07188495441238363
CL0,Oscore,2.1532400000000003,0.06575188463599044
CL0,Oscore,2.44904,0.05635987020816151
CL0,Oscore,2.90161,0.03723771657350293
CL0,Ascore,-3.4643599999999997,0.010675748615985192
CL0,Ascore,-3.15735,0.01780573468633321
CL0,Ascore,-3.00537,0.02227094091018201
CL0,Ascore,-2.90161,0.02566381266673944
CL0,Ascore,-2.78793,0.0296796841181836
CL0,Ascore,-2.70172,0.03291517745667577
CL0,Ascore,-2.5383,0.03943377514190488
CL0,Ascore,-2.35413,0.047244896791620646
CL0,Ascore,-2.21844,0.05320384912428696
CL0,Ascore,-2.07848,0.05944223709013699
CL0,Ascore,-1.92595,0.06626595459180508
CL0,Ascore,-1.772,0.07311367515546752
CL0,Ascore,-1.6209,0.07975808887543578
CL0,Ascore,-1.47955,0.08589684789620076
