Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.11460652682253417
CL0,Age,-0.07854,0.1260971913527089
CL0,Age,0.49788000000000004,0.1235623287663727
CL0,Age,1.09449,0.1107600021838209
CL0,Age,1.82213,0.09060627485424279
CL0,Age,2.59171,0.0759433240082968
CL0,Gender,-0.48246000000000006,0.10128409925616304
CL0,Gender,0.48246000000000006,0.17281205590225765
CL0,Education,-2.43591,0.09694130368540876
CL0,Education,-1.7379,0.10575159831199259
CL0,Education,-1.43719,0.10956483227902894
CL0,Education,-1.22751,0.11221933984166901
CL0,Education,-0.6111300000000001,0.11995333206398362
CL0,Education,-0.059210000000000006,0.126716660102925
CL0,Education,0.45468000000000003,0.13280258794521813
CL0,Education,1.16365,0.140752190753883
CL0,Education,1.98437,0.1491513774171345
CL0,Country,-0.57009,0.07678535664986375
CL0,Country,-0.46841000000000005,0.0832186394572713
CL0,Country,-0.28519,0.09563141555269561
CL0,Country,-0.09765,0.10931963027157646
CL0,Country,0.21128000000000002,0.1335581447041876
CL0,Country,0.24923,0.136642346234169
CL0,Country,0.9608200000000001,0.19540362084207463
CL0,Ethnicity,-1.1070200000000001,0.26470046692847454
CL0,Ethnicity,-0.50212,0.15619371904164467
CL0,Ethnicity,-0.31685,0.12850092360977772
CL0,Ethnicity,-0.22166,0.11559278938361817
CL0,Ethnicity,0.1144,0.07738754775162382
CL0,Ethnicity,0.126,0.07626939296616005
CL0,Ethnicity,1.90725,0.005912797972050137
CL0,Nscore,-3.4643599999999997,0.134389597787681
CL0,Nscore,-3.15735,0.13379047383369969
CL0,Nscore,-2.75696,0.13296598096539403
CL0,Nscore,-2.52197,0.13245961700614395
CL0,Nscore,-2.4231700000000003,0.13224181029472762
CL0,Nscore,-2.3436,0.13206429765454594
CL0,Nscore,-2.21844,0.1317813084156784
CL0,Nscore,-2.05048,0.13139435197345814
CL0,Nscore,-1.86962,0.13096853654934903
CL0,Nscore,-1.69163,0.1305403217180529
CL0,Nscore,-1.5507799999999998,0.13019508898712315
CL0,Nscore,-1.43907,0.12991731599361594
CL0,Nscore,-1.32828,0.12963839586918205
CL0,Nscore,-1.1943,0.12929656312010876
CL0,Nscore,-1.05308,0.1289309409259016
CL0,Nscore,-0.92104,0.12858420102676146
CL0,Nscore,-0.79151,0.12823951485628254
CL0,Nscore,-0.67825,0.12793447960910614
CL0,Nscore,-0.58016,0.12766758000065223
CL0,Nscore,-0.46725,0.1273572591434293
CL0,Nscore,-0.34799,0.12702592338346008
CL0,Nscore,-0.24649000000000001,0.12674107666104137
CL0,Nscore,-0.14882,0.12646452694990734
CL0,Nscore,-0.051879999999999996,0.126187690122407
CL0,Nscore,0.04257,0.12591573053735383
CL0,Nscore,0.13606,0.1256443855957298
CL0,Nscore,0.22393000000000002,0.12538742156134222
CL0,Nscore,0.31287,0.12512544208612963
CL0,Nscore,0.41667,0.1248173164209991
CL0,Nscore,0.52135,0.12450401704297129
CL0,Nscore,0.62967,0.12417714868216197
CL0,Nscore,0.73545,0.12385535282271082
CL0,Nscore,0.82562,0.12357904717370696
CL0,Nscore,0.9109299999999999,0.12331596142937407
CL0,Nscore,1.02119,0.12297355309353006
CL0,Nscore,1.13281,0.12262422456200615
CL0,Nscore,1.23461,0.12230329724370852
CL0,Nscore,1.37297,0.12186360454076538
CL0,Nscore,1.49158,0.12148351050199145
CL0,Nscore,1.6038299999999999,0.12112115457124048
CL0,Nscore,1.72012,0.12074309288428973
CL0,Nscore,1.8399,0.12035090050741737
CL0,Nscore,1.98437,0.11987418105070913
CL0,Nscore,2.127,0.11939966603740701
CL0,Nscore,2.28554,0.11886782139557939
CL0,Nscore,2.4626200000000003,0.11826845531357398
CL0,Nscore,2.61139,0.11776068977163759
CL0,Nscore,2.82196,0.11703562237307301
CL0,Nscore,3.27393,0.11545540864668767
CL0,Escore,-3.27393,0.08391547784014158
CL0,Escore,-3.00537,0.08700207274886546
CL0,Escore,-2.72827,0.09026464896548848
CL0,Escore,-2.5383,0.09254625609218216
CL0,Escore,-2.44904,0.09363072495165613
CL0,Escore,-2.32338,0.09517073659212825
CL0,Escore,-2.21069,0.0965648812311708
CL0,Escore,-2.11437,0.09776619781872929
CL0,Escore,-2.03972,0.09870332388595644
CL0,Escore,-1.92173,0.10019522944947294
CL0,Escore,-1.7625,0.102229075067785
CL0,Escore,-1.6334,0.10389503400164281
CL0,Escore,-1.50796,0.10552802623347528
CL0,Escore,-1.37639,0.10725562554303071
CL0,Escore,-1.23177,0.10917168297128517
CL0,Escore,-1.09207,0.111039147371817
CL0,Escore,-0.9477899999999999,0.11298448832128945
CL0,Escore,-0.80615,0.11491021963219543
CL0,Escore,-0.69509,0.11643094651185813
CL0,Escore,-0.57545,0.11807943617838015
CL0,Escore,-0.43998999999999994,0.11995838742703793
CL0,Escore,-0.30033000000000004,0.12190899765642611
CL0,Escore,-0.15487,0.12395451458443493
CL0,Escore,0.0033200000000000005,0.12619443086966678
CL0,Escore,0.16767,0.12853769343272445
CL0,Escore,0.32197,0.13075178781661914
