Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.10817588553931258
CL0,Age,-0.07854,0.09773318259228819
CL0,Age,0.49788000000000004,0.15420137400488226
CL0,Age,1.09449,0.24692203107098537
CL0,Age,1.82213,0.7605352058788406
CL0,Age,2.59171,0.9952923894700941
CL0,Gender,-0.48246000000000006,5.151237459819623e-08
CL0,Gender,0.48246000000000006,0.2673460825685046
CL0,Education,-2.43591,0.2220030971463287
CL0,Education,-1.7379,0.2227775523647641
CL0,Education,-1.43719,0.20290055992806535
CL0,Education,-1.22751,0.1868183720599687
CL0,Education,-0.6111300000000001,0.12803648694253147
CL0,Education,-0.059210000000000006,0.1069101427831821
CL0,Education,0.45468000000000003,0.14311958913657025
CL0,Education,1.16365,0.18025999559512015
CL0,Education,1.98437,0.18734900132330398
CL0,Country,-0.57009,0.2062860243220249
CL0,Country,-0.46841000000000005,0.1935390083335805
CL0,Country,-0.28519,0.17220451452907823
CL0,Country,-0.09765,0.15211774093053976
CL0,Country,0.21128000000000002,0.12452042136564578
CL0,Country,0.24923,0.1218441888312494
CL0,Country,0.9608200000000001,0.11524472835508305
CL0,Ethnicity,-1.1070200000000001,0.9972101449877536
CL0,Ethnicity,-0.50212,0.38131840024297203
CL0,Ethnicity,-0.31685,3.974158153486982e-08
CL0,Ethnicity,-0.22166,0.12205205900560295
CL0,Ethnicity,0.1144,0.44728970366514603
CL0,Ethnicity,0.126,0.46472076801147016
CL0,Ethnicity,1.90725,0.9999999999999992
CL0,Nscore,-3.4643599999999997,0.04933824837176525
CL0,Nscore,-3.15735,0.06559666198860441
CL0,Nscore,-2.75696,0.08778832196996614
CL0,Nscore,-2.52197,0.10027741761912835
CL0,Nscore,-2.4231700000000003,0.10525077932687263
CL0,Nscore,-2.3436,0.1091061330384217
CL0,Nscore,-2.21844,0.1148675358748489
CL0,Nscore,-2.05048,0.12195913340845521
CL0,Nscore,-1.86962,0.12871262710720205
