Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.11484708533576175
CL0,Age,-0.07854,0.16760898923079648
CL0,Age,0.49788000000000004,0.1721931323646416
CL0,Age,1.09449,0.13679468333618197
CL0,Age,1.82213,0.07353075780492059
CL0,Age,2.59171,0.029702482676792003
CL0,Gender,-0.48246000000000006,0.12557437370315944
CL0,Gender,0.48246000000000006,0.2671490374661229
CL0,Education,-2.43591,0.14453708397832035
CL0,Education,-1.7379,0.15972186030956553
CL0,Education,-1.43719,0.1638542421345068
CL0,Education,-1.22751,0.16583083924446584
CL0,Education,-0.6111300000000001,0.1675081615126857
CL0,Education,-0.059210000000000006,0.16439781709441217
CL0,Education,0.45468000000000003,0.158301800089206
CL0,Education,1.16365,0.1440167233075679
CL0,Education,1.98437,0.09600661909166246
CL0,Country,-0.57009,0.26221429308941707
CL0,Country,-0.46841000000000005,0.25133158757262075
CL0,Country,-0.28519,0.2318564657682344
CL0,Country,-0.09765,0.21223998963535948
CL0,Country,0.21128000000000002,0.18106581630157945
CL0,Country,0.24923,0.17736256134562295
CL0,Country,0.9608200000000001,0.11492741306877584
CL0,Ethnicity,-1.1070200000000001,0.3568244410414216
CL0,Ethnicity,-0.50212,0.2247005837547284
CL0,Ethnicity,-0.31685,0.17128491012913338
CL0,Ethnicity,-0.22166,0.14318075333075725
CL0,Ethnicity,0.1144,0.05923251707489178
CL0,Ethnicity,0.126,0.05707001253652258
CL0,Ethnicity,1.90725,3.141413155425534e-05
CL0,Nscore,-3.4643599999999997,0.10587334026329259
CL0,Nscore,-3.15735,0.11316727085024372
CL0,Nscore,-2.75696,0.12250957358706806
CL0,Nscore,-2.52197,0.1278192756685163
CL0,Nscore,-2.4231700000000003,0.12999855377615258
CL0,Nscore,-2.3436,0.13172714789546527
CL0,Nscore,-2.21844,0.13439344187815763
CL0,Nscore,-2.05048,0.13785891695993824
CL0,Nscore,-1.86962,0.14142806276002542
CL0,Nscore,-1.69163,0.14475604748728757
CL0,Nscore,-1.5507799999999998,0.1472469697096188
CL0,Nscore,-1.43907,0.1491262471748745
CL0,Nscore,-1.32828,0.1509011827144721
CL0,Nscore,-1.1943,0.15292355378087605
CL0,Nscore,-1.05308,0.15490105985172054
CL0,Nscore,-0.92104,0.15660042210589953
CL0,Nscore,-0.79151,0.15812147419054032
CL0,Nscore,-0.67825,0.15932917009893452
CL0,Nscore,-0.58016,0.16028055036925534
CL0,Nscore,-0.46725,0.16126470798968925
CL0,Nscore,-0.34799,0.16217285822251218
CL0,Nscore,-0.24649000000000001,0.16283777899195262
CL0,Nscore,-0.14882,0.16338268546692572
CL0,Nscore,-0.051879999999999996,0.16383060432198696
CL0,Nscore,0.04257,0.16417736369205618
CL0,Nscore,0.13606,0.16443302592391854
CL0,Nscore,0.22393000000000002,0.16459366027337177
CL0,Nscore,0.31287,0.16467755624948302
CL0,Nscore,0.41667,0.1646754205347897
CL0,Nscore,0.52135,0.16456442755878653
CL0,Nscore,0.62967,0.16433510144705865
CL0,Nscore,0.73545,0.16399963125038514
CL0,Nscore,0.82562,0.16362747481990708
CL0,Nscore,0.9109299999999999,0.16320312148997346
CL0,Nscore,1.02119,0.16255190436295733
CL0,Nscore,1.13281,0.1617765052563861
CL0,Nscore,1.23461,0.16096937483600945
CL0,Nscore,1.37297,0.15972313109687017
CL0,Nscore,1.49158,0.15852162422080293
CL0,Nscore,1.6038299999999999,0.15727489483030777
CL0,Nscore,1.72012,0.15587454868283682
CL0,Nscore,1.8399,0.1543206931866049
CL0,Nscore,1.98437,0.15230261733815456
CL0,Nscore,2.127,0.150163819710504
CL0,Nscore,2.28554,0.14762635961562
CL0,Nscore,2.4626200000000003,0.1446077323242499
CL0,Nscore,2.61139,0.1419339136029169
CL0,Nscore,2.82196,0.13795674438813818
CL0,Nscore,3.27393,0.1287944501306731
CL0,Escore,-3.27393,0.12227519818615368
CL0,Escore,-3.00537,0.1291648044666922
CL0,Escore,-2.72827,0.1354656632559215
CL0,Escore,-2.5383,0.13935434592837087
CL0,Escore,-2.44904,0.1410681350719885
CL0,Escore,-2.32338,0.1433630120205373
CL0,Escore,-2.21069,0.14530733319709452
CL0,Escore,-2.11437,0.1468862992962141
CL0,Escore,-2.03972,0.14805853873148417
CL0,Escore,-1.92173,0.1498213293545837
CL0,Escore,-1.7625,0.15202879138540767
CL0,Escore,-1.6334,0.15367670353619203
CL0,Escore,-1.50796,0.1551581924459463
CL0,Escore,-1.37639,0.15658691718025738
CL0,Escore,-1.23177,0.15801119890986465
CL0,Escore,-1.09207,0.15924322230954768
CL0,Escore,-0.9477899999999999,0.1603687957397298
CL0,Escore,-0.80615,0.16133006025244734
CL0,Escore,-0.69509,0.16198512991899522
CL0,Escore,-0.57545,0.16259468306003969
CL0,Escore,-0.43998999999999994,0.16316568119197153
CL0,Escore,-0.30033000000000004,0.16362343551591624
CL0,Escore,-0.15487,0.16396080107108404
CL0,Escore,0.0033200000000000005,0.1641688573597518
CL0,Escore,0.16767,0.16421309474839688
