Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.1393743673003632
CL0,Age,-0.07854,0.14003681284970912
CL0,Age,0.49788000000000004,0.14254766482992434
CL0,Age,1.09449,0.1358061828668784
CL0,Age,1.82213,0.18219718277998587
CL0,Age,2.59171,0.3839189823462958
CL0,Gender,-0.48246000000000006,0.11079820961756322
CL0,Gender,0.48246000000000006,0.18453910536211443
CL0,Education,-2.43591,0.11109273216075155
CL0,Education,-1.7379,0.11356649768413654
CL0,Education,-1.43719,0.11396886571193997
CL0,Education,-1.22751,0.1149263026324243
CL0,Education,-0.6111300000000001,0.12316464182919647
CL0,Education,-0.059210000000000006,0.1388374922186455
CL0,Education,0.45468000000000003,0.15928517624607438
CL0,Education,1.16365,0.18546293744349315
CL0,Education,1.98437,0.180412505948625
CL0,Country,-0.57009,0.028970375451930243
CL0,Country,-0.46841000000000005,0.03628749038081998
CL0,Country,-0.28519,0.05529224368089016
CL0,Country,-0.09765,0.0850893845449178
CL0,Country,0.21128000000000002,0.15341933334893135
CL0,Country,0.24923,0.16217585680874474
CL0,Country,0.9608200000000001,0.272120968798266
CL0,Ethnicity,-1.1070200000000001,6.735054201254106e-05
CL0,Ethnicity,-0.50212,0.2856348080664257
CL0,Ethnicity,-0.31685,0.07712282937343137
CL0,Ethnicity,-0.22166,0.17953031615017453
CL0,Ethnicity,0.1144,0.04320521119923883
CL0,Ethnicity,0.126,0.037001506950089524
CL0,Ethnicity,1.90725,9.01046245418805e-40
CL0,Nscore,-3.4643599999999997,0.3749306377948654
CL0,Nscore,-3.15735,0.37268368711690414
CL0,Nscore,-2.75696,0.3590155320932515
CL0,Nscore,-2.52197,0.3465265108661264
CL0,Nscore,-2.4231700000000003,0.34049073318701384
CL0,Nscore,-2.3436,0.3353392710895657
CL0,Nscore,-2.21844,0.32677258993807506
CL0,Nscore,-2.05048,0.3145238462815472
CL0,Nscore,-1.86962,0.3005841334240249
CL0,Nscore,-1.69163,0.2863299122148634
CL0,Nscore,-1.5507799999999998,0.27480932521280926
CL0,Nscore,-1.43907,0.26558730189144825
CL0,Nscore,-1.32828,0.2564108913321821
CL0,Nscore,-1.1943,0.24532425892841406
CL0,Nscore,-1.05308,0.2337080617710199
CL0,Nscore,-0.92104,0.2229589841133503
CL0,Nscore,-0.79151,0.21255553047739537
CL0,Nscore,-0.67825,0.20359520605548648
CL0,Nscore,-0.58016,0.19594938962839514
CL0,Nscore,-0.46725,0.18728919612182116
CL0,Nscore,-0.34799,0.17831322300759514
CL0,Nscore,-0.24649000000000001,0.1708162828687476
CL0,Nscore,-0.14882,0.16372709499337243
CL0,Nscore,-0.051879999999999996,0.15681178595970893
CL0,Nscore,0.04257,0.1501887695832692
CL0,Nscore,0.13606,0.14374267216608017
CL0,Nscore,0.22393000000000002,0.13778140081223167
CL0,Nscore,0.31287,0.1318413156934847
