Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.023922114343809624
CL0,Age,-0.07854,0.12144896399228372
CL0,Age,0.49788000000000004,0.22326358825511586
CL0,Age,1.09449,0.27270443964461905
CL0,Age,1.82213,0.18303038626794196
CL0,Age,2.59171,0.04509179852067935
CL0,Gender,-0.48246000000000006,0.10169539936078897
CL0,Gender,0.48246000000000006,0.1817141430973761
CL0,Education,-2.43591,0.46716567946063237
CL0,Education,-1.7379,0.2685982046099987
CL0,Education,-1.43719,0.209971987315714
CL0,Education,-1.22751,0.1775456862974717
CL0,Education,-0.6111300000000001,0.11645882245629711
CL0,Education,-0.059210000000000006,0.09876825456080077
CL0,Education,0.45468000000000003,0.10838297430246781
CL0,Education,1.16365,0.15508971822825418
CL0,Education,1.98437,0.23457490667675068
CL0,Country,-0.57009,1.4603096292687895e-13
CL0,Country,-0.46841000000000005,7.483869941232494e-12
CL0,Country,-0.28519,4.420207045706826e-09
CL0,Country,-0.09765,1.1752553831474348e-06
CL0,Country,0.21128000000000002,0.001429736017943021
CL0,Country,0.24923,0.002855879470830028
CL0,Country,0.9608200000000001,0.46712646980642264
CL0,Ethnicity,-1.1070200000000001,0.6845664303937469
CL0,Ethnicity,-0.50212,0.13063916124074124
CL0,Ethnicity,-0.31685,0.043961215029707554
CL0,Ethnicity,-0.22166,0.05790960580016778
CL0,Ethnicity,0.1144,0.33584416679042023
CL0,Ethnicity,0.126,0.3436634082688982
CL0,Ethnicity,1.90725,0.9981092552921098
CL0,Nscore,-3.4643599999999997,0.14477901055851508
CL0,Nscore,-3.15735,0.14764175914869662
CL0,Nscore,-2.75696,0.14710912126908196
CL0,Nscore,-2.52197,0.14481697708436164
CL0,Nscore,-2.4231700000000003,0.143505788244661
CL0,Nscore,-2.3436,0.14232912651174398
CL0,Nscore,-2.21844,0.14030310158071554
CL0,Nscore,-2.05048,0.1373536713613379
CL0,Nscore,-1.86962,0.1340581715368807
CL0,Nscore,-1.69163,0.13088645035499802
CL0,Nscore,-1.5507799999999998,0.12854567307014422
CL0,Nscore,-1.43907,0.12685310173974917
CL0,Nscore,-1.32828,0.12535527874241364
CL0,Nscore,-1.1943,0.1238274695265443
CL0,Nscore,-1.05308,0.12260085416618753
CL0,Nscore,-0.92104,0.12185016198918969
CL0,Nscore,-0.79151,0.12151711277479327
CL0,Nscore,-0.67825,0.12157348997566551
CL0,Nscore,-0.58016,0.12189645034271032
CL0,Nscore,-0.46725,0.12259493693110256
CL0,Nscore,-0.34799,0.12372488933134416
CL0,Nscore,-0.24649000000000001,0.12501321240214003
CL0,Nscore,-0.14882,0.1265435290421941
CL0,Nscore,-0.051879999999999996,0.12835007679103042
CL0,Nscore,0.04257,0.130390897073476
CL0,Nscore,0.13606,0.13268819636629853
CL0,Nscore,0.22393000000000002,0.13510231819185128
CL0,Nscore,0.31287,0.13780035312463304
CL0,Nscore,0.41667,0.14127626217268038
CL0,Nscore,0.52135,0.1451413781182318
CL0,Nscore,0.62967,0.14952334407157378
CL0,Nscore,0.73545,0.15417868078312394
CL0,Nscore,0.82562,0.15843985638189745
CL0,Nscore,0.9109299999999999,0.16271803424899534
CL0,Nscore,1.02119,0.1685990758921918
CL0,Nscore,1.13281,0.17494986181342306
CL0,Nscore,1.23461,0.18108193496406355
CL0,Nscore,1.37297,0.1899175618745557
CL0,Nscore,1.49158,0.1979293343434997
CL0,Nscore,1.6038299999999999,0.20585892070861292
CL0,Nscore,1.72012,0.21440134292062935
CL0,Nscore,1.8399,0.22351170347396226
CL0,Nscore,1.98437,0.23485603854754036
CL0,Nscore,2.127,0.24635011008255073
CL0,Nscore,2.28554,0.25933712619892213
CL0,Nscore,2.4626200000000003,0.27389765121028514
CL0,Nscore,2.61139,0.28597821360280284
CL0,Nscore,2.82196,0.30245641144768853
CL0,Nscore,3.27393,0.3328583965445601
CL0,Escore,-3.27393,0.014702914946843053
CL0,Escore,-3.00537,0.02857310927674434
CL0,Escore,-2.72827,0.050360832523985016
CL0,Escore,-2.5383,0.06925182486854958
CL0,Escore,-2.44904,0.07889427295836814
CL0,Escore,-2.32338,0.09287619504777611
CL0,Escore,-2.21069,0.10542087140985651
CL0,Escore,-2.11437,0.11583055215819675
CL0,Escore,-2.03972,0.12353597549545371
CL0,Escore,-1.92173,0.13480619868025184
CL0,Escore,-1.7625,0.14777072371586641
CL0,Escore,-1.6334,0.15610779271711625
CL0,Escore,-1.50796,0.16228726951559347
CL0,Escore,-1.37639,0.16685015159421043
CL0,Escore,-1.23177,0.16989031684631575
CL0,Escore,-1.09207,0.17124541371936167
CL0,Escore,-0.9477899999999999,0.17143362851604635
CL0,Escore,-0.80615,0.1707847014911894
CL0,Escore,-0.69509,0.1698791010959067
CL0,Escore,-0.57545,0.16862123923875472
CL0,Escore,-0.43998999999999994,0.16690072986255042
CL0,Escore,-0.30033000000000004,0.16477802419135165
CL0,Escore,-0.15487,0.16207152927282206
CL0,Escore,0.0033200000000000005,0.15830898255809459
CL0,Escore,0.16767,0.1531412023578247
CL0,Escore,0.32197,0.14679150400897834
CL0,Escore,0.47617,0.13876773389034633
CL0,Escore,0.63779,0.12849332232888316
CL0,Escore,0.80523,0.1160248330185386
CL0,Escore,0.9624799999999999,0.10303871534643401
CL0,Escore,1.11406,0.0898772376903668
CL0,Escore,1.2861,0.07488190487768115
CL0,Escore,1.45421,0.06087108590605189
CL0,Escore,1.58487,0.0507958105262046
CL0,Escore,1.74091,0.03998854319586263
CL0,Escore,1.9388599999999998,0.028456697369097773
CL0,Escore,2.127,0.01981172790789419
CL0,Escore,2.32338,0.013028808854914623
CL0,Escore,2.57309,0.00718543794803498
CL0,Escore,2.8595,0.0033242036651204305
CL0,Escore,3.00537,0.002162730075940284
CL0,Escore,3.27393,0.000915996966733607
CL0,Oscore,-3.27393,0.062256182584863255
CL0,Oscore,-2.8595,0.12524676754271233
CL0,Oscore,-2.63199,0.16545799073685657
CL0,Oscore,-2.39883,0.20567009089269242
CL0,Oscore,-2.21069,0.23467538145417927
CL0,Oscore,-2.09015,0.250817247663603
CL0,Oscore,-1.97495,0.26413061495236095
CL0,Oscore,-1.82919,0.27774132215445363
CL0,Oscore,-1.68062,0.2876846762710879
CL0,Oscore,-1.55521,0.2928623640522945
CL0,Oscore,-1.42424,0.294911169135407
CL0,Oscore,-1.2755299999999998,0.29232651665070136
CL0,Oscore,-1.1190200000000001,0.281876868511378
CL0,Oscore,-0.97631,0.26283362766746654
CL0,Oscore,-0.8473200000000001,0.2373404760047596
CL0,Oscore,-0.71727,0.20690794319180406
CL0,Oscore,-0.58331,0.1765730908899687
CL0,Oscore,-0.45174,0.1526884718744698
CL0,Oscore,-0.31776,0.13630180013061968
CL0,Oscore,-0.17779,0.12700533704371889
CL0,Oscore,-0.019280000000000002,0.12292493146482318
CL0,Oscore,0.14143,0.120296826811611
CL0,Oscore,0.29338000000000003,0.113967704715575
CL0,Oscore,0.44585,0.10208372614788451
CL0,Oscore,0.58331,0.0883622295139397
CL0,Oscore,0.7233,0.07384758219685719
CL0,Oscore,0.8830899999999999,0.05847502697853879
CL0,Oscore,1.0623799999999999,0.04371365869773978
CL0,Oscore,1.24033,0.03183666141641635
CL0,Oscore,1.43533,0.021771804099561778
CL0,Oscore,1.6565299999999998,0.013556606303682476
CL0,Oscore,1.8851099999999998,0.007903217670932786
CL0,Oscore,2.1532400000000003,0.003916059022867413
CL0,Oscore,2.44904,0.0016430945212062278
CL0,Oscore,2.90161,0.00035268470086324014
CL0,Ascore,-3.4643599999999997,0.22082309714663867
CL0,Ascore,-3.15735,0.21334791162564692
CL0,Ascore,-3.00537,0.20890975437432552
CL0,Ascore,-2.90161,0.20567347151804893
CL0,Ascore,-2.78793,0.20198324552271088
CL0,Ascore,-2.70172,0.19911134360381763
CL0,Ascore,-2.5383,0.1935697715795241
CL0,Ascore,-2.35413,0.18730757323063166
CL0,Ascore,-2.21844,0.18277701720706654
CL0,Ascore,-2.07848,0.1782471860455925
CL0,Ascore,-1.92595,0.17353382003242027
CL0,Ascore,-1.772,0.1690482344149996
CL0,Ascore,-1.6209,0.16490134915295576
CL0,Ascore,-1.47955,0.1611828808627519
CL0,Ascore,-1.34289,0.1576060398502221
CL0,Ascore,-1.21213,0.1540245528678371
CL0,Ascore,-1.07533,0.14988891598190215
CL0,Ascore,-0.91699,0.14434186467088084
CL0,Ascore,-0.7609600000000001,0.13798849154272483
CL0,Ascore,-0.60633,0.13110386633362783
CL0,Ascore,-0.45321000000000006,0.1243650117632453
CL0,Ascore,-0.30172,0.1186117666900202
CL0,Ascore,-0.15487,0.1146545109374894
CL0,Ascore,-0.01729,0.11289753218623041
CL0,Ascore,0.13136,0.1134702179568984
CL0,Ascore,0.28783000000000003,0.11702999035141158
CL0,Ascore,0.43851999999999997,0.1232812070154115
CL0,Ascore,0.59042,0.13205946204731434
