Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.04038392787759859
CL0,Age,-0.07854,0.07115066019962178
CL0,Age,0.49788000000000004,0.09724057730688342
CL0,Age,1.09449,0.12591569598502106
CL0,Age,1.82213,0.15812311466874898
CL0,Age,2.59171,0.1868345642032296
CL0,Gender,-0.48246000000000006,0.07243157336229686
CL0,Gender,0.48246000000000006,0.08378541189332918
CL0,Education,-2.43591,0.19852812109212667
CL0,Education,-1.7379,0.15732264898081236
CL0,Education,-1.43719,0.14099447853945107
CL0,Education,-1.22751,0.1301909697974419
CL0,Education,-0.6111300000000001,0.10140031981788011
CL0,Education,-0.059210000000000006,0.07951341752156893
CL0,Education,0.45468000000000003,0.062405557282711986
CL0,Education,1.16365,0.0436343164223321
CL0,Education,1.98437,0.027988791773131756
CL0,Country,-0.57009,0.016300294271726443
CL0,Country,-0.46841000000000005,0.01952295424379205
CL0,Country,-0.28519,0.026916324733577288
CL0,Country,-0.09765,0.03715292209214293
CL0,Country,0.21128000000000002,0.06200027356887764
CL0,Country,0.24923,0.06589353585903109
CL0,Country,0.9608200000000001,0.1827824280653251
CL0,Ethnicity,-1.1070200000000001,0.3344696252498797
CL0,Ethnicity,-0.50212,0.11353908237159381
CL0,Ethnicity,-0.31685,0.07296895702678818
CL0,Ethnicity,-0.22166,0.0573145106481235
CL0,Ethnicity,0.1144,0.023118995584747264
CL0,Ethnicity,0.126,0.02237978794172708
CL0,Ethnicity,1.90725,0.00013247061630215762
CL0,Nscore,-3.4643599999999997,0.010192755072140592
CL0,Nscore,-3.15735,0.01244846925913488
CL0,Nscore,-2.75696,0.016129566269293474
CL0,Nscore,-2.52197,0.018750419849933548
CL0,Nscore,-2.4231700000000003,0.01996709799081828
CL0,Nscore,-2.3436,0.020999660025118442
CL0,Nscore,-2.21844,0.02272343815202837
CL0,Nscore,-2.05048,0.025238741931202385
CL0,Nscore,-1.86962,0.028223701395299956
CL0,Nscore,-1.69163,0.031460937243852086
CL0,Nscore,-1.5507799999999998,0.03424636434108254
CL0,Nscore,-1.43907,0.036602928549140344
CL0,Nscore,-1.32828,0.03907379008756732
CL0,Nscore,-1.1943,0.04224587854032485
CL0,Nscore,-1.05308,0.045814991100605766
CL0,Nscore,-0.92104,0.0493684247828426
CL0,Nscore,-0.79151,0.053063288926550684
CL0,Nscore,-0.67825,0.0564676165317826
CL0,Nscore,-0.58016,0.059549220241268894
CL0,Nscore,-0.46725,0.0632517920416949
CL0,Nscore,-0.34799,0.0673453890707863
CL0,Nscore,-0.24649000000000001,0.07097871520868469
CL0,Nscore,-0.14882,0.07460541944570297
CL0,Nscore,-0.051879999999999996,0.07833198504681145
CL0,Nscore,0.04257,0.08208460169468151
CL0,Nscore,0.13606,0.08591726132451438
CL0,Nscore,0.22393000000000002,0.08962631302979829
CL0,Nscore,0.31287,0.09348526918540631
CL0,Nscore,0.41667,0.09812104912244203
CL0,Nscore,0.52135,0.10293842625590871
CL0,Nscore,0.62967,0.1080712569060973
CL0,Nscore,0.73545,0.11322596187346616
CL0,Nscore,0.82562,0.11772835269390236
CL0,Nscore,0.9109299999999999,0.12207757187135292
CL0,Nscore,1.02119,0.12782388701408717
CL0,Nscore,1.13281,0.13377955692369084
CL0,Nscore,1.23461,0.13932743550279147
CL0,Nscore,1.37297,0.1470357112939202
CL0,Nscore,1.49158,0.15378781930523253
CL0,Nscore,1.6038299999999999,0.16029104016259985
CL0,Nscore,1.72012,0.16713467149020964
CL0,Nscore,1.8399,0.17428583314213705
CL0,Nscore,1.98437,0.18303179115020551
CL0,Nscore,2.127,0.1917751635432041
CL0,Nscore,2.28554,0.20159302138699614
CL0,Nscore,2.4626200000000003,0.21264396525814755
CL0,Nscore,2.61139,0.2219647169693761
CL0,Nscore,2.82196,0.23515654844859363
CL0,Nscore,3.27393,0.26311989470150887
CL0,Escore,-3.27393,0.28026226487859285
CL0,Escore,-3.00537,0.2613831662254691
CL0,Escore,-2.72827,0.24135989119352674
CL0,Escore,-2.5383,0.2274649914635117
CL0,Escore,-2.44904,0.2209225683622578
CL0,Escore,-2.32338,0.21172385529230134
CL0,Escore,-2.21069,0.2035074368798538
CL0,Escore,-2.11437,0.19652521624396835
CL0,Escore,-2.03972,0.19114803412772444
CL0,Escore,-1.92173,0.18272472207192889
CL0,Escore,-1.7625,0.17153808020367206
CL0,Escore,-1.6334,0.16265175119617606
CL0,Escore,-1.50796,0.1541999910905905
CL0,Escore,-1.37639,0.1455513232992424
CL0,Escore,-1.23177,0.13632507791569237
CL0,Escore,-1.09207,0.1277138958700861
