Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.06055392977667725
CL0,Age,-0.07854,0.10825732210217609
CL0,Age,0.49788000000000004,0.17036558871524873
CL0,Age,1.09449,0.25010696174395575
CL0,Age,1.82213,0.5567376922350934
CL0,Age,2.59171,0.9447544441178034
CL0,Gender,-0.48246000000000006,0.06047128619317382
CL0,Gender,0.48246000000000006,0.23169940804132094
CL0,Education,-2.43591,0.21301828361263517
CL0,Education,-1.7379,0.14492388254124025
CL0,Education,-1.43719,0.12761816881981364
CL0,Education,-1.22751,0.11928436973008737
CL0,Education,-0.6111300000000001,0.11038401517047748
CL0,Education,-0.059210000000000006,0.1203874398239432
CL0,Education,0.45468000000000003,0.14406298563894804
CL0,Education,1.16365,0.194328635414427
CL0,Education,1.98437,0.26409741472837367
CL0,Country,-0.57009,2.9969091126980672e-09
CL0,Country,-0.46841000000000005,4.14768082215514e-08
CL0,Country,-0.28519,2.9353690859110477e-06
CL0,Country,-0.09765,0.00012066610793360415
CL0,Country,0.21128000000000002,0.0124695161939513
CL0,Country,0.24923,0.019266409172812946
CL0,Country,0.9608200000000001,0.3778209575302515
CL0,Ethnicity,-1.1070200000000001,0.16550397684883567
CL0,Ethnicity,-0.50212,0.2876997055645082
CL0,Ethnicity,-0.31685,0.0366301453111699
CL0,Ethnicity,-0.22166,0.15194470157814507
CL0,Ethnicity,0.1144,0.19447896695968286
CL0,Ethnicity,0.126,0.18939200418826524
CL0,Ethnicity,1.90725,3.2633077671376815e-11
CL0,Nscore,-3.4643599999999997,0.03012381167945391
CL0,Nscore,-3.15735,0.04916737822586767
CL0,Nscore,-2.75696,0.08061620523271992
CL0,Nscore,-2.52197,0.10053382499516766
CL0,Nscore,-2.4231700000000003,0.10880956643906464
CL0,Nscore,-2.3436,0.11533447746319432
CL0,Nscore,-2.21844,0.12522998766655918
CL0,Nscore,-2.05048,0.13757051669621456
CL0,Nscore,-1.86962,0.14935805207288028
CL0,Nscore,-1.69163,0.1592072060428383
CL0,Nscore,-1.5507799999999998,0.16567707436311477
CL0,Nscore,-1.43907,0.1699513553737083
CL0,Nscore,-1.32828,0.1734357870787626
CL0,Nscore,-1.1943,0.17664963708631445
CL0,Nscore,-1.05308,0.17886849931452325
CL0,Nscore,-0.92104,0.17988252253450218
CL0,Nscore,-0.79151,0.17990984049344896
CL0,Nscore,-0.67825,0.17917320892763539
CL0,Nscore,-0.58016,0.1779803467249968
CL0,Nscore,-0.46725,0.17599120846452862
CL0,Nscore,-0.34799,0.17320142738201558
