Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.029835855953873384
CL0,Age,-0.07854,0.06773360271739144
CL0,Age,0.49788000000000004,0.1044181114787036
CL0,Age,1.09449,0.14332802025983477
CL0,Age,1.82213,0.17084965712165173
CL0,Age,2.59171,0.16436377462131166
CL0,Gender,-0.48246000000000006,0.05508788315040389
CL0,Gender,0.48246000000000006,0.09546185187422909
CL0,Education,-2.43591,0.04912010524147267
CL0,Education,-1.7379,0.056565822934404535
CL0,Education,-1.43719,0.05968762557823892
CL0,Education,-1.22751,0.061807524334540696
CL0,Education,-0.6111300000000001,0.0676552069312072
CL0,Education,-0.059210000000000006,0.07224462439238005
CL0,Education,0.45468000000000003,0.07582973881752414
CL0,Education,1.16365,0.0795302051043298
CL0,Education,1.98437,0.08189961780555184
CL0,Country,-0.57009,0.026073063863204675
CL0,Country,-0.46841000000000005,0.029569590338228403
CL0,Country,-0.28519,0.036891269824640534
CL0,Country,-0.09765,0.04589671694175132
CL0,Country,0.21128000000000002,0.06448440565525995
CL0,Country,0.24923,0.0671121093905387
CL0,Country,0.9608200000000001,0.13068615713104673
CL0,Ethnicity,-1.1070200000000001,0.3225915209643898
CL0,Ethnicity,-0.50212,0.11426028303164167
CL0,Ethnicity,-0.31685,0.07482596305067049
CL0,Ethnicity,-0.22166,0.058967587185320476
CL0,Ethnicity,0.1144,0.022719523789969415
CL0,Ethnicity,0.126,0.02191640237568079
CL0,Ethnicity,1.90725,2.03209977183151e-05
CL0,Nscore,-3.4643599999999997,0.048001011348989694
CL0,Nscore,-3.15735,0.04996926956783051
CL0,Nscore,-2.75696,0.05260455925442233
CL0,Nscore,-2.52197,0.054186357687614504
CL0,Nscore,-2.4231700000000003,0.05485900697817808
CL0,Nscore,-2.3436,0.05540395881366812
CL0,Nscore,-2.21844,0.056266904140266784
CL0,Nscore,-2.05048,0.05743586678617186
CL0,Nscore,-1.86962,0.05870836058626537
CL0,Nscore,-1.69163,0.05997429461539292
CL0,Nscore,-1.5507799999999998,0.06098546054680607
CL0,Nscore,-1.43907,0.0617932148808712
CL0,Nscore,-1.32828,0.06259928718100295
CL0,Nscore,-1.1943,0.06358058200459955
CL0,Nscore,-1.05308,0.06462245858883049
CL0,Nscore,-0.92104,0.06560347379493084
CL0,Nscore,-0.79151,0.06657214723312332
CL0,Nscore,-0.67825,0.0674241581151982
CL0,Nscore,-0.58016,0.06816575314937583
CL0,Nscore,-0.46725,0.0690235634410421
CL0,Nscore,-0.34799,0.06993436356017547
CL0,Nscore,-0.24649000000000001,0.07071328727150376
CL0,Nscore,-0.14882,0.07146601227464397
CL0,Nscore,-0.051879999999999996,0.07221614449251745
CL0,Nscore,0.04257,0.07294985515308153
CL0,Nscore,0.13606,0.0736788168607067
CL0,Nscore,0.22393000000000002,0.07436636341814462
CL0,Nscore,0.31287,0.07506460559451861
CL0,Nscore,0.41667,0.07588239843247596
CL0,Nscore,0.52135,0.07671019827417468
CL0,Nscore,0.62967,0.07756994456568779
CL0,Nscore,0.73545,0.07841254651087402
CL0,Nscore,0.82562,0.07913309258331272
CL0,Nscore,0.9109299999999999,0.07981668876477332
CL0,Nscore,1.02119,0.08070285238698333
CL0,Nscore,1.13281,0.08160288535901736
CL0,Nscore,1.23461,0.08242622678277303
CL0,Nscore,1.37297,0.08354892268423733
CL0,Nscore,1.49158,0.0845145840222594
CL0,Nscore,1.6038299999999999,0.08543108547124463
CL0,Nscore,1.72012,0.08638314341744537
CL0,Nscore,1.8399,0.08736638430453966
CL0,Nscore,1.98437,0.08855563932490305
CL0,Nscore,2.127,0.08973312024125743
CL0,Nscore,2.28554,0.0910456091185893
CL0,Nscore,2.4626200000000003,0.09251578324872867
CL0,Nscore,2.61139,0.09375404835544891
CL0,Nscore,2.82196,0.09551107097867835
CL0,Nscore,3.27393,0.0992966426935546
CL0,Escore,-3.27393,0.03232665039031404
CL0,Escore,-3.00537,0.03463412903758744
CL0,Escore,-2.72827,0.03717540140896411
CL0,Escore,-2.5383,0.0390167191295098
CL0,Escore,-2.44904,0.03991081801347888
CL0,Escore,-2.32338,0.041201758025650397
CL0,Escore,-2.21069,0.042392230655177686
CL0,Escore,-2.11437,0.04343489704055381
CL0,Escore,-2.03972,0.04425922192252893
CL0,Escore,-1.92173,0.04559160900959904
CL0,Escore,-1.7625,0.04744829295815674
CL0,Escore,-1.6334,0.049004399225736406
CL0,Escore,-1.50796,0.050561106847242826
CL0,Escore,-1.37639,0.05224243490169624
CL0,Escore,-1.23177,0.05414935686760375
CL0,Escore,-1.09207,0.05605145470995137
CL0,Escore,-0.9477899999999999,0.05807952719404993
CL0,Escore,-0.80615,0.06013503074840249
CL0,Escore,-0.69509,0.06179256582830994
CL0,Escore,-0.57545,0.063624224706426
CL0,Escore,-0.43998999999999994,0.06575702280381301
CL0,Escore,-0.30033000000000004,0.06802300842654162
CL0,Escore,-0.15487,0.07045724911367388
CL0,Escore,0.0033200000000000005,0.07319257794669773
CL0,Escore,0.16767,0.07613414717090132
CL0,Escore,0.32197,0.07899076142707871
CL0,Escore,0.47617,0.08193969815026284
CL0,Escore,0.63779,0.08513407958513208
CL0,Escore,0.80523,0.08855803237799538
CL0,Escore,0.9624799999999999,0.09188233177426822
CL0,Escore,1.11406,0.09518875342718974
CL0,Escore,1.2861,0.09906551801364198
CL0,Escore,1.45421,0.1029839917689484
CL0,Escore,1.58487,0.10612032421722173
CL0,Escore,1.74091,0.109971923282823
CL0,Escore,1.9388599999999998,0.11502741762195402
CL0,Escore,2.127,0.12001173076151063
CL0,Escore,2.32338,0.12540484306823052
CL0,Escore,2.57309,0.1325497836431255
CL0,Escore,2.8595,0.14115011392553425
CL0,Escore,3.00537,0.14570007253902664
CL0,Escore,3.27393,0.15438211871357646
CL0,Oscore,-3.27393,0.31488076213302524
CL0,Oscore,-2.8595,0.27656508592341694
CL0,Oscore,-2.63199,0.2559230527066443
CL0,Oscore,-2.39883,0.2352286927428222
CL0,Oscore,-2.21069,0.21896155461136194
CL0,Oscore,-2.09015,0.2087761840178613
CL0,Oscore,-1.97495,0.19923340101169415
CL0,Oscore,-1.82919,0.18744891493560015
CL0,Oscore,-1.68062,0.17579514553486067
CL0,Oscore,-1.55521,0.16625731914581593
CL0,Oscore,-1.42424,0.15660415637557606
CL0,Oscore,-1.2755299999999998,0.1460403818846906
CL0,Oscore,-1.1190200000000001,0.1353947653502443
CL0,Oscore,-0.97631,0.126121621240667
CL0,Oscore,-0.8473200000000001,0.11810257273364981
CL0,Oscore,-0.71727,0.11036979483260731
CL0,Oscore,-0.58331,0.10277581538058474
CL0,Oscore,-0.45174,0.09568362408242698
CL0,Oscore,-0.31776,0.08883210760047931
CL0,Oscore,-0.17779,0.082068927819903
CL0,Oscore,-0.019280000000000002,0.07488804628762269
CL0,Oscore,0.14143,0.06811300989409126
CL0,Oscore,0.29338000000000003,0.06216074364956596
CL0,Oscore,0.44585,0.056615049151221
CL0,Oscore,0.58331,0.051967511692457065
CL0,Oscore,0.7233,0.0475631511275107
CL0,Oscore,0.8830899999999999,0.04292218249101648
CL0,Oscore,1.0623799999999999,0.03817785457467617
CL0,Oscore,1.24033,0.033921836707097135
CL0,Oscore,1.43533,0.029737815991904358
CL0,Oscore,1.6565299999999998,0.025547631861764442
CL0,Oscore,1.8851099999999998,0.02177824665745941
CL0,Oscore,2.1532400000000003,0.018000238019854262
CL0,Oscore,2.44904,0.014532304324298377
CL0,Oscore,2.90161,0.010400376636459749
CL0,Ascore,-3.4643599999999997,0.05021159776929242
CL0,Ascore,-3.15735,0.052099508393688404
CL0,Ascore,-3.00537,0.05304544751969595
CL0,Ascore,-2.90161,0.053695449681793364
CL0,Ascore,-2.78793,0.05441141466901054
CL0,Ascore,-2.70172,0.05495698568673128
CL0,Ascore,-2.5383,0.05599722113699693
CL0,Ascore,-2.35413,0.05717876526502644
CL0,Ascore,-2.21844,0.0580553367211574
CL0,Ascore,-2.07848,0.05896469591523748
CL0,Ascore,-1.92595,0.059961550321370426
CL0,Ascore,-1.772,0.06097362967337286
CL0,Ascore,-1.6209,0.06197256171201383
CL0,Ascore,-1.47955,0.06291185443419887
CL0,Ascore,-1.34289,0.0638242369372946
CL0,Ascore,-1.21213,0.06470099266379122
CL0,Ascore,-1.07533,0.06562202605627024
CL0,Ascore,-0.91699,0.066692689186934
CL0,Ascore,-0.7609600000000001,0.06775232457845945
CL0,Ascore,-0.60633,0.06880669896017534
CL0,Ascore,-0.45321000000000006,0.0698546982190072
CL0,Ascore,-0.30172,0.07089514211852939
CL0,Ascore,-0.15487,0.07190691256010077
CL0,Ascore,-0.01729,0.07285747309476795
CL0,Ascore,0.13136,0.07388719776831794
CL0,Ascore,0.28783000000000003,0.0749738570504934
CL0,Ascore,0.43851999999999997,0.07602281166114273
CL0,Ascore,0.59042,0.07708236466229333
CL0,Ascore,0.7609600000000001,0.07827423916211353
CL0,Ascore,0.9415600000000001,0.07953870500353222
CL0,Ascore,1.11406,0.0807482819104446
CL0,Ascore,1.2861,0.08195604564470363
CL0,Ascore,1.45039,0.083110392498922
CL0,Ascore,1.6110799999999998,0.08424007930974335
CL0,Ascore,1.81866,0.08569987077155754
CL0,Ascore,2.03972,0.08725438134194331
CL0,Ascore,2.23427,0.08862182506469554
CL0,Ascore,2.4626200000000003,0.09022535608463118
CL0,Ascore,2.75696,0.09228866424558195
CL0,Ascore,3.15735,0.09508593305003013
CL0,Ascore,3.4643599999999997,0.0972210148031461
CL0,Cscore,-3.4643599999999997,0.019209778007154375
CL0,Cscore,-3.15735,0.021840224426614603
CL0,Cscore,-2.90161,0.024278144400436075
CL0,Cscore,-2.72827,0.02606820227034415
CL0,Cscore,-2.57309,0.027770781251337178
CL0,Cscore,-2.4231700000000003,0.029509736196626037
CL0,Cscore,-2.30408,0.03095971484756756
CL0,Cscore,-2.18109,0.03252333851292704
CL0,Cscore,-2.04506,0.034333793029871315
CL0,Cscore,-1.92173,0.03605134925445828
CL0,Cscore,-1.7816900000000002,0.03809249538902361
CL0,Cscore,-1.6410099999999999,0.040243652040517455
CL0,Cscore,-1.5184,0.04220356116871207
CL0,Cscore,-1.3850200000000001,0.04442847041168957
CL0,Cscore,-1.25773,0.046644705882411125
CL0,Cscore,-1.13788,0.048816716210961404
CL0,Cscore,-1.0145,0.051141452485891185
CL0,Cscore,-0.89891,0.05340314285147917
CL0,Cscore,-0.78155,0.055784316787965096
CL0,Cscore,-0.65253,0.0585030156390646
CL0,Cscore,-0.52745,0.0612419211973988
CL0,Cscore,-0.40581,0.0640051091311068
CL0,Cscore,-0.27607,0.06706279217543612
CL0,Cscore,-0.14277,0.0703255397694511
CL0,Cscore,-0.00665,0.07378649244178613
CL0,Cscore,0.12330999999999999,0.07721481524753436
CL0,Cscore,0.25953000000000004,0.08094044994047764
CL0,Cscore,0.41594,0.08538776613639594
CL0,Cscore,0.5848899999999999,0.0903983039193143
CL0,Cscore,0.7583,0.09576748466016792
CL0,Cscore,0.9394899999999999,0.10162553004710036
CL0,Cscore,1.1340700000000001,0.10820143400417513
CL0,Cscore,1.3061200000000002,0.11426335657979453
CL0,Cscore,1.46191,0.11995335868032989
CL0,Cscore,1.6308799999999999,0.1263406916227672
CL0,Cscore,1.81175,0.13342614843735004
CL0,Cscore,2.04506,0.14294232704259086
CL0,Cscore,2.33337,0.15527918437647895
CL0,Cscore,2.63199,0.1687133787830935
