Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.13211815914316208
CL0,Age,-0.07854,0.10900416437288449
CL0,Age,0.49788000000000004,0.16474344205245864
CL0,Age,1.09449,0.23925124933773342
CL0,Age,1.82213,0.24570467341247265
CL0,Age,2.59171,0.09630267084317766
CL0,Gender,-0.48246000000000006,5.387632111959917e-08
CL0,Gender,0.48246000000000006,0.20532717764035824
CL0,Education,-2.43591,0.07589494807283793
CL0,Education,-1.7379,0.08718577236849494
CL0,Education,-1.43719,0.08973879683433365
CL0,Education,-1.22751,0.09169667731051338
CL0,Education,-0.6111300000000001,0.10354485387263936
CL0,Education,-0.059210000000000006,0.1272944526473927
CL0,Education,0.45468000000000003,0.16138063306180617
CL0,Education,1.16365,0.21664961639679267
CL0,Education,1.98437,0.2709040866926069
CL0,Country,-0.57009,5.455065246137601e-08
CL0,Country,-0.46841000000000005,0.19233903252158707
CL0,Country,-0.28519,0.18792805694956227
CL0,Country,-0.09765,0.18254350233345187
CL0,Country,0.21128000000000002,0.17226248332267824
CL0,Country,0.24923,0.17091029273598474
CL0,Country,0.9608200000000001,0.1440402978212565
CL0,Ethnicity,-1.1070200000000001,0.9737810300873947
CL0,Ethnicity,-0.50212,0.1900333142693202
CL0,Ethnicity,-0.31685,3.908165023811663e-08
CL0,Ethnicity,-0.22166,0.06635085295093807
CL0,Ethnicity,0.1144,0.4399160360783618
CL0,Ethnicity,0.126,0.45743817578337465
CL0,Ethnicity,1.90725,0.9999999999999717
CL0,Nscore,-3.4643599999999997,0.14978718915220976
CL0,Nscore,-3.15735,0.14594342731322166
CL0,Nscore,-2.75696,0.13014423543725925
CL0,Nscore,-2.52197,0.11839233316267528
CL0,Nscore,-2.4231700000000003,0.1136439197560424
CL0,Nscore,-2.3436,0.11005232328984828
CL0,Nscore,-2.21844,0.10496807535193389
CL0,Nscore,-2.05048,0.09946536950141047
CL0,Nscore,-1.86962,0.09544435476737809
CL0,Nscore,-1.69163,0.09349699692799246
CL0,Nscore,-1.5507799999999998,0.09335683370681384
CL0,Nscore,-1.43907,0.09409757255620478
CL0,Nscore,-1.32828,0.09554368712158434
CL0,Nscore,-1.1943,0.09817960892175862
CL0,Nscore,-1.05308,0.1019069774695608
CL0,Nscore,-0.92104,0.10614237187236565
CL0,Nscore,-0.79151,0.11085132777150106
CL0,Nscore,-0.67825,0.11528909260854035
CL0,Nscore,-0.58016,0.11928199494598629
CL0,Nscore,-0.46725,0.12395550147021459
CL0,Nscore,-0.34799,0.12888833078113704
CL0,Nscore,-0.24649000000000001,0.13302953227183284
CL0,Nscore,-0.14882,0.13694212216349683
CL0,Nscore,-0.051879999999999996,0.14075463143487693
CL0,Nscore,0.04257,0.14441678300605204
CL0,Nscore,0.13606,0.14801797376609807
CL0,Nscore,0.22393000000000002,0.15141286264064174
CL0,Nscore,0.31287,0.15489441493293019
CL0,Nscore,0.41667,0.15906464375981802
CL0,Nscore,0.52135,0.16344360921012754
CL0,Nscore,0.62967,0.16821825805721358
CL0,Nscore,0.73545,0.17317303676886342
CL0,Nscore,0.82562,0.17765856585687434
CL0,Nscore,0.9109299999999999,0.18214640227362655
CL0,Nscore,1.02119,0.18832384473574018
CL0,Nscore,1.13281,0.19503336596272408
CL0,Nscore,1.23461,0.20156531602496286
CL0,Nscore,1.37297,0.21108001248956965
CL0,Nscore,1.49158,0.21981105996942782
CL0,Nscore,1.6038299999999999,0.22854056083770458
CL0,Nscore,1.72012,0.2380282121140048
CL0,Nscore,1.8399,0.24822201684162562
CL0,Nscore,1.98437,0.2609894176501756
CL0,Nscore,2.127,0.2739655307861312
CL0,Nscore,2.28554,0.288619754568297
CL0,Nscore,2.4626200000000003,0.3049726208174901
CL0,Nscore,2.61139,0.31843602837952795
CL0,Nscore,2.82196,0.3366163392383805
CL0,Nscore,3.27393,0.36994819032043236
CL0,Escore,-3.27393,0.020999648013481968
CL0,Escore,-3.00537,0.030737119627701325
CL0,Escore,-2.72827,0.04311714802003347
CL0,Escore,-2.5383,0.05277682113802566
CL0,Escore,-2.44904,0.05758291233357442
CL0,Escore,-2.32338,0.06458136449163618
CL0,Escore,-2.21069,0.07104021983689317
CL0,Escore,-2.11437,0.07666051264801123
CL0,Escore,-2.03972,0.08105989025339343
CL0,Escore,-1.92173,0.08805669824581973
CL0,Escore,-1.7625,0.09750726153753593
CL0,Escore,-1.6334,0.10510930553204569
CL0,Escore,-1.50796,0.11239240369092984
CL0,Escore,-1.37639,0.1198778538887828
CL0,Escore,-1.23177,0.12787826764101012
CL0,Escore,-1.09207,0.13534020886759796
CL0,Escore,-0.9477899999999999,0.1427339925186725
CL0,Escore,-0.80615,0.14933038266526039
CL0,Escore,-0.69509,0.14882381701102568
CL0,Escore,-0.57545,0.11789612916659305
CL0,Escore,-0.43998999999999994,0.07232713356862186
CL0,Escore,-0.30033000000000004,0.07464828239642093
CL0,Escore,-0.15487,0.13457470403909993
CL0,Escore,0.0033200000000000005,0.17930742795385615
CL0,Escore,0.16767,0.18618895044814884
CL0,Escore,0.32197,0.1898691674864269
CL0,Escore,0.47617,0.19283362386325822
CL0,Escore,0.63779,0.1951315063848033
CL0,Escore,0.80523,0.19656897724505656
CL0,Escore,0.9624799999999999,0.19697693106969671
CL0,Escore,1.11406,0.19644454371481795
CL0,Escore,1.2861,0.19466728662469315
CL0,Escore,1.45421,0.19165685126408485
CL0,Escore,1.58487,0.18840977651636812
CL0,Escore,1.74091,0.18346291201156661
CL0,Escore,1.9388599999999998,0.1754940493011559
CL0,Escore,2.127,0.16618990884669313
CL0,Escore,2.32338,0.1547790297631994
CL0,Escore,2.57309,0.1380744776966507
CL0,Escore,2.8595,0.11667529791428319
CL0,Escore,3.00537,0.10525691199261583
CL0,Escore,3.27393,0.08418483502833841
CL0,Oscore,-3.27393,0.0035841693046223095
CL0,Oscore,-2.8595,0.013055567419612148
CL0,Oscore,-2.63199,0.023701281725533107
CL0,Oscore,-2.39883,0.040008710431768596
CL0,Oscore,-2.21069,0.057147324788734
CL0,Oscore,-2.09015,0.06964260319822463
CL0,Oscore,-1.97495,0.082323524911465
CL0,Oscore,-1.82919,0.09883206237594944
CL0,Oscore,-1.68062,0.11546704303616463
CL0,Oscore,-1.55521,0.12883283010436095
CL0,Oscore,-1.42424,0.14174023696374385
CL0,Oscore,-1.2755299999999998,0.15476147578748176
CL0,Oscore,-1.1190200000000001,0.16634310577559355
CL0,Oscore,-0.97631,0.17489099553030077
CL0,Oscore,-0.8473200000000001,0.18091902515551303
CL0,Oscore,-0.71727,0.1853292483796282
CL0,Oscore,-0.58331,0.18807093666731978
CL0,Oscore,-0.45174,0.188910302397183
CL0,Oscore,-0.31776,0.18777769020500007
CL0,Oscore,-0.17779,0.18433106282346426
