Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.10308757578156208
CL0,Age,-0.07854,0.13495310762867105
CL0,Age,0.49788000000000004,0.15893850780017654
CL0,Age,1.09449,0.18595510347039984
CL0,Age,1.82213,0.22085682495118505
CL0,Age,2.59171,0.25607885432976957
CL0,Gender,-0.48246000000000006,0.14242848633489366
CL0,Gender,0.48246000000000006,0.14158772955481183
CL0,Education,-2.43591,0.04391851356681977
CL0,Education,-1.7379,0.06502806837700079
CL0,Education,-1.43719,0.07602056644338132
CL0,Education,-1.22751,0.08437446302167434
CL0,Education,-0.6111300000000001,0.11213682481671992
CL0,Education,-0.059210000000000006,0.14074961376256825
CL0,Education,0.45468000000000003,0.1700548268715993
CL0,Education,1.16365,0.2134835951145841
CL0,Education,1.98437,0.26576741823298805
CL0,Country,-0.57009,0.2326843379144347
CL0,Country,-0.46841000000000005,0.2200640115316279
CL0,Country,-0.28519,0.19694137265542674
CL0,Country,-0.09765,0.17392697911316798
CL0,Country,0.21128000000000002,0.13913085411231385
CL0,Country,0.24923,0.1351740160203666
CL0,Country,0.9608200000000001,0.07465427633808012
CL0,Ethnicity,-1.1070200000000001,0.35589780104306773
CL0,Ethnicity,-0.50212,0.18487954989255975
CL0,Ethnicity,-0.31685,0.14481417000050134
CL0,Ethnicity,-0.22166,0.1266839727407694
CL0,Ethnicity,0.1144,0.07542620594791459
CL0,Ethnicity,0.126,0.07399044443934563
CL0,Ethnicity,1.90725,0.0014228116115343333
CL0,Nscore,-3.4643599999999997,0.01689016064129
CL0,Nscore,-3.15735,0.022985013626286774
CL0,Nscore,-2.75696,0.03232356132370106
CL0,Nscore,-2.52197,0.03856671225958975
CL0,Nscore,-2.4231700000000003,0.04137229884721265
CL0,Nscore,-2.3436,0.04371346564656936
CL0,Nscore,-2.21844,0.04754900977651533
CL0,Nscore,-2.05048,0.053003773165732584
CL0,Nscore,-1.86962,0.059294185330535515
CL0,Nscore,-1.69163,0.06593164850381711
CL0,Nscore,-1.5507799999999998,0.07151433456335957
CL0,Nscore,-1.43907,0.0761577015617052
CL0,Nscore,-1.32828,0.08095694393466313
CL0,Nscore,-1.1943,0.08702590960135421
CL0,Nscore,-1.05308,0.09374528041265724
CL0,Nscore,-0.92104,0.10033451979333761
CL0,Nscore,-0.79151,0.10709249330292034
CL0,Nscore,-0.67825,0.11324420720046795
CL0,Nscore,-0.58016,0.11875722449730679
CL0,Nscore,-0.46725,0.1253182665534664
CL0,Nscore,-0.34799,0.13250038875628536
CL0,Nscore,-0.24649000000000001,0.1388183061335079
CL0,Nscore,-0.14882,0.14507687366060623
CL0,Nscore,-0.051879999999999996,0.15146271440716108
CL0,Nscore,0.04257,0.15785141771023417
CL0,Nscore,0.13606,0.16433725567183818
CL0,Nscore,0.22393000000000002,0.1705798519165047
CL0,Nscore,0.31287,0.17704261624160422
CL0,Nscore,0.41667,0.1847675364628955
CL0,Nscore,0.52135,0.1927553254279427
CL0,Nscore,0.62967,0.20122735873490732
CL0,Nscore,0.73545,0.20970080863595147
CL0,Nscore,0.82562,0.21707764641824215
CL0,Nscore,0.9109299999999999,0.2241851790443726
CL0,Nscore,1.02119,0.2335528529836324
CL0,Nscore,1.13281,0.2432398780345734
CL0,Nscore,1.23461,0.2522487617612712
CL0,Nscore,1.37297,0.26475068721334805
CL0,Nscore,1.49158,0.27569549589390546
CL0,Nscore,1.6038299999999999,0.28623838417525455
CL0,Nscore,1.72012,0.2973416151946405
CL0,Nscore,1.8399,0.30896048597956255
CL0,Nscore,1.98437,0.32320481957899294
CL0,Nscore,2.127,0.3374957129811674
CL0,Nscore,2.28554,0.3536204954654958
