Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.09943108796862725
CL0,Age,-0.07854,0.11744372904300247
CL0,Age,0.49788000000000004,0.17186642179114456
CL0,Age,1.09449,0.20037859649262837
CL0,Age,1.82213,0.4468592253037687
CL0,Age,2.59171,0.9369980680904152
CL0,Gender,-0.48246000000000006,0.09674870689765336
CL0,Gender,0.48246000000000006,0.21819229902901818
CL0,Education,-2.43591,0.09327467254749083
CL0,Education,-1.7379,0.10891001825502625
CL0,Education,-1.43719,0.11251235594155921
CL0,Education,-1.22751,0.11460841019706908
CL0,Education,-0.6111300000000001,0.12247941126705249
CL0,Education,-0.059210000000000006,0.13631560113822272
CL0,Education,0.45468000000000003,0.15737425968216814
CL0,Education,1.16365,0.19400785951519228
CL0,Education,1.98437,0.21766609332535353
CL0,Country,-0.57009,0.05241509260141293
CL0,Country,-0.46841000000000005,0.06148449510588593
CL0,Country,-0.28519,0.08035064510712062
CL0,Country,-0.09765,0.10283404360312205
CL0,Country,0.21128000000000002,0.14510038390197977
CL0,Country,0.24923,0.15054641950966827
CL0,Country,0.9608200000000001,0.24009161692942826
CL0,Ethnicity,-1.1070200000000001,0.4996542993270894
CL0,Ethnicity,-0.50212,0.24934213245620254
CL0,Ethnicity,-0.31685,0.07472788952542751
CL0,Ethnicity,-0.22166,0.1130395837009229
CL0,Ethnicity,0.1144,0.2198595001046866
CL0,Ethnicity,0.126,0.22212051875795372
CL0,Ethnicity,1.90725,0.03943572403811049
CL0,Nscore,-3.4643599999999997,0.09641416994832512
CL0,Nscore,-3.15735,0.11736770732025624
CL0,Nscore,-2.75696,0.1429166428057612
CL0,Nscore,-2.52197,0.1559184698723988
CL0,Nscore,-2.4231700000000003,0.16080065910993066
CL0,Nscore,-2.3436,0.1644550847237637
CL0,Nscore,-2.21844,0.16967597844025434
CL0,Nscore,-2.05048,0.1756233145913841
CL0,Nscore,-1.86962,0.18062547260944417
CL0,Nscore,-1.69163,0.18411313689702338
CL0,Nscore,-1.5507799999999998,0.1858739809676226
CL0,Nscore,-1.43907,0.186656664935939
CL0,Nscore,-1.32828,0.18691118026857856
CL0,Nscore,-1.1943,0.1865482506639043
CL0,Nscore,-1.05308,0.1854051425395148
CL0,Nscore,-0.92104,0.18366718374981703
CL0,Nscore,-0.79151,0.18137060067132876
CL0,Nscore,-0.67825,0.1789111920162701
CL0,Nscore,-0.58016,0.17646126999897227
CL0,Nscore,-0.46725,0.17329605934729378
CL0,Nscore,-0.34799,0.1695785348468114
CL0,Nscore,-0.24649000000000001,0.16613367461893563
CL0,Nscore,-0.14882,0.16259306105980592
CL0,Nscore,-0.051879999999999996,0.15887629326756214
CL0,Nscore,0.04257,0.15507601639773952
CL0,Nscore,0.13606,0.1511548392368099
CL0,Nscore,0.22393000000000002,0.14733728472944188
CL0,Nscore,0.31287,0.14335499700676577
CL0,Nscore,0.41667,0.13857279175500647
CL0,Nscore,0.52135,0.13362149495102862
CL0,Nscore,0.62967,0.1283825281238813
CL0,Nscore,0.73545,0.12317306229005501
CL0,Nscore,0.82562,0.1186743621843447
CL0,Nscore,0.9109299999999999,0.11438054945941027
CL0,Nscore,1.02119,0.10879364044102546
CL0,Nscore,1.13281,0.1031156163321091
CL0,Nscore,1.23461,0.0979366170482148
CL0,Nscore,1.37297,0.09092811352832668
CL0,Nscore,1.49158,0.08497684090317024
CL0,Nscore,1.6038299999999999,0.07941784605799179
CL0,Nscore,1.72012,0.07375726067689044
CL0,Nscore,1.8399,0.06805590545620972
CL0,Nscore,1.98437,0.06138813629959388
CL0,Nscore,2.127,0.055066627007607574
CL0,Nscore,2.28554,0.048388676502806156
CL0,Nscore,2.4626200000000003,0.04141573361912697
CL0,Nscore,2.61139,0.035989944700775295
CL0,Nscore,2.82196,0.029031913678169076
CL0,Nscore,3.27393,0.017080694020868176
CL0,Escore,-3.27393,0.024965942743906212
CL0,Escore,-3.00537,0.03964698085902269
CL0,Escore,-2.72827,0.05833603023122258
CL0,Escore,-2.5383,0.07216084601706826
CL0,Escore,-2.44904,0.07865956669085185
CL0,Escore,-2.32338,0.0876006973066337
CL0,Escore,-2.21069,0.09527040122269599
CL0,Escore,-2.11437,0.10147943379725793
CL0,Escore,-2.03972,0.1060390843937999
CL0,Escore,-1.92173,0.1127592510918727
CL0,Escore,-1.7625,0.12084714425781426
CL0,Escore,-1.6334,0.12658539817103756
CL0,Escore,-1.50796,0.13149509605376805
CL0,Escore,-1.37639,0.13599398024439285
CL0,Escore,-1.23177,0.14024672232319108
CL0,Escore,-1.09207,0.14374565053942798
CL0,Escore,-0.9477899999999999,0.14680937638920633
CL0,Escore,-0.80615,0.14934030491176498
CL0,Escore,-0.69509,0.15103001501547073
