Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.12557398833826766
CL0,Age,-0.07854,0.13829104585341417
CL0,Age,0.49788000000000004,0.1307981607137747
CL0,Age,1.09449,0.10904623746748181
CL0,Age,1.82213,0.08262374424292661
CL0,Age,2.59171,0.0673119205830984
CL0,Gender,-0.48246000000000006,0.11358129608532135
CL0,Gender,0.48246000000000006,0.1806280443855465
CL0,Education,-2.43591,0.1299888827344875
CL0,Education,-1.7379,0.13447326973104798
CL0,Education,-1.43719,0.13589700990050377
CL0,Education,-1.22751,0.13669630439260308
CL0,Education,-0.6111300000000001,0.13810416983656673
CL0,Education,-0.059210000000000006,0.1381845794665886
CL0,Education,0.45468000000000003,0.13731603884560398
CL0,Education,1.16365,0.13479690882161463
CL0,Education,1.98437,0.13033163670694792
CL0,Country,-0.57009,0.09727646934157469
CL0,Country,-0.46841000000000005,0.10230634857202114
CL0,Country,-0.28519,0.11173668347608007
CL0,Country,-0.09765,0.12183796158861357
CL0,Country,0.21128000000000002,0.13930698413792478
CL0,Country,0.24923,0.14151144757085804
CL0,Country,0.9608200000000001,0.18400818558831478
CL0,Ethnicity,-1.1070200000000001,0.2535488771076981
CL0,Ethnicity,-0.50212,0.16644101637343725
CL0,Ethnicity,-0.31685,0.14130481147529242
CL0,Ethnicity,-0.22166,0.12903887092489535
CL0,Ethnicity,0.1144,0.09031188153640768
CL0,Ethnicity,0.126,0.08911825110443689
CL0,Ethnicity,1.90725,0.007636883698122861
CL0,Nscore,-3.4643599999999997,0.22244370249496104
CL0,Nscore,-3.15735,0.21533490143685544
CL0,Nscore,-2.75696,0.2059720860947463
CL0,Nscore,-2.52197,0.2004390817178713
CL0,Nscore,-2.4231700000000003,0.19810628185849977
CL0,Nscore,-2.3436,0.19622521465292542
CL0,Nscore,-2.21844,0.1932628531889942
CL0,Nscore,-2.05048,0.1892822578300074
CL0,Nscore,-1.86962,0.18499185146520036
CL0,Nscore,-1.69163,0.18076839220564342
CL0,Nscore,-1.5507799999999998,0.17742746437705642
CL0,Nscore,-1.43907,0.17477964663848086
CL0,Nscore,-1.32828,0.1721561571017688
CL0,Nscore,-1.1943,0.16898800795761226
CL0,Nscore,-1.05308,0.16565541887526455
CL0,Nscore,-0.92104,0.1625471830533705
CL0,Nscore,-0.79151,0.15950663377571495
CL0,Nscore,-0.67825,0.15685601261327992
CL0,Nscore,-0.58016,0.15456716485981858
CL0,Nscore,-0.46725,0.15194104262278896
CL0,Nscore,-0.34799,0.14917807820788673
CL0,Nscore,-0.24649000000000001,0.1468361091576105
CL0,Nscore,-0.14882,0.1445914230206135
CL0,Nscore,-0.051879999999999996,0.14237272328585596
CL0,Nscore,0.04257,0.14022036707295493
CL0,Nscore,0.13606,0.13809948574509
CL0,Nscore,0.22393000000000002,0.1361152457593141
CL0,Nscore,0.31287,0.1341162967154662
CL0,Nscore,0.41667,0.13179595143696682
CL0,Nscore,0.52135,0.12947030591783013
CL0,Nscore,0.62967,0.12707970132076762
CL0,Nscore,0.73545,0.12476147074348277
CL0,Nscore,0.82562,0.12279858678879405
CL0,Nscore,0.9109299999999999,0.1209531179892594
CL0,Nscore,1.02119,0.11858522847308689
CL0,Nscore,1.13281,0.11620870977191002
