Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.15880439181130115
CL0,Age,-0.07854,0.13274822690127444
CL0,Age,0.49788000000000004,0.1336130477610756
CL0,Age,1.09449,0.1854391141320741
CL0,Age,1.82213,0.5221688609018617
CL0,Age,2.59171,0.9032945449585118
CL0,Gender,-0.48246000000000006,2.513081616076781e-08
CL0,Gender,0.48246000000000006,0.3264293150338781
CL0,Education,-2.43591,0.07919288459479902
CL0,Education,-1.7379,0.0876186333058577
CL0,Education,-1.43719,0.08997361350297226
CL0,Education,-1.22751,0.09226952594314111
CL0,Education,-0.6111300000000001,0.10710709840079066
CL0,Education,-0.059210000000000006,0.1379696203100497
CL0,Education,0.45468000000000003,0.18680084090390892
CL0,Education,1.16365,0.27598204869014686
CL0,Education,1.98437,0.36935830787967594
CL0,Country,-0.57009,0.0750704638967251
CL0,Country,-0.46841000000000005,0.07203233673752688
CL0,Country,-0.28519,0.0711698484257962
CL0,Country,-0.09765,0.08058334658500642
CL0,Country,0.21128000000000002,0.1268154977909664
CL0,Country,0.24923,0.13489591957351268
CL0,Country,0.9608200000000001,0.3266131321975366
CL0,Ethnicity,-1.1070200000000001,1.2819372628962171e-08
CL0,Ethnicity,-0.50212,0.6066014798888986
CL0,Ethnicity,-0.31685,1.8582210750444544e-07
CL0,Ethnicity,-0.22166,0.17227792210426077
CL0,Ethnicity,0.1144,0.0331942012472816
CL0,Ethnicity,0.126,0.0248595398457053
CL0,Ethnicity,1.90725,1.089746133411796e-64
CL0,Nscore,-3.4643599999999997,0.011195462532817876
CL0,Nscore,-3.15735,0.02814476777655139
CL0,Nscore,-2.75696,0.07669708147177613
CL0,Nscore,-2.52197,0.12153849510771725
CL0,Nscore,-2.4231700000000003,0.14289391803706777
CL0,Nscore,-2.3436,0.16052841738663243
CL0,Nscore,-2.21844,0.1879982885442862
CL0,Nscore,-2.05048,0.22188465012226105
CL0,Nscore,-1.86962,0.2513744621015508
CL0,Nscore,-1.69163,0.2714659696644286
CL0,Nscore,-1.5507799999999998,0.2810443143777011
CL0,Nscore,-1.43907,0.28507108132057596
CL0,Nscore,-1.32828,0.2863884725247332
CL0,Nscore,-1.1943,0.2850541346372737
CL0,Nscore,-1.05308,0.28096185460188006
CL0,Nscore,-0.92104,0.27532283359604715
CL0,Nscore,-0.79151,0.26860870619172494
CL0,Nscore,-0.67825,0.2620789173114883
CL0,Nscore,-0.58016,0.2560704052117237
CL0,Nscore,-0.46725,0.24883334289136344
CL0,Nscore,-0.34799,0.24082607600049985
CL0,Nscore,-0.24649000000000001,0.23364731524091698
CL0,Nscore,-0.14882,0.22630261291438714
CL0,Nscore,-0.051879999999999996,0.2184376040321193
CL0,Nscore,0.04257,0.21006890804998907
CL0,Nscore,0.13606,0.2009759346918354
CL0,Nscore,0.22393000000000002,0.1916471241732732
CL0,Nscore,0.31287,0.18147734382216216
CL0,Nscore,0.41667,0.16889327970340753
CL0,Nscore,0.52135,0.15583290861230814
CL0,Nscore,0.62967,0.14251265884748301
CL0,Nscore,0.73545,0.1302823509768989
CL0,Nscore,0.82562,0.11318747844182755
CL0,Nscore,0.9109299999999999,0.02320300313461651
CL0,Nscore,1.02119,0.07729829959977766
CL0,Nscore,1.13281,0.09755629679673318
CL0,Nscore,1.23461,0.09303478094829618
CL0,Nscore,1.37297,0.0891988263743472
CL0,Nscore,1.49158,0.08773847881870145
CL0,Nscore,1.6038299999999999,0.08755832169862361
CL0,Nscore,1.72012,0.08812191566311857
CL0,Nscore,1.8399,0.08878765595045487
CL0,Nscore,1.98437,0.08836180797031201
CL0,Nscore,2.127,0.08503871550082534
CL0,Nscore,2.28554,0.07678742035458941
CL0,Nscore,2.4626200000000003,0.06272500140246852
CL0,Nscore,2.61139,0.049241075082383984
CL0,Nscore,2.82196,0.03164623377239453
CL0,Nscore,3.27393,0.009033635200566477
CL0,Escore,-3.27393,0.05705319881923778
CL0,Escore,-3.00537,0.07821325235835266
CL0,Escore,-2.72827,0.10218703387041417
CL0,Escore,-2.5383,0.11793345676088215
CL0,Escore,-2.44904,0.12455987893947713
CL0,Escore,-2.32338,0.13255315522141428
CL0,Escore,-2.21069,0.1380327500544775
CL0,Escore,-2.11437,0.14123873757378755
CL0,Escore,-2.03972,0.14272023879406676
CL0,Escore,-1.92173,0.1432561619742623
CL0,Escore,-1.7625,0.14070398797385011
CL0,Escore,-1.6334,0.1363555527555514
CL0,Escore,-1.50796,0.13078234950213635
CL0,Escore,-1.37639,0.12420474465221543
CL0,Escore,-1.23177,0.11695963881579553
CL0,Escore,-1.09207,0.11071650167861274
CL0,Escore,-0.9477899999999999,0.1056912351734221
CL0,Escore,-0.80615,0.10261485641737116
CL0,Escore,-0.69509,0.10169238447987136
CL0,Escore,-0.57545,0.10229713549482365
CL0,Escore,-0.43998999999999994,0.10510484494793661
CL0,Escore,-0.30033000000000004,0.1104604612713688
CL0,Escore,-0.15487,0.11872671989370699
CL0,Escore,0.0033200000000000005,0.13068174556082549
CL0,Escore,0.16767,0.14586460306689059
CL0,Escore,0.32197,0.1618481175187426
CL0,Escore,0.47617,0.17849192073223416
CL0,Escore,0.63779,0.1956608385524913
CL0,Escore,0.80523,0.21239867332592616
CL0,Escore,0.9624799999999999,0.22679574119389329
CL0,Escore,1.11406,0.23930151649524287
CL0,Escore,1.2861,0.2516186258664072
CL0,Escore,1.45421,0.26127460275241005
CL0,Escore,1.58487,0.2667421474877443
CL0,Escore,1.74091,0.27042888666322756
CL0,Escore,1.9388599999999998,0.2699248292843156
CL0,Escore,2.127,0.26360624529049087
CL0,Escore,2.32338,0.2510426989570534
CL0,Escore,2.57309,0.22752975662619795
CL0,Escore,2.8595,0.1934536884051911
CL0,Escore,3.00537,0.17459902041274772
CL0,Escore,3.27393,0.13964100005395225
