Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.2141606131160124
CL0,Age,-0.07854,0.161572710724807
CL0,Age,0.49788000000000004,0.12238137669370461
CL0,Age,1.09449,0.08449168837122742
CL0,Age,1.82213,0.05068767756584946
CL0,Age,2.59171,0.030339356400267657
CL0,Gender,-0.48246000000000006,0.12023156433652801
CL0,Gender,0.48246000000000006,0.241643936344675
CL0,Education,-2.43591,0.08015985617364042
CL0,Education,-1.7379,0.10296008520078093
CL0,Education,-1.43719,0.11380108178975855
CL0,Education,-1.22751,0.12159933320721965
CL0,Education,-0.6111300000000001,0.14483118036174453
CL0,Education,-0.059210000000000006,0.16444132061135097
CL0,Education,0.45468000000000003,0.1799519567814681
CL0,Education,1.16365,0.1947456526354432
CL0,Education,1.98437,0.2012484225846718
CL0,Country,-0.57009,0.10009252369089762
CL0,Country,-0.46841000000000005,0.10860127522706306
CL0,Country,-0.28519,0.12507916840409472
CL0,Country,-0.09765,0.14337901261224154
CL0,Country,0.21128000000000002,0.17623159922803885
CL0,Country,0.24923,0.18046002304036335
CL0,Country,0.9608200000000001,0.2635036736879076
CL0,Ethnicity,-1.1070200000000001,0.07782679643363276
CL0,Ethnicity,-0.50212,0.15318880207973387
CL0,Ethnicity,-0.31685,0.15437883179306178
CL0,Ethnicity,-0.22166,0.14932372783844663
CL0,Ethnicity,0.1144,0.12338413189570191
CL0,Ethnicity,0.126,0.1224930412974765
CL0,Ethnicity,1.90725,0.06904102573159454
CL0,Nscore,-3.4643599999999997,0.23927271700267766
CL0,Nscore,-3.15735,0.23643319328529988
CL0,Nscore,-2.75696,0.2323348147099206
CL0,Nscore,-2.52197,0.22967303217083368
CL0,Nscore,-2.4231700000000003,0.22848682528064687
CL0,Nscore,-2.3436,0.227499616862431
CL0,Nscore,-2.21844,0.22588475611327433
CL0,Nscore,-2.05048,0.22358688032969048
CL0,Nscore,-1.86962,0.22092379918629926
CL0,Nscore,-1.69163,0.21808510631391298
CL0,Nscore,-1.5507799999999998,0.21566554175394334
CL0,Nscore,-1.43907,0.21362585381807334
CL0,Nscore,-1.32828,0.21148809372500746
CL0,Nscore,-1.1943,0.20873707622950885
CL0,Nscore,-1.05308,0.2056235664460284
CL0,Nscore,-0.92104,0.20249646117976938
CL0,Nscore,-0.79151,0.19920965885224765
CL0,Nscore,-0.67825,0.1961457733494562
CL0,Nscore,-0.58016,0.1933411959145865
CL0,Nscore,-0.46725,0.18993138507878293
CL0,Nscore,-0.34799,0.18611071789183214
CL0,Nscore,-0.24649000000000001,0.18267633412309392
CL0,Nscore,-0.14882,0.17920981730759616
CL0,Nscore,-0.051879999999999996,0.1756109536349287
CL0,Nscore,0.04257,0.17195301670436258
CL0,Nscore,0.13606,0.16818665030333887
CL0,Nscore,0.22393000000000002,0.16451754147589354
CL0,Nscore,0.31287,0.16068061063423408
CL0,Nscore,0.41667,0.15605374665360486
CL0,Nscore,0.52135,0.1512368982456031
CL0,Nscore,0.62967,0.14610936021982932
CL0,Nscore,0.73545,0.1409805737181948
CL0,Nscore,0.82562,0.13653013973059638
CL0,Nscore,0.9109299999999999,0.13226717848621336
CL0,Nscore,1.02119,0.12670431810376423
CL0,Nscore,1.13281,0.1210409555061771
CL0,Nscore,1.23461,0.11587573290081063
CL0,Nscore,1.37297,0.10890212145381392
CL0,Nscore,1.49158,0.10300961943782237
CL0,Nscore,1.6038299999999999,0.09754158688891751
CL0,Nscore,1.72012,0.09201956684481798
CL0,Nscore,1.8399,0.08651361166126274
CL0,Nscore,1.98437,0.08015522652551776
CL0,Nscore,2.127,0.07421415818267996
CL0,Nscore,2.28554,0.06803211680922866
CL0,Nscore,2.4626200000000003,0.061673243179622764
CL0,Nscore,2.61139,0.05678020149767415
CL0,Nscore,2.82196,0.05054049771698765
CL0,Nscore,3.27393,0.039643179217821824
CL0,Escore,-3.27393,0.11291000159367823
CL0,Escore,-3.00537,0.11714211555310951
CL0,Escore,-2.72827,0.12153410327492416
CL0,Escore,-2.5383,0.12454500907474376
CL0,Escore,-2.44904,0.12595612679284154
CL0,Escore,-2.32338,0.1279357018916509
CL0,Escore,-2.21069,0.12970133423087388
CL0,Escore,-2.11437,0.1312011152173791
CL0,Escore,-2.03972,0.132356322107976
CL0,Escore,-1.92173,0.13416715746692148
CL0,Escore,-1.7625,0.13657591657580714
CL0,Escore,-1.6334,0.13849346068980226
CL0,Escore,-1.50796,0.14032081489824716
CL0,Escore,-1.37639,0.14219386620505522
CL0,Escore,-1.23177,0.14419392251208155
CL0,Escore,-1.09207,0.14605968500428196
CL0,Escore,-0.9477899999999999,0.1479096688621319
CL0,Escore,-0.80615,0.149641037544029
CL0,Escore,-0.69509,0.1509341069361468
CL0,Escore,-0.57545,0.15225825533885917
CL0,Escore,-0.43998999999999994,0.15366466339133938
CL0,Escore,-0.30033000000000004,0.15500347352054686
CL0,Escore,-0.15487,0.15626879235729121
CL0,Escore,0.0033200000000000005,0.15748458589468597
CL0,Escore,0.16767,0.15855894614938074
CL0,Escore,0.32197,0.15938207482006833
CL0,Escore,0.47617,0.16001620251056117
CL0,Escore,0.63779,0.160470483594386
CL0,Escore,0.80523,0.16070693337354716
CL0,Escore,0.9624799999999999,0.16070742029265403
CL0,Escore,1.11406,0.16050274760837385
CL0,Escore,1.2861,0.1600268911893745
CL0,Escore,1.45421,0.15931536391307424
CL0,Escore,1.58487,0.15859845115893012
CL0,Escore,1.74091,0.1575616620322687
CL0,Escore,1.9388599999999998,0.1559794458595979
CL0,Escore,2.127,0.15422181083150963
CL0,Escore,2.32338,0.1521537541432584
CL0,Escore,2.57309,0.14923574733311404
CL0,Escore,2.8595,0.14558926720281984
CL0,Escore,3.00537,0.1436480895098699
CL0,Escore,3.27393,0.1399965829336622
CL0,Oscore,-3.27393,0.1366207857073479
CL0,Oscore,-2.8595,0.14216369672608656
CL0,Oscore,-2.63199,0.14593329801841684
CL0,Oscore,-2.39883,0.15017345208907698
CL0,Oscore,-2.21069,0.15373503793511806
CL0,Oscore,-2.09015,0.15601465404674422
CL0,Oscore,-1.97495,0.15814717581163598
CL0,Oscore,-1.82919,0.16072067461024256
CL0,Oscore,-1.68062,0.16312412396687806
CL0,Oscore,-1.55521,0.16491954521156657
CL0,Oscore,-1.42424,0.16651224717994947
CL0,Oscore,-1.2755299999999998,0.1679105560462995
CL0,Oscore,-1.1190200000000001,0.16884834877964577
CL0,Oscore,-0.97631,0.16918235596249304
CL0,Oscore,-0.8473200000000001,0.1690341613467076
CL0,Oscore,-0.71727,0.16844280062352557
CL0,Oscore,-0.58331,0.16737065811912238
CL0,Oscore,-0.45174,0.16587076966667552
CL0,Oscore,-0.31776,0.16390785362440588
CL0,Oscore,-0.17779,0.16141731052448058
CL0,Oscore,-0.019280000000000002,0.15810178101437244
CL0,Oscore,0.14143,0.15426567997009774
CL0,Oscore,0.29338000000000003,0.15026270740227224
CL0,Oscore,0.44585,0.14594154576980853
CL0,Oscore,0.58331,0.14183509794981117
CL0,Oscore,0.7233,0.13749421219701033
CL0,Oscore,0.8830899999999999,0.132398466886286
CL0,Oscore,1.0623799999999999,0.12657265807632773
CL0,Oscore,1.24033,0.12074893070138085
CL0,Oscore,1.43533,0.11439622111966247
CL0,Oscore,1.6565299999999998,0.1073142594855251
CL0,Oscore,1.8851099999999998,0.10022046997251069
CL0,Oscore,2.1532400000000003,0.0922833379959385
CL0,Oscore,2.44904,0.08409607493920927
CL0,Oscore,2.90161,0.07284483845286004
CL0,Ascore,-3.4643599999999997,0.059524511906678325
CL0,Ascore,-3.15735,0.0665357260776482
CL0,Ascore,-3.00537,0.07033530782596949
CL0,Ascore,-2.90161,0.07305400301692049
CL0,Ascore,-2.78793,0.0761466664886221
CL0,Ascore,-2.70172,0.07856956602251647
CL0,Ascore,-2.5383,0.08333812395267431
CL0,Ascore,-2.35413,0.08896766859265925
CL0,Ascore,-2.21844,0.09326901994974537
CL0,Ascore,-2.07848,0.09782200833277166
CL0,Ascore,-1.92595,0.10289273356449329
CL0,Ascore,-1.772,0.10809411227870816
CL0,Ascore,-1.6209,0.1132462532353606
CL0,Ascore,-1.47955,0.11807627099066714
CL0,Ascore,-1.34289,0.12272657112635772
CL0,Ascore,-1.21213,0.12713272527307232
CL0,Ascore,-1.07533,0.13167110298025878
CL0,Ascore,-0.91699,0.13679958060354355
CL0,Ascore,-0.7609600000000001,0.14168770613710593
CL0,Ascore,-0.60633,0.14633752711950934
CL0,Ascore,-0.45321000000000006,0.150723504585591
CL0,Ascore,-0.30172,0.1548258928088684
CL0,Ascore,-0.15487,0.1585599620720624
CL0,Ascore,-0.01729,0.16182939394059248
CL0,Ascore,0.13136,0.16510312967008492
CL0,Ascore,0.28783000000000003,0.16825108564486638
CL0,Ascore,0.43851999999999997,0.1709896643120796
CL0,Ascore,0.59042,0.1734582842593739
CL0,Ascore,0.7609600000000001,0.17588327592008496
CL0,Ascore,0.9415600000000001,0.17805936668107178
CL0,Ascore,1.11406,0.17977315480063155
CL0,Ascore,1.2861,0.18114251367359133
CL0,Ascore,1.45039,0.18214977295291307
CL0,Ascore,1.6110799999999998,0.182868371596123
CL0,Ascore,1.81866,0.1834366547986492
CL0,Ascore,2.03972,0.18364081654228198
CL0,Ascore,2.23427,0.18352180823750788
CL0,Ascore,2.4626200000000003,0.18308165062857795
CL0,Ascore,2.75696,0.18213787197718184
CL0,Ascore,3.15735,0.18040990571998142
CL0,Ascore,3.4643599999999997,0.17892891806313585
CL0,Cscore,-3.4643599999999997,0.11976296112608695
CL0,Cscore,-3.15735,0.12377152270699736
CL0,Cscore,-2.90161,0.12706228901917058
CL0,Cscore,-2.72827,0.12926261296277206
CL0,Cscore,-2.57309,0.13120905925629872
CL0,Cscore,-2.4231700000000003,0.13306666453063992
CL0,Cscore,-2.30408,0.13452511174495327
CL0,Cscore,-2.18109,0.13601443356632595
CL0,Cscore,-2.04506,0.1376406391252902
CL0,Cscore,-1.92173,0.13909502108359373
CL0,Cscore,-1.7816900000000002,0.14072234622732874
CL0,Cscore,-1.6410099999999999,0.14233020800149945
CL0,Cscore,-1.5184,0.14370871675073998
CL0,Cscore,-1.3850200000000001,0.1451833480879535
CL0,Cscore,-1.25773,0.1465656644254638
CL0,Cscore,-1.13788,0.14784428071717662
CL0,Cscore,-1.0145,0.14913679750186515
CL0,Cscore,-0.89891,0.15032537984749353
CL0,Cscore,-0.78155,0.15150964830864258
CL0,Cscore,-0.65253,0.15278494738982604
CL0,Cscore,-0.52745,0.15399425525793584
CL0,Cscore,-0.40581,0.15514440354335687
CL0,Cscore,-0.27607,0.15634264293557018
CL0,Cscore,-0.14277,0.15754278840385277
CL0,Cscore,-0.00665,0.15873561674872347
CL0,Cscore,0.12330999999999999,0.15984338197094433
CL0,Cscore,0.25953000000000004,0.1609717103658474
CL0,Cscore,0.41594,0.16222567626569667
CL0,Cscore,0.5848899999999999,0.16353005215264002
CL0,Cscore,0.7583,0.16481464861337045
CL0,Cscore,0.9394899999999999,0.16609825895399413
CL0,Cscore,1.1340700000000001,0.16741024569522395
CL0,Cscore,1.3061200000000002,0.16851329694110634
CL0,Cscore,1.46191,0.1694662843274491
CL0,Cscore,1.6308799999999999,0.1704511233346298
CL0,Cscore,1.81175,0.17144971678275156
CL0,Cscore,2.04506,0.17265421521891328
CL0,Cscore,2.33337,0.1740153268724484
CL0,Cscore,2.63199,0.17528105072599534
CL0,Cscore,3.00537,0.17666560458366673
CL0,Cscore,3.4643599999999997,0.17808239126785064
CL0,Impulsive,-2.55524,0.1764885895833429
CL0,Impulsive,-1.37983,0.18257038249018348
CL0,Impulsive,-0.71126,0.1784977872313084
CL0,Impulsive,-0.21711999999999998,0.17041972604134525
CL0,Impulsive,0.19268,0.16028078116675026
CL0,Impulsive,0.52975,0.14982141915570385
CL0,Impulsive,0.88113,0.1373115520125086
CL0,Impulsive,1.29221,0.12140528988455336
CL0,Impulsive,1.8620299999999999,0.09910580729478687
CL0,Impulsive,2.90161,0.06499179735117747
CL0,SS,-2.07848,0.3593943049341203
CL0,SS,-1.5485799999999998,0.31697342793569944
CL0,SS,-1.18084,0.2863774110837655
CL0,SS,-0.8463700000000001,0.25829888371433785
CL0,SS,-0.52593,0.23162094169314404
CL0,SS,-0.21575,0.20639245892521516
CL0,SS,0.07987000000000001,0.18321358194970563
CL0,SS,0.40148,0.15927423364157062
CL0,SS,0.7654,0.1341449880745715
CL0,SS,1.2247,0.10586378171629444
CL0,SS,1.92173,0.07093862901655401
CL1,Age,-0.9519700000000001,0.043631449592898254
CL1,Age,-0.07854,0.13158067361836862
CL1,Age,0.49788000000000004,0.23792463770671415
CL1,Age,1.09449,0.374360147819289
CL1,Age,1.82213,0.5234717593750828
CL1,Age,2.59171,0.6216950389005065
CL1,Gender,-0.48246000000000006,0.11169488917538824
CL1,Gender,0.48246000000000006,0.2303749916315547
CL1,Education,-2.43591,0.05606509310041193
CL1,Education,-1.7379,0.07943843093615983
CL1,Education,-1.43719,0.09153589103128253
CL1,Education,-1.22751,0.10066255302313999
CL1,Education,-0.6111300000000001,0.13027863910668344
CL1,Education,-0.059210000000000006,0.1589841223997248
CL1,Education,0.45468000000000003,0.1856408228400945
CL1,Education,1.16365,0.21874952713754886
CL1,Education,1.98437,0.24754001475923232
CL1,Country,-0.57009,0.17641655891302557
CL1,Country,-0.46841000000000005,0.17149921873664462
CL1,Country,-0.28519,0.16216148404803515
CL1,Country,-0.09765,0.15207663301553664
CL1,Country,0.21128000000000002,0.134725139880593
CL1,Country,0.24923,0.13256192453360083
CL1,Country,0.9608200000000001,0.09324369894639176
CL1,Ethnicity,-1.1070200000000001,0.03046239502914284
CL1,Ethnicity,-0.50212,0.12179384397794529
CL1,Ethnicity,-0.31685,0.1506571539144477
CL1,Ethnicity,-0.22166,0.16137572919773502
CL1,Ethnicity,0.1144,0.18680736329969938
CL1,Ethnicity,0.126,0.18748751992634136
CL1,Ethnicity,1.90725,0.23228738119768308
CL1,Nscore,-3.4643599999999997,0.12150499453167611
CL1,Nscore,-3.15735,0.12514151646695085
CL1,Nscore,-2.75696,0.1300640866221668
CL1,Nscore,-2.52197,0.13301208172925189
CL1,Nscore,-2.4231700000000003,0.13425606372864815
CL1,Nscore,-2.3436,0.13525726210369743
CL1,Nscore,-2.21844,0.13682688702964338
CL1,Nscore,-2.05048,0.138912420071
CL1,Nscore,-1.86962,0.1411109227660232
CL1,Nscore,-1.69163,0.14319943589467796
CL1,Nscore,-1.5507799999999998,0.14477790068903915
CL1,Nscore,-1.43907,0.14596978787820392
CL1,Nscore,-1.32828,0.1470883436619246
CL1,Nscore,-1.1943,0.14834054319708398
CL1,Nscore,-1.05308,0.14951882507835068
CL1,Nscore,-0.92104,0.1504650485726661
CL1,Nscore,-0.79151,0.15122321729995727
CL1,Nscore,-0.67825,0.15172881533061966
CL1,Nscore,-0.58016,0.15203428630470722
CL1,Nscore,-0.46725,0.15221831662684043
CL1,Nscore,-0.34799,0.15219955019885684
CL1,Nscore,-0.24649000000000001,0.15199628860106795
CL1,Nscore,-0.14882,0.15162629971561253
CL1,Nscore,-0.051879999999999996,0.1510799829065377
CL1,Nscore,0.04257,0.1503676316832529
CL1,Nscore,0.13606,0.1494804438588483
CL1,Nscore,0.22393000000000002,0.14847636672331713
CL1,Nscore,0.31287,0.1472884264518299
CL1,Nscore,0.41667,0.1456807536689802
CL1,Nscore,0.52135,0.1438173606065858
CL1,Nscore,0.62967,0.1416357725446782
CL1,Nscore,0.73545,0.13926280521314238
CL1,Nscore,0.82562,0.13705815989300893
CL1,Nscore,0.9109299999999999,0.13482606625657678
CL1,Nscore,1.02119,0.13174479120279176
CL1,Nscore,1.13281,0.1284210097932285
CL1,Nscore,1.23461,0.12523252096553408
CL1,Nscore,1.37297,0.12069995080592122
CL1,Nscore,1.49158,0.11667342747248886
CL1,Nscore,1.6038299999999999,0.11278074094902667
CL1,Nscore,1.72012,0.10870040015355699
CL1,Nscore,1.8399,0.1044850949572282
CL1,Nscore,1.98437,0.09943692140621514
CL1,Nscore,2.127,0.09454663245650052
CL1,Nscore,2.28554,0.08928035628111367
CL1,Nscore,2.4626200000000003,0.08367378652257253
CL1,Nscore,2.61139,0.07922790452705354
CL1,Nscore,2.82196,0.07339125456359222
CL1,Nscore,3.27393,0.06275106782716411
CL1,Escore,-3.27393,0.1594214845808124
CL1,Escore,-3.00537,0.1595267262799027
CL1,Escore,-2.72827,0.1594410211062721
CL1,Escore,-2.5383,0.1592556839605714
CL1,Escore,-2.44904,0.15913027174813044
CL1,Escore,-2.32338,0.15890993715865312
CL1,Escore,-2.21069,0.1586669618407899
CL1,Escore,-2.11437,0.15842383961965903
CL1,Escore,-2.03972,0.15821217030599763
CL1,Escore,-1.92173,0.15783479799616007
CL1,Escore,-1.7625,0.15723901512400218
CL1,Escore,-1.6334,0.15667973332919558
CL1,Escore,-1.50796,0.15606805879139604
CL1,Escore,-1.37639,0.15535142499719945
CL1,Escore,-1.23177,0.1544716799327218
CL1,Escore,-1.09207,0.15352699513079635
CL1,Escore,-0.9477899999999999,0.1524500760786165
CL1,Escore,-0.80615,0.15128964794425837
CL1,Escore,-0.69509,0.150306372143955
CL1,Escore,-0.57545,0.1491734272076549
CL1,Escore,-0.43998999999999994,0.14779675988814928
CL1,Escore,-0.30033000000000004,0.14627138103144618
CL1,Escore,-0.15487,0.14456686974512456
CL1,Escore,0.0033200000000000005,0.14257820735991486
CL1,Escore,0.16767,0.14036317213866573
CL1,Escore,0.32197,0.13814661210245505
CL1,Escore,0.47617,0.13580130417705003
CL1,Escore,0.63779,0.13320737285037518
CL1,Escore,0.80523,0.1303795072134558
CL1,Escore,0.9624799999999999,0.12760077455293967
CL1,Escore,1.11406,0.12481749191346471
CL1,Escore,1.2861,0.12154533585991133
CL1,Escore,1.45421,0.11824541190162006
CL1,Escore,1.58487,0.11562063760262883
CL1,Escore,1.74091,0.11242936528129001
CL1,Escore,1.9388599999999998,0.10831381421083923
CL1,Escore,2.127,0.104358836380653
CL1,Escore,2.32338,0.10021560695716089
CL1,Escore,2.57309,0.09497320559010952
CL1,Escore,2.8595,0.08906953473973839
CL1,Escore,3.00537,0.08613348410657382
CL1,Escore,3.27393,0.08089363977756288
CL1,Oscore,-3.27393,0.03540700968107338
CL1,Oscore,-2.8595,0.043225014205520024
CL1,Oscore,-2.63199,0.04843350575163868
CL1,Oscore,-2.39883,0.05451765145564587
CL1,Oscore,-2.21069,0.05999507257584202
CL1,Oscore,-2.09015,0.06376873694047096
CL1,Oscore,-1.97495,0.06756151237565072
CL1,Oscore,-1.82919,0.07260666845325706
CL1,Oscore,-1.68062,0.07800668137725254
CL1,Oscore,-1.55521,0.08274103760540771
CL1,Oscore,-1.42424,0.08782761469097185
CL1,Oscore,-1.2755299999999998,0.09373739817828244
CL1,Oscore,-1.1190200000000001,0.10005468864958952
CL1,Oscore,-0.97631,0.10584777202927881
CL1,Oscore,-0.8473200000000001,0.11106792193706348
CL1,Oscore,-0.71727,0.11627801183250921
CL1,Oscore,-0.58331,0.12155280307802092
CL1,Oscore,-0.45174,0.12660959763072516
CL1,Oscore,-0.31776,0.1316026967281137
