Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.0726906753330117
CL0,Age,-0.07854,0.10565173349418995
CL0,Age,0.49788000000000004,0.1780979266334017
CL0,Age,1.09449,0.35068017527071044
CL0,Age,1.82213,0.9024008469549525
CL0,Age,2.59171,0.9988170042212067
CL0,Gender,-0.48246000000000006,0.09504853446340249
CL0,Gender,0.48246000000000006,0.21172118888798575
CL0,Education,-2.43591,0.15123079838950204
CL0,Education,-1.7379,0.13192174572884333
CL0,Education,-1.43719,0.11889265646021906
CL0,Education,-1.22751,0.11140593748245856
CL0,Education,-0.6111300000000001,0.1052471125885596
CL0,Education,-0.059210000000000006,0.1239964327067966
CL0,Education,0.45468000000000003,0.16085437420421597
CL0,Education,1.16365,0.2263420474988627
CL0,Education,1.98437,0.269954642316243
CL0,Country,-0.57009,0.039636142849145066
CL0,Country,-0.46841000000000005,0.048456766301594824
CL0,Country,-0.28519,0.06788136160858863
CL0,Country,-0.09765,0.09264388717660559
CL0,Country,0.21128000000000002,0.14300243060497872
CL0,Country,0.24923,0.14979554827717448
CL0,Country,0.9608200000000001,0.26854985756096306
CL0,Ethnicity,-1.1070200000000001,0.7061777344052624
CL0,Ethnicity,-0.50212,0.27333310765384616
CL0,Ethnicity,-0.31685,5.028486406571478e-10
CL0,Ethnicity,-0.22166,0.10298574005866497
CL0,Ethnicity,0.1144,0.45463204961503695
CL0,Ethnicity,0.126,0.46104184322020797
CL0,Ethnicity,1.90725,0.9840646932176511
CL0,Nscore,-3.4643599999999997,0.04644823910098944
CL0,Nscore,-3.15735,0.06467230697712724
CL0,Nscore,-2.75696,0.0918481633134392
CL0,Nscore,-2.52197,0.10838615169289541
CL0,Nscore,-2.4231700000000003,0.11521800840713055
CL0,Nscore,-2.3436,0.12060346323761904
CL0,Nscore,-2.21844,0.1287794926169272
CL0,Nscore,-2.05048,0.1389942671165277
CL0,Nscore,-1.86962,0.14874199506982805
CL0,Nscore,-1.69163,0.15680577035142715
CL0,Nscore,-1.5507799999999998,0.16198444046961075
CL0,Nscore,-1.43907,0.16529462668619
CL0,Nscore,-1.32828,0.1678693316792388
CL0,Nscore,-1.1943,0.17004791408177727
CL0,Nscore,-1.05308,0.17127231385004676
CL0,Nscore,-0.92104,0.17148158168488298
CL0,Nscore,-0.79151,0.17088247747598262
CL0,Nscore,-0.67825,0.16977143488398075
CL0,Nscore,-0.58016,0.16841516011699686
CL0,Nscore,-0.46725,0.16645566602963843
CL0,Nscore,-0.34799,0.16398657054105767
CL0,Nscore,-0.24649000000000001,0.1616113417254614
CL0,Nscore,-0.14882,0.15912566121916824
CL0,Nscore,-0.051879999999999996,0.15649481724437644
CL0,Nscore,0.04257,0.1537992565956586
CL0,Nscore,0.13606,0.15102225333021618
CL0,Nscore,0.22393000000000002,0.1483273772450997
CL0,Nscore,0.31287,0.14552613795415453
CL0,Nscore,0.41667,0.1421722286193452
CL0,Nscore,0.52135,0.13870270599986767
CL0,Nscore,0.62967,0.13502036095447326
CL0,Nscore,0.73545,0.13132838317770915
CL0,Nscore,0.82562,0.12809876915530663
CL0,Nscore,0.9109299999999999,0.1249652382848006
CL0,Nscore,1.02119,0.12078861270011844
CL0,Nscore,1.13281,0.1163954436149604
CL0,Nscore,1.23461,0.11222543469349514
CL0,Nscore,1.37297,0.10627936110266831
CL0,Nscore,1.49158,0.10090548990922059
CL0,Nscore,1.6038299999999999,0.09557448651262897
CL0,Nscore,1.72012,0.08980196536756253
CL0,Nscore,1.8399,0.08360786984202144
CL0,Nscore,1.98437,0.07585456741388254
CL0,Nscore,2.127,0.06799254087863917
CL0,Nscore,2.28554,0.05917764785163395
CL0,Nscore,2.4626200000000003,0.049505790594323425
CL0,Nscore,2.61139,0.04175748290246912
CL0,Nscore,2.82196,0.03175183053265681
CL0,Nscore,3.27393,0.015451396711907777
CL0,Escore,-3.27393,0.007649323171430573
CL0,Escore,-3.00537,0.015099193550504836
CL0,Escore,-2.72827,0.027081764798758255
CL0,Escore,-2.5383,0.03793968939064092
CL0,Escore,-2.44904,0.043733729891392355
CL0,Escore,-2.32338,0.05255449325731555
CL0,Escore,-2.21069,0.06103274084104569
CL0,Escore,-2.11437,0.06862335275416674
CL0,Escore,-2.03972,0.07467621440464686
CL0,Escore,-1.92173,0.08445397898881603
CL0,Escore,-1.7625,0.09783539808043804
CL0,Escore,-1.6334,0.10862462114306237
CL0,Escore,-1.50796,0.11887214870551309
CL0,Escore,-1.37639,0.12919842896629835
CL0,Escore,-1.23177,0.13985432302038714
CL0,Escore,-1.09207,0.14927388524183252
CL0,Escore,-0.9477899999999999,0.15792861352160883
CL0,Escore,-0.80615,0.1652177320021816
CL0,Escore,-0.69509,0.1700161681054617
CL0,Escore,-0.57545,0.17422171567234623
CL0,Escore,-0.43998999999999994,0.17771554983291113
CL0,Escore,-0.30033000000000004,0.1798516488077014
CL0,Escore,-0.15487,0.18045031709809672
CL0,Escore,0.0033200000000000005,0.17919265479875898
CL0,Escore,0.16767,0.17578565941982666
CL0,Escore,0.32197,0.170681228912536
CL0,Escore,0.47617,0.1638155406750146
CL0,Escore,0.63779,0.15485606075457187
CL0,Escore,0.80523,0.1438694897550211
CL0,Escore,0.9624799999999999,0.13221204258906902
CL0,Escore,1.11406,0.12001140607660618
CL0,Escore,1.2861,0.10539180727763295
CL0,Escore,1.45421,0.09075373689273797
CL0,Escore,1.58487,0.0794427062169483
CL0,Escore,1.74091,0.06635248750640226
CL0,Escore,1.9388599999999998,0.05093435584751849
CL0,Escore,2.127,0.038028861663437566
CL0,Escore,2.32338,0.026765761258769644
CL0,Escore,2.57309,0.015910196870975772
CL0,Escore,2.8595,0.007864523463974739
CL0,Escore,3.00537,0.005246388344598567
CL0,Escore,3.27393,0.002293401504963682
CL0,Oscore,-3.27393,0.5356126049893369
CL0,Oscore,-2.8595,0.492681649137562
CL0,Oscore,-2.63199,0.4667237039550834
CL0,Oscore,-2.39883,0.4385308076004159
CL0,Oscore,-2.21069,0.4147666375447517
CL0,Oscore,-2.09015,0.3991479283101894
CL0,Oscore,-1.97495,0.383991988930962
CL0,Oscore,-1.82919,0.36457784408969335
CL0,Oscore,-1.68062,0.34462921524823725
CL0,Oscore,-1.55521,0.3277619231931884
CL0,Oscore,-1.42424,0.3102150692532765
CL0,Oscore,-1.2755299999999998,0.2904965326035589
CL0,Oscore,-1.1190200000000001,0.2701256249777807
CL0,Oscore,-0.97631,0.2520196669215387
CL0,Oscore,-0.8473200000000001,0.23613045733212767
CL0,Oscore,-0.71727,0.22064070752699927
CL0,Oscore,-0.58331,0.2053045439274723
CL0,Oscore,-0.45174,0.19090395405111107
CL0,Oscore,-0.31776,0.1769521587448664
CL0,Oscore,-0.17779,0.16317204705997515
CL0,Oscore,-0.019280000000000002,0.14856523732149082
