Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.06345419883526793
CL0,Age,-0.07854,0.1294710320838161
CL0,Age,0.49788000000000004,0.17211445561060248
CL0,Age,1.09449,0.1945263780767629
CL0,Age,1.82213,0.18542539891156298
CL0,Age,2.59171,0.15066321739830854
CL0,Gender,-0.48246000000000006,0.09126940920231004
CL0,Gender,0.48246000000000006,0.16750875887161135
CL0,Education,-2.43591,0.1143114362144838
CL0,Education,-1.7379,0.1199040117250023
CL0,Education,-1.43719,0.1212847788231212
CL0,Education,-1.22751,0.12186846946788711
CL0,Education,-0.6111300000000001,0.12179339600683278
CL0,Education,-0.059210000000000006,0.11956530466590493
CL0,Education,0.45468000000000003,0.11585050874541875
CL0,Education,1.16365,0.1085799213498362
CL0,Education,1.98437,0.0979156037981733
CL0,Country,-0.57009,0.09212085346962172
CL0,Country,-0.46841000000000005,0.09566839535790492
CL0,Country,-0.28519,0.10228934407331423
CL0,Country,-0.09765,0.10937483572005746
CL0,Country,0.21128000000000002,0.1217387886771628
CL0,Country,0.24923,0.12331776800925875
CL0,Country,0.9608200000000001,0.15541037470872038
CL0,Ethnicity,-1.1070200000000001,0.1789042924764407
CL0,Ethnicity,-0.50212,0.14074348478474236
CL0,Ethnicity,-0.31685,0.12134086114279398
CL0,Ethnicity,-0.22166,0.1112398343525593
CL0,Ethnicity,0.1144,0.0781705678287994
CL0,Ethnicity,0.126,0.07714263865708357
CL0,Ethnicity,1.90725,0.006896412081018908
CL0,Nscore,-3.4643599999999997,0.0820372517444823
CL0,Nscore,-3.15735,0.08643055223316248
CL0,Nscore,-2.75696,0.09204057877515091
CL0,Nscore,-2.52197,0.09523463315434486
CL0,Nscore,-2.4231700000000003,0.09654956112916827
CL0,Nscore,-2.3436,0.09759498903846298
CL0,Nscore,-2.21844,0.09921288909238093
CL0,Nscore,-2.05048,0.10132838692074153
CL0,Nscore,-1.86962,0.10352741378367938
CL0,Nscore,-1.69163,0.10560319681555103
CL0,Nscore,-1.5507799999999998,0.10717825382585953
CL0,Nscore,-1.43907,0.10838212239733018
CL0,Nscore,-1.32828,0.1095344239252939
CL0,Nscore,-1.1943,0.11086993008470272
CL0,Nscore,-1.05308,0.1122057105461073
CL0,Nscore,-0.92104,0.11338495497322684
CL0,Nscore,-0.79151,0.11447373826739096
CL0,Nscore,-0.67825,0.11536870001729929
CL0,Nscore,-0.58016,0.11609959309773331
CL0,Nscore,-0.46725,0.11688892240402969
CL0,Nscore,-0.34799,0.11766090371341811
CL0,Nscore,-0.24649000000000001,0.1182669722499907
CL0,Nscore,-0.14882,0.11880519399951711
CL0,Nscore,-0.051879999999999996,0.11929516836283481
CL0,Nscore,0.04257,0.11972967398282808
CL0,Nscore,0.13606,0.12011765075987174
CL0,Nscore,0.22393000000000002,0.12044378031120341
CL0,Nscore,0.31287,0.12073559319827236
CL0,Nscore,0.41667,0.12102715363833484
CL0,Nscore,0.52135,0.12126745731478124
CL0,Nscore,0.62967,0.12145910096541071
CL0,Nscore,0.73545,0.1215901640555833
CL0,Nscore,0.82562,0.1216581049610009
CL0,Nscore,0.9109299999999999,0.12168531897747047
CL0,Nscore,1.02119,0.12166721561813001
CL0,Nscore,1.13281,0.12158792618763295
CL0,Nscore,1.23461,0.12146242353841412
CL0,Nscore,1.37297,0.12121113263284951
CL0,Nscore,1.49158,0.12092240518568333
CL0,Nscore,1.6038299999999999,0.12058759035272767
CL0,Nscore,1.72012,0.1201784251852824
CL0,Nscore,1.8399,0.11969171026718715
CL0,Nscore,1.98437,0.11901821133318649
CL0,Nscore,2.127,0.11826265418740958
CL0,Nscore,2.28554,0.11732007175183795
CL0,Nscore,2.4626200000000003,0.11614364842617482
CL0,Nscore,2.61139,0.11505827157036022
CL0,Nscore,2.82196,0.11337759997394155
CL0,Nscore,3.27393,0.10924408499773271
CL0,Escore,-3.27393,0.11839663238551384
CL0,Escore,-3.00537,0.11976767581893283
CL0,Escore,-2.72827,0.12105251047569539
CL0,Escore,-2.5383,0.1218470723346751
CL0,Escore,-2.44904,0.1221937699274831
CL0,Escore,-2.32338,0.12265090411410615
CL0,Escore,-2.21069,0.12302827942956293
CL0,Escore,-2.11437,0.12332495961592989
CL0,Escore,-2.03972,0.123537660151272
CL0,Escore,-1.92173,0.12384157346700404
CL0,Escore,-1.7625,0.12418505131167722
CL0,Escore,-1.6334,0.12440320264472292
CL0,Escore,-1.50796,0.12455957224659082
CL0,Escore,-1.37639,0.12466064829242654
CL0,Escore,-1.23177,0.12469211824784576
CL0,Escore,-1.09207,0.12463755851010962
CL0,Escore,-0.9477899999999999,0.12448708679445017
CL0,Escore,-0.80615,0.12423964284295042
CL0,Escore,-0.69509,0.12397200250465604
CL0,Escore,-0.57545,0.12360698092382108
CL0,Escore,-0.43998999999999994,0.12309222468718233
CL0,Escore,-0.30033000000000004,0.12244205460217057
CL0,Escore,-0.15487,0.12162826197096774
CL0,Escore,0.0033200000000000005,0.12057569161531995
CL0,Escore,0.16767,0.1192866420391726
CL0,Escore,0.32197,0.11788562413924611
CL0,Escore,0.47617,0.11629263473121282
CL0,Escore,0.63779,0.11440841703103447
CL0,Escore,0.80523,0.11221807643655254
CL0,Escore,0.9624799999999999,0.10993615668829625
CL0,Escore,1.11406,0.10752896400738249
CL0,Escore,1.2861,0.10455162485547423
CL0,Escore,1.45421,0.10139601944647451
CL0,Escore,1.58487,0.0987815642348031
CL0,Escore,1.74091,0.0954839068402023
CL0,Escore,1.9388599999999998,0.0910482460172543
CL0,Escore,2.127,0.08660322175061545
CL0,Escore,2.32338,0.08176864595831423
CL0,Escore,2.57309,0.07541424409484582
CL0,Escore,2.8595,0.06798179841395709
CL0,Escore,3.00537,0.06419323370320935
CL0,Escore,3.27393,0.05731217028427316
CL0,Oscore,-3.27393,0.3540223534496211
CL0,Oscore,-2.8595,0.31978049418161336
CL0,Oscore,-2.63199,0.30152657334290733
CL0,Oscore,-2.39883,0.28328592858535045
CL0,Oscore,-2.21069,0.2689442996274841
CL0,Oscore,-2.09015,0.2599443229337939
CL0,Oscore,-1.97495,0.2514867502607368
CL0,Oscore,-1.82919,0.24099377973101158
CL0,Oscore,-1.68062,0.2305456507892368
CL0,Oscore,-1.55521,0.2219260263513027
CL0,Oscore,-1.42424,0.21312414616811418
CL0,Oscore,-1.2755299999999998,0.20338261383322487
CL0,Oscore,-1.1190200000000001,0.1934253963937623
CL0,Oscore,-0.97631,0.1846139236545954
CL0,Oscore,-0.8473200000000001,0.1768716758874624
CL0,Oscore,-0.71727,0.16928079726046874
CL0,Oscore,-0.58331,0.16168838291716076
CL0,Oscore,-0.45174,0.154455799593755
CL0,Oscore,-0.31776,0.1473191742947868
CL0,Oscore,-0.17779,0.1401090609968431
