Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.0768162584192812
CL0,Age,-0.07854,0.15170876468324782
CL0,Age,0.49788000000000004,0.21683998651502812
CL0,Age,1.09449,0.17477895331644963
CL0,Age,1.82213,0.7144712510565402
CL0,Age,2.59171,0.9982858906848084
CL0,Gender,-0.48246000000000006,0.09225196291125501
CL0,Gender,0.48246000000000006,0.2549092422877552
CL0,Education,-2.43591,0.11495050313586375
CL0,Education,-1.7379,0.10317288810850794
CL0,Education,-1.43719,0.09538527313700368
CL0,Education,-1.22751,0.09178335981319277
CL0,Education,-0.6111300000000001,0.09852660048378149
CL0,Education,-0.059210000000000006,0.13365747539437747
CL0,Education,0.45468000000000003,0.1954967742869915
CL0,Education,1.16365,0.2993652480589451
CL0,Education,1.98437,0.33452175808541573
CL0,Country,-0.57009,0.04107395587524789
CL0,Country,-0.46841000000000005,0.042034329705124086
CL0,Country,-0.28519,0.054814130394681554
CL0,Country,-0.09765,0.08851954051661401
CL0,Country,0.21128000000000002,0.1948017019255051
CL0,Country,0.24923,0.21071989840104052
CL0,Country,0.9608200000000001,0.44684680530823356
CL0,Ethnicity,-1.1070200000000001,0.03351935776231999
CL0,Ethnicity,-0.50212,0.37112353804176107
CL0,Ethnicity,-0.31685,6.33144654149435e-08
CL0,Ethnicity,-0.22166,0.11305150444617264
CL0,Ethnicity,0.1144,0.2692570213516678
CL0,Ethnicity,0.126,0.2617170703012562
CL0,Ethnicity,1.90725,3.180549450585779e-14
CL0,Nscore,-3.4643599999999997,0.07801585528575676
CL0,Nscore,-3.15735,0.1152648688699123
CL0,Nscore,-2.75696,0.17265949081985604
CL0,Nscore,-2.52197,0.20705596953303415
CL0,Nscore,-2.4231700000000003,0.2208285152822175
CL0,Nscore,-2.3436,0.23141677081468517
CL0,Nscore,-2.21844,0.24691113958737632
CL0,Nscore,-2.05048,0.2649631480411468
CL0,Nscore,-1.86962,0.2802512372419129
CL0,Nscore,-1.69163,0.2906592940617223
CL0,Nscore,-1.5507799999999998,0.2955291610757984
CL0,Nscore,-1.43907,0.2972954230836801
CL0,Nscore,-1.32828,0.29726571700918536
CL0,Nscore,-1.1943,0.2949523212150505
CL0,Nscore,-1.05308,0.2899527928942124
CL0,Nscore,-0.92104,0.2830470089124786
CL0,Nscore,-0.79151,0.27432632110577754
CL0,Nscore,-0.67825,0.26525201664417947
CL0,Nscore,-0.58016,0.2564091318298776
CL0,Nscore,-0.46725,0.2452440671899428
CL0,Nscore,-0.34799,0.23250495117142098
CL0,Nscore,-0.24649000000000001,0.22107016110852665
CL0,Nscore,-0.14882,0.20967897857216292
CL0,Nscore,-0.051879999999999996,0.19806497685151117
CL0,Nscore,0.04257,0.1864493366246894
CL0,Nscore,0.13606,0.1745815919471077
CL0,Nscore,0.22393000000000002,0.1629828546839471
CL0,Nscore,0.31287,0.15072595418583798
CL0,Nscore,0.41667,0.13583004854718184
CL0,Nscore,0.52135,0.12057606946023743
CL0,Nscore,0.62967,0.10538966937859352
CL0,Nscore,0.73545,0.09210760074038418
CL0,Nscore,0.82562,0.08256171537131171
CL0,Nscore,0.9109299999999999,0.07527226684999491
CL0,Nscore,1.02119,0.06841801576773698
CL0,Nscore,1.13281,0.06426564502053028
CL0,Nscore,1.23461,0.06266026674743025
CL0,Nscore,1.37297,0.06324646930266759
CL0,Nscore,1.49158,0.06556656877778777
CL0,Nscore,1.6038299999999999,0.0684169399485682
CL0,Nscore,1.72012,0.07096797048139407
CL0,Nscore,1.8399,0.0721224542773823
CL0,Nscore,1.98437,0.07077948687043363
CL0,Nscore,2.127,0.06677842415814898
CL0,Nscore,2.28554,0.06026835283431209
CL0,Nscore,2.4626200000000003,0.051731511875640096
CL0,Nscore,2.61139,0.044270576461971814
CL0,Nscore,2.82196,0.03412610638716873
CL0,Nscore,3.27393,0.016929503030630844
CL0,Escore,-3.27393,0.003376649062573204
CL0,Escore,-3.00537,0.007735794001631187
CL0,Escore,-2.72827,0.016011334114241233
CL0,Escore,-2.5383,0.024322234407219874
CL0,Escore,-2.44904,0.028917561422796976
CL0,Escore,-2.32338,0.035975838173302924
CL0,Escore,-2.21069,0.042705741778875234
CL0,Escore,-2.11437,0.04860095148380933
CL0,Escore,-2.03972,0.053179707755133136
CL0,Escore,-1.92173,0.060313673564356664
CL0,Escore,-1.7625,0.06955858511988497
CL0,Escore,-1.6334,0.0766711211951729
CL0,Escore,-1.50796,0.08329908668025679
CL0,Escore,-1.37639,0.09006428196912557
CL0,Escore,-1.23177,0.09745624712790711
CL0,Escore,-1.09207,0.10473625520656327
CL0,Escore,-0.9477899999999999,0.1125660301443602
CL0,Escore,-0.80615,0.12067568413543114
CL0,Escore,-0.69509,0.12736502115264328
CL0,Escore,-0.57545,0.1348929806449854
CL0,Escore,-0.43998999999999994,0.1437668801174737
CL0,Escore,-0.30033000000000004,0.15318516320471595
CL0,Escore,-0.15487,0.16308117370762285
CL0,Escore,0.0033200000000000005,0.17362427620146895
CL0,Escore,0.16767,0.1839070638517764
CL0,Escore,0.32197,0.19250875064613948
CL0,Escore,0.47617,0.19967592297062906
CL0,Escore,0.63779,0.20523391399532168
CL0,Escore,0.80523,0.20843805377942154
CL0,Escore,0.9624799999999999,0.20868370766680233
CL0,Escore,1.11406,0.20605086086151078
CL0,Escore,1.2861,0.19930098222813677
CL0,Escore,1.45421,0.18860154779512525
CL0,Escore,1.58487,0.1774672787843087
CL0,Escore,1.74091,0.16115632881395497
CL0,Escore,1.9388599999999998,0.13662483407828985
CL0,Escore,2.127,0.11098489175619602
CL0,Escore,2.32338,0.0841946646722717
CL0,Escore,2.57309,0.053899928013675276
CL0,Escore,2.8595,0.028239973647510918
CL0,Escore,3.00537,0.019241337291715167
CL0,Escore,3.27393,0.008667764463353256
CL0,Oscore,-3.27393,0.07989187836715624
CL0,Oscore,-2.8595,0.134518183600542
CL0,Oscore,-2.63199,0.16770053835261198
CL0,Oscore,-2.39883,0.20028975591851444
CL0,Oscore,-2.21069,0.2231718512869425
CL0,Oscore,-2.09015,0.2353774166182685
CL0,Oscore,-1.97495,0.2448620928523821
CL0,Oscore,-1.82919,0.253473153302087
CL0,Oscore,-1.68062,0.25814263947724586
CL0,Oscore,-1.55521,0.2588582219711034
CL0,Oscore,-1.42424,0.2566129144558167
CL0,Oscore,-1.2755299999999998,0.25072695652278293
CL0,Oscore,-1.1190200000000001,0.2413251120611332
CL0,Oscore,-0.97631,0.23056135206905762
CL0,Oscore,-0.8473200000000001,0.2195972257458068
CL0,Oscore,-0.71727,0.20785195041733168
CL0,Oscore,-0.58331,0.195493569932715
CL0,Oscore,-0.45174,0.18349624782732693
CL0,Oscore,-0.31776,0.17174990276928642
CL0,Oscore,-0.17779,0.16024965679448627
CL0,Oscore,-0.019280000000000002,0.14840246812534386
CL0,Oscore,0.14143,0.13779708418667214
CL0,Oscore,0.29338000000000003,0.12909621094250737
CL0,Oscore,0.44585,0.12161141455053376
CL0,Oscore,0.58331,0.1158511022021513
CL0,Oscore,0.7233,0.11084245162536431
CL0,Oscore,0.8830899999999999,0.10602599498753829
CL0,Oscore,1.0623799999999999,0.1015155322337432
CL0,Oscore,1.24033,0.09765861015335552
CL0,Oscore,1.43533,0.09371619469479413
CL0,Oscore,1.6565299999999998,0.08898417213683216
CL0,Oscore,1.8851099999999998,0.08306921052183551
CL0,Oscore,2.1532400000000003,0.07399134981537184
CL0,Oscore,2.44904,0.06104323741916521
CL0,Oscore,2.90161,0.03829757417449321
CL0,Ascore,-3.4643599999999997,0.003936537371883426
CL0,Ascore,-3.15735,0.008465670125367603
CL0,Ascore,-3.00537,0.011871875388343707
CL0,Ascore,-2.90161,0.01470428969912179
CL0,Ascore,-2.78793,0.018280272771397137
CL0,Ascore,-2.70172,0.02129784455160913
CL0,Ascore,-2.5383,0.027586421699418245
CL0,Ascore,-2.35413,0.03508513431483731
CL0,Ascore,-2.21844,0.04043827338682159
CL0,Ascore,-2.07848,0.045463104820802916
CL0,Ascore,-1.92595,0.0501898997615628
CL0,Ascore,-1.772,0.05426850546763277
CL0,Ascore,-1.6209,0.057962091879437204
CL0,Ascore,-1.47955,0.06159967851576581
CL0,Ascore,-1.34289,0.06573151394261524
CL0,Ascore,-1.21213,0.07064027197532156
CL0,Ascore,-1.07533,0.07716101518398864
