Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.1373377561258387
CL0,Age,-0.07854,0.1212936176403793
CL0,Age,0.49788000000000004,0.08840536238053803
CL0,Age,1.09449,0.05368610192954351
CL0,Age,1.82213,0.030953651309458055
CL0,Age,2.59171,0.02047224831203054
CL0,Gender,-0.48246000000000006,0.10348977366864218
CL0,Gender,0.48246000000000006,0.17191170432337713
CL0,Education,-2.43591,0.05242139813747745
CL0,Education,-1.7379,0.07292760042493203
CL0,Education,-1.43719,0.08322535852352841
CL0,Education,-1.22751,0.09082361335315861
CL0,Education,-0.6111300000000001,0.11431966310886874
CL0,Education,-0.059210000000000006,0.13513632900141215
CL0,Education,0.45468000000000003,0.15242123782141714
CL0,Education,1.16365,0.1705006777941354
CL0,Education,1.98437,0.1821320793003542
CL0,Country,-0.57009,0.06922269995620792
CL0,Country,-0.46841000000000005,0.07952063128845968
CL0,Country,-0.28519,0.10125312150079901
CL0,Country,-0.09765,0.12805082034465895
CL0,Country,0.21128000000000002,0.18259489585114688
CL0,Country,0.24923,0.1901573542799115
CL0,Country,0.9608200000000001,0.3554878613713216
CL0,Ethnicity,-1.1070200000000001,0.09894882149161034
CL0,Ethnicity,-0.50212,0.12452745563509639
CL0,Ethnicity,-0.31685,0.1260061472765654
CL0,Ethnicity,-0.22166,0.1251787906676836
CL0,Ethnicity,0.1144,0.11480776160917197
CL0,Ethnicity,0.126,0.11428743569189487
CL0,Ethnicity,1.90725,0.046217127807384906
CL0,Nscore,-3.4643599999999997,0.23426657780228918
CL0,Nscore,-3.15735,0.22874373181670524
CL0,Nscore,-2.75696,0.22108056825075445
CL0,Nscore,-2.52197,0.21625748790893584
CL0,Nscore,-2.4231700000000003,0.21414432564053806
CL0,Nscore,-2.3436,0.21240275344744014
CL0,Nscore,-2.21844,0.20958801742556638
CL0,Nscore,-2.05048,0.20565823740737946
CL0,Nscore,-1.86962,0.20122021622486858
CL0,Nscore,-1.69163,0.19663382325191225
CL0,Nscore,-1.5507799999999998,0.19284599251723888
CL0,Nscore,-1.43907,0.18974080948837355
CL0,Nscore,-1.32828,0.18657259086447037
CL0,Nscore,-1.1943,0.18262376239137515
CL0,Nscore,-1.05308,0.17832408235976288
CL0,Nscore,-0.92104,0.1741791945626265
CL0,Nscore,-0.79151,0.169999887125059
CL0,Nscore,-0.67825,0.16625744933876
CL0,Nscore,-0.58016,0.16295300357035444
CL0,Nscore,-0.46725,0.15908057881307308
CL0,Nscore,-0.34799,0.15491583471540976
CL0,Nscore,-0.24649000000000001,0.15131582151318645
CL0,Nscore,-0.14882,0.14780788455880733
CL0,Nscore,-0.051879999999999996,0.1442880028661356
CL0,Nscore,0.04257,0.1408262345891981
CL0,Nscore,0.13606,0.13737258311312875
CL0,Nscore,0.22393000000000002,0.13410597613511555
CL0,Nscore,0.31287,0.130783314462259
CL0,Nscore,0.41667,0.1268903054119202
CL0,Nscore,0.52135,0.12295429089883494
CL0,Nscore,0.62967,0.11887846340428491
CL0,Nscore,0.73545,0.11490302956736616
CL0,Nscore,0.82562,0.11152385237500884
CL0,Nscore,0.9109299999999999,0.10833956171116119
CL0,Nscore,1.02119,0.1042491485725249
CL0,Nscore,1.13281,0.10014555189169606
CL0,Nscore,1.23461,0.09644333744006987
