Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.08431493499873863
CL0,Age,-0.07854,0.1207333251178463
CL0,Age,0.49788000000000004,0.16220648840551002
CL0,Age,1.09449,0.32111844114419713
CL0,Age,1.82213,0.5606285137599794
CL0,Age,2.59171,0.6062570973742678
CL0,Gender,-0.48246000000000006,0.08898424327491498
CL0,Gender,0.48246000000000006,0.2708987655541944
CL0,Education,-2.43591,0.24012791414912046
CL0,Education,-1.7379,0.19839605577916028
CL0,Education,-1.43719,0.1805822476673298
CL0,Education,-1.22751,0.16744177265855592
CL0,Education,-0.6111300000000001,0.13371608481249797
CL0,Education,-0.059210000000000006,0.0715147150194024
CL0,Education,0.45468000000000003,0.1630723068689498
CL0,Education,1.16365,0.22791470790635696
CL0,Education,1.98437,0.2723573634948927
CL0,Country,-0.57009,0.12223915862855923
CL0,Country,-0.46841000000000005,0.12599861922169914
CL0,Country,-0.28519,0.1320936013576152
CL0,Country,-0.09765,0.136772367620991
CL0,Country,0.21128000000000002,0.1397441224585505
CL0,Country,0.24923,0.1397720210922575
CL0,Country,0.9608200000000001,0.15326393060942753
CL0,Ethnicity,-1.1070200000000001,0.9199827457742739
CL0,Ethnicity,-0.50212,0.38065393549257565
CL0,Ethnicity,-0.31685,3.829666727150155e-08
CL0,Ethnicity,-0.22166,0.12158268778085539
CL0,Ethnicity,0.1144,0.5663997075236484
CL0,Ethnicity,0.126,0.5761241737502775
CL0,Ethnicity,1.90725,0.9999999771982293
CL0,Nscore,-3.4643599999999997,0.08430268339941802
CL0,Nscore,-3.15735,0.10829245106259461
CL0,Nscore,-2.75696,0.14080913245006432
CL0,Nscore,-2.52197,0.15844899462465054
CL0,Nscore,-2.4231700000000003,0.165143619950669
CL0,Nscore,-2.3436,0.17013062621651437
CL0,Nscore,-2.21844,0.17713260001938014
CL0,Nscore,-2.05048,0.18468405621743594
CL0,Nscore,-1.86962,0.19016622229539926
CL0,Nscore,-1.69163,0.19267827829448964
CL0,Nscore,-1.5507799999999998,0.19259088002022307
CL0,Nscore,-1.43907,0.19123811453009934
