Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.07085992813715485
CL0,Age,-0.07854,0.15827472872492296
CL0,Age,0.49788000000000004,0.19110244455299868
CL0,Age,1.09449,0.17689440419143193
CL0,Age,1.82213,0.12309256684758407
CL0,Age,2.59171,0.0691974165771676
CL0,Gender,-0.48246000000000006,0.10630360034631217
CL0,Gender,0.48246000000000006,0.26094123259063606
CL0,Education,-2.43591,0.17014779647014336
CL0,Education,-1.7379,0.163927603768403
CL0,Education,-1.43719,0.1610944464647793
CL0,Education,-1.22751,0.1590672160319375
CL0,Education,-0.6111300000000001,0.1528772691794383
CL0,Education,-0.059210000000000006,0.147069496216174
CL0,Education,0.45468000000000003,0.1414679303725876
CL0,Education,1.16365,0.13349113625665693
CL0,Education,1.98437,0.12400217927608409
CL0,Country,-0.57009,0.17779659918438476
CL0,Country,-0.46841000000000005,0.17484537209464596
CL0,Country,-0.28519,0.16918722989135446
CL0,Country,-0.09765,0.1628602626176981
CL0,Country,0.21128000000000002,0.15090399237106106
CL0,Country,0.24923,0.14927390980341707
CL0,Country,0.9608200000000001,0.10958941646159283
CL0,Ethnicity,-1.1070200000000001,0.1251198308258532
CL0,Ethnicity,-0.50212,0.1618720634135758
CL0,Ethnicity,-0.31685,0.14847649308022157
CL0,Ethnicity,-0.22166,0.13787376805660392
CL0,Ethnicity,0.1144,0.09135649465334014
CL0,Ethnicity,0.126,0.08971331088898796
CL0,Ethnicity,1.90725,0.0007985632974942112
CL0,Nscore,-3.4643599999999997,0.03071255232282925
CL0,Nscore,-3.15735,0.04106623828520309
CL0,Nscore,-2.75696,0.05772190393761762
CL0,Nscore,-2.52197,0.06881627152630365
CL0,Nscore,-2.4231700000000003,0.07366516733438291
CL0,Nscore,-2.3436,0.07761576923286359
CL0,Nscore,-2.21844,0.08386242137684465
CL0,Nscore,-2.05048,0.09218630884097996
CL0,Nscore,-1.86962,0.10087793602904185
CL0,Nscore,-1.69163,0.10895316292606658
CL0,Nscore,-1.5507799999999998,0.11489233040708878
CL0,Nscore,-1.43907,0.11927105274027096
CL0,Nscore,-1.32828,0.12329821119924758
CL0,Nscore,-1.1943,0.12772710841478324
CL0,Nscore,-1.05308,0.13185946674572288
CL0,Nscore,-0.92104,0.13522616071992485
CL0,Nscore,-0.79151,0.1380731953550489
CL0,Nscore,-0.67825,0.14020725023323005
CL0,Nscore,-0.58016,0.14180031534712687
CL0,Nscore,-0.46725,0.14335688838715852
CL0,Nscore,-0.34799,0.14469934906823115
CL0,Nscore,-0.24649000000000001,0.14561514423563865
CL0,Nscore,-0.14882,0.14631403286199346
CL0,Nscore,-0.051879999999999996,0.1468437625362176
CL0,Nscore,0.04257,0.1472145478458397
CL0,Nscore,0.13606,0.14745111869837718
CL0,Nscore,0.22393000000000002,0.14756422131935718
CL0,Nscore,0.31287,0.14757920491840515
CL0,Nscore,0.41667,0.14748042302893818
CL0,Nscore,0.52135,0.14726509378533606
CL0,Nscore,0.62967,0.14693151792425663
CL0,Nscore,0.73545,0.14650751360694234
CL0,Nscore,0.82562,0.1460765601589346
CL0,Nscore,0.9109299999999999,0.14561504703650463
CL0,Nscore,1.02119,0.14494791406769214
CL0,Nscore,1.13281,0.1441990911718922
CL0,Nscore,1.23461,0.14345812924045862
CL0,Nscore,1.37297,0.14237186148322692
CL0,Nscore,1.49158,0.14137594159229944
CL0,Nscore,1.6038299999999999,0.14038458154306044
CL0,Nscore,1.72012,0.1393127238144301
CL0,Nscore,1.8399,0.13816602957410243
CL0,Nscore,1.98437,0.13673191780032878
CL0,Nscore,2.127,0.1352679381175192
CL0,Nscore,2.28554,0.13359193716195944
CL0,Nscore,2.4626200000000003,0.13166787885666686
CL0,Nscore,2.61139,0.13001512569836765
CL0,Nscore,2.82196,0.12762836827887314
CL0,Nscore,3.27393,0.12236327243942849
CL0,Escore,-3.27393,0.02622206984432978
CL0,Escore,-3.00537,0.033547298540643256
CL0,Escore,-2.72827,0.04240939093366685
CL0,Escore,-2.5383,0.04918848911970192
CL0,Escore,-2.44904,0.05254829075295009
CL0,Escore,-2.32338,0.05744326829741275
CL0,Escore,-2.21069,0.061974882428396674
CL0,Escore,-2.11437,0.06593610381409704
CL0,Escore,-2.03972,0.06905144822815892
CL0,Escore,-1.92173,0.07403684869654717
CL0,Escore,-1.7625,0.08083816486158793
CL0,Escore,-1.6334,0.08637106636826995
CL0,Escore,-1.50796,0.09172739692504663
CL0,Escore,-1.37639,0.09729265260408224
CL0,Escore,-1.23177,0.1033130064087624
CL0,Escore,-1.09207,0.10900215905777577
CL0,Escore,-0.9477899999999999,0.11472175099895175
CL0,Escore,-0.80615,0.12016323638637787
CL0,Escore,-0.69509,0.12430072935235739
CL0,Escore,-0.57545,0.12862527238885038
CL0,Escore,-0.43998999999999994,0.13335168171252543
CL0,Escore,-0.30033000000000004,0.1380337825159522
CL0,Escore,-0.15487,0.14270507181106626
CL0,Escore,0.0033200000000000005,0.14755127495493736
CL0,Escore,0.16767,0.15233510522016158
CL0,Escore,0.32197,0.15660181446352953
CL0,Escore,0.47617,0.16065735848797985
CL0,Escore,0.63779,0.1646943585806709
CL0,Escore,0.80523,0.16865706795724458
CL0,Escore,0.9624799999999999,0.1721850161085536
CL0,Escore,1.11406,0.1754167388324676
CL0,Escore,1.2861,0.17889316169747116
CL0,Escore,1.45421,0.18210267530213436
CL0,Escore,1.58487,0.1844747204022735
CL0,Escore,1.74091,0.1871727269612323
CL0,Escore,1.9388599999999998,0.19039266547480585
CL0,Escore,2.127,0.1932517100534833
CL0,Escore,2.32338,0.19603550634171352
CL0,Escore,2.57309,0.1992921343391957
CL0,Escore,2.8595,0.20265480758502072
CL0,Escore,3.00537,0.20422053261427733
CL0,Escore,3.27393,0.20685392170600203
CL0,Oscore,-3.27393,0.37250472536720197
CL0,Oscore,-2.8595,0.3438436922093218
CL0,Oscore,-2.63199,0.32832877565149904
CL0,Oscore,-2.39883,0.31262868472617844
CL0,Oscore,-2.21069,0.30012684540347256
CL0,Oscore,-2.09015,0.29220197763656364
CL0,Oscore,-1.97495,0.2846935627130109
CL0,Oscore,-1.82919,0.2752885540837049
CL0,Oscore,-1.68062,0.26581546917315635
CL0,Oscore,-1.55521,0.25791045155301934
CL0,Oscore,-1.42424,0.24974576120762207
CL0,Oscore,-1.2755299999999998,0.24058854140430547
CL0,Oscore,-1.1190200000000001,0.23108106806770476
CL0,Oscore,-0.97631,0.22252664135788267
CL0,Oscore,-0.8473200000000001,0.2148864831976599
CL0,Oscore,-0.71727,0.2072687001374725
CL0,Oscore,-0.58331,0.1995069975521446
CL0,Oscore,-0.45174,0.19196251488525318
