,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_LogisticRegression__C,param_LogisticRegression__max_iter,param_LogisticRegression__multi_class,param_LogisticRegression__solver,param_LogisticRegression__tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
384,0.48777816295623777,0.06411131750501804,0.0007537841796875,4.304101874271202e-05,1,50,multinomial,newton-cg,1e-05,"{'LogisticRegression__C': 1, 'LogisticRegression__max_iter': 50, 'LogisticRegression__multi_class': 'multinomial', 'LogisticRegression__solver': 'newton-cg', 'LogisticRegression__tol': 1e-05}",0.4539385847797063,0.4753004005340454,0.48064085447263016,0.49132176234979974,0.49132176234979974,0.41255006675567424,0.4432576769025367,0.4485981308411215,0.47930574098798395,0.45148247978436656,0.4627823065615395,0.02386076352237346,1,0.47297297297297297,0.4628749628749629,0.47297297297297297,0.4658449658449658,0.47475497475497475,0.4705969705969706,0.47267597267597267,0.4743094743094743,0.4642114642114642,0.4712950600801068,0.47025097912948377,0.0041104814658536135
385,0.4173902988433838,0.0918073089669292,0.0007550239562988282,4.543845307051883e-05,1,50,multinomial,newton-cg,0.0001,"{'LogisticRegression__C': 1, 'LogisticRegression__max_iter': 50, 'LogisticRegression__multi_class': 'multinomial', 'LogisticRegression__solver': 'newton-cg', 'LogisticRegression__tol': 0.0001}",0.4539385847797063,0.4753004005340454,0.48064085447263016,0.49132176234979974,0.49132176234979974,0.41255006675567424,0.4432576769025367,0.4485981308411215,0.47930574098798395,0.45148247978436656,0.4627823065615395,0.02386076352237346,1,0.47297297297297297,0.4628749628749629,0.47297297297297297,0.4658449658449658,0.47475497475497475,0.4705969705969706,0.47267597267597267,0.4743094743094743,0.4642114642114642,0.4712950600801068,0.47025097912948377,0.0041104814658536135
386,0.48424763679504396,0.10287694973595587,0.0007291555404663086,2.5379218195795086e-05,1,50,multinomial,newton-cg,0.001,"{'LogisticRegression__C': 1, 'LogisticRegression__max_iter': 50, 'LogisticRegression__multi_class': 'multinomial', 'LogisticRegression__solver': 'newton-cg', 'LogisticRegression__tol': 0.001}",0.4539385847797063,0.4753004005340454,0.48064085447263016,0.49132176234979974,0.49132176234979974,0.41255006675567424,0.4432576769025367,0.4485981308411215,0.47930574098798395,0.45148247978436656,0.4627823065615395,0.02386076352237346,1,0.47297297297297297,0.4628749628749629,0.47297297297297297,0.4658449658449658,0.47475497475497475,0.4705969705969706,0.47267597267597267,0.4743094743094743,0.4642114642114642,0.4712950600801068,0.47025097912948377,0.0041104814658536135
387,0.2703835487365723,0.0612692779313496,0.0007765293121337891,3.593815087925631e-05,1,50,multinomial,lbfgs,1e-05,"{'LogisticRegression__C': 1, 'LogisticRegression__max_iter': 50, 'LogisticRegression__multi_class': 'multinomial', 'LogisticRegression__solver': 'lbfgs', 'LogisticRegression__tol': 1e-05}",0.4539385847797063,0.4753004005340454,0.48064085447263016,0.49132176234979974,0.49132176234979974,0.41255006675567424,0.4432576769025367,0.4485981308411215,0.47930574098798395,0.45148247978436656,0.4627823065615395,0.02386076352237346,1,0.47297297297297297,0.4628749628749629,0.47297297297297297,0.4658449658449658,0.47475497475497475,0.4705969705969706,0.47267597267597267,0.4743094743094743,0.4642114642114642,0.4712950600801068,0.47025097912948377,0.0041104814658536135
388,0.2336967706680298,0.05426017756184537,0.0007448434829711914,3.857616293708541e-05,1,50,multinomial,lbfgs,0.0001,"{'LogisticRegression__C': 1, 'LogisticRegression__max_iter': 50, 'LogisticRegression__multi_class': 'multinomial', 'LogisticRegression__solver': 'lbfgs', 'LogisticRegression__tol': 0.0001}",0.4539385847797063,0.4753004005340454,0.48064085447263016,0.49132176234979974,0.49132176234979974,0.41255006675567424,0.4432576769025367,0.4485981308411215,0.47930574098798395,0.45148247978436656,0.4627823065615395,0.02386076352237346,1,0.47297297297297297,0.4628749628749629,0.47297297297297297,0.4658449658449658,0.47475497475497475,0.4705969705969706,0.47267597267597267,0.4743094743094743,0.4642114642114642,0.4712950600801068,0.47025097912948377,0.0041104814658536135
389,0.24011926651000975,0.022253544559036716,0.0007568120956420899,3.7704984323385804e-05,1,50,multinomial,lbfgs,0.001,"{'LogisticRegression__C': 1, 'LogisticRegression__max_iter': 50, 'LogisticRegression__multi_class': 'multinomial', 'LogisticRegression__solver': 'lbfgs', 'LogisticRegression__tol': 0.001}",0.4539385847797063,0.4753004005340454,0.48064085447263016,0.49132176234979974,0.49132176234979974,0.41255006675567424,0.4432576769025367,0.4485981308411215,0.47930574098798395,0.45148247978436656,0.4627823065615395,0.02386076352237346,1,0.47297297297297297,0.4628749628749629,0.47297297297297297,0.4658449658449658,0.47475497475497475,0.4705969705969706,0.47267597267597267,0.4743094743094743,0.4642114642114642,0.4712950600801068,0.47025097912948377,0.0041104814658536135
390,0.6714314937591552,0.16212891387600867,0.0007496356964111328,4.1548198231446567e-05,1,50,multinomial,sag,1e-05,"{'LogisticRegression__C': 1, 'LogisticRegression__max_iter': 50, 'LogisticRegression__multi_class': 'multinomial', 'LogisticRegression__solver': 'sag', 'LogisticRegression__tol': 1e-05}",0.4539385847797063,0.4753004005340454,0.48064085447263016,0.49132176234979974,0.49132176234979974,0.41255006675567424,0.4432576769025367,0.4485981308411215,0.47930574098798395,0.45148247978436656,0.4627823065615395,0.02386076352237346,1,0.47297297297297297,0.4628749628749629,0.47297297297297297,0.4658449658449658,0.47475497475497475,0.4705969705969706,0.47267597267597267,0.4743094743094743,0.4642114642114642,0.4712950600801068,0.47025097912948377,0.0041104814658536135
391,0.40868823528289794,0.10982113325158774,0.0007602930068969727,4.269309909532545e-05,1,50,multinomial,sag,0.0001,"{'LogisticRegression__C': 1, 'LogisticRegression__max_iter': 50, 'LogisticRegression__multi_class': 'multinomial', 'LogisticRegression__solver': 'sag', 'LogisticRegression__tol': 0.0001}",0.4539385847797063,0.4753004005340454,0.48064085447263016,0.49132176234979974,0.49132176234979974,0.41255006675567424,0.4432576769025367,0.4485981308411215,0.47930574098798395,0.45148247978436656,0.4627823065615395,0.02386076352237346,1,0.47297297297297297,0.4628749628749629,0.47297297297297297,0.4658449658449658,0.47475497475497475,0.4705969705969706,0.47267597267597267,0.4743094743094743,0.4642114642114642,0.4712950600801068,0.47025097912948377,0.0041104814658536135
393,0.6042869091033936,0.09388668016156002,0.0007628440856933594,3.7670316575013515e-05,1,50,multinomial,saga,1e-05,"{'LogisticRegression__C': 1, 'LogisticRegression__max_iter': 50, 'LogisticRegression__multi_class': 'multinomial', 'LogisticRegression__solver': 'saga', 'LogisticRegression__tol': 1e-05}",0.4539385847797063,0.4753004005340454,0.48064085447263016,0.49132176234979974,0.49132176234979974,0.41255006675567424,0.4432576769025367,0.4485981308411215,0.47930574098798395,0.45148247978436656,0.4627823065615395,0.02386076352237346,1,0.47297297297297297,0.4628749628749629,0.47297297297297297,0.4658449658449658,0.47475497475497475,0.4705969705969706,0.47267597267597267,0.4743094743094743,0.4642114642114642,0.4712950600801068,0.47025097912948377,0.0041104814658536135
394,0.4749139785766602,0.08681024993426872,0.0007668733596801758,3.6575034166404475e-05,1,50,multinomial,saga,0.0001,"{'LogisticRegression__C': 1, 'LogisticRegression__max_iter': 50, 'LogisticRegression__multi_class': 'multinomial', 'LogisticRegression__solver': 'saga', 'LogisticRegression__tol': 0.0001}",0.4539385847797063,0.4753004005340454,0.48064085447263016,0.49132176234979974,0.49132176234979974,0.41255006675567424,0.4432576769025367,0.4485981308411215,0.47930574098798395,0.45148247978436656,0.4627823065615395,0.02386076352237346,1,0.47297297297297297,0.4628749628749629,0.47297297297297297,0.4658449658449658,0.47475497475497475,0.4705969705969706,0.47267597267597267,0.4743094743094743,0.4642114642114642,0.4712950600801068,0.47025097912948377,0.0041104814658536135
396,0.5119059324264527,0.11723018915865852,0.0007471799850463867,3.783402373912958e-05,1,100,multinomial,newton-cg,1e-05,"{'LogisticRegression__C': 1, 'LogisticRegression__max_iter': 100, 'LogisticRegression__multi_class': 'multinomial', 'LogisticRegression__solver': 'newton-cg', 'LogisticRegression__tol': 1e-05}",0.4539385847797063,0.4753004005340454,0.48064085447263016,0.49132176234979974,0.49132176234979974,0.41255006675567424,0.4432576769025367,0.4485981308411215,0.47930574098798395,0.45148247978436656,0.4627823065615395,0.02386076352237346,1,0.47297297297297297,0.4628749628749629,0.47297297297297297,0.4658449658449658,0.47475497475497475,0.4705969705969706,0.47267597267597267,0.4743094743094743,0.4642114642114642,0.4712950600801068,0.47025097912948377,0.0041104814658536135
397,0.44057700634002683,0.06574491713296046,0.0007565736770629883,4.2040308233149335e-05,1,100,multinomial,newton-cg,0.0001,"{'LogisticRegression__C': 1, 'LogisticRegression__max_iter': 100, 'LogisticRegression__multi_class': 'multinomial', 'LogisticRegression__solver': 'newton-cg', 'LogisticRegression__tol': 0.0001}",0.4539385847797063,0.4753004005340454,0.48064085447263016,0.49132176234979974,0.49132176234979974,0.41255006675567424,0.4432576769025367,0.4485981308411215,0.47930574098798395,0.45148247978436656,0.4627823065615395,0.02386076352237346,1,0.47297297297297297,0.4628749628749629,0.47297297297297297,0.4658449658449658,0.47475497475497475,0.4705969705969706,0.47267597267597267,0.4743094743094743,0.4642114642114642,0.4712950600801068,0.47025097912948377,0.0041104814658536135
398,0.4153069019317627,0.07385945385248145,0.0008066654205322266,0.000165687780065682,1,100,multinomial,newton-cg,0.001,"{'LogisticRegression__C': 1, 'LogisticRegression__max_iter': 100, 'LogisticRegression__multi_class': 'multinomial', 'LogisticRegression__solver': 'newton-cg', 'LogisticRegression__tol': 0.001}",0.4539385847797063,0.4753004005340454,0.48064085447263016,0.49132176234979974,0.49132176234979974,0.41255006675567424,0.4432576769025367,0.4485981308411215,0.47930574098798395,0.45148247978436656,0.4627823065615395,0.02386076352237346,1,0.47297297297297297,0.4628749628749629,0.47297297297297297,0.4658449658449658,0.47475497475497475,0.4705969705969706,0.47267597267597267,0.4743094743094743,0.4642114642114642,0.4712950600801068,0.47025097912948377,0.0041104814658536135
399,0.24599716663360596,0.0213376165327282,0.000756382942199707,4.697405714001677e-05,1,100,multinomial,lbfgs,1e-05,"{'LogisticRegression__C': 1, 'LogisticRegression__max_iter': 100, 'LogisticRegression__multi_class': 'multinomial', 'LogisticRegression__solver': 'lbfgs', 'LogisticRegression__tol': 1e-05}",0.4539385847797063,0.4753004005340454,0.48064085447263016,0.49132176234979974,0.49132176234979974,0.41255006675567424,0.4432576769025367,0.4485981308411215,0.47930574098798395,0.45148247978436656,0.4627823065615395,0.02386076352237346,1,0.47297297297297297,0.4628749628749629,0.47297297297297297,0.4658449658449658,0.47475497475497475,0.4705969705969706,0.47267597267597267,0.4743094743094743,0.4642114642114642,0.4712950600801068,0.47025097912948377,0.0041104814658536135
400,0.22024180889129638,0.03227521778833594,0.0007587194442749024,4.7048032954900135e-05,1,100,multinomial,lbfgs,0.0001,"{'LogisticRegression__C': 1, 'LogisticRegression__max_iter': 100, 'LogisticRegression__multi_class': 'multinomial', 'LogisticRegression__solver': 'lbfgs', 'LogisticRegression__tol': 0.0001}",0.4539385847797063,0.4753004005340454,0.48064085447263016,0.49132176234979974,0.49132176234979974,0.41255006675567424,0.4432576769025367,0.4485981308411215,0.47930574098798395,0.45148247978436656,0.4627823065615395,0.02386076352237346,1,0.47297297297297297,0.4628749628749629,0.47297297297297297,0.4658449658449658,0.47475497475497475,0.4705969705969706,0.47267597267597267,0.4743094743094743,0.4642114642114642,0.4712950600801068,0.47025097912948377,0.0041104814658536135
401,0.22678298950195314,0.010171276049083975,0.0007726907730102539,3.662538534340068e-05,1,100,multinomial,lbfgs,0.001,"{'LogisticRegression__C': 1, 'LogisticRegression__max_iter': 100, 'LogisticRegression__multi_class': 'multinomial', 'LogisticRegression__solver': 'lbfgs', 'LogisticRegression__tol': 0.001}",0.4539385847797063,0.4753004005340454,0.48064085447263016,0.49132176234979974,0.49132176234979974,0.41255006675567424,0.4432576769025367,0.4485981308411215,0.47930574098798395,0.45148247978436656,0.4627823065615395,0.02386076352237346,1,0.47297297297297297,0.4628749628749629,0.47297297297297297,0.4658449658449658,0.47475497475497475,0.4705969705969706,0.47267597267597267,0.4743094743094743,0.4642114642114642,0.4712950600801068,0.47025097912948377,0.0041104814658536135
